	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d2_0	0	0.00913343	0.0051613	0.00396094	0.00303055	0.00265193	0.00233495	0.00215525	0.00224538	0.00190872	0.00180415	0.00187332	0.00185012	0.00179523	0.0015701	0.00170085	0.00147071	0.00150509	0.00150489	0.00136452	0.00146781	0.00132498	0.00149575	0.00146414	0.00144596	0.001547	0.00138761	0.00128495	0.00113057	0.00127574	0.00135835	0.00118557	0.00137259	0.00115891	0.00110425	0.00122612	0.00128565	0.00136801	0.00124508	0.00127157	0.00119595	0.0012775	0.00116973	0.00117738	0.00105917	0.0011668	0.00124694	0.00120906	0.00122277	0.0010871	0.00129694	0.00104614	0.00116704	0.0011233	0.00122342	0.0011851	0.00109856	0.00123335	0.00119105	0.00114257	0.00114646	0.00113496	0.00104035	0.00107968	0.00105877	0.00110295	0.00118388	0.00121642	0.00114608	0.00110984	0.00102129	0.00101784	0.000967508	0.00109525	0.00105966	0.000942612	0.0010172	0.00102801	0.000960608	0.00105327	0.00104264	0.00102603	0.0010128	0.000864106	0.00102723	0.00107829	0.0011699	0.00111092	0.00114908	0.00124931	0.00103959	0.00113766	0.00101847	0.000988728	0.10122
d2_1	0.110453	7.47755e-06	9.72446e-09	1.68331e-05	1.12326e-05	1.30738e-05	9.35806e-06	5.62022e-06	5.62772e-06	2.61564e-05	2.4294e-05	6.00099e-10	1.30936e-05	6.223e-09	7.49116e-06	5.62433e-06	2.80794e-06	2.42854e-05	1.49574e-05	7.49067e-06	5.60898e-06	7.48914e-06	1.12099e-05	1.49516e-05	1.12378e-05	5.6374e-06	7.48893e-06	5.6229e-06	1.30806e-05	9.47021e-09	5.60916e-06	9.36528e-06	1.87919e-06	5.61567e-06	2.24198e-05	1.30914e-05	3.08495e-08	5.61612e-06	7.4815e-06	2.24702e-05	1.68177e-05	1.90485e-08	1.86891e-05	1.86946e-05	1.121e-05	5.60293e-06	3.91965e-09	1.40256e-05	1.91036e-06	4.53508e-09	7.48011e-06	7.49671e-06	1.87095e-06	1.12093e-05	2.05599e-05	2.97126e-09	1.8822e-06	5.63028e-06	9.32071e-09	1.89666e-06	1.30764e-05	1.8686e-05	1.30865e-05	1.49833e-05	1.12101e-05	0	5.61445e-06	1.30888e-05	6.10671e-09	1.86903e-05	5.61206e-06	2.42919e-05	5.59794e-06	1.75821e-08	1.12167e-05	7.45706e-09	3.36274e-09	5.60902e-06	1.87306e-06	1.30851e-05	1.86679e-05	7.48037e-06	9.351e-06	1.12295e-05	5.60096e-06	5.61737e-06	1.86738e-05	1.21657e-05	2.99206e-05	7.4877e-06	2.42881e-05	9.34963e-06	1.49468e-05	1.30768e-05	0.00129959
d2_2	0.0448095	3.36468e-05	3.75151e-06	5.61222e-06	5.61389e-06	2.24334e-05	1.87066e-05	2.42945e-05	5.6368e-06	1.44069e-08	3.21549e-09	2.42923e-05	2.76278e-09	1.68158e-05	3.76149e-06	1.30785e-05	1.06441e-08	5.61277e-06	1.87789e-06	1.87604e-06	7.48753e-06	1.1221e-05	3.17526e-05	1.30989e-05	1.12218e-05	7.48839e-06	5.6252e-06	1.68375e-05	2.42832e-05	9.34357e-06	2.05543e-05	5.60173e-06	1.86959e-05	1.49548e-05	5.61679e-06	5.61988e-06	1.1225e-05	7.4861e-06	5.62222e-06	5.6105e-06	9.36137e-06	1.87786e-06	1.12269e-05	9.01494e-10	5.61886e-06	7.48608e-06	1.30894e-05	5.60756e-06	9.34217e-06	1.68245e-05	5.60588e-06	1.68276e-05	7.48081e-06	1.12108e-05	6.8283e-09	8.44531e-06	7.48104e-06	5.61931e-06	1.87998e-06	1.12207e-05	1.87841e-06	5.62206e-06	1.68316e-05	1.86855e-05	1.45038e-08	7.4966e-06	1.86881e-05	4.35712e-09	1.12298e-05	1.12105e-05	1.30927e-05	1.05639e-08	7.4781e-06	1.49577e-05	1.1214e-05	6.10314e-09	5.60566e-06	1.1226e-05	1.12209e-05	9.34392e-06	2.05756e-05	7.4781e-06	1.3088e-05	1.68307e-05	5.6146e-06	1.12116e-05	1.68419e-05	5.61161e-06	5.61315e-06	1.13015e-08	9.38036e-06	1.22489e-08	1.1209e-05	1.96153e-05	0.00143881
d2_3	0.0247986	1.68202e-05	7.48432e-06	1.68237e-05	7.48424e-06	1.6831e-05	1.68171e-05	5.61066e-06	1.12216e-05	1.30911e-05	1.12266e-05	1.86893e-05	1.12165e-05	2.05498e-05	5.62152e-06	1.12133e-05	1.12153e-05	6.56674e-06	1.12396e-05	1.8791e-06	1.30779e-05	2.33477e-05	1.30815e-05	5.61863e-06	1.68519e-05	5.62368e-06	1.87018e-05	1.49571e-05	1.49534e-05	7.47748e-06	1.02933e-05	1.12182e-05	1.26359e-08	1.68159e-05	5.60493e-06	7.48873e-06	6.74429e-09	5.61142e-06	1.12171e-05	7.50337e-06	1.30767e-05	7.48526e-06	1.86955e-05	5.62193e-06	1.12347e-05	5.60681e-06	1.0728e-08	9.35051e-06	1.12266e-05	9.35818e-06	1.8873e-06	1.30918e-05	1.53668e-09	1.30801e-05	1.31001e-05	1.88811e-06	1.12164e-05	7.48857e-06	5.62033e-06	2.05564e-05	1.68213e-05	1.12054e-05	5.60497e-06	7.48604e-06	1.70064e-10	1.86788e-05	5.61676e-06	5.60886e-06	5.63979e-09	5.61249e-06	1.68168e-05	7.49008e-06	5.62133e-06	1.77684e-05	2.245e-05	1.89099e-06	2.42838e-05	4.10171e-09	1.68336e-05	5.61556e-06	1.12265e-05	2.61521e-05	2.05578e-05	3.75692e-06	1.4954e-05	1.30756e-05	1.31035e-05	1.68297e-05	2.42909e-05	1.30761e-05	7.47625e-06	1.49539e-05	2.6163e-05	5.60662e-06	0.00139308
d2_4	0.0154164	1.68352e-05	1.8839e-06	1.12234e-05	1.30912e-05	3.92349e-05	1.30786e-05	1.12347e-05	2.05607e-05	1.12071e-05	1.30765e-05	9.35416e-06	7.47848e-06	1.68262e-05	1.68204e-05	1.30841e-05	2.42874e-05	1.49636e-05	1.14882e-08	1.12811e-08	5.61641e-06	1.8789e-06	1.12142e-05	2.2428e-05	5.59801e-06	1.12254e-05	1.12214e-05	5.61826e-06	0	1.30984e-05	4.4346e-09	1.12115e-05	7.49154e-06	5.61313e-06	1.12092e-05	1.86922e-05	7.47369e-06	1.26217e-08	5.60561e-06	1.31011e-05	1.12174e-05	1.88547e-06	1.68155e-05	7.5115e-06	1.86996e-05	1.30907e-05	1.30972e-05	1.68121e-05	1.11046e-08	1.49657e-05	9.34861e-06	8.42365e-06	1.68238e-05	1.30856e-05	5.61308e-06	9.9301e-09	7.06826e-09	5.60611e-06	1.30912e-05	1.12261e-05	1.12143e-05	7.4999e-06	1.12151e-05	1.09171e-08	5.61383e-06	1.12185e-05	1.89688e-06	1.40249e-05	2.05622e-05	5.68945e-09	5.61369e-06	1.30885e-05	1.12123e-05	5.62043e-06	1.12067e-05	6.65169e-09	7.48184e-06	4.92471e-09	5.60331e-06	4.22448e-09	7.47232e-06	1.8829e-06	1.68173e-05	1.68148e-05	6.80613e-09	5.62548e-06	7.49933e-06	7.48539e-06	2.24236e-05	7.47949e-06	2.67118e-08	1.12117e-05	1.30955e-05	1.88548e-06	0.0013904
d2_5	0.0103799	5.60543e-06	1.8859e-08	1.31e-05	5.61498e-06	9.35412e-06	1.12244e-05	2.24156e-05	2.05491e-05	1.30956e-05	9.35491e-06	2.24366e-05	2.063e-05	7.48969e-06	1.12378e-05	8.80047e-09	1.24157e-08	7.46826e-06	5.46061e-09	2.02821e-08	1.30875e-05	8.42041e-06	7.47199e-06	1.12013e-05	1.1247e-05	1.68234e-05	5.60018e-06	7.47823e-06	7.49527e-06	3.74836e-06	1.68246e-05	1.8864e-06	1.30797e-05	2.05488e-05	2.4414e-08	9.36973e-09	5.60617e-06	5.6161e-06	3.76671e-06	5.6082e-06	1.60055e-08	1.86827e-05	1.12147e-05	1.30926e-05	1.5257e-08	1.12149e-05	1.37578e-08	1.43674e-08	1.12177e-05	1.02906e-05	1.57536e-08	1.40277e-05	1.88832e-06	7.48877e-06	1.6821e-05	6.64769e-09	1.54582e-08	1.30923e-05	1.30908e-05	1.68312e-05	5.61857e-06	5.60906e-06	2.0563e-05	1.12284e-05	6.89406e-09	1.4957e-05	7.5008e-06	5.61214e-06	1.684e-05	1.30889e-05	5.6173e-06	3.17497e-05	7.48118e-06	3.75526e-06	5.60871e-06	8.40047e-10	1.12483e-05	1.12059e-05	2.43087e-05	1.43899e-08	1.30734e-05	7.47813e-06	1.68498e-05	1.49697e-05	2.61639e-05	2.05635e-05	1.309e-05	2.33704e-05	5.62003e-06	5.63204e-06	2.24202e-05	1.12001e-05	8.14037e-09	5.61575e-06	0.00133785
d2_6	0.007391	7.49713e-06	1.12269e-08	5.6126e-06	5.60498e-06	5.61986e-06	1.11407e-08	2.80301e-05	5.61665e-06	5.61393e-06	2.89724e-05	5.61013e-06	1.49689e-05	5.61989e-06	1.709e-10	1.1234e-05	9.34008e-06	3.83315e-09	1.30892e-05	2.33577e-05	5.61728e-06	7.49238e-06	9.34075e-06	5.51729e-09	1.96259e-05	2.24218e-05	1.12114e-05	1.12117e-05	1.12142e-05	2.43095e-05	1.58901e-05	1.12071e-05	1.68145e-05	9.36061e-06	7.49559e-06	7.48591e-06	1.28399e-08	1.49462e-05	1.87528e-06	2.05663e-05	5.61786e-06	1.86904e-05	2.99052e-05	7.46409e-09	1.04356e-08	1.3095e-05	1.68217e-05	7.48978e-06	9.36161e-09	5.60955e-06	1.30825e-05	7.39672e-09	1.68096e-05	5.60864e-06	3.82418e-09	3.9317e-09	1.1204e-05	5.60617e-06	3.18929e-09	5.60994e-06	2.42888e-05	5.60985e-06	5.61103e-06	5.61174e-06	1.12058e-05	1.1218e-05	1.12098e-05	5.60942e-06	2.05514e-05	5.61952e-06	8.40795e-06	5.61234e-06	5.60701e-06	5.62054e-06	1.87111e-05	5.60768e-06	5.60747e-06	1.30809e-05	5.60811e-06	5.32167e-09	1.37156e-09	1.12148e-05	7.47609e-06	2.05588e-05	5.60586e-06	1.68172e-05	1.04058e-08	1.8884e-06	1.12143e-05	5.61339e-06	7.47349e-06	7.48726e-06	4.11119e-05	5.6123e-06	0.0013977
d2_7	0.00573383	1.12267e-05	5.61456e-06	1.11985e-05	7.48687e-06	5.62749e-06	2.05636e-05	1.68236e-05	1.30871e-05	1.30918e-05	1.91188e-08	1.30973e-05	1.12054e-05	2.24374e-05	1.49742e-05	1.49534e-05	3.73524e-05	1.1223e-05	3.28047e-09	1.49586e-05	1.8489e-08	1.31018e-05	2.05643e-05	1.159e-08	5.63443e-06	5.61156e-06	7.48764e-06	5.61087e-06	1.12245e-05	5.60869e-06	1.87937e-06	2.99168e-05	9.3576e-06	1.86952e-05	5.61966e-06	7.49178e-06	1.87814e-06	1.87236e-05	1.11265e-08	5.61316e-09	8.41523e-06	1.88545e-06	2.05536e-05	1.86712e-05	1.88101e-06	1.88914e-06	1.35828e-08	1.30768e-05	5.60261e-06	1.12139e-05	1.30821e-05	1.30935e-05	7.50154e-06	1.49607e-05	1.87703e-06	1.49556e-05	1.1226e-05	2.05648e-05	1.86864e-05	1.12194e-05	1.64304e-10	8.41481e-06	2.80342e-05	2.24183e-05	1.30814e-05	3.7613e-06	1.49522e-05	7.47895e-06	7.47542e-06	0	1.86954e-05	1.88071e-06	2.11086e-10	5.60866e-06	1.12162e-05	5.6164e-06	3.36611e-05	1.89371e-06	1.87025e-05	7.48038e-06	5.61104e-06	2.42755e-05	1.12258e-05	2.24225e-05	2.24265e-05	1.30975e-05	7.49402e-06	5.60575e-06	5.60847e-06	7.47525e-06	1.96241e-05	1.30719e-05	5.5981e-06	7.47812e-06	0.00127727
d2_8	0.00458147	3.76039e-06	1.46569e-08	1.51457e-08	1.1224e-05	5.62642e-06	1.12182e-05	1.89101e-06	1.88103e-06	2.24291e-05	1.68282e-05	2.05586e-05	4.7315e-09	9.47161e-07	2.42847e-05	1.68189e-05	1.12194e-05	1.30819e-05	1.8845e-06	1.30838e-05	9.3676e-06	1.86998e-05	1.68272e-05	7.48852e-06	5.61494e-06	1.12128e-05	5.61422e-06	1.30808e-05	6.83992e-09	2.24255e-05	6.21849e-09	8.42648e-06	1.86944e-05	1.12111e-05	5.62528e-06	1.12122e-05	5.60966e-06	1.121e-05	1.1213e-05	1.30915e-05	1.68184e-05	5.61029e-06	1.12155e-05	1.86879e-05	1.84005e-08	7.48939e-06	5.61344e-06	7.64596e-09	1.86879e-05	1.49551e-05	2.24308e-05	1.30834e-05	1.09674e-08	5.60616e-06	2.05692e-05	5.60142e-06	7.49585e-06	1.32896e-08	1.88375e-06	1.12214e-05	1.12087e-05	1.3087e-05	1.30872e-05	5.61534e-06	1.3088e-05	2.24254e-05	2.24147e-05	1.87814e-06	5.61236e-06	1.30795e-05	1.40301e-08	5.60382e-06	1.50662e-08	1.15944e-08	5.61517e-06	1.12139e-05	7.47902e-06	1.30892e-05	5.60692e-06	7.48625e-06	7.478e-06	8.53446e-10	1.30866e-05	5.61981e-06	5.62943e-06	1.12157e-05	1.26153e-08	2.42977e-05	1.3205e-08	5.62483e-06	2.24154e-05	8.12804e-09	1.87863e-06	2.42829e-05	0.00132666
d2_9	0.00352298	1.49497e-05	1.12115e-05	1.16994e-08	1.12232e-05	2.89745e-05	0	6.53925e-06	4.75249e-09	7.47958e-06	5.61513e-06	5.62178e-06	1.86982e-05	7.49961e-06	1.12205e-05	1.12161e-05	2.05622e-05	1.49639e-05	5.61861e-06	1.1214e-05	5.61152e-06	1.3093e-05	1.12303e-05	7.48544e-06	1.4713e-08	5.60245e-06	7.49423e-06	5.62138e-06	1.30931e-05	5.61026e-06	1.25557e-08	5.60973e-06	1.12292e-05	2.24166e-05	7.49698e-06	5.65271e-06	1.30955e-05	4.06841e-09	1.12166e-05	1.12245e-05	1.12127e-05	1.13431e-08	1.12041e-05	5.61065e-06	7.51056e-06	7.48786e-06	7.48658e-06	5.6094e-06	1.12152e-05	7.48619e-06	1.12269e-05	1.30746e-05	7.47709e-06	7.47227e-06	1.68478e-05	1.12209e-05	5.60906e-06	1.73285e-08	1.88212e-06	1.30857e-05	7.49301e-06	1.68329e-05	5.6037e-06	3.17506e-05	1.49645e-05	1.309e-05	1.30984e-05	1.30814e-05	1.12223e-05	7.4738e-06	1.12167e-05	8.40672e-06	2.615e-05	2.61475e-05	1.12288e-05	1.30895e-05	1.12122e-05	3.17454e-05	1.86774e-05	5.59927e-06	5.62299e-06	5.62181e-06	5.61992e-06	2.24209e-05	1.49579e-05	1.12126e-05	2.42672e-05	2.42998e-05	1.12093e-05	1.30949e-05	5.60283e-06	1.96342e-05	2.98996e-05	1.88701e-06	0.00128464
