	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41	d2_42	d2_43	d2_44	d2_45	d2_46	d2_47	d2_48	d2_49	d2_50	d2_51	d2_52	d2_53	d2_54	d2_55	d2_56	d2_57	d2_58	d2_59	d2_60	d2_61	d2_62	d2_63	d2_64	d2_65	d2_66	d2_67	d2_68	d2_69	d2_70	d2_71	d2_72	d2_73	d2_74	d2_75	d2_76	d2_77	d2_78	d2_79	d2_80	d2_81	d2_82
d3_0	0	0.125429	0.0518776	0.0292433	0.0187615	0.0130978	0.00986491	0.00766409	0.00624891	0.00510811	0.00456158	0.00440834	0.00356609	0.00347854	0.00346486	0.0030633	0.00290723	0.00294119	0.00278171	0.00262642	0.00298845	0.00249948	0.00234283	0.00245992	0.00227595	0.00218644	0.00221833	0.00214465	0.00197098	0.00187309	0.00178879	0.00178507	0.0019242	0.00179978	0.00174551	0.00151046	0.00166849	0.00164109	0.00156336	0.0014652	0.00155467	0.00140794	0.00133921	0.00150147	0.00131029	0.00122536	0.00128053	0.00131454	0.00115923	0.00101399	0.00112422	0.00113455	0.00090841	0.000985452	0.00103962	0.00102075	0.000935463	0.000949153	0.00074991	0.000809983	0.000739475	0.000750817	0.000657423	0.000699074	0.000628028	0.000580819	0.000626751	0.000604502	0.000523875	0.000434664	0.000474483	0.00043874	0.000391471	0.000350602	0.00027717	0.000330644	0.000174587	0.000223681	0.000251819	0.000160625	0.000279987	0.000140672	0.000446804
d3_1	0.0698624	1.90758e-05	3.16597e-05	2.15546e-07	1.90765e-05	1.48995e-05	1.48903e-05	4.63438e-05	6.50484e-06	4.41817e-05	2.42411e-05	1.27709e-05	8.53746e-06	2.1143e-05	4.20687e-05	6.4503e-06	3.15903e-05	3.15894e-05	3.36576e-05	1.27499e-05	4.51802e-05	2.53282e-05	2.52691e-05	1.68636e-05	2.52539e-05	2.31791e-05	3.99124e-05	2.84003e-05	3.15895e-05	3.15543e-05	3.15958e-05	6.40036e-06	3.78416e-05	3.25923e-05	2.31781e-05	3.15263e-05	2.11183e-05	2.52474e-05	6.39611e-06	2.10388e-05	3.36066e-05	2.52202e-05	1.26596e-05	1.47267e-05	2.10445e-05	6.18289e-05	2.10673e-05	1.2657e-05	2.10605e-05	1.26382e-05	9.43225e-08	1.67843e-05	8.4274e-06	2.09855e-05	2.18284e-06	2.31061e-05	1.88887e-05	3.14634e-05	2.52072e-05	1.89108e-05	3.14501e-05	2.52156e-05	3.35927e-05	1.46943e-05	6.32779e-06	1.4732e-05	3.66826e-05	3.56337e-05	1.15546e-05	3.98281e-05	1.8881e-05	6.3166e-06	3.88632e-08	2.72521e-05	2.0932e-05	2.51498e-05	1.46741e-05	4.29168e-08	6.31043e-06	1.46805e-05	6.29566e-06	1.46517e-05	6.31005e-06
d3_2	0.0296295	2.30751e-06	1.48601e-05	1.27885e-05	2.30182e-06	2.11192e-05	2.74286e-05	2.53468e-05	2.27411e-06	1.2728e-05	2.52957e-05	2.53504e-05	2.53187e-05	2.95154e-05	1.90195e-05	5.87953e-05	1.2712e-05	1.27347e-05	3.78793e-05	6.37555e-06	2.21901e-05	1.9028e-05	4.20104e-05	2.94487e-05	5.04067e-05	1.69146e-05	8.60214e-06	1.69569e-05	1.27497e-05	1.2674e-05	1.27076e-05	3.36177e-05	4.20173e-05	1.26922e-05	4.617e-05	1.89739e-05	3.25652e-05	2.73616e-05	1.26794e-05	1.48091e-05	4.82532e-05	2.73372e-05	2.73003e-05	3.14893e-05	4.2025e-05	2.52473e-05	1.89549e-05	5.87579e-05	4.40961e-05	1.89208e-05	4.19997e-05	2.72872e-05	2.52155e-05	2.10326e-05	2.30888e-05	1.88917e-05	2.52065e-05	2.52206e-05	3.35372e-05	6.37501e-06	4.09087e-05	3.77438e-05	2.09806e-05	6.35957e-06	2.72849e-05	6.31836e-06	2.30723e-05	6.35057e-06	2.9367e-05	6.30964e-06	1.88624e-05	1.47218e-05	2.93573e-05	6.33482e-06	1.25938e-05	1.2616e-05	1.47001e-05	4.08947e-08	6.29865e-06	2.09903e-06	8.38719e-06	1.25894e-05	1.26247e-05
d3_3	0.0166564	1.4874e-05	4.37935e-06	1.77645e-07	8.59764e-06	1.90006e-05	1.2821e-05	1.27752e-05	1.48399e-05	6.48852e-06	1.274e-05	6.462e-06	1.26965e-05	2.11351e-05	2.74092e-05	8.54373e-06	1.48066e-05	1.37344e-07	2.73452e-05	1.47811e-05	3.47038e-05	3.15751e-05	2.11002e-05	3.15183e-05	1.89903e-05	1.69241e-05	1.26954e-05	9.6142e-06	3.15452e-05	1.27122e-05	1.27318e-05	2.52165e-05	3.36963e-05	3.67767e-05	4.20005e-05	1.27038e-05	1.27386e-05	1.89023e-05	2.5179e-05	1.89394e-05	2.93996e-05	2.73056e-05	2.1044e-05	2.73622e-05	2.09998e-05	1.89084e-05	6.70992e-08	1.47436e-05	4.19556e-05	8.45051e-06	2.5252e-05	5.86918e-05	2.52039e-05	6.32788e-06	2.72782e-05	3.77718e-05	1.89082e-05	1.89016e-05	1.2613e-05	4.27128e-06	2.52161e-05	2.5182e-05	6.32788e-06	1.88667e-05	1.8921e-05	1.47111e-05	2.51864e-05	2.51687e-05	6.34823e-06	1.26127e-05	1.25759e-05	1.68184e-05	6.29776e-06	1.4677e-05	1.46739e-05	1.47004e-05	1.25659e-05	2.06134e-08	2.3037e-05	1.40035e-09	8.38631e-06	6.29638e-06	1.88742e-05
d3_4	0.0105922	1.28085e-05	6.48145e-06	2.74641e-05	1.69354e-05	1.28127e-05	1.27709e-05	8.56798e-06	1.48521e-05	2.32332e-05	4.20581e-05	1.275e-05	2.74057e-05	4.6194e-05	2.53258e-05	8.54682e-06	1.69216e-05	1.90269e-05	1.89934e-05	1.2766e-05	6.43044e-06	2.94262e-05	2.73842e-05	1.06532e-05	3.15768e-05	6.42414e-06	2.52329e-05	6.38624e-06	2.73742e-05	1.89146e-05	5.04024e-05	3.15654e-05	2.73136e-05	8.51587e-06	2.31625e-05	1.26973e-05	1.89387e-05	2.3145e-05	3.15164e-05	3.35674e-05	8.55198e-06	2.52633e-05	5.04059e-05	2.21523e-06	3.36177e-05	4.40409e-05	1.89493e-05	1.47347e-05	6.70695e-05	6.33458e-06	2.73146e-05	1.47312e-05	1.26652e-05	4.82589e-05	2.14762e-08	2.10145e-05	6.36912e-06	1.47354e-05	2.72587e-05	2.72684e-05	2.9411e-05	1.26588e-05	1.8882e-05	1.26048e-05	6.33166e-06	8.42569e-06	3.35429e-05	1.89275e-05	2.18991e-06	1.25729e-05	1.67799e-05	1.68387e-05	3.14013e-05	1.46943e-05	2.30624e-05	1.30853e-08	4.29688e-09	2.72304e-05	1.26183e-05	1.25998e-05	2.12509e-06	6.30279e-06	1.25891e-05
d3_5	0.00715167	1.17537e-05	6.42802e-06	8.6449e-06	8.56705e-06	1.69421e-05	1.90308e-05	2.54225e-05	2.12008e-05	1.27069e-05	1.26985e-05	3.78666e-05	8.5414e-06	1.26997e-05	3.5785e-05	2.74226e-05	6.44781e-06	5.46185e-05	4.31402e-05	1.27433e-05	2.52576e-05	1.89767e-05	1.90026e-05	4.19975e-05	3.99955e-05	1.27753e-05	1.47906e-05	1.27213e-05	2.32464e-05	4.93943e-05	3.57339e-05	3.15247e-05	3.78352e-05	6.39583e-06	2.10597e-05	1.68732e-05	2.10671e-05	8.49874e-06	3.36521e-05	3.36318e-05	4.19923e-05	2.30995e-05	1.89611e-05	1.89523e-05	3.36875e-05	1.25993e-05	4.92656e-05	4.19835e-05	3.98762e-05	3.99019e-05	8.4628e-06	2.5202e-05	1.47218e-05	8.44811e-06	1.88904e-05	2.52041e-05	2.72951e-05	4.50974e-05	5.38797e-08	3.56528e-05	2.93951e-05	3.66972e-05	1.2626e-05	8.44195e-06	2.1397e-06	3.5675e-05	1.25797e-05	1.26636e-05	1.26175e-05	6.31003e-06	2.30704e-05	1.25933e-05	2.09642e-05	2.72482e-05	1.92472e-08	1.25914e-05	1.4681e-05	8.38894e-06	2.93427e-05	6.29574e-06	1.25955e-05	8.37767e-06	1.26506e-05
d3_6	0.00501085	1.99732e-07	1.59192e-05	2.74313e-05	1.69335e-05	8.59722e-06	1.69898e-05	3.99969e-05	1.27627e-05	2.73907e-05	2.95139e-05	1.27793e-05	6.43793e-06	1.27992e-05	6.46741e-06	3.05041e-05	2.73625e-05	1.89909e-05	2.74343e-05	2.73849e-05	2.9482e-05	1.90554e-05	1.04295e-07	6.37974e-06	8.51932e-06	3.57555e-05	3.36584e-05	2.3164e-05	3.15861e-05	3.04931e-05	2.73255e-05	2.52328e-05	3.98845e-05	3.36714e-05	3.78399e-05	3.57438e-05	2.10374e-05	1.64684e-05	1.79241e-05	9.5158e-06	3.15178e-05	2.1083e-05	3.3567e-05	8.69436e-05	5.45174e-05	8.46414e-06	6.08368e-05	2.52099e-05	8.52693e-06	2.52174e-05	2.10003e-05	1.26626e-05	3.14683e-05	6.36117e-06	2.30756e-05	1.88892e-05	3.56609e-05	5.45302e-05	1.47213e-05	8.47709e-06	1.89005e-05	6.35321e-06	1.89359e-05	1.88855e-05	2.0997e-05	1.25775e-05	1.25861e-05	4.61246e-05	1.26223e-05	2.31166e-05	2.09872e-05	1.26166e-05	1.47304e-05	1.88912e-05	6.32057e-06	1.26503e-05	1.88404e-05	6.30427e-06	6.29642e-06	1.04566e-08	2.64267e-08	1.57606e-05	1.88666e-05
d3_7	0.00360964	8.5796e-06	6.47668e-06	2.32241e-05	3.37668e-05	2.11551e-05	1.4861e-05	2.53336e-05	3.36983e-05	2.27096e-06	1.27317e-05	8.58092e-06	4.6221e-05	3.47336e-05	2.32006e-05	2.73937e-05	3.47537e-05	1.89982e-05	1.26657e-05	3.99181e-05	1.481e-05	3.36678e-05	1.34059e-07	3.15567e-05	2.10274e-05	6.48102e-06	1.26883e-05	6.4373e-06	3.36376e-05	2.52416e-05	5.24587e-05	3.16082e-05	1.90355e-05	3.1562e-05	1.58536e-05	2.10575e-05	1.26857e-05	1.59586e-07	1.47717e-05	7.84104e-08	1.26711e-05	1.4748e-05	6.38014e-06	2.72997e-05	1.89271e-05	8.47392e-06	1.89315e-05	2.10401e-05	3.35755e-05	2.93983e-05	6.368e-06	3.98834e-05	1.69316e-05	1.26311e-05	8.43282e-06	8.44809e-06	2.09776e-05	2.09901e-05	6.31301e-06	1.26217e-05	1.26032e-05	1.26071e-05	2.73066e-05	1.26125e-05	1.88507e-05	2.09571e-05	1.26038e-05	8.44086e-06	6.31414e-06	1.25889e-05	1.88298e-08	1.81998e-08	1.88822e-05	5.54536e-08	6.64944e-08	1.47072e-05	6.34941e-06	1.26173e-05	1.44455e-08	1.25796e-05	8.42407e-06	1.56603e-09	3.4627e-05
d3_8	0.00263733	1.90539e-05	1.90511e-05	1.90907e-05	1.27957e-05	1.90352e-05	1.2749e-05	2.11675e-05	2.11624e-05	3.15512e-05	6.47084e-06	2.32179e-05	1.89858e-05	1.27825e-05	6.43479e-06	1.90307e-05	1.48397e-05	2.23708e-06	2.11219e-05	1.60443e-07	2.95115e-05	8.55172e-06	2.94628e-05	1.47748e-05	2.10734e-05	1.89557e-05	1.8983e-05	1.9028e-05	3.99249e-05	3.99395e-05	2.32121e-05	2.9411e-05	1.27174e-05	1.2658e-05	3.57694e-05	2.20988e-05	3.14888e-05	3.57379e-05	2.7366e-05	6.34909e-06	3.3626e-05	5.66395e-05	3.15012e-05	3.77933e-05	1.89428e-05	5.03543e-05	1.47845e-05	3.57048e-05	2.31478e-05	2.73092e-05	2.5267e-05	1.78694e-05	6.37669e-06	1.26113e-05	8.4544e-06	3.98465e-05	2.519e-05	2.51529e-05	2.16592e-06	2.10227e-05	1.26122e-05	2.93551e-05	2.31033e-05	6.33118e-06	2.09498e-05	6.35102e-06	2.14227e-06	3.77616e-05	3.31674e-08	1.47232e-05	2.3065e-05	1.4667e-05	6.3346e-06	3.14351e-05	1.25943e-05	6.30669e-06	6.28669e-06	3.13978e-05	2.5153e-05	1.58051e-08	2.09612e-05	8.16024e-09	6.31744e-06
d3_9	0.00197056	1.27562e-05	1.48256e-05	8.51838e-06	1.27035e-05	2.23269e-07	1.27751e-05	2.74347e-05	2.32475e-05	1.48416e-05	1.34695e-07	2.10886e-05	1.89708e-05	2.94581e-05	6.51502e-06	1.89941e-05	1.90306e-05	2.73296e-05	5.25162e-05	6.44098e-06	1.2775e-05	3.36541e-05	1.68509e-05	6.42043e-06	4.20296e-05	3.47144e-05	1.4767e-05	3.78415e-05	1.68772e-05	3.57244e-05	2.52259e-05	3.35883e-05	2.314e-05	3.99256e-05	2.94542e-05	1.68782e-05	4.519e-05	2.31511e-05	1.26696e-05	2.73897e-05	1.89607e-05	4.20445e-05	3.36001e-05	4.19383e-05	4.40868e-05	2.10768e-05	2.7315e-05	1.474e-05	2.10336e-05	2.7304e-05	1.2679e-05	1.26849e-05	1.68345e-05	1.47418e-05	2.10524e-05	2.20793e-05	2.83281e-05	3.14776e-05	6.33278e-06	1.89158e-05	1.26721e-05	6.32516e-06	1.26044e-05	3.14879e-05	2.52228e-05	1.88652e-05	1.6401e-08	2.10308e-05	8.41349e-06	1.47145e-05	1.47251e-05	1.8863e-05	6.30924e-06	2.09504e-05	2.13615e-06	4.61246e-08	8.41023e-06	2.09465e-05	2.72375e-05	6.2766e-06	1.0707e-08	1.04285e-10	1.2654e-05
