	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41	d2_42	d2_43	d2_44	d2_45	d2_46	d2_47	d2_48	d2_49	d2_50	d2_51	d2_52	d2_53	d2_54	d2_55	d2_56	d2_57	d2_58	d2_59	d2_60	d2_61	d2_62	d2_63	d2_64	d2_65	d2_66	d2_67	d2_68	d2_69	d2_70	d2_71	d2_72	d2_73	d2_74	d2_75	d2_76	d2_77	d2_78	d2_79	d2_80	d2_81	d2_82
d3_0	0	0.0574897	0.0257983	0.0153806	0.0103282	0.00738558	0.00545904	0.00416868	0.00330655	0.00259126	0.00208342	0.00168097	0.00135407	0.00110989	0.000902758	0.00074749	0.000623929	0.000538569	0.000427173	0.000351107	0.000302337	0.000253669	0.000209637	0.000181683	0.000159986	0.00012575	0.000100119	8.39704e-05	7.19364e-05	6.12339e-05	5.04008e-05	4.14323e-05	3.53927e-05	2.94898e-05	2.87809e-05	2.07311e-05	1.94801e-05	1.46182e-05	1.17576e-05	1.9628e-05	7.60982e-06	6.62828e-06	5.67842e-06	4.1014e-06	3.44456e-06	3.33551e-06	2.33059e-06	1.95019e-06	4.35478e-06	1.44697e-06	1.00297e-06	9.38398e-07	5.19767e-07	5.73434e-07	4.49037e-07	2.94107e-07	3.45775e-07	1.50439e-07	2.13904e-07	1.31076e-07	9.93571e-08	7.7619e-08	7.18632e-08	1.07013e-08	1.48971e-08	6.38529e-09	3.83512e-08	2.25328e-08	5.22095e-09	3.71713e-12	7.60959e-09	9.17543e-10	0	6.59052e-09	0	0	3.11394e-10	5.18742e-09	0	0	0	0	0
d3_1	0.380556	6.74523e-05	8.64307e-05	9.58733e-05	7.76417e-05	5.77228e-05	4.29698e-05	3.333e-05	2.67653e-05	4.6154e-05	4.58392e-05	4.88009e-05	2.11541e-05	2.17099e-05	4.02393e-05	1.89976e-05	3.23049e-05	2.06529e-05	3.45595e-05	2.55137e-05	2.64143e-05	7.28562e-06	2.571e-05	1.43939e-05	8.87817e-06	8.41783e-06	4.60239e-06	1.1364e-05	7.60648e-06	1.22318e-06	1.05407e-05	5.55218e-06	4.9599e-07	1.51615e-05	7.59028e-06	1.70725e-06	3.0344e-07	2.90351e-06	1.51524e-06	1.00696e-06	1.78074e-07	1.57419e-07	4.63578e-06	9.77702e-06	9.96911e-08	9.20396e-08	3.88421e-07	6.61237e-08	4.72322e-08	4.95658e-08	2.27871e-06	4.2112e-08	2.20953e-08	2.04712e-08	2.45303e-08	1.71995e-08	1.57422e-08	1.54567e-08	9.60014e-09	5.69614e-09	3.4189e-09	6.04321e-09	1.21628e-08	2.28417e-09	1.83125e-09	1.93034e-09	1.2458e-09	1.49387e-09	1.41001e-09	6.51432e-10	3.86728e-10	2.29965e-10	0	1.44389e-09	7.34254e-11	0	9.8696e-10	4.41617e-10	0	0	0	0	0
d3_2	0.00806849	8.20612e-05	9.14708e-05	0.000117239	0.000107369	9.22072e-05	5.6856e-05	5.8216e-05	3.50943e-05	8.43304e-05	2.71767e-05	5.7626e-05	2.06136e-05	5.4135e-05	4.96345e-05	4.20104e-05	2.44379e-05	1.21777e-05	5.30314e-05	3.03166e-05	8.57432e-06	1.73789e-05	1.3436e-05	1.65733e-05	1.45198e-05	4.76419e-06	1.06428e-05	7.03523e-06	2.24401e-05	2.03732e-05	7.95124e-06	9.58799e-06	2.68605e-06	6.40713e-06	8.46079e-06	8.52637e-06	3.38123e-07	4.15485e-06	2.38546e-07	9.07577e-06	9.51731e-06	4.68656e-06	2.12158e-06	1.2264e-07	1.30965e-07	8.63351e-08	9.25007e-08	8.60823e-08	6.4833e-07	7.41781e-08	5.12077e-08	1.99318e-06	4.64757e-08	3.73539e-07	2.64799e-08	2.36344e-08	3.83842e-08	2.22953e-08	1.35079e-08	7.85588e-09	8.86795e-09	1.1895e-08	1.16038e-08	2.23301e-09	2.74984e-09	8.63784e-10	2.8129e-09	1.6249e-09	1.14544e-09	7.47021e-10	6.15159e-10	1.22653e-11	5.09135e-10	4.0697e-10	2.73664e-10	5.49525e-10	0	0	0	0	0	0	0
d3_3	0.00234551	0.000116228	0.000112699	8.45709e-05	0.000109659	0.0001469	8.28398e-05	7.63123e-05	0.000112827	6.36219e-05	6.23693e-05	4.66547e-05	4.72576e-05	1.82426e-05	4.90682e-05	5.05258e-05	4.39471e-05	5.17668e-05	5.71814e-05	3.36919e-05	3.12517e-05	4.18013e-05	3.42824e-05	2.92292e-05	1.5291e-05	2.19157e-05	1.97152e-05	2.52271e-05	1.66442e-05	9.17465e-06	9.79077e-06	8.35597e-06	1.34825e-05	4.56512e-06	1.00142e-05	3.59167e-06	1.17346e-06	3.71296e-07	3.65753e-06	2.0502e-06	3.68208e-06	1.03195e-05	5.385e-06	5.92136e-06	1.41135e-07	1.45019e-07	5.19292e-06	9.09463e-08	1.06778e-07	9.58564e-08	5.51605e-08	2.123e-07	4.32312e-08	1.19454e-06	3.04786e-08	7.21131e-06	3.45584e-06	2.17989e-08	2.20407e-08	1.61061e-08	3.97981e-07	1.39311e-08	1.02605e-08	2.39227e-08	1.59253e-08	1.18439e-09	1.58896e-09	3.13841e-09	1.66512e-09	5.44255e-09	4.61074e-10	1.5854e-09	1.31674e-10	2.00191e-10	6.33296e-10	4.52876e-10	0	0	0	0	0	0	0
d3_4	0.00203514	0.000136844	0.000121871	0.0001249	8.02815e-05	8.32857e-05	0.000132331	0.000100192	9.6784e-05	5.76494e-05	4.08546e-05	9.47711e-05	5.26954e-05	3.54503e-05	5.07438e-05	5.49795e-05	2.34021e-05	2.51827e-05	6.01996e-05	4.36155e-05	4.94414e-05	2.19219e-05	2.73587e-05	6.43377e-05	2.59768e-05	1.68637e-05	3.59847e-06	2.67313e-05	1.24436e-05	1.44057e-05	1.2287e-05	9.81149e-06	1.71966e-05	1.11306e-05	3.4935e-06	8.08014e-06	3.00244e-06	7.2336e-06	2.83288e-06	1.54279e-05	7.57843e-06	8.40761e-06	1.3835e-05	2.05728e-07	1.40381e-05	1.58485e-07	2.83654e-06	1.56336e-06	1.34522e-06	5.21143e-06	6.05659e-07	6.6769e-08	6.11184e-08	2.37827e-06	1.45548e-06	2.21287e-06	2.39351e-08	2.95377e-08	3.60474e-06	3.31383e-08	1.24995e-08	1.08343e-08	1.63384e-08	1.55091e-08	1.42942e-08	4.37181e-09	2.10296e-09	4.04568e-09	3.93229e-09	2.39335e-09	1.87652e-10	5.26637e-10	4.00252e-10	8.78454e-10	3.90192e-10	5.22472e-09	0	1.24967e-09	0	1.4936e-09	0	0	0
d3_5	0.00157094	9.34186e-05	0.000132243	0.000121976	0.000122702	0.000147639	0.000104753	0.000111819	9.5979e-05	7.18474e-05	8.56788e-05	8.00794e-05	4.47453e-05	6.18296e-05	5.70706e-05	4.46759e-05	5.88165e-05	7.262e-05	4.1432e-05	4.73515e-05	5.59752e-05	7.20299e-05	2.39441e-05	3.08189e-05	2.87419e-05	1.374e-05	2.16647e-05	2.96337e-05	1.93073e-05	1.53403e-05	3.22857e-05	1.40014e-05	2.95339e-05	3.50503e-06	3.89798e-06	2.00539e-05	1.14441e-05	1.21033e-05	4.59181e-06	7.00494e-06	1.35393e-06	2.47069e-06	4.81595e-07	1.2515e-06	7.55757e-06	8.93079e-06	1.11905e-05	2.40127e-06	2.56738e-06	3.70632e-06	9.60748e-06	6.16368e-06	6.30726e-07	5.45163e-08	4.56519e-08	4.68341e-08	3.66843e-06	6.95197e-06	3.86426e-08	2.25661e-08	8.95084e-07	2.68981e-08	9.64573e-09	2.19632e-07	2.98726e-06	1.85372e-08	3.44691e-09	1.14526e-08	1.262e-08	3.44802e-09	1.95967e-09	1.86102e-09	5.92701e-10	8.84402e-10	9.44982e-10	3.91216e-10	1.16705e-09	0	0	9.68868e-10	0	0	0
d3_6	0.00127576	0.000110904	0.000132064	0.000140838	0.000101275	0.000134007	0.000184734	0.000136161	5.66571e-05	5.55257e-05	7.84318e-05	9.36186e-05	8.83731e-05	5.62369e-05	4.78851e-05	6.70159e-05	5.76447e-05	4.37943e-05	4.72856e-05	5.3855e-05	2.56183e-05	2.3246e-05	3.68054e-05	2.52099e-05	3.93999e-05	4.36221e-05	2.65538e-05	1.56781e-05	3.58893e-05	2.30062e-05	2.11772e-05	3.0225e-05	2.40743e-05	2.337e-05	3.49034e-05	5.92392e-06	6.81629e-06	2.56824e-05	1.19176e-05	8.36281e-06	3.53534e-07	1.75132e-06	3.3547e-06	4.53178e-06	3.20015e-06	2.67247e-06	7.97138e-06	3.58727e-06	2.36385e-06	3.00847e-06	1.0908e-07	9.05517e-08	3.62291e-06	1.23012e-07	9.93285e-08	5.70952e-08	1.3803e-05	7.62407e-06	8.45345e-08	1.22819e-06	1.19255e-07	1.40249e-08	2.68234e-08	2.5482e-08	1.89044e-08	3.10151e-06	2.56029e-09	6.76613e-09	2.65342e-07	4.5394e-09	3.36243e-09	1.24334e-09	3.23807e-09	4.73716e-09	1.83293e-10	3.41373e-09	4.58454e-10	6.14057e-10	0	0	1.42778e-10	0	0
d3_7	0.0012671	0.000143411	0.000131625	0.000179494	0.000124814	0.00010557	0.00017384	8.77411e-05	0.000153328	7.98113e-05	8.7604e-05	9.09315e-05	7.82554e-05	7.01821e-05	3.80287e-05	5.12282e-05	6.22109e-05	6.6568e-05	5.08204e-05	7.2302e-05	5.98538e-05	3.23744e-05	7.91387e-05	3.54045e-05	5.53579e-05	6.47759e-05	6.0668e-05	3.85894e-05	3.23563e-05	3.22653e-05	3.53229e-05	3.11072e-06	1.07967e-05	2.02688e-05	3.02181e-05	2.48654e-05	2.43723e-05	2.08277e-05	1.82552e-05	2.3474e-05	5.5103e-06	9.39063e-06	3.01097e-06	2.26851e-07	7.81204e-06	5.94489e-06	1.70179e-05	3.74135e-06	8.61872e-06	1.88485e-05	8.08541e-06	1.14505e-07	2.31648e-06	8.28793e-08	2.29214e-06	4.08838e-06	4.86892e-07	2.85385e-06	2.79247e-07	1.39206e-05	3.53257e-06	3.1982e-08	5.23765e-08	2.51276e-08	2.61913e-08	1.98027e-08	2.32921e-08	9.36924e-09	6.1922e-09	9.38229e-09	4.28175e-09	1.51066e-09	1.10422e-08	7.6737e-09	2.06286e-10	4.4364e-10	8.85217e-10	1.30102e-09	8.17566e-11	0	0	0	0
d3_8	0.000991474	0.00014175	0.000140643	0.0001033	0.000122091	0.000137332	9.86135e-05	8.80715e-05	6.86198e-05	0.000109862	7.99996e-05	0.000105978	9.33016e-05	8.22239e-05	9.83526e-05	0.000128106	8.19573e-05	7.08627e-05	6.91874e-05	6.31087e-05	5.44627e-05	9.76865e-05	6.89871e-05	6.37918e-05	4.05336e-05	3.11363e-05	6.05702e-05	7.42202e-05	4.45463e-05	2.4877e-05	2.47604e-05	3.76303e-05	3.67219e-05	1.79103e-05	1.31891e-05	2.56165e-05	7.71843e-06	3.07679e-05	1.70988e-05	4.82852e-07	1.88449e-05	1.1259e-05	1.27052e-05	2.77749e-06	5.09503e-06	8.33385e-06	2.63036e-05	1.66475e-05	1.43152e-07	1.60586e-05	6.72304e-06	5.36768e-06	3.78586e-06	1.93502e-05	2.23002e-06	8.12932e-08	3.50958e-06	6.57939e-06	6.18203e-08	1.96244e-06	3.67339e-08	3.19933e-08	3.30924e-08	4.2658e-08	1.54261e-05	3.63411e-06	2.22547e-08	1.16842e-06	1.33064e-08	2.65443e-06	5.0861e-09	8.43718e-09	4.45675e-09	4.40958e-09	1.16629e-10	9.84912e-10	1.35214e-09	3.10373e-10	0	1.25105e-09	2.12715e-09	0	0
d3_9	0.000873184	0.000113138	0.000122172	0.000105271	6.32522e-05	0.000116519	9.96789e-05	0.000145351	0.000172465	0.000108281	0.000105158	8.42547e-05	5.69248e-05	0.000105486	0.000103234	0.000123825	5.04263e-05	5.4902e-05	7.6269e-05	6.81933e-05	6.77655e-05	7.22911e-05	4.71675e-05	7.8519e-05	3.84615e-05	3.85034e-05	5.84774e-05	1.43512e-05	2.96854e-05	4.15021e-05	3.81873e-05	2.00148e-05	3.46868e-05	5.95162e-06	3.6646e-06	2.21298e-05	3.34627e-05	9.55014e-06	2.11257e-05	1.01078e-05	4.07714e-05	2.13733e-05	2.05453e-05	2.8697e-05	1.35191e-06	2.04158e-05	1.47671e-05	1.87238e-05	3.53749e-06	1.23902e-05	3.00091e-06	5.99639e-06	2.40586e-06	1.02469e-05	9.37153e-08	7.64245e-08	2.26563e-06	5.06615e-06	1.52723e-06	5.53486e-06	5.22897e-06	8.72338e-06	4.17523e-07	5.59659e-06	2.09966e-08	3.00507e-07	2.54453e-08	1.02132e-08	7.4931e-09	1.79098e-08	1.48532e-08	8.70124e-09	1.12322e-08	1.1011e-08	1.68362e-10	4.90389e-11	5.94227e-06	9.59804e-10	2.77145e-10	1.74763e-09	6.04555e-09	0	0
