	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41	d2_42	d2_43	d2_44	d2_45	d2_46	d2_47	d2_48	d2_49	d2_50	d2_51	d2_52	d2_53	d2_54	d2_55	d2_56	d2_57	d2_58	d2_59	d2_60	d2_61	d2_62	d2_63	d2_64	d2_65	d2_66	d2_67	d2_68	d2_69	d2_70	d2_71	d2_72	d2_73	d2_74	d2_75	d2_76	d2_77	d2_78	d2_79	d2_80	d2_81	d2_82
d3_0	0	0.123125	0.0511363	0.0287219	0.0187269	0.0131934	0.00995333	0.00774641	0.00618927	0.00535633	0.00470403	0.0043633	0.00392438	0.00378029	0.00341344	0.00349136	0.00327946	0.0031661	0.00297306	0.00289082	0.0027306	0.00278541	0.00261318	0.00262209	0.00268274	0.00239223	0.00226615	0.00216369	0.00214525	0.0021077	0.00227149	0.0019246	0.0020993	0.00206562	0.00188169	0.00167358	0.00167771	0.00175032	0.00157931	0.00173371	0.00162039	0.00153556	0.00153472	0.00150185	0.0014386	0.00134734	0.00129497	0.00120092	0.00124394	0.00110012	0.00122143	0.000977668	0.00108623	0.00102717	0.00101918	0.00099691	0.000972339	0.000952846	0.000823389	0.00076805	0.000870071	0.000794589	0.000775264	0.000693413	0.000726967	0.000658892	0.000687493	0.00043759	0.00051393	0.000481322	0.000454701	0.000455244	0.000454951	0.000350437	0.000430492	0.000349886	0.000309175	0.000328227	0.000224141	0.000196997	0.000155923	0.000226553	0.000368685
d3_1	0.068547	1.26249e-05	1.8892e-05	2.90559e-07	9.67329e-06	3.73846e-07	2.7199e-05	6.57936e-06	6.55665e-06	6.50574e-06	2.71658e-05	3.34409e-05	1.2677e-05	4.1805e-07	2.09299e-05	2.09446e-05	1.2755e-05	3.74623e-05	4.57316e-05	2.10078e-05	3.13842e-05	2.91645e-05	2.9154e-05	1.90499e-05	3.3381e-05	3.14313e-05	4.37891e-05	1.48907e-05	6.58704e-06	3.54428e-05	2.09532e-05	5.00915e-05	3.74545e-05	2.52859e-05	2.51128e-05	8.48694e-06	1.27392e-05	3.12287e-05	1.90153e-05	4.77291e-05	4.55624e-05	2.49972e-05	2.82177e-05	3.93735e-05	2.81943e-05	1.87638e-05	3.33787e-05	4.14192e-05	3.73515e-05	2.69549e-05	2.91857e-05	3.52368e-05	6.38284e-06	4.23565e-05	1.36329e-05	2.48353e-05	1.26447e-05	6.41679e-06	2.50345e-05	1.45035e-05	3.94641e-05	3.51211e-05	4.35774e-05	1.25551e-05	2.49184e-05	6.37788e-06	4.33504e-05	2.23142e-07	1.45971e-05	1.04435e-05	1.45897e-05	6.22583e-06	5.92626e-08	3.30631e-05	1.85731e-05	8.37643e-06	6.54558e-08	3.63001e-08	1.30309e-07	2.15734e-06	6.15399e-06	3.66874e-08	1.25146e-05
d3_2	0.0290574	6.40084e-06	2.30595e-05	1.26169e-05	1.89547e-05	1.26769e-05	1.27439e-05	2.30666e-05	4.16299e-05	3.32154e-05	3.96678e-05	1.29595e-05	4.7717e-05	1.47417e-05	2.72019e-05	1.47803e-05	3.54465e-05	2.10179e-05	2.10402e-05	3.96252e-05	2.92566e-05	2.50966e-05	8.56714e-06	1.88611e-05	3.03092e-05	6.22072e-05	5.82706e-05	5.61906e-05	2.90768e-05	3.34437e-05	2.71847e-05	1.48686e-05	3.33128e-05	1.28383e-05	2.69551e-05	3.11421e-05	8.59406e-06	2.69142e-05	3.73242e-05	8.36859e-06	2.28253e-05	4.36749e-05	3.94056e-05	2.69515e-05	3.95372e-05	3.95741e-05	8.44344e-06	3.31867e-05	2.91058e-05	4.38495e-06	2.69693e-05	2.10351e-05	3.93739e-05	4.65807e-05	2.69807e-05	1.24818e-05	1.24918e-05	2.47894e-05	2.69067e-05	8.44768e-06	3.71818e-05	1.86695e-05	2.68951e-05	2.68455e-05	1.86762e-05	1.86397e-05	3.30976e-05	2.69368e-05	1.24122e-05	1.45636e-05	1.45003e-05	2.08125e-05	8.33166e-06	6.34685e-06	8.30581e-06	9.99866e-08	6.2307e-06	6.28163e-06	1.24774e-05	1.85712e-05	6.15706e-08	1.85957e-05	1.25753e-05
d3_3	0.0163615	3.53631e-05	2.4641e-06	1.06379e-05	3.16912e-07	4.16702e-07	3.53964e-05	2.57919e-06	3.12952e-05	2.08323e-05	1.26711e-05	4.1564e-05	2.51524e-05	8.79961e-06	2.91799e-05	3.32663e-05	3.27664e-07	2.5431e-05	5.20876e-05	1.2621e-05	7.46265e-05	2.71876e-05	2.80623e-05	3.1279e-05	2.72303e-05	4.3786e-05	8.75778e-06	6.57158e-06	3.3543e-05	3.9482e-05	1.89061e-05	6.60965e-06	3.32696e-05	4.37265e-05	2.51299e-05	3.5403e-05	3.02133e-05	1.89071e-05	2.71378e-05	2.29524e-05	2.2779e-05	3.84431e-05	2.68981e-05	1.25756e-05	1.88621e-05	1.88145e-05	3.33709e-05	3.24462e-05	1.25037e-05	6.62118e-06	1.46149e-05	2.91676e-05	2.08109e-05	1.24499e-05	1.67606e-05	2.89691e-05	2.90319e-05	2.68862e-05	1.25758e-05	6.38928e-06	4.14022e-05	3.51904e-05	4.22963e-05	1.46161e-05	2.68665e-05	3.30648e-05	1.24877e-05	3.27792e-08	2.91108e-05	2.47587e-05	1.8724e-05	2.68431e-05	1.26024e-05	2.48624e-05	1.23949e-05	6.3599e-06	1.86253e-05	8.33021e-06	8.37216e-06	2.87926e-05	1.44633e-05	6.19348e-06	4.76132e-05
d3_4	0.0104014	1.6827e-05	1.46442e-05	6.37827e-06	1.47738e-05	8.62943e-06	2.71343e-05	1.89507e-05	6.54856e-06	6.5675e-06	2.91195e-05	1.47095e-05	6.35668e-06	2.29763e-05	2.72084e-05	2.93815e-05	2.09695e-05	5.60253e-05	1.08288e-05	4.38462e-05	2.26912e-07	8.64247e-06	8.48115e-06	1.894e-05	1.69515e-05	2.49494e-05	2.08547e-05	1.4725e-05	3.53949e-05	2.08084e-05	4.46904e-05	3.31426e-05	3.53156e-05	1.90915e-05	1.46805e-05	3.95611e-05	5.98946e-05	2.07488e-05	3.73788e-05	3.72961e-05	2.68993e-05	6.00433e-05	2.49295e-05	3.54642e-05	1.46867e-05	2.49138e-05	1.87909e-05	2.08294e-05	2.82193e-05	2.29194e-05	2.92989e-05	2.08625e-05	2.09978e-05	2.09253e-05	3.31915e-05	4.33379e-05	1.56757e-05	2.68532e-05	1.05293e-07	3.31756e-05	3.11119e-05	6.36789e-06	1.24845e-05	2.8958e-05	2.27447e-05	6.26895e-06	1.57159e-05	2.19061e-05	1.24737e-05	2.47674e-05	1.24747e-05	2.89883e-05	6.41105e-06	2.07466e-05	1.86147e-05	6.22876e-06	6.38828e-06	3.8871e-08	2.12102e-06	1.86305e-05	6.25121e-06	8.2746e-06	1.86298e-05
d3_5	0.00702872	1.06657e-05	8.47183e-06	1.26969e-05	8.5771e-06	1.48306e-05	2.09537e-05	6.48311e-06	4.55305e-06	8.71913e-06	1.48795e-05	1.89898e-05	4.04233e-07	4.157e-05	5.17943e-05	2.29803e-05	1.46483e-05	2.94463e-05	4.54669e-06	8.57191e-06	2.9202e-05	2.70599e-05	2.91938e-05	2.90778e-05	4.36084e-05	2.72844e-05	1.89424e-05	2.099e-05	1.28155e-05	2.51229e-05	4.78584e-05	3.13209e-05	3.92489e-05	1.28243e-05	4.55545e-05	2.71374e-05	1.26844e-05	5.15947e-05	5.1718e-05	1.24742e-05	2.4962e-05	5.18411e-05	2.50513e-05	1.69077e-05	5.18111e-05	2.93766e-05	2.93384e-05	6.39914e-06	1.8836e-05	4.7702e-05	2.89685e-05	1.47336e-05	2.08845e-05	2.49659e-05	1.254e-05	4.16667e-05	2.09979e-05	4.76741e-05	2.27866e-05	8.34526e-06	2.6902e-05	3.30722e-05	2.51044e-05	1.2519e-05	9.45923e-06	1.86493e-05	3.10811e-05	1.24588e-05	3.09511e-05	1.24462e-05	2.69447e-05	1.44635e-05	4.12016e-05	1.25998e-05	6.36487e-06	6.28625e-06	1.23404e-05	1.2374e-05	1.8613e-05	1.44316e-05	1.44271e-05	8.34318e-10	2.17343e-05
d3_6	0.00491419	3.37104e-07	2.10898e-05	2.27793e-07	2.50615e-05	6.63679e-06	2.30381e-05	1.47866e-05	2.51885e-05	2.69927e-05	8.52082e-06	1.68833e-05	4.26786e-05	2.50961e-05	1.27245e-05	1.05358e-05	1.69318e-05	2.09531e-05	2.1204e-05	1.89755e-05	1.26701e-05	8.78039e-06	4.16794e-05	5.39826e-05	3.52677e-05	2.50544e-05	2.70852e-05	2.31372e-05	1.47407e-05	3.33724e-05	3.9521e-05	6.54419e-06	5.39001e-05	2.70175e-05	1.4697e-05	3.53917e-05	5.59757e-05	3.32003e-05	4.97467e-05	2.08741e-05	3.32113e-05	5.58898e-05	8.67439e-06	1.66126e-05	4.79056e-05	3.86312e-05	3.73305e-05	2.0752e-05	4.36189e-05	4.46543e-05	3.109e-05	3.31833e-05	1.87844e-05	6.40331e-06	3.32677e-05	1.25355e-05	2.09304e-05	1.25503e-05	2.07528e-05	4.13919e-05	2.47272e-05	1.04941e-05	1.25541e-05	6.3579e-06	1.46687e-05	6.19586e-05	3.32884e-05	1.23819e-05	1.87613e-05	6.3703e-06	2.70201e-05	6.3189e-06	1.23758e-05	1.65638e-05	6.26239e-06	1.05827e-07	2.06465e-05	6.2185e-06	1.85334e-05	6.22106e-06	1.24186e-05	2.05796e-05	2.6936e-05
d3_7	0.0035489	2.21987e-05	1.72442e-07	1.27371e-05	3.31862e-07	6.50515e-06	2.09124e-05	1.89802e-05	2.07995e-05	1.48604e-05	1.46478e-05	2.31219e-05	3.12288e-05	1.88486e-05	3.11624e-05	2.81675e-05	2.09772e-05	3.32035e-05	3.55455e-05	3.12184e-05	6.36589e-06	6.57309e-06	2.40267e-05	3.93784e-05	5.39383e-05	2.09899e-05	2.21059e-05	3.75961e-05	1.26265e-05	3.3415e-05	1.47513e-05	2.90643e-05	3.33743e-05	1.48939e-05	3.35588e-06	2.7072e-05	3.74557e-05	3.97416e-05	4.16508e-05	8.83803e-06	2.4915e-05	1.46711e-05	3.11701e-05	1.87979e-05	3.7393e-05	3.51307e-05	2.69187e-05	3.00559e-05	3.16696e-07	6.28043e-06	6.44935e-06	1.66842e-05	3.33913e-05	1.25819e-05	3.93242e-05	2.08549e-05	1.25537e-05	2.08408e-05	1.67189e-05	1.86447e-05	3.92571e-05	3.9255e-05	2.69439e-05	3.92268e-05	1.26403e-05	1.4578e-07	6.38759e-06	2.06459e-05	1.65619e-05	1.25873e-05	2.6816e-05	2.47952e-05	1.86236e-05	2.47101e-05	2.0597e-05	1.03983e-05	2.48126e-05	1.2377e-05	1.45599e-05	6.22017e-06	6.2227e-06	6.599e-08	1.45328e-05
d3_8	0.00258666	3.5544e-07	1.27328e-05	1.485e-05	3.16087e-07	3.53871e-05	1.59483e-05	1.26417e-05	6.47231e-06	2.09048e-05	1.88401e-05	3.52926e-05	6.60581e-06	6.49388e-06	4.78317e-05	2.09212e-05	2.71181e-05	3.33413e-05	8.48108e-06	2.09653e-05	3.12265e-05	1.68488e-05	8.64572e-06	6.67497e-06	2.72708e-05	2.71981e-05	3.5348e-05	2.07934e-05	2.07372e-05	5.80123e-05	3.33863e-05	2.29828e-05	2.73536e-05	1.26697e-05	3.91209e-07	2.92085e-05	4.78126e-05	4.38864e-05	4.13938e-05	3.63999e-05	3.11989e-05	4.76796e-05	1.25694e-05	1.264e-05	1.87855e-05	1.47737e-05	8.54628e-06	1.86618e-05	2.09587e-05	2.92832e-05	6.41131e-06	4.77402e-05	2.29886e-06	2.90158e-05	1.46733e-05	2.72094e-07	1.45898e-05	3.34173e-05	2.29454e-05	3.10685e-05	3.11625e-05	3.91935e-05	3.30045e-05	6.42437e-06	6.42705e-06	2.70331e-05	3.10838e-05	2.07906e-05	1.25225e-05	2.0619e-05	1.46341e-05	8.36323e-06	1.45993e-05	3.71017e-05	1.24455e-05	2.15658e-06	1.23817e-05	8.40825e-06	1.44257e-05	2.89231e-05	2.68749e-05	8.33771e-06	2.68395e-05
d3_9	0.00199045	6.57261e-06	1.48348e-05	1.47138e-05	3.74818e-05	1.47083e-05	3.33308e-05	1.38072e-05	3.33806e-05	2.61855e-05	1.47268e-05	3.33788e-05	2.92651e-05	1.90141e-05	3.74402e-05	3.72133e-07	2.93029e-05	1.24969e-05	3.12152e-05	1.90066e-05	2.52178e-05	3.34722e-05	2.10625e-05	3.53386e-05	3.24398e-05	3.32117e-05	3.96571e-05	3.94398e-05	2.08862e-05	2.10266e-05	4.07038e-05	2.50206e-05	2.08618e-05	1.6762e-05	2.10854e-05	3.01239e-05	4.35426e-05	2.49539e-05	2.49829e-05	2.90575e-05	2.31461e-06	1.27248e-05	3.71604e-05	1.87662e-05	2.29737e-05	1.89117e-05	2.72706e-05	3.74483e-05	2.1019e-05	5.37824e-05	1.46737e-05	3.31886e-05	2.71604e-05	2.07444e-05	2.70045e-05	2.28049e-05	4.14054e-05	2.09212e-05	2.71153e-05	1.47259e-05	2.90597e-05	3.31068e-05	1.47011e-05	1.87701e-05	3.72992e-05	1.75994e-05	3.11329e-05	6.42382e-06	1.25556e-05	6.41344e-06	1.86316e-05	1.87363e-05	2.47483e-05	3.30584e-05	7.47368e-08	6.18863e-06	1.41291e-07	2.07357e-05	6.22571e-06	3.30265e-08	3.10365e-05	1.23411e-05	1.86607e-05
