	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d1_0	0	0.00910259	0.00504529	0.0036461	0.00294479	0.00249495	0.00228984	0.00210296	0.00190398	0.00185959	0.00179885	0.00164101	0.00158548	0.00164079	0.00147912	0.00164023	0.00139733	0.00135314	0.00139316	0.00132137	0.00143867	0.00133452	0.00121139	0.00125086	0.00137166	0.00123167	0.00119069	0.00133111	0.00112412	0.00116087	0.00107411	0.00104547	0.00110852	0.00115017	0.00116498	0.00107847	0.00111814	0.00114503	0.00108061	0.00115799	0.00105159	0.0010328	0.00104887	0.00116163	0.00114726	0.00102525	0.000917178	0.000970734	0.00104976	0.00117045	0.00115415	0.00102058	0.000954346	0.00103101	0.000876467	0.00112924	0.000935753	0.00101369	0.00102222	0.000978478	0.00112136	0.00109226	0.00098578	0.000982087	0.00102673	0.000885449	0.000727056	0.00117902	0.000884523	0.00107496	0.000908274	0.00094775	0.000878034	0.000941558	0.000891108	0.000944593	0.000972087	0.00100717	0.000800583	0.0010621	0.00104338	0.00085154	0.00108002	0.000977681	0.000930372	0.000911847	0.000923426	0.000911254	0.00104652	0.000887848	0.000862077	0.00102812	0.000944212	0.000893059	0.0883793
d1_1	0.102302	2.47405e-05	4.46946e-05	5.5046e-05	3.80523e-05	2.19447e-05	2.85775e-05	3.04824e-05	2.85194e-05	4.7513e-05	3.79994e-05	7.96589e-05	5.12783e-05	3.05136e-05	3.23281e-05	3.05017e-05	3.61142e-05	6.45546e-05	5.31697e-05	3.42515e-05	5.69527e-05	6.06763e-05	7.21093e-05	3.79952e-05	2.47607e-05	3.70625e-05	2.66487e-05	4.75159e-05	3.70635e-05	4.18013e-05	4.74342e-05	3.99572e-05	3.04592e-05	7.02091e-05	4.36677e-05	6.83029e-05	3.04093e-05	4.94086e-05	1.2459e-05	3.61239e-05	3.60962e-05	6.36006e-05	2.28621e-05	6.93175e-05	6.26626e-05	5.50233e-05	5.59553e-05	3.80236e-05	3.4202e-05	6.83347e-05	5.51186e-05	1.90789e-05	3.89379e-05	4.66274e-05	3.80086e-05	6.72823e-05	7.77477e-05	4.17327e-05	4.5538e-05	4.83939e-05	1.33705e-05	3.04076e-05	4.36362e-05	7.7772e-05	4.74377e-05	3.79989e-05	4.74231e-05	4.74955e-05	1.71712e-05	2.28832e-05	3.04406e-05	4.17535e-05	5.88111e-05	3.22691e-05	4.55284e-05	2.37739e-05	4.36375e-05	5.13083e-05	4.36913e-05	4.36817e-05	3.79926e-05	1.90204e-05	3.80038e-05	5.8811e-05	3.892e-05	3.98855e-05	1.71621e-05	3.89446e-05	4.55714e-05	6.82886e-05	4.92821e-05	5.12646e-05	3.79961e-05	3.60919e-05	0.00594743
d1_2	0.046801	2.10429e-05	2.7626e-05	3.23391e-05	3.04424e-05	8.72738e-05	2.09899e-05	4.9397e-05	5.2237e-05	3.04508e-05	3.61268e-05	2.38117e-05	7.7755e-05	3.79853e-05	6.07625e-05	2.09471e-05	7.96415e-05	2.09775e-05	1.9045e-05	1.90589e-05	7.20908e-05	5.69195e-05	2.4714e-05	3.41911e-05	4.3668e-05	2.28322e-05	3.79814e-05	2.18864e-05	4.65163e-05	6.45409e-05	4.55989e-05	3.41993e-05	4.46422e-05	4.37551e-05	5.68805e-05	5.03091e-05	4.55164e-05	3.60877e-05	3.2375e-05	2.66515e-05	2.09678e-05	5.50229e-05	4.181e-05	1.71204e-05	3.32215e-05	3.04235e-05	5.22206e-05	3.99777e-05	4.93689e-05	4.93485e-05	5.31959e-05	3.42139e-05	4.17425e-05	4.74738e-05	6.64097e-05	5.68892e-05	4.36584e-05	2.84782e-05	2.65763e-05	3.41835e-05	3.89682e-05	4.74298e-05	4.17883e-05	4.36454e-05	5.88247e-05	4.74712e-05	3.22974e-05	3.60902e-05	1.71753e-05	5.59388e-05	5.50124e-05	3.98629e-05	3.23e-05	3.80361e-05	4.73934e-05	3.42358e-05	5.5005e-05	3.41622e-05	2.85093e-05	5.68862e-05	5.87763e-05	6.25895e-05	2.47177e-05	5.03163e-05	4.55671e-05	4.36178e-05	4.74709e-05	7.20808e-05	4.93884e-05	3.60528e-05	3.4228e-05	3.04034e-05	4.74938e-05	2.66197e-05	0.00548054
d1_3	0.0285128	1.14395e-05	4.93553e-05	1.52886e-05	5.50032e-05	4.17879e-05	6.26559e-05	3.41761e-05	2.08917e-05	3.04337e-05	1.33768e-05	6.07135e-05	1.71596e-05	3.42202e-05	2.09399e-05	3.0427e-05	4.36637e-05	2.85222e-05	6.82513e-05	4.36457e-05	3.0406e-05	6.25977e-05	3.60746e-05	3.03793e-05	3.41685e-05	5.02686e-05	4.36475e-05	5.31514e-05	3.61159e-05	5.40481e-05	2.46993e-05	3.61112e-05	3.03737e-05	2.85092e-05	2.47292e-05	2.4737e-05	3.60301e-05	3.23622e-05	2.66365e-05	5.59629e-05	4.17914e-05	3.60891e-05	3.61643e-05	1.71409e-05	3.98869e-05	3.70361e-05	2.66234e-05	2.10147e-05	5.40686e-05	3.13723e-05	4.93485e-05	4.27356e-05	3.32652e-05	5.50238e-05	4.54922e-05	5.30778e-05	2.56665e-05	3.22516e-05	3.80094e-05	2.84733e-05	4.74492e-05	5.31139e-05	3.03411e-05	2.4703e-05	2.469e-05	3.79909e-05	3.41333e-05	2.56564e-05	4.46149e-05	3.51807e-05	5.12531e-05	5.87572e-05	4.74311e-05	4.36215e-05	2.28335e-05	2.47074e-05	4.36737e-05	2.28085e-05	4.36154e-05	2.84799e-05	2.47065e-05	2.4722e-05	3.98384e-05	2.2795e-05	2.2787e-05	2.66203e-05	6.44701e-05	3.41732e-05	3.79634e-05	1.71348e-05	3.79534e-05	3.03737e-05	1.33336e-05	5.49837e-05	0.00468355
d1_4	0.0198468	4.74776e-05	1.14216e-05	4.74478e-05	2.85386e-05	4.93221e-05	2.85317e-05	4.36583e-05	3.03809e-05	6.45311e-05	7.64498e-06	4.17096e-05	4.55625e-05	2.28159e-05	1.71042e-05	2.66095e-05	2.28297e-05	3.4167e-05	4.36184e-05	3.22859e-05	2.4733e-05	3.23083e-05	1.33201e-05	5.7825e-06	3.04039e-05	2.27836e-05	2.84928e-05	2.47071e-05	1.90449e-05	3.41945e-05	3.32175e-05	3.60787e-05	2.28009e-05	2.66065e-05	5.78486e-05	2.47386e-05	1.71967e-05	3.41765e-05	3.41971e-05	4.93342e-05	3.60954e-05	2.85209e-05	2.85146e-05	2.55944e-05	1.52002e-05	1.14799e-05	4.64454e-05	2.46836e-05	3.03755e-05	2.66312e-05	4.17571e-05	2.6603e-05	5.11597e-05	4.36737e-05	2.56704e-05	2.65632e-05	1.33057e-05	1.5206e-05	3.41671e-05	5.2135e-05	2.84899e-05	2.84781e-05	9.58815e-06	2.65954e-05	2.28333e-05	3.79582e-05	3.79682e-05	2.47093e-05	1.7118e-05	6.31152e-05	4.55305e-05	3.03679e-05	1.90148e-05	3.22779e-05	5.79666e-06	3.03584e-05	1.13932e-05	2.62069e-05	2.46624e-05	3.22701e-05	2.27866e-05	9.57142e-06	3.70127e-05	1.33491e-05	3.79206e-05	3.03591e-05	1.80971e-05	4.17574e-05	3.60273e-05	2.09179e-05	1.71131e-05	2.84607e-05	4.3586e-05	3.0359e-05	0.00465461
d1_5	0.0146487	2.84781e-05	1.33956e-05	3.7937e-05	1.33421e-05	1.52288e-05	1.90244e-05	2.65815e-05	2.09219e-05	5.31038e-05	5.30999e-05	3.70592e-05	6.64348e-05	3.80414e-05	1.42711e-05	3.60462e-05	3.41262e-05	3.6993e-05	2.84839e-05	3.41744e-05	2.28696e-05	2.46787e-05	1.04849e-07	3.13536e-05	1.32971e-05	2.65859e-05	2.27871e-05	2.65784e-05	4.74298e-05	3.32112e-05	1.3324e-05	5.71416e-06	3.41961e-05	1.90383e-05	7.61886e-06	1.61944e-05	3.13266e-05	3.98127e-05	3.6968e-05	3.79285e-05	5.11745e-05	3.60622e-05	3.22734e-05	1.33779e-05	1.9052e-05	1.89904e-05	2.65907e-05	3.41912e-05	2.66067e-05	3.79346e-05	2.47085e-05	3.79023e-05	4.74599e-05	4.17038e-05	1.71551e-05	3.03946e-05	3.41247e-05	2.47063e-05	1.71425e-05	4.07798e-05	2.27688e-05	3.03828e-05	1.89696e-05	2.46732e-05	3.42262e-05	3.7952e-05	3.79311e-05	1.90373e-05	4.9355e-05	3.97836e-05	1.89871e-05	3.41437e-05	3.03672e-05	4.74101e-05	2.84501e-05	2.28263e-05	3.98205e-05	3.22579e-05	3.03382e-05	1.89984e-05	1.90246e-05	3.60475e-05	1.71361e-05	4.55203e-05	2.8482e-05	2.28039e-05	3.03473e-05	4.36106e-05	2.65908e-05	3.60455e-05	2.46594e-05	3.0375e-05	1.14021e-05	1.89963e-05	0.00385171
d1_6	0.0111646	2.66151e-05	3.23379e-05	9.5741e-06	2.65457e-05	1.52324e-05	3.03402e-05	7.64802e-06	1.89571e-05	1.89925e-05	2.27981e-05	2.47044e-05	1.13892e-05	3.31879e-05	1.89912e-05	3.23443e-05	3.88582e-05	3.793e-05	1.33418e-05	4.54805e-05	1.33251e-05	2.27663e-05	3.41782e-05	2.09568e-05	4.64734e-05	7.61884e-06	1.61708e-05	1.33451e-05	2.84576e-05	3.41216e-05	2.4712e-05	1.14268e-05	1.93073e-06	3.03566e-05	2.56206e-05	1.14077e-05	1.89873e-05	3.41378e-05	2.27817e-05	2.84405e-05	3.69811e-05	5.74707e-06	4.92903e-05	3.41425e-05	1.80589e-05	3.22325e-05	1.14058e-05	4.27065e-05	4.36232e-05	3.03582e-05	1.71381e-05	1.51883e-05	3.03692e-05	4.36304e-05	3.98146e-05	1.52134e-05	1.89584e-05	2.65893e-05	2.65458e-05	1.90192e-05	1.71014e-05	7.61323e-06	2.27759e-05	1.33251e-05	2.27701e-05	2.47029e-05	2.65756e-05	3.41651e-05	3.60377e-05	4.36366e-05	3.03413e-05	3.98126e-05	1.14253e-05	1.14039e-05	1.51938e-05	1.70992e-05	1.33456e-05	2.84518e-05	3.41327e-05	9.54771e-06	2.6546e-05	2.46924e-05	3.69821e-05	1.70993e-05	2.46698e-05	2.46729e-05	1.89482e-05	4.5495e-05	1.14116e-05	1.89901e-05	2.46454e-05	2.84711e-05	1.1416e-05	5.8769e-05	0.00350746
d1_7	0.0087649	2.4697e-05	2.46556e-05	1.71127e-05	2.46677e-05	2.2787e-05	7.68184e-06	7.62577e-06	2.09085e-05	5.50103e-05	2.277e-05	2.46781e-05	2.08769e-05	2.09226e-05	4.45708e-05	3.41668e-05	5.64118e-08	1.51923e-05	4.36716e-05	3.60291e-05	3.03428e-05	7.63592e-06	1.70988e-05	1.89965e-05	4.36078e-05	5.7063e-06	1.89938e-05	8.65677e-06	3.03656e-05	2.46925e-05	7.60338e-06	2.84447e-05	9.53711e-06	1.23639e-05	4.55055e-05	7.65674e-06	2.3731e-05	1.14476e-05	3.98625e-05	5.715e-06	2.28034e-05	1.14307e-05	1.90172e-05	2.27843e-05	2.27741e-05	3.79664e-05	3.032e-05	4.17545e-05	2.37433e-05	7.61039e-06	2.46434e-05	3.60674e-05	2.65784e-05	1.14024e-05	3.31671e-05	3.22657e-05	3.22651e-05	1.71365e-05	2.08535e-05	1.14243e-05	3.13046e-05	6.6675e-06	5.30903e-08	1.89816e-05	1.32847e-05	3.03521e-05	1.89812e-05	1.9304e-06	4.36184e-05	1.89453e-05	1.90288e-05	3.87822e-06	2.27597e-05	1.70789e-05	2.1828e-05	2.46587e-05	1.89806e-05	1.89867e-05	1.52292e-05	1.14214e-05	2.65321e-05	3.51384e-05	3.22515e-05	2.42827e-08	9.49992e-06	2.08562e-05	3.03599e-05	1.71253e-05	4.17142e-05	2.27309e-05	1.71017e-05	3.79292e-05	1.90078e-05	2.84733e-05	0.003397
d1_8	0.00705609	2.46929e-05	2.08891e-05	2.6569e-05	1.32963e-05	2.75248e-05	1.52172e-05	2.08528e-05	3.03507e-05	1.80798e-05	2.08886e-05	3.6023e-05	2.84733e-05	3.03968e-05	5.69207e-06	2.84627e-05	2.8467e-05	2.46684e-05	2.75258e-05	5.77824e-06	2.46572e-05	2.08763e-05	2.08748e-05	9.50883e-06	3.0353e-05	1.4817e-05	1.13965e-05	1.70971e-05	1.70966e-05	2.89891e-06	1.3309e-05	2.08735e-05	1.13676e-05	1.33026e-05	2.37312e-05	4.74076e-05	2.84375e-05	3.41082e-05	3.6002e-05	4.17293e-05	2.27646e-05	7.59911e-06	1.89795e-05	7.6239e-06	2.4693e-05	2.46442e-05	1.89882e-05	3.86547e-06	1.70901e-05	4.17072e-05	3.88895e-05	3.22184e-05	2.84381e-05	2.08841e-05	1.32742e-05	2.27833e-05	2.09407e-05	1.14288e-05	1.14224e-05	2.27961e-05	1.89789e-05	1.33436e-05	1.899e-05	2.08829e-05	9.4987e-06	3.31521e-05	3.83435e-06	2.27836e-05	2.46933e-05	5.71416e-06	5.70298e-06	2.08619e-05	1.33117e-05	4.54772e-05	1.71256e-05	1.89603e-05	5.72926e-06	3.03188e-05	1.89407e-05	1.52018e-05	1.89677e-05	2.27864e-05	3.03376e-05	2.08843e-05	1.71253e-05	7.61689e-06	2.65561e-05	2.08653e-05	7.60682e-06	3.50689e-05	1.51921e-05	2.27379e-05	4.16951e-05	2.09396e-05	0.0029359
d1_9	0.00583858	4.92764e-05	9.5173e-06	1.33265e-05	5.73597e-06	1.89605e-05	7.6468e-06	3.22243e-05	5.73454e-06	3.4125e-05	1.90146e-05	2.27892e-05	5.72586e-06	5.78315e-08	4.92499e-05	2.27924e-05	2.94231e-05	3.13507e-08	1.14077e-05	2.0891e-05	1.89757e-05	1.32783e-05	1.32903e-05	5.75463e-06	7.62856e-06	2.08895e-05	5.71764e-06	5.69724e-06	1.33263e-05	2.65453e-05	9.49908e-06	2.08336e-05	3.41358e-05	7.61516e-06	1.33145e-05	1.13917e-05	3.0393e-05	2.46326e-05	2.27529e-05	1.70708e-05	1.89938e-05	2.27515e-05	2.0876e-05	2.84151e-05	2.37095e-05	1.52037e-05	1.70868e-05	1.32849e-05	4.79078e-08	5.718e-06	1.14165e-05	1.3282e-05	7.61669e-06	1.14465e-05	2.4638e-05	2.08723e-05	5.73437e-06	2.46428e-05	1.33282e-05	2.65607e-05	1.7082e-05	5.30353e-05	1.89587e-05	1.70979e-05	1.52064e-05	5.71245e-06	2.74883e-05	7.64502e-06	1.51599e-05	5.72953e-06	1.33031e-05	1.23343e-05	1.70408e-05	1.92196e-06	1.70844e-05	2.08782e-05	9.48579e-06	1.70489e-05	5.71775e-06	9.51611e-06	1.08684e-08	3.60158e-05	1.13685e-05	7.62771e-06	1.70531e-05	1.70816e-05	1.51749e-05	1.32858e-05	1.33089e-05	5.74995e-06	1.32584e-05	1.32725e-05	2.46688e-05	1.70809e-05	0.00262021
