	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41	d2_42	d2_43	d2_44	d2_45	d2_46	d2_47	d2_48	d2_49	d2_50	d2_51	d2_52	d2_53	d2_54	d2_55	d2_56	d2_57	d2_58	d2_59	d2_60	d2_61	d2_62	d2_63	d2_64	d2_65	d2_66	d2_67	d2_68	d2_69	d2_70	d2_71	d2_72	d2_73	d2_74	d2_75	d2_76	d2_77	d2_78	d2_79	d2_80	d2_81	d2_82
d3_0	0	0.12445	0.0515925	0.0286881	0.0184686	0.0130974	0.00974531	0.0073311	0.00626176	0.0052415	0.00466804	0.00404446	0.00357199	0.00342239	0.00336455	0.00318882	0.00302248	0.0027445	0.00259341	0.00272787	0.00244738	0.00246176	0.00227304	0.00220006	0.00206718	0.00226798	0.00228974	0.00231512	0.00198791	0.00196201	0.00213556	0.00165668	0.00173928	0.00170469	0.00172113	0.00179549	0.00157028	0.00146279	0.00149868	0.00133737	0.00148683	0.00142551	0.00126046	0.00131074	0.00115164	0.00128984	0.00134014	0.00132876	0.00115895	0.000962802	0.00114407	0.000944087	0.000878668	0.000837727	0.000825708	0.000853864	0.000804556	0.000888891	0.000856496	0.000865166	0.000661086	0.000511175	0.000625822	0.000698662	0.000552722	0.000533169	0.000562912	0.000437834	0.000413423	0.000408769	0.000380925	0.000377748	0.000417887	0.00039748	0.000310574	0.000253348	0.000231025	0.000228088	0.000203375	0.00027475	0.000199386	0.000137424	0.000309892
d3_1	0.0691744	6.64415e-06	6.8363e-06	2.36239e-05	1.541e-05	1.50576e-05	1.91004e-05	1.91226e-05	2.7508e-05	9.76268e-06	1.31716e-05	2.95823e-06	3.38349e-05	2.79326e-05	3.10511e-05	4.21368e-05	3.99511e-05	7.50871e-06	2.14818e-05	1.75312e-05	3.621e-05	6.80904e-06	3.41164e-05	6.70698e-06	5.48876e-05	3.63431e-05	6.74445e-05	2.97314e-05	2.77156e-05	2.15823e-05	6.73171e-06	3.39199e-05	1.92576e-05	2.54517e-05	2.12789e-05	6.74804e-05	6.98794e-06	3.16658e-05	1.80891e-05	1.29991e-05	3.79134e-05	6.54458e-06	5.58066e-05	1.50176e-05	3.14862e-05	2.13088e-05	1.95917e-05	2.55465e-05	3.38837e-05	4.19881e-05	2.56062e-05	2.57158e-05	1.47962e-05	4.8712e-05	6.6793e-06	2.5241e-05	6.62476e-06	3.56588e-05	4.3983e-05	2.76767e-05	2.71861e-05	8.7614e-06	4.61784e-05	2.55301e-05	1.88057e-05	4.40996e-05	1.8857e-05	2.95582e-05	1.8967e-05	2.1e-05	6.35376e-08	1.48347e-05	1.26453e-05	1.77382e-07	2.50662e-05	1.67241e-05	1.29373e-07	6.37735e-06	6.26719e-06	1.25929e-05	8.57608e-06	2.6894e-09	3.96707e-05
d3_2	0.0292228	6.56997e-06	6.51213e-06	1.50194e-05	1.50597e-05	2.1306e-05	6.73875e-06	2.1354e-05	2.1476e-05	8.93155e-06	8.99313e-06	2.56044e-05	1.50787e-05	1.2994e-05	2.14741e-05	2.35949e-05	5.91681e-05	1.5347e-05	1.99519e-05	2.98966e-05	5.48862e-05	2.37047e-05	5.27925e-05	4.86394e-05	3.80958e-05	3.18461e-05	1.9329e-05	1.51479e-05	1.50103e-05	5.46198e-05	3.05346e-05	4.43961e-05	4.02079e-05	2.57736e-05	2.74157e-05	3.19475e-05	4.85724e-05	2.15706e-05	5.68523e-05	1.72095e-05	4.63157e-05	1.29919e-05	1.51635e-05	3.35016e-05	2.54372e-05	4.51805e-05	3.40105e-05	3.18899e-05	2.74457e-05	3.16298e-05	1.49188e-05	2.33791e-05	4.60697e-05	3.56156e-05	5.22831e-05	3.71625e-05	4.41622e-05	2.52076e-05	1.71599e-05	2.11255e-05	2.44526e-05	1.27858e-05	3.37045e-05	4.58823e-05	1.49087e-05	2.72405e-05	3.77845e-05	2.96817e-05	6.51808e-06	1.27738e-05	1.48803e-05	2.96149e-05	1.48966e-05	3.97958e-05	6.37834e-06	2.08612e-05	8.33992e-06	5.95359e-08	2.50707e-05	1.26473e-05	6.33472e-06	8.39507e-06	2.2998e-05
d3_3	0.0164925	2.55676e-05	1.49751e-05	5.77015e-07	8.75993e-06	6.91998e-06	1.92389e-05	2.36652e-05	8.97334e-06	3.80409e-05	1.30283e-05	3.65832e-05	1.31333e-05	2.31613e-05	1.29981e-05	1.5123e-05	1.30492e-05	4.64511e-05	2.78075e-05	6.64713e-06	2.96258e-05	4.83898e-05	3.79106e-05	2.35387e-05	2.1713e-05	2.5654e-05	6.14622e-05	3.80286e-05	2.16271e-05	3.16287e-05	2.56213e-05	2.56921e-05	4.02578e-05	2.54056e-05	4.42099e-05	4.43589e-05	5.27292e-05	2.32737e-05	2.75216e-05	2.76417e-05	4.23965e-05	2.55743e-05	3.26896e-05	1.92579e-05	4.02349e-05	1.49256e-05	2.74497e-05	2.02863e-05	2.74707e-05	3.81007e-05	2.11708e-05	1.52186e-05	3.37612e-05	1.50804e-05	1.30065e-05	2.12289e-05	2.74521e-05	4.391e-05	1.28283e-05	1.48434e-05	1.47667e-05	2.11099e-05	1.88612e-05	1.50844e-05	3.15284e-05	1.49146e-05	2.92678e-05	1.89757e-05	6.39358e-06	2.97886e-07	1.81576e-07	1.88626e-05	2.71376e-05	6.93692e-08	1.76588e-07	8.58208e-06	3.37843e-07	2.11589e-05	1.26545e-05	8.62005e-06	1.25867e-05	4.88362e-09	6.04601e-05
d3_4	0.0104589	1.91648e-05	2.13398e-05	2.36498e-05	2.80813e-06	6.73434e-06	2.13894e-05	1.30252e-05	1.92887e-05	2.35623e-05	3.81794e-05	2.76891e-05	2.15424e-05	2.13296e-05	3.41485e-05	1.30482e-05	1.93845e-05	3.60744e-05	3.18303e-05	1.94428e-05	2.62521e-06	4.22609e-05	1.7221e-05	3.18767e-05	2.15125e-05	3.64998e-05	3.96915e-05	3.27872e-05	2.04355e-05	3.01987e-05	2.56423e-05	5.25554e-05	4.86293e-05	5.08649e-05	1.90171e-05	3.18445e-05	8.78383e-06	3.29555e-05	2.76486e-05	1.5296e-05	4.65375e-05	3.08737e-05	2.78129e-05	1.29735e-05	3.15991e-05	1.9054e-05	4.83652e-05	1.9056e-05	2.53875e-05	8.80523e-06	2.57339e-05	2.76682e-05	8.724e-06	5.66365e-05	1.93961e-05	1.91433e-05	2.54159e-05	2.14749e-05	5.24963e-05	2.45567e-07	1.50145e-05	2.94053e-05	1.48981e-05	6.50662e-06	2.55508e-05	2.53768e-05	8.64496e-06	3.36243e-05	1.5132e-05	1.88616e-05	3.00892e-07	2.95567e-05	1.86239e-05	1.70998e-05	2.74316e-05	1.46747e-05	5.40322e-08	2.33336e-07	2.30566e-05	1.25935e-05	6.4741e-08	1.90852e-05	1.89725e-05
d3_5	0.00707445	3.40289e-05	6.66508e-06	1.70417e-05	6.83067e-06	8.84836e-06	1.30084e-05	1.09694e-05	6.98912e-06	4.01533e-05	1.0772e-05	2.56107e-05	2.79654e-05	4.68915e-05	2.24916e-05	2.36896e-05	3.17816e-05	1.09761e-05	5.30077e-05	3.74999e-05	9.01196e-06	3.59542e-05	2.54497e-05	2.13956e-05	1.3254e-05	2.97716e-05	3.43295e-05	2.99386e-05	6.52409e-06	1.94246e-05	1.77851e-05	1.29464e-05	8.80927e-06	1.72299e-05	5.68802e-05	1.31673e-05	2.34505e-05	5.89695e-05	6.09331e-05	4.88238e-05	2.55141e-05	4.76457e-06	3.5982e-05	2.13466e-05	1.94032e-05	3.09252e-05	2.59749e-07	2.32092e-05	8.76111e-06	2.11787e-05	6.51081e-06	1.69819e-05	5.67558e-05	5.25011e-05	3.38102e-05	2.61911e-07	2.73244e-05	3.58438e-05	9.68237e-06	1.28317e-05	9.05009e-06	1.68616e-05	6.57543e-06	4.0136e-05	2.92587e-05	1.28431e-05	2.53886e-05	8.758e-06	1.28764e-05	1.9029e-05	6.32e-06	8.4447e-06	1.25775e-05	1.89177e-05	1.67958e-05	6.32862e-06	6.4456e-06	1.89187e-05	6.31973e-06	1.48386e-05	6.26817e-06	5.80227e-08	1.92133e-05
d3_6	0.00499436	8.9237e-06	1.29324e-05	3.38251e-05	6.94619e-06	1.50001e-05	1.93052e-05	1.93212e-05	1.3381e-05	2.35905e-05	6.61236e-06	1.31349e-05	2.26538e-05	1.30125e-05	1.72959e-05	3.16745e-05	2.56283e-05	4.0037e-05	3.18335e-05	3.6877e-05	2.33783e-05	2.97588e-05	1.54375e-05	1.82989e-05	2.36649e-05	3.20572e-05	1.7102e-05	5.26095e-05	2.9505e-05	4.40362e-05	2.89092e-05	5.67914e-05	6.79727e-06	1.28728e-05	1.31105e-05	1.81159e-05	2.5589e-05	1.94777e-05	6.94657e-06	5.06644e-05	3.41045e-05	1.4683e-05	3.19004e-05	3.78716e-05	3.99253e-05	2.73378e-05	3.63339e-05	4.00292e-05	3.1753e-05	6.45406e-06	5.76897e-05	6.57429e-06	3.74521e-07	2.13058e-05	2.32445e-05	4.67649e-05	3.80858e-05	3.78936e-05	2.08825e-05	2.72719e-05	2.72644e-05	2.11575e-05	2.31295e-05	2.11714e-05	3.35759e-05	1.47808e-05	1.48055e-05	1.28238e-05	2.74424e-05	2.10301e-05	1.27787e-05	2.52457e-05	8.39296e-06	2.11766e-05	6.55191e-06	6.21118e-06	8.56887e-06	2.96757e-07	6.33051e-06	1.27713e-05	6.3257e-06	6.56272e-06	3.99635e-05
d3_7	0.00354322	2.74819e-05	1.29192e-05	1.51584e-05	6.69863e-06	1.0849e-05	1.94771e-05	2.43574e-05	8.82123e-06	1.7257e-05	2.95003e-05	5.25067e-07	2.97185e-05	6.61729e-06	2.87586e-05	4.24179e-05	2.54797e-05	9.10969e-06	8.88301e-06	1.53145e-05	2.34277e-05	2.33751e-05	4.23689e-05	4.02103e-05	2.17717e-05	3.38752e-05	2.15581e-05	6.68171e-06	4.87215e-05	2.35727e-05	1.51723e-05	3.17821e-05	8.29499e-05	6.30523e-05	1.94879e-05	1.49524e-05	3.38206e-05	3.80631e-05	1.74697e-05	3.59727e-05	1.94285e-05	3.61508e-05	8.67003e-06	2.12515e-05	4.24458e-05	2.13941e-05	6.63155e-06	1.49812e-05	6.75365e-06	3.17625e-05	2.75078e-05	3.59058e-05	4.01547e-05	3.41828e-05	2.72734e-05	3.98082e-05	2.76009e-05	2.10552e-05	2.51021e-07	2.94318e-05	2.85309e-05	1.2875e-05	1.48562e-05	2.30162e-05	2.34104e-05	2.50648e-05	2.11715e-05	6.3987e-06	1.46631e-05	6.21342e-08	6.27274e-06	1.89144e-05	6.39831e-06	1.67997e-05	8.62851e-06	1.27166e-05	1.25456e-05	3.35756e-05	6.37545e-06	8.506e-06	2.93778e-05	1.25335e-05	1.47941e-05
d3_8	0.00261871	1.2927e-05	4.77811e-06	1.72849e-05	1.71107e-05	1.32347e-05	1.95495e-05	2.22001e-05	4.22046e-05	3.37537e-05	2.13527e-05	2.55267e-05	2.8298e-05	1.72619e-05	1.52965e-05	4.58601e-07	5.38327e-05	2.98269e-05	2.5578e-05	2.85149e-06	2.7504e-05	3.18619e-05	5.70539e-05	4.01591e-05	8.8362e-06	2.56531e-05	4.02717e-05	8.91458e-06	1.50258e-05	1.94465e-05	2.38115e-05	1.30918e-05	3.28187e-05	2.54931e-05	1.91429e-05	1.92749e-05	1.90782e-05	4.59916e-05	4.45681e-07	3.39574e-05	2.75853e-05	4.00478e-05	1.21181e-05	2.12353e-05	2.9478e-05	3.72159e-05	1.50403e-05	3.40062e-05	2.11874e-05	4.2145e-05	2.75515e-05	2.34404e-05	2.12511e-05	3.573e-05	2.94914e-05	3.14674e-05	3.36915e-05	3.15178e-05	8.87998e-06	1.05975e-05	2.53139e-05	6.68897e-06	4.21043e-05	3.18815e-05	8.46573e-06	1.89753e-05	1.50052e-05	1.4944e-05	3.36451e-05	2.5187e-05	1.46732e-05	6.62653e-06	1.88601e-05	1.78445e-07	2.36513e-07	2.95962e-07	1.25376e-05	8.44328e-06	6.50796e-06	6.38939e-06	6.27022e-06	6.43903e-06	8.40769e-06
d3_9	0.00196025	6.71817e-06	2.15102e-05	2.55666e-05	8.89523e-06	1.28489e-05	6.59947e-06	1.53024e-05	4.00139e-05	1.28286e-05	1.27878e-05	5.25775e-07	1.92046e-05	2.77229e-05	2.36554e-05	3.60003e-05	4.07434e-05	2.1454e-05	8.74468e-06	4.01639e-05	1.31054e-05	3.37174e-05	4.20404e-05	3.72372e-05	9.61038e-07	3.59467e-05	1.63545e-05	1.53609e-05	6.7941e-06	6.90388e-06	1.94532e-05	1.50241e-05	6.83398e-06	2.78323e-05	5.14999e-05	2.75794e-05	4.62879e-05	1.91889e-05	3.78736e-05	3.38551e-05	2.55642e-05	3.38547e-05	2.74624e-05	4.83444e-05	3.60166e-05	4.95521e-05	3.79806e-05	1.50551e-05	4.00669e-05	6.70833e-06	4.62581e-05	6.62456e-07	3.20495e-05	6.47388e-06	2.5439e-05	2.47159e-07	5.04264e-05	4.4109e-05	3.35487e-05	2.73106e-05	1.25642e-05	1.49544e-05	3.64085e-06	1.2881e-05	6.62206e-06	2.94805e-05	1.50161e-05	6.39448e-06	2.31165e-05	2.36335e-06	4.8304e-05	6.60516e-06	4.25878e-09	3.35837e-05	6.38746e-06	8.51175e-06	1.25864e-05	6.41074e-08	2.18585e-06	2.70762e-05	1.30358e-07	1.25938e-05	2.53526e-05
