	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62	d1_63	d1_64	d1_65	d1_66	d1_67	d1_68	d1_69	d1_70	d1_71	d1_72	d1_73	d1_74	d1_75	d1_76	d1_77	d1_78	d1_79	d1_80	d1_81	d1_82	d1_83	d1_84	d1_85	d1_86	d1_87	d1_88	d1_89	d1_90	d1_91	d1_92	d1_93	d1_94	d1_95	d1_96	d1_97	d1_98
d3_0	0	0.120886	0.0596825	0.0392075	0.027973	0.0221994	0.0169826	0.0144893	0.0123885	0.0101048	0.00832552	0.0069418	0.00589214	0.00514601	0.00450063	0.003895	0.0031957	0.00281834	0.00243122	0.00237367	0.0017901	0.00150664	0.00130655	0.00124701	0.00112031	0.00081414	0.000793127	0.000709218	0.000454167	0.000457533	0.000381151	0.000362561	0.000370841	0.000227689	0.000190267	0.0002706	0.000141141	0.000179415	0.000121171	9.09712e-05	9.49788e-05	9.76629e-05	0.000146561	4.85328e-05	3.77851e-05	2.76084e-05	4.38738e-05	6.44513e-05	6.62266e-05	3.06128e-07	2.69667e-05	3.92928e-05	1.24732e-05	1.24316e-05	1.24459e-05	2.48092e-05	1.24234e-05	6.25654e-06	6.239e-06	6.25264e-06	1.23906e-05	1.54821e-05	4.57893e-08	2.82766e-08	1.63484e-08	6.19108e-06	9.02877e-09	6.1842e-06	1.44234e-05	7.49135e-09	2.06663e-06	2.06461e-06	2.86127e-09	6.1784e-06	3.71329e-10	2.79057e-09	8.23485e-06	2.71876e-09	1.53873e-10	2.5643e-09	1.41517e-08	6.1712e-06	2.3966e-11	8.95028e-12	1.06628e-10	0	0	2.34353e-11	4.39541e-11	0	0	0	0	0	0	0	0	0	0
d3_1	0.0689143	7.67268e-05	3.54691e-05	4.79206e-05	6.03089e-05	5.40048e-05	6.94642e-05	2.50996e-05	2.82624e-05	8.61791e-06	2.71197e-05	6.11844e-05	2.70664e-05	2.70624e-05	2.91246e-05	6.01e-05	5.7953e-05	7.44489e-05	4.76045e-05	5.68292e-05	3.7339e-05	5.16985e-05	2.4891e-05	2.18374e-05	2.69747e-05	1.25208e-05	5.16816e-05	3.72685e-05	2.07165e-05	9.42785e-06	1.45327e-05	2.90393e-05	1.97206e-05	1.6627e-05	1.86436e-05	2.89611e-05	1.86634e-05	4.3326e-05	1.86247e-05	1.14215e-05	1.24043e-05	3.71242e-05	1.23981e-05	8.28059e-06	1.24368e-05	6.25284e-06	6.8066e-08	3.71609e-05	1.24134e-05	1.23923e-05	6.19462e-06	1.2431e-05	3.04113e-08	3.50132e-08	2.09832e-08	8.23528e-06	2.9991e-08	2.16777e-09	2.75817e-08	6.17681e-06	9.56406e-09	1.27043e-08	6.20632e-06	1.78241e-09	7.58007e-09	8.1836e-09	2.92279e-08	1.53137e-08	3.7683e-08	9.75849e-09	8.24238e-06	6.19012e-06	1.56621e-08	3.63955e-10	7.17687e-09	3.32801e-09	4.49229e-10	8.23486e-06	7.32408e-09	1.24995e-10	6.18587e-06	6.5123e-09	0	6.17845e-06	2.98254e-10	4.72383e-11	0	2.36355e-11	0	0	1.31127e-09	0	2.7681e-11	0	0	0	0	0	0
d3_2	0.0292929	3.54165e-05	4.61263e-06	4.15989e-05	5.60435e-05	6.01646e-05	4.98554e-05	7.88042e-05	3.33343e-05	4.98173e-05	3.11707e-05	2.09721e-05	4.97809e-05	3.95262e-05	7.04129e-05	3.7359e-05	3.73319e-05	3.8356e-05	3.32217e-05	2.7039e-05	1.46161e-05	1.67182e-05	4.55308e-05	2.0813e-05	3.31653e-05	3.10608e-05	1.66211e-05	3.92389e-05	2.07795e-05	3.30992e-05	1.24748e-05	2.28078e-05	6.28998e-06	2.48782e-05	3.51114e-05	1.34751e-07	1.6577e-05	2.48268e-05	1.65771e-05	2.69129e-05	6.22768e-06	1.13157e-06	6.25583e-06	1.85806e-05	8.27298e-06	1.24141e-05	6.25281e-06	1.24194e-05	2.10467e-06	2.11755e-06	1.65369e-05	2.06515e-05	6.21826e-06	6.21942e-06	1.23659e-05	1.97327e-08	1.44424e-05	1.23797e-05	1.23721e-05	2.06486e-05	6.19143e-06	2.05989e-05	6.19909e-06	5.04543e-09	4.41866e-09	6.18726e-06	6.18732e-06	2.77896e-10	1.68025e-09	3.67448e-09	6.20376e-06	7.78282e-09	2.52599e-10	6.16906e-06	1.17405e-08	3.1178e-10	2.84707e-09	7.07402e-09	1.03453e-08	1.34111e-08	2.70352e-10	2.59111e-11	1.46387e-10	6.18495e-06	2.82679e-09	9.92923e-10	1.96799e-11	0	1.3144e-11	7.1242e-09	1.18475e-10	0	0	0	0	2.71385e-11	0	0	0
d3_3	0.0166665	4.5677e-05	2.72471e-05	7.04695e-05	4.78982e-05	1.88752e-05	8.69089e-05	4.56871e-05	7.251e-05	4.98119e-05	4.15414e-05	6.82505e-05	5.79973e-05	4.35634e-05	6.41816e-05	4.55655e-05	4.76121e-05	1.04677e-05	2.90431e-05	1.87907e-05	2.69724e-05	3.93646e-05	5.7884e-05	3.11031e-05	2.48888e-05	2.49219e-05	2.89924e-05	2.48607e-05	4.33895e-05	3.93757e-05	4.5501e-05	1.45531e-05	6.30187e-06	3.30886e-05	1.44817e-05	4.33691e-05	3.51438e-05	8.33718e-06	2.15135e-06	1.45321e-05	1.11778e-07	1.45091e-05	1.44837e-05	6.24154e-06	6.22777e-06	6.24698e-06	1.44634e-05	5.47813e-08	1.85678e-05	5.2451e-08	1.86115e-05	6.23447e-06	6.22388e-06	5.73871e-08	3.2538e-08	1.23726e-05	8.37056e-09	6.20198e-06	6.20731e-06	8.24705e-06	1.79272e-08	2.53458e-08	6.18871e-06	2.92517e-08	2.24586e-08	8.25928e-06	8.49269e-10	1.20996e-08	9.27351e-06	6.1805e-06	3.99601e-09	2.43298e-08	1.94748e-08	1.70687e-10	3.48794e-10	2.07699e-06	2.99775e-10	2.71667e-09	3.81817e-09	1.0952e-10	6.1848e-06	1.71969e-09	2.06192e-10	8.43603e-11	0	1.0364e-10	2.55294e-10	0	1.88188e-10	0	9.66276e-09	8.41328e-11	0	1.94807e-11	0	0	0	0	0
d3_4	0.0105047	5.19094e-05	4.5724e-05	5.80766e-05	4.56121e-05	5.81931e-05	6.22058e-05	8.48792e-05	3.94306e-05	5.59714e-05	4.66321e-05	2.91687e-05	4.87869e-05	3.52639e-05	2.50126e-05	2.70668e-05	2.91164e-05	2.70748e-05	5.79896e-05	5.17377e-05	2.91002e-05	4.75618e-05	1.05277e-05	6.4033e-06	2.49393e-05	2.16058e-07	3.10748e-05	1.87511e-05	1.46428e-05	3.20828e-05	1.8662e-05	3.30797e-05	2.89162e-05	4.3382e-05	3.30661e-05	2.99619e-05	1.86915e-05	3.50818e-05	2.27987e-05	2.6859e-05	3.92769e-05	1.24172e-05	2.06587e-05	6.24531e-06	1.03317e-05	6.27141e-06	1.23946e-05	6.25175e-06	6.24571e-06	6.23195e-06	8.29738e-06	1.2434e-05	2.26732e-05	1.85892e-05	1.85805e-05	4.36323e-08	6.19423e-06	1.8976e-08	3.40015e-08	2.08708e-06	6.21094e-06	6.22363e-06	1.23599e-05	9.30345e-09	8.26171e-06	2.23063e-08	1.7365e-08	6.85985e-09	6.18834e-06	1.09363e-08	6.18686e-06	1.26675e-08	8.72143e-09	6.1802e-06	6.20079e-06	6.19203e-06	2.078e-06	1.60704e-08	9.3917e-09	2.78208e-09	1.70684e-09	3.78898e-09	6.18004e-06	4.88111e-09	6.18501e-06	1.07322e-11	1.76279e-09	8.23399e-06	6.18323e-06	9.95871e-12	5.23203e-09	7.44634e-12	7.71009e-12	0	0	0	0	0	0
d3_5	0.00717556	2.098e-05	3.95444e-05	1.47872e-05	2.71933e-05	5.60306e-05	4.78135e-05	4.77285e-05	6.01705e-05	4.9773e-05	7.03089e-05	6.21493e-05	3.11949e-05	4.98123e-05	5.89283e-05	7.34044e-05	1.88157e-05	5.17882e-05	3.3176e-05	3.11355e-05	3.73266e-05	3.93606e-05	3.11028e-05	3.72817e-05	4.95984e-05	1.87172e-05	5.37751e-05	3.92585e-05	2.07426e-05	2.69567e-05	1.86587e-05	1.45479e-05	2.18015e-05	1.45622e-05	3.9275e-05	3.10376e-05	1.04585e-05	2.68816e-05	1.6587e-05	6.31524e-06	1.24409e-05	3.0974e-05	2.38086e-05	1.24784e-05	1.23901e-05	1.85906e-05	1.8603e-05	6.2214e-06	8.3361e-06	1.24032e-05	8.32566e-06	6.21766e-06	1.85611e-05	2.47514e-08	6.23824e-06	2.06415e-05	8.25755e-06	6.20811e-06	6.20204e-06	5.38872e-08	3.52274e-08	5.62141e-09	6.21181e-06	1.03336e-05	6.20018e-06	2.06157e-05	1.43916e-08	1.61491e-08	6.19387e-06	1.64372e-08	3.89455e-08	1.02833e-08	6.17935e-06	7.76124e-09	6.18619e-06	5.2489e-10	6.17242e-06	6.18406e-06	8.27216e-11	1.47003e-08	7.41958e-09	2.229e-08	9.59907e-09	8.23017e-06	8.74697e-11	2.23474e-09	6.1828e-06	0	7.79323e-11	4.62867e-11	5.32275e-11	0	0	2.62048e-11	0	0	0	0	9.89011e-09
d3_6	0.00500202	4.36647e-05	6.64174e-05	4.15133e-05	4.35654e-05	5.90682e-05	4.97345e-05	5.18236e-05	5.594e-05	3.1281e-05	2.19526e-05	2.19202e-05	1.26678e-05	2.29153e-05	2.08941e-05	5.17581e-05	6.62044e-05	6.40939e-05	3.32741e-05	4.14579e-05	3.94602e-05	6.40878e-05	2.70197e-05	2.08809e-05	2.70111e-05	4.14086e-05	3.93856e-05	3.72488e-05	1.45689e-05	2.27866e-05	2.27727e-05	1.7292e-07	2.8974e-05	2.07855e-05	4.54815e-05	2.07503e-05	1.45698e-05	1.66686e-05	4.74802e-05	6.27383e-06	1.86481e-05	1.86649e-05	2.14372e-06	3.71879e-05	1.44967e-05	3.09844e-05	1.45011e-05	6.23909e-06	1.24402e-05	8.3209e-06	6.24562e-06	2.15459e-08	8.32691e-06	8.30855e-06	1.85957e-05	1.24265e-05	3.16471e-08	6.20152e-06	6.22443e-06	3.35039e-08	1.24085e-05	2.17661e-08	6.21889e-06	5.2612e-08	1.31795e-08	6.32895e-09	6.20503e-06	4.13617e-09	6.19321e-06	6.17704e-06	8.24477e-06	9.38425e-09	2.08442e-06	1.00041e-08	4.26049e-09	6.68925e-09	2.42427e-09	2.78459e-09	6.18741e-06	1.30118e-09	1.0905e-08	2.17954e-10	2.33206e-09	1.02022e-10	7.95161e-09	1.18758e-09	8.81955e-11	3.58002e-11	5.08509e-09	1.50923e-10	0	1.04735e-08	0	7.23047e-10	0	0	3.40503e-11	0	1.60218e-09
d3_7	0.00361145	3.73919e-05	3.33696e-05	5.39244e-05	4.97497e-05	8.58513e-06	2.92718e-05	3.74174e-05	3.73557e-05	6.00609e-05	7.85947e-05	1.67678e-05	3.74214e-05	7.02709e-05	5.37955e-05	1.47006e-05	2.91587e-05	2.91257e-05	4.04116e-05	4.97341e-05	3.31729e-05	1.25781e-05	6.20299e-05	6.34582e-06	6.61635e-05	4.9697e-05	6.35993e-06	1.26147e-05	8.42431e-06	1.66621e-05	6.39758e-05	1.86569e-05	2.48803e-05	1.25396e-05	4.75692e-05	2.69036e-05	8.37141e-06	6.29769e-06	1.24549e-05	3.41087e-05	8.36405e-06	1.86229e-05	2.06594e-05	1.45447e-05	1.85913e-05	9.54585e-08	1.04122e-05	3.91708e-05	1.65774e-05	2.27292e-05	1.24258e-05	1.65535e-05	6.49944e-08	1.24056e-05	1.8566e-05	1.2416e-05	4.73433e-08	1.24172e-05	6.24502e-06	6.22312e-06	2.45236e-08	2.06533e-05	2.65734e-08	6.20858e-06	1.47154e-08	2.8646e-08	6.20995e-06	4.51277e-09	1.2375e-05	1.51506e-08	9.46493e-09	1.44241e-05	1.48898e-10	9.71521e-09	2.08518e-06	6.19436e-06	5.20038e-09	1.23457e-05	6.18529e-06	4.81237e-09	1.66609e-08	8.87331e-10	1.51159e-09	0	5.03132e-11	6.21125e-06	8.12667e-09	7.67182e-09	1.67781e-11	2.59267e-09	0	0	1.82064e-09	2.78782e-09	1.46306e-12	0	0	0	0
d3_8	0.00266377	2.81273e-05	2.71082e-05	1.67466e-05	1.88087e-05	2.70682e-05	5.18743e-05	5.58815e-05	3.53018e-05	6.00695e-05	2.90998e-05	5.17684e-05	3.31677e-05	2.08461e-05	2.29983e-05	3.72949e-05	3.11827e-05	4.66984e-05	1.87535e-05	2.70497e-05	6.37595e-06	6.20711e-05	2.703e-05	2.70171e-05	3.7199e-05	3.5207e-05	1.25512e-05	6.38295e-06	2.69838e-05	3.10585e-05	4.75608e-05	3.31472e-05	5.16913e-05	3.52318e-05	1.66025e-05	1.24605e-05	2.28509e-05	1.25218e-05	2.4817e-05	3.92571e-05	1.86939e-05	2.07091e-05	3.6119e-05	2.07081e-05	2.07031e-05	3.09581e-05	1.86409e-05	1.2453e-05	4.32799e-05	1.03677e-05	8.29128e-06	1.33673e-07	1.44539e-05	1.85842e-05	1.24019e-05	2.88894e-05	1.23999e-05	6.18725e-06	8.24915e-06	1.85601e-05	1.44502e-05	8.2603e-06	6.21669e-06	1.44543e-05	8.26189e-06	6.19765e-06	6.18891e-06	1.23939e-05	6.20496e-06	2.53764e-08	3.23138e-08	6.20307e-06	2.09083e-06	1.0689e-08	4.74184e-09	1.23441e-05	6.07791e-09	6.17132e-06	6.17565e-06	3.31334e-09	1.81637e-08	9.32814e-10	8.25022e-06	1.23477e-05	8.24224e-06	8.10064e-09	2.88214e-09	1.18619e-10	1.46398e-10	2.53142e-09	8.34085e-11	4.801e-10	0	6.95045e-10	0	6.05016e-10	0	0	0
d3_9	0.00199569	2.09279e-05	4.34809e-05	3.32482e-05	4.35532e-05	1.88274e-05	2.70746e-05	2.29447e-05	5.38868e-05	4.76473e-05	3.94234e-05	2.9074e-05	1.26437e-05	5.17506e-05	6.00624e-05	2.09069e-05	2.80995e-05	3.32213e-05	2.70428e-05	2.49673e-05	6.37756e-06	3.63406e-05	2.69787e-05	5.58575e-05	3.31563e-05	3.32109e-05	3.31644e-06	2.28377e-05	3.72294e-05	1.8715e-05	2.69817e-05	2.07373e-05	1.86989e-05	3.92253e-05	3.31375e-05	5.16291e-05	2.07645e-05	4.03189e-05	1.86795e-05	1.26141e-05	8.38241e-06	6.30001e-06	1.86329e-05	1.86325e-05	2.07422e-05	3.50831e-05	1.45267e-05	2.47913e-05	4.54087e-05	6.84821e-08	7.2857e-06	8.29323e-06	6.23891e-06	1.23992e-05	2.27449e-05	6.24967e-06	2.06826e-05	8.28574e-06	1.86005e-05	8.28877e-06	6.6106e-08	6.22588e-06	1.44785e-05	6.20602e-06	1.44581e-05	6.20017e-06	1.44575e-05	1.856e-05	6.21239e-06	4.25929e-08	1.85333e-05	6.69249e-09	3.47805e-09	6.21425e-06	2.08212e-06	6.19837e-06	1.06533e-08	6.17127e-06	1.26625e-08	1.23797e-05	1.55615e-08	1.84649e-10	8.97065e-11	5.30697e-09	2.33033e-09	1.50553e-09	4.3687e-11	2.93598e-11	1.52696e-10	3.85444e-09	8.00095e-09	1.33213e-10	1.02661e-09	0	0	3.37361e-09	0	0	6.23305e-12
