	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62	d1_63	d1_64	d1_65	d1_66	d1_67	d1_68	d1_69	d1_70	d1_71	d1_72	d1_73	d1_74	d1_75	d1_76	d1_77	d1_78	d1_79	d1_80	d1_81	d1_82	d1_83	d1_84	d1_85	d1_86	d1_87	d1_88	d1_89	d1_90	d1_91	d1_92	d1_93	d1_94	d1_95	d1_96	d1_97	d1_98
d2_0	0	0.0996208	0.0477147	0.0303344	0.0218898	0.0165739	0.0125037	0.0102511	0.0083941	0.00682808	0.00606586	0.00491337	0.00403379	0.00346241	0.00286818	0.00258776	0.00205475	0.00176015	0.00164985	0.00150054	0.00118136	0.00102218	0.000826767	0.00074972	0.000677619	0.000546814	0.000433014	0.000371244	0.000328837	0.00030705	0.000236958	0.000198091	0.00013923	0.000172723	0.000171857	0.000113209	9.99135e-05	9.42736e-05	7.74626e-05	4.91714e-05	6.95784e-05	6.03909e-05	3.35724e-05	4.57427e-05	3.48219e-05	5.15012e-05	2.05907e-05	1.34687e-05	4.41574e-05	3.96244e-05	2.035e-05	1.84586e-05	3.42506e-05	1.40148e-05	1.49626e-05	3.24676e-05	1.6616e-05	1.82828e-05	5.34561e-05	2.00747e-05	5.92383e-06	1.29184e-05	1.30093e-05	1.64942e-05	1.29641e-05	1.47527e-05	3.0565e-05	3.04808e-05	1.65161e-05	5.88384e-06	7.61804e-06	1.64168e-05	1.28449e-05	1.81612e-05	1.29477e-05	1.63901e-05	2.1648e-05	1.10947e-05	1.64973e-05	5.98118e-06	3.92599e-05	5.86677e-06	1.28391e-05	1.11808e-05	7.65848e-06	2.70344e-05	1.99684e-05	1.81544e-05	1.29715e-05	7.67521e-06	3.93969e-05	2.87716e-05	1.29227e-05	1.12913e-05	7.71727e-06	2.35901e-05	1.30247e-05	1.12626e-05	0.000167665
d2_1	0.104046	0.000116213	0.000100375	0.000121432	7.57945e-05	5.99432e-05	6.51907e-05	3.53484e-05	5.28753e-05	5.28523e-05	7.04481e-05	2.1223e-05	4.40886e-05	5.46161e-05	3.17984e-05	4.40523e-05	1.59216e-05	1.94573e-05	1.77033e-05	7.18439e-06	5.41434e-06	2.12387e-05	1.597e-05	5.44284e-06	1.76752e-05	1.35836e-07	1.59092e-05	1.38037e-07	1.06682e-05	5.42468e-06	1.24456e-05	1.59587e-05	1.11574e-07	1.24712e-05	1.06894e-05	1.59309e-05	1.24069e-05	1.06704e-05	9.15e-08	1.24025e-05	1.17107e-07	5.39604e-06	1.15501e-07	1.06311e-05	1.38152e-07	5.41886e-06	5.40041e-06	5.38355e-06	5.38742e-06	1.76957e-05	5.38512e-06	1.24173e-05	1.24201e-05	7.14052e-06	5.36017e-06	1.27141e-07	9.21682e-08	9.19369e-08	5.40226e-06	5.36874e-06	7.1139e-06	1.76835e-05	7.14536e-06	1.24897e-07	1.17235e-07	8.37592e-08	7.15125e-06	5.33328e-06	9.60648e-08	7.13654e-06	5.34806e-06	1.77405e-05	9.77355e-08	1.76715e-05	7.9761e-06	1.06297e-05	1.06333e-05	5.394e-06	5.3871e-06	1.76664e-05	5.36051e-06	5.34513e-06	5.98491e-08	5.36878e-06	5.41224e-06	5.35657e-06	1.20067e-07	1.24272e-05	5.3683e-06	5.39549e-06	1.04937e-07	1.61939e-07	1.54653e-07	1.76986e-05	1.24289e-05	1.59688e-05	1.06993e-05	1.24418e-05	8.1789e-05
d2_2	0.0425036	0.000103882	7.75639e-05	8.62909e-05	6.87539e-05	5.98871e-05	5.99635e-05	4.22989e-05	5.64732e-05	6.51332e-05	4.05407e-05	5.55114e-05	5.28393e-05	4.76112e-05	3.5322e-05	4.05204e-05	5.46604e-06	1.59712e-05	5.38957e-06	1.06625e-05	1.59202e-05	7.15798e-06	1.76677e-05	1.06752e-05	5.3883e-06	2.12371e-05	5.43389e-06	1.59654e-05	1.06833e-05	5.38041e-06	1.45342e-07	5.33655e-06	5.40904e-06	7.17291e-06	1.02098e-07	5.4134e-06	5.36415e-06	5.39391e-06	1.06629e-05	1.06646e-05	7.15924e-06	1.51304e-07	7.16106e-06	7.18805e-06	5.36616e-06	7.13735e-06	6.27337e-06	1.14026e-07	7.16327e-06	1.03377e-07	7.13076e-06	1.85427e-06	1.231e-07	1.23785e-05	1.24258e-05	5.38851e-06	7.15839e-06	7.75172e-08	7.28043e-08	1.83516e-06	1.24424e-07	5.34241e-06	1.06448e-05	5.33601e-06	1.91265e-06	5.34823e-06	1.24968e-05	1.23785e-05	5.43154e-06	7.01013e-08	1.15806e-07	8.90644e-06	2.1185e-05	5.388e-06	7.70559e-08	8.60148e-08	5.36915e-06	7.13318e-06	1.16179e-07	5.38272e-06	8.36266e-08	5.36958e-06	5.39776e-06	1.02499e-07	5.34529e-06	8.8813e-06	1.89668e-06	1.15174e-07	1.77435e-05	1.06548e-05	1.2415e-05	1.85272e-06	5.40251e-06	1.59647e-05	2.12608e-05	2.12448e-05	2.12063e-05	7.19988e-06	0.00010119
d2_3	0.0235565	0.000111746	8.27027e-05	8.36098e-05	5.82215e-05	8.4525e-05	7.74721e-05	5.11571e-05	6.60276e-05	5.81335e-05	7.21789e-05	3.87568e-05	2.82296e-05	2.29995e-05	4.84717e-05	4.58222e-05	1.06502e-05	2.55977e-05	1.5934e-05	1.4189e-05	5.47753e-06	1.2429e-05	7.14831e-06	5.42489e-06	1.32947e-07	1.06732e-05	7.1978e-06	1.24577e-05	5.38246e-06	1.06543e-05	1.15647e-05	7.13207e-06	5.42062e-06	1.06583e-07	5.43145e-06	1.59087e-05	1.0705e-05	7.16736e-06	1.06751e-05	8.9086e-06	1.11401e-07	1.23924e-05	1.52779e-07	5.38215e-06	1.35645e-07	1.10965e-07	1.38944e-07	1.24177e-05	1.12197e-07	1.23947e-07	2.47949e-05	5.39815e-06	7.15716e-06	5.35709e-06	1.59493e-05	1.06465e-05	1.06704e-05	1.32709e-05	5.3748e-06	9.63822e-08	2.46858e-05	5.41745e-06	7.1564e-06	8.89373e-06	1.88688e-06	7.11694e-06	1.56898e-07	1.06522e-05	1.0663e-05	1.25359e-07	5.36001e-06	5.36795e-06	1.16483e-07	6.41319e-08	1.06194e-05	8.40284e-08	1.59089e-05	5.40792e-06	8.28903e-08	1.0638e-05	1.02062e-07	7.9762e-06	1.24736e-07	1.23897e-05	5.35742e-06	7.11818e-06	5.36807e-06	1.86965e-06	5.38175e-06	1.37352e-07	1.59321e-05	7.20325e-06	1.35511e-07	5.41982e-06	1.45451e-07	7.227e-06	1.8765e-06	1.59659e-05	9.31669e-05
d2_4	0.014832	0.000140785	0.000112662	7.2169e-05	9.32905e-05	8.18717e-05	5.11654e-05	4.0636e-05	3.35813e-05	5.2829e-05	8.45405e-05	4.41012e-05	3.2696e-05	5.98694e-05	3.70313e-05	2.11816e-05	1.85725e-05	2.2996e-05	4.76019e-05	2.29765e-05	2.12216e-05	1.59736e-05	2.12307e-05	7.13874e-06	1.59706e-05	2.29543e-05	1.06542e-05	5.38056e-06	5.36676e-06	1.06455e-05	1.03916e-07	1.59469e-05	1.91687e-06	5.39308e-06	1.24488e-05	8.94779e-06	1.77002e-05	1.90961e-06	8.90524e-06	1.06343e-05	5.40304e-06	1.59362e-05	1.7731e-05	1.56285e-05	5.41229e-06	5.42989e-06	1.37594e-07	1.77601e-05	1.59312e-05	5.35372e-06	1.88779e-06	1.05787e-07	5.41353e-06	1.19463e-07	7.09621e-06	5.38941e-06	9.45074e-08	5.366e-06	1.23924e-05	5.37283e-06	5.3549e-06	1.14765e-07	5.36641e-06	4.48755e-06	1.76675e-05	7.10617e-06	1.85497e-06	5.38589e-06	7.16346e-06	8.67577e-08	5.3594e-06	1.77004e-05	1.24566e-05	1.22678e-07	5.0555e-08	7.14896e-06	2.12242e-05	5.35348e-06	5.39187e-06	1.06297e-05	5.37777e-06	8.01278e-06	7.1864e-06	1.06665e-05	5.38768e-06	1.24333e-07	8.92385e-06	5.38938e-06	2.12092e-05	5.41901e-06	5.39055e-06	1.24369e-05	1.06395e-05	7.22223e-06	5.44957e-06	7.19667e-06	7.21345e-06	5.46263e-06	0.000118837
d2_5	0.0100031	9.15819e-05	8.10265e-05	9.68121e-05	6.35065e-05	7.04597e-05	6.69081e-05	3.18018e-05	1.95197e-05	6.86432e-05	3.70988e-05	2.2995e-05	3.52771e-05	4.94017e-05	1.24375e-05	4.2335e-05	3.70253e-05	1.06791e-05	1.77152e-05	2.03292e-05	1.89024e-06	3.00046e-05	3.65535e-06	1.07449e-07	1.77207e-05	2.65052e-05	1.76923e-05	2.30181e-05	1.24161e-05	1.06885e-05	1.64395e-07	1.59382e-05	7.09932e-06	8.9367e-06	1.06332e-05	2.4738e-05	1.24411e-05	1.68277e-05	7.13228e-06	1.41722e-05	2.1204e-05	1.24579e-05	1.06191e-05	7.12949e-06	1.77219e-05	7.18299e-06	1.87567e-06	5.38046e-06	1.24072e-05	7.14164e-06	1.23891e-05	5.37453e-06	1.06661e-05	1.06826e-05	1.56485e-07	5.40414e-06	1.94383e-05	7.13632e-06	1.06378e-05	5.36701e-06	1.06542e-05	1.06817e-05	1.23894e-05	7.13212e-06	5.37598e-06	7.99349e-08	7.14947e-06	6.24416e-06	7.14061e-06	7.11961e-06	1.07379e-07	1.7659e-05	3.64142e-06	8.04879e-06	1.06763e-05	2.82105e-05	1.2409e-05	5.37501e-06	5.39045e-06	1.76545e-05	5.39398e-06	1.24285e-05	9.80253e-08	1.06397e-05	1.24027e-05	1.7715e-05	7.15259e-06	1.07017e-05	1.25319e-07	5.38442e-06	1.32658e-05	7.15893e-06	5.41378e-06	1.7784e-05	5.41141e-06	5.44871e-06	1.60167e-05	5.42386e-06	0.000125771
d2_6	0.00724329	0.000119609	0.000120611	7.22787e-05	0.00011968	7.21823e-05	4.06169e-05	7.40059e-05	4.9364e-05	2.47294e-05	3.35675e-05	3.87532e-05	2.12457e-05	2.47902e-05	5.10604e-05	1.94662e-05	3.52577e-05	5.46419e-05	2.8224e-05	3.96622e-05	3.35618e-05	7.17265e-06	2.64955e-05	2.29412e-05	1.06584e-05	2.29809e-05	2.12479e-05	1.59925e-05	7.18387e-06	5.37714e-06	5.40447e-06	7.15864e-06	5.37952e-06	1.06617e-05	1.59445e-05	1.2393e-05	1.89015e-06	5.40682e-06	1.11474e-07	1.59351e-05	1.41609e-05	1.41447e-05	5.37593e-06	1.47921e-07	1.41695e-05	1.06672e-05	7.22124e-06	5.36781e-06	8.45568e-08	8.91128e-06	7.14778e-06	1.24061e-05	7.13993e-06	9.1559e-08	1.24094e-05	1.06144e-05	1.0652e-05	1.24418e-05	7.11364e-06	1.2448e-05	2.64775e-05	1.24339e-05	1.86547e-06	5.37515e-06	1.89322e-06	1.24175e-05	7.11401e-06	5.42562e-06	5.36959e-06	1.06289e-05	1.94883e-05	5.34472e-06	1.06452e-05	1.86644e-06	1.01161e-07	7.18456e-06	5.44847e-06	1.24e-05	1.06535e-05	7.11677e-06	1.23833e-05	1.06323e-05	5.41102e-06	1.24482e-05	1.15032e-07	8.83118e-08	1.2103e-07	1.06222e-05	1.19579e-07	2.12367e-05	5.38018e-06	7.14667e-06	1.59989e-05	1.24381e-05	1.24509e-05	5.447e-06	7.2169e-06	2.1323e-07	0.00021199
d2_7	0.00557271	0.000105572	9.85914e-05	0.000123161	5.46347e-05	7.4846e-05	9.15036e-05	4.58671e-05	6.51922e-05	5.46339e-05	4.40576e-05	4.0575e-05	3.88304e-05	3.35502e-05	3.70953e-05	2.29979e-05	1.76444e-05	7.14433e-06	2.11932e-05	1.77249e-05	1.24131e-05	7.13665e-06	2.65003e-05	5.40047e-06	2.82528e-05	2.12602e-05	1.17788e-07	1.85631e-05	1.24369e-05	2.29876e-05	1.77011e-05	1.24163e-05	1.04092e-07	5.3805e-06	1.48768e-07	5.37577e-06	5.41508e-06	7.15213e-06	5.37247e-06	1.59501e-05	9.83825e-08	1.59282e-05	5.37461e-06	7.10676e-06	1.15765e-05	1.28267e-07	5.41278e-06	8.92191e-06	1.06805e-05	1.24286e-05	2.64802e-05	5.40247e-06	2.65085e-05	5.34837e-06	7.10913e-06	2.29363e-05	1.94512e-05	1.23803e-05	7.14324e-06	8.61784e-08	5.42195e-06	5.39641e-06	4.05531e-05	1.06555e-05	7.14582e-06	5.37779e-06	1.2438e-05	1.84626e-06	5.35032e-06	1.06226e-05	1.06417e-05	1.85837e-06	1.76874e-05	1.24435e-05	7.14237e-06	1.06395e-05	5.33899e-06	8.98796e-06	7.12901e-06	2.64291e-05	1.85381e-06	5.38361e-06	5.39799e-06	1.59271e-05	1.86037e-05	8.91138e-06	9.70113e-07	1.5954e-05	1.15468e-05	1.86057e-06	5.40518e-06	7.40123e-08	3.00325e-05	1.24383e-05	7.17167e-06	1.10859e-07	5.44341e-06	1.07205e-05	0.000111862
d2_8	0.00436541	0.000100371	0.000112675	0.000103812	5.63961e-05	5.81098e-05	7.04681e-05	4.93422e-05	3.88348e-05	4.40876e-05	4.41044e-05	2.99819e-05	2.55909e-05	1.24677e-05	4.94102e-05	2.30099e-05	1.9467e-05	2.38718e-05	1.05296e-07	2.1245e-05	1.45618e-07	2.12593e-05	2.82688e-05	2.82499e-05	3.1772e-05	2.12407e-05	1.77032e-05	5.37489e-06	7.16525e-06	1.94404e-05	1.94895e-05	1.59257e-05	1.24347e-05	1.2624e-07	1.59119e-05	1.24313e-05	1.06652e-05	1.24623e-05	7.12226e-06	1.06348e-07	5.41278e-06	1.88135e-06	5.38788e-06	1.24431e-05	7.14729e-06	1.85498e-05	7.1953e-06	1.01822e-07	1.77268e-05	7.14135e-06	1.21399e-07	5.36607e-06	5.40729e-06	8.90486e-06	5.36825e-06	1.59432e-05	1.03172e-07	1.06532e-05	5.4135e-06	1.24313e-05	5.35992e-06	1.24035e-05	5.37326e-06	1.26358e-07	1.59728e-05	9.41852e-08	8.43921e-08	2.29286e-05	5.39143e-06	7.16067e-06	1.06591e-05	1.41933e-05	7.1296e-06	1.59348e-05	7.11393e-06	1.2392e-05	7.15429e-06	1.85028e-06	1.36202e-07	1.18573e-07	5.392e-06	5.3999e-06	1.41802e-05	1.88104e-06	2.82935e-05	1.59396e-05	1.76822e-05	1.59599e-05	1.23328e-07	2.65368e-05	1.06645e-05	1.59625e-05	7.17349e-06	1.07159e-05	1.59599e-05	5.46554e-06	1.24403e-05	1.94909e-05	0.000117123
d2_9	0.00368963	0.000106543	8.80223e-05	0.000110861	0.000117849	4.75551e-05	5.10944e-05	6.51489e-05	4.76009e-05	5.98899e-05	3.6191e-05	2.12257e-05	5.1962e-05	1.77775e-05	3.52787e-05	2.82256e-05	3.17133e-05	3.17703e-05	1.41946e-05	1.07074e-05	1.24549e-05	3.00127e-05	1.24578e-05	2.82146e-05	1.86779e-06	7.13628e-06	1.06413e-05	7.14638e-06	7.104e-06	7.20713e-06	1.59716e-05	5.38604e-06	1.0679e-05	1.77701e-05	1.41478e-05	5.44371e-06	1.9481e-05	1.68089e-05	1.09346e-07	1.41753e-05	1.92051e-06	2.11765e-05	7.16814e-06	7.1249e-06	1.77038e-05	5.37999e-06	1.2428e-05	1.24006e-05	2.47074e-05	5.34663e-06	1.41764e-05	1.06107e-05	5.36917e-06	1.31663e-07	7.15142e-06	1.59281e-05	1.85154e-06	5.34323e-06	1.85707e-05	1.59633e-05	8.56312e-08	1.24248e-05	1.08477e-07	1.06272e-05	5.37713e-06	5.39422e-06	1.24244e-05	8.36876e-08	1.19774e-07	1.94519e-05	5.37751e-06	1.06019e-05	1.42016e-05	2.82143e-05	2.29324e-05	7.13954e-06	6.28397e-06	1.41463e-05	2.02963e-05	1.06479e-05	2.12018e-05	2.73362e-06	7.11284e-06	1.24083e-05	8.8039e-08	2.12803e-05	5.3965e-06	1.06917e-05	1.24035e-05	2.47388e-05	1.06429e-05	2.12281e-05	1.59696e-05	2.30114e-05	1.77543e-05	2.47603e-05	1.77759e-05	7.19351e-06	0.000232374
