	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62	d1_63	d1_64	d1_65	d1_66	d1_67	d1_68	d1_69	d1_70	d1_71	d1_72	d1_73	d1_74	d1_75	d1_76	d1_77	d1_78	d1_79	d1_80	d1_81	d1_82	d1_83	d1_84	d1_85	d1_86	d1_87	d1_88	d1_89	d1_90	d1_91	d1_92	d1_93	d1_94	d1_95	d1_96	d1_97	d1_98
d2_0	0	0.0307357	0.0261882	0.0219567	0.0188055	0.0160564	0.0130381	0.010952	0.00950578	0.00789441	0.0066562	0.00553398	0.00487571	0.00430658	0.00358024	0.00304225	0.00264827	0.00235129	0.00208505	0.00184533	0.00158671	0.00148717	0.00129857	0.00116624	0.00103874	0.00105626	0.000969172	0.000852321	0.000810206	0.000757918	0.000733972	0.000636476	0.00070446	0.000536963	0.000506339	0.000510463	0.000577216	0.000472611	0.00050789	0.000488511	0.000431205	0.000445624	0.000355414	0.000436267	0.000325988	0.000356056	0.000338519	0.000345669	0.00028953	0.000297162	0.000292115	0.000313786	0.000218746	0.00024768	0.000226395	0.00020707	0.000223309	0.000230459	0.000207638	0.000188188	0.000216021	0.000161393	0.000184512	0.000147265	0.000174333	0.000196574	0.000167619	0.000139315	0.000139237	0.000116597	0.000151235	0.000139791	0.000123303	0.000102437	0.000122041	0.000102789	8.46924e-05	0.000100573	8.54552e-05	0.000136046	0.000116399	5.88788e-05	9.82024e-05	9.28737e-05	5.9442e-05	9.39328e-05	5.90054e-05	5.68827e-05	7.83423e-05	8.25987e-05	4.74699e-05	4.90509e-05	6.93379e-05	9.05006e-05	5.83873e-05	5.56689e-05	4.77043e-05	3.85752e-05	0.000361246
d2_1	0.0895801	0.000111835	0.000139924	0.000104075	8.03797e-05	6.80388e-05	5.58272e-05	5.28212e-05	9.9731e-05	4.52986e-05	3.94177e-05	2.43265e-05	2.46974e-05	4.03046e-05	3.63888e-05	2.58806e-05	1.58216e-05	2.61274e-05	4.06105e-05	3.11463e-05	4.2783e-05	1.82243e-06	4.7793e-05	3.34437e-05	1.19905e-06	8.91219e-06	2.56698e-05	1.6326e-05	1.14812e-05	2.08404e-05	3.02934e-05	2.34128e-05	3.75526e-05	8.13598e-06	3.56169e-05	9.0888e-06	1.5813e-05	1.65051e-05	1.58118e-05	1.56997e-05	8.43854e-06	2.53895e-05	1.79476e-05	1.04774e-05	1.59814e-05	3.03221e-05	8.14305e-06	7.82982e-07	2.24874e-05	1.12191e-06	3.24465e-05	1.26262e-06	1.49803e-05	1.09262e-05	8.12328e-06	1.81466e-05	1.5689e-05	1.56502e-05	8.79438e-06	2.29094e-05	7.29226e-07	3.5016e-06	8.48432e-06	1.78096e-05	7.91373e-06	6.4632e-07	2.97265e-05	2.22967e-05	8.1505e-06	2.96722e-05	1.79805e-05	7.70852e-06	2.0479e-05	6.33722e-07	8.41673e-06	6.12683e-07	7.76903e-06	7.74003e-06	8.13545e-06	7.98454e-06	1.04907e-05	1.03033e-05	2.947e-05	4.24086e-07	6.58482e-07	1.76249e-05	2.23706e-05	2.7999e-07	9.30854e-07	7.63967e-06	7.69506e-06	1.03845e-05	2.97604e-05	1.03854e-05	1.53983e-05	3.25179e-05	5.51716e-06	2.96231e-06	4.37778e-05
d2_2	0.0414883	0.000135768	0.000133543	0.000108707	0.000101873	6.10108e-05	7.43732e-05	6.55884e-05	5.25375e-05	5.30817e-05	6.21957e-05	4.03111e-05	1.64019e-05	4.55543e-05	4.55961e-05	5.49581e-05	3.08644e-05	7.51286e-05	3.07742e-05	3.32689e-05	4.04957e-05	3.58315e-05	2.33751e-05	5.02466e-05	2.29857e-05	3.29641e-05	2.8057e-05	2.31488e-05	1.65549e-05	7.25126e-07	8.18319e-06	3.40136e-05	1.11221e-05	2.3054e-05	2.80277e-05	4.24584e-05	2.30845e-05	1.6256e-05	2.31406e-05	3.26712e-05	1.62925e-05	1.58721e-05	9.46431e-07	1.13558e-06	1.8115e-05	4.01056e-05	1.59894e-05	1.54111e-05	8.53763e-06	8.69675e-07	1.13141e-05	2.54093e-05	2.31047e-05	7.92442e-06	8.29676e-06	2.51997e-05	8.29912e-06	1.51679e-05	2.27201e-05	8.24906e-06	1.09286e-05	1.27915e-05	1.17295e-06	8.13879e-06	8.28323e-06	1.54929e-05	2.75381e-05	7.85752e-06	3.99766e-05	7.86349e-06	2.97722e-05	1.06589e-05	1.0428e-05	2.49382e-05	1.49741e-05	1.54214e-05	1.49809e-05	2.26309e-05	1.02069e-05	8.09615e-06	9.2416e-07	8.86941e-07	7.85625e-06	1.49966e-05	5.25827e-07	2.28206e-05	7.59498e-06	1.74719e-05	1.5123e-05	7.98644e-06	1.69806e-07	8.04534e-06	8.01838e-06	7.86473e-06	7.06687e-07	7.75508e-06	8.17053e-06	8.07419e-06	6.33723e-05
d2_3	0.0257992	0.000106663	9.66003e-05	6.0429e-05	4.57546e-05	6.20272e-05	9.89274e-05	4.55964e-05	5.53038e-05	4.06043e-05	2.37912e-05	4.60576e-05	3.28534e-05	5.05442e-05	4.78035e-05	3.14288e-05	4.52797e-05	1.90055e-05	3.59549e-05	3.81296e-05	3.05774e-05	2.36836e-05	1.86721e-05	2.31572e-05	1.88487e-05	3.76355e-05	1.57547e-05	2.79901e-05	2.56798e-05	2.54924e-05	4.37775e-06	2.56866e-05	3.75178e-06	8.28225e-06	1.82864e-05	2.07083e-05	3.72209e-05	2.26736e-05	7.86457e-06	1.38752e-05	1.62282e-05	5.26088e-05	1.27454e-06	1.59636e-05	1.57439e-05	8.09822e-06	4.05525e-05	1.60118e-05	2.51108e-05	4.07668e-05	2.2827e-05	1.53274e-05	1.22404e-06	2.28517e-05	1.76328e-05	1.10289e-05	2.24748e-05	8.06086e-06	2.68038e-05	8.40945e-06	1.79855e-05	3.02429e-05	6.96473e-07	3.75944e-05	1.53429e-05	7.9106e-06	8.54472e-06	2.2722e-05	1.02896e-05	3.72609e-05	1.53259e-05	1.54153e-05	2.52302e-05	1.06322e-05	2.94871e-05	7.93247e-06	7.99134e-07	7.6986e-06	6.80203e-07	8.11979e-06	1.50967e-05	1.7576e-05	7.61131e-06	1.78679e-05	1.53821e-05	8.14682e-06	3.29383e-06	1.77134e-05	4.20732e-05	8.16033e-06	7.92801e-06	7.93861e-06	7.90037e-06	2.01407e-05	8.07077e-06	1.73804e-05	2.22044e-05	1.72322e-05	0.000140183
d2_4	0.0180447	0.000101739	5.48955e-05	7.99216e-05	6.54623e-05	6.22666e-05	3.60375e-05	8.88347e-05	4.74514e-05	3.32668e-05	4.05632e-05	4.76454e-05	4.07772e-05	1.64381e-05	2.04766e-05	3.99118e-05	3.83622e-05	4.08722e-05	3.09017e-05	2.10913e-05	3.31056e-05	2.2708e-05	4.80203e-05	1.13473e-05	2.36013e-05	3.35456e-05	2.37413e-05	2.33056e-05	8.74495e-06	9.22864e-06	2.34268e-05	1.54979e-05	2.58424e-05	1.10166e-05	4.49507e-05	2.57043e-05	8.47139e-06	3.49608e-05	3.1303e-05	1.13274e-05	8.81349e-06	1.82135e-05	1.81707e-05	1.59553e-05	8.17081e-06	3.06267e-05	1.80094e-05	1.08204e-05	8.57904e-06	1.09202e-05	1.55567e-05	2.26903e-05	3.77206e-05	2.09276e-05	1.53028e-05	7.95566e-06	1.79094e-05	1.76483e-05	1.88412e-05	2.28885e-05	2.29219e-05	2.26467e-05	1.57042e-05	8.39769e-07	3.75959e-05	8.74023e-07	9.25777e-07	1.52348e-05	9.55013e-07	2.26613e-05	1.51386e-05	1.7852e-05	8.0701e-06	1.50637e-05	3.95642e-05	4.25811e-05	7.95974e-06	3.72092e-05	3.68955e-05	1.76781e-05	5.34786e-07	1.02415e-05	8.09603e-06	1.04401e-05	1.03129e-05	8.14223e-06	2.24191e-05	1.51824e-05	1.51879e-05	1.50281e-05	7.91002e-06	3.17273e-06	1.50743e-05	6.94392e-07	7.91608e-06	3.00997e-06	4.70244e-05	4.88539e-07	8.55596e-05
d2_5	0.01356	0.000109129	9.6668e-05	7.96074e-05	8.19273e-05	6.82969e-05	4.58422e-05	5.05899e-05	4.13216e-05	4.53635e-05	5.24458e-05	1.87542e-05	1.60666e-05	3.11654e-05	2.36013e-05	3.0469e-05	6.97781e-05	4.32826e-05	9.2694e-06	3.36305e-05	2.45238e-05	8.96711e-06	2.53602e-05	3.08215e-05	3.04244e-05	4.28389e-05	1.07047e-05	4.09848e-05	3.31619e-05	2.34274e-05	4.46997e-06	3.75509e-05	1.60753e-05	1.60094e-05	2.55099e-05	3.7723e-05	1.79578e-06	4.51926e-05	3.28467e-05	4.53561e-05	8.6355e-06	9.76741e-07	1.58608e-05	2.54785e-05	3.98355e-05	2.26611e-05	1.63859e-05	3.0138e-05	3.54106e-06	2.93311e-05	3.02066e-05	1.07043e-05	3.25946e-05	1.08236e-05	1.77973e-05	1.54619e-05	1.78179e-05	8.59582e-06	1.09454e-05	8.06285e-06	1.04787e-05	3.23222e-05	1.51376e-05	2.29024e-05	2.27652e-05	1.05888e-05	8.30382e-06	1.54047e-05	6.377e-07	7.78043e-06	1.08924e-05	1.11798e-06	1.78486e-05	4.03734e-05	7.85828e-06	8.41289e-07	1.31426e-05	8.20754e-06	8.0525e-06	2.88385e-06	2.84523e-06	1.029e-06	1.55529e-05	1.51286e-05	7.96467e-06	8.20326e-06	2.04106e-05	7.71901e-07	2.22133e-05	2.27657e-05	1.02708e-05	1.51173e-05	1.02523e-05	9.27873e-06	3.43842e-06	2.47553e-05	1.53694e-05	4.22211e-05	7.06154e-05
d2_6	0.0105	8.68719e-05	4.79008e-05	7.69073e-05	6.49455e-05	6.73379e-05	5.53212e-05	4.72094e-05	3.80537e-05	1.15973e-05	5.2171e-05	4.55158e-05	6.25703e-05	1.59619e-05	1.57915e-05	3.40196e-05	2.32931e-05	4.77273e-05	1.4418e-06	3.76814e-05	2.62473e-05	4.25316e-05	2.36481e-05	8.77806e-06	3.53023e-05	3.06988e-05	4.33523e-05	2.59266e-05	1.38961e-05	6.41964e-05	1.27983e-05	6.58114e-05	5.49601e-05	1.11929e-06	3.75969e-05	3.06021e-05	2.28103e-05	2.53982e-05	3.09678e-05	3.04177e-05	1.81921e-05	8.72506e-06	1.6249e-05	2.31793e-05	4.02904e-05	1.83379e-05	1.60493e-05	1.056e-05	8.2369e-06	1.61653e-05	1.12659e-06	1.00818e-06	1.57284e-05	2.31319e-05	4.01799e-05	2.30474e-05	8.77642e-06	2.28471e-05	2.81646e-05	1.58824e-05	4.22681e-05	1.82074e-05	4.68032e-05	2.25654e-05	9.063e-07	7.89634e-06	8.88697e-07	1.53698e-05	8.1214e-06	2.54559e-05	3.67695e-07	2.28427e-05	9.63021e-06	2.25808e-05	1.04225e-05	4.47122e-05	1.53852e-05	4.89622e-05	1.49554e-05	7.71216e-06	1.26287e-05	8.10803e-06	8.1524e-06	2.97088e-05	3.73521e-07	5.50304e-06	5.22815e-07	5.63179e-07	9.20012e-07	3.20001e-05	1.50513e-05	7.73658e-06	1.52158e-05	7.09841e-07	1.57087e-05	1.55314e-05	6.59058e-07	2.73938e-05	0.000134123
d2_7	0.00843072	9.80938e-05	0.000113194	9.12678e-05	6.26658e-05	9.14135e-05	7.47599e-05	3.85683e-05	5.19026e-05	3.93856e-05	2.57882e-05	4.07089e-05	4.06634e-05	2.32009e-05	3.28536e-05	2.36901e-05	2.61836e-05	4.78228e-05	8.86397e-06	4.49597e-05	1.94909e-05	3.55727e-05	1.58948e-05	5.03958e-05	3.77226e-05	2.65091e-05	8.72122e-06	3.2905e-05	8.32969e-06	1.07824e-05	2.54842e-05	3.03188e-05	2.59423e-05	2.35387e-05	3.02983e-05	1.0915e-05	1.84088e-05	3.79996e-05	1.81478e-05	2.34964e-05	2.34306e-05	1.59787e-05	1.06036e-05	3.24946e-05	1.6158e-05	1.54406e-05	8.01178e-06	1.57364e-05	2.31998e-05	8.86893e-06	2.28257e-05	8.08345e-06	3.75451e-05	2.29291e-05	1.42959e-06	2.98261e-05	2.01457e-05	1.56572e-05	4.20387e-05	3.00637e-05	8.47409e-06	8.58215e-06	1.56825e-05	8.5702e-06	2.52126e-05	1.07728e-05	1.7461e-05	1.79805e-05	1.79718e-05	2.22129e-05	2.24786e-05	1.53909e-05	2.47049e-05	7.96129e-06	8.04291e-06	5.53068e-07	2.24039e-05	8.01796e-06	1.00998e-05	3.12394e-06	6.25472e-07	7.86263e-06	1.00437e-06	1.51533e-05	2.99986e-05	1.52287e-05	7.92178e-06	1.536e-05	5.14773e-07	1.52373e-05	1.49551e-05	2.28449e-05	1.76271e-05	1.52966e-05	8.38582e-06	2.29075e-05	9.63928e-06	3.7595e-05	6.66485e-05
d2_8	0.00692528	8.67414e-05	9.39863e-05	9.18775e-05	7.72353e-05	2.65139e-05	5.95778e-05	6.29352e-05	6.32175e-05	3.37203e-05	4.75844e-05	3.35889e-05	3.77376e-05	3.02303e-05	4.36245e-05	1.15643e-05	7.39894e-05	2.81495e-05	1.65047e-05	4.00812e-05	3.35268e-05	6.48285e-06	2.57851e-05	3.27559e-05	1.17977e-05	7.17864e-05	2.36991e-05	8.29614e-06	2.61661e-05	2.33139e-05	4.4739e-05	1.60005e-05	1.00855e-05	9.16005e-06	8.63862e-06	3.26924e-05	1.83808e-05	1.05783e-05	3.76179e-05	3.05164e-05	2.31848e-05	2.27638e-05	2.56786e-05	1.90884e-05	1.80394e-05	2.54941e-05	4.27496e-05	3.96835e-05	9.07887e-06	2.26535e-05	1.54865e-05	8.13072e-07	2.49472e-05	8.67303e-06	1.57327e-05	2.28423e-05	1.53362e-05	2.27181e-05	1.56367e-05	8.4828e-06	2.50838e-05	1.51397e-05	9.36896e-07	2.28954e-05	2.54124e-05	2.25274e-05	3.01541e-05	1.03258e-05	3.41797e-06	1.5628e-05	2.46741e-05	5.2387e-07	1.53726e-05	2.53131e-05	2.72114e-06	7.6881e-06	2.26674e-05	1.77053e-05	1.52245e-05	1.51562e-05	7.81658e-06	7.55821e-06	2.51087e-05	1.7961e-05	7.6816e-06	8.079e-06	2.2752e-05	1.06761e-05	2.26877e-05	1.51915e-05	1.54921e-05	8.34364e-06	8.02435e-06	8.32349e-06	2.50105e-05	3.2421e-05	1.52386e-05	1.5632e-05	0.000115069
d2_9	0.00593601	0.000106111	7.25583e-05	7.46215e-05	6.24342e-05	8.77779e-05	6.48985e-05	6.32166e-05	4.53863e-05	2.83826e-05	4.30896e-05	3.31423e-05	2.3244e-05	1.63984e-05	1.61533e-05	3.3154e-05	3.88241e-05	3.37924e-05	3.28653e-05	5.47642e-05	1.58321e-05	5.22691e-05	3.52862e-05	2.35789e-05	1.60342e-05	8.78199e-06	3.04114e-05	3.28769e-05	3.77697e-05	8.46715e-06	2.71482e-05	1.6408e-05	5.52861e-05	4.59532e-05	8.24303e-06	1.79252e-05	2.30964e-05	1.12017e-05	3.0416e-05	1.06625e-05	1.36208e-05	8.39799e-06	2.30036e-05	1.57244e-05	3.76542e-06	2.7781e-05	2.79158e-05	2.55599e-05	8.35971e-06	1.43782e-06	3.04422e-05	3.94953e-05	2.50484e-05	2.59497e-05	1.22951e-06	5.16013e-05	6.89214e-07	2.28808e-05	3.28368e-05	3.22037e-05	1.53491e-05	1.28141e-05	3.01762e-05	6.73136e-07	2.28767e-05	1.06974e-05	8.98202e-07	2.0568e-05	2.56934e-05	8.24326e-07	2.51031e-05	4.4524e-05	7.90082e-06	3.23173e-05	1.52077e-05	3.26449e-05	2.52099e-05	1.55191e-05	5.21842e-05	2.26485e-05	8.32162e-06	2.53938e-05	2.25703e-05	2.25859e-05	1.49222e-05	2.02597e-05	1.4977e-05	3.96902e-05	7.90375e-06	5.51624e-07	2.24917e-05	1.53043e-05	4.23968e-07	4.21374e-05	7.38144e-07	7.94031e-06	2.99842e-05	2.74742e-05	0.000142285
