	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d3_0	0	0.0613634	0.0312532	0.0218459	0.0163678	0.0135047	0.0108944	0.0102473	0.00896714	0.00806259	0.00736542	0.00647749	0.00598276	0.00521127	0.00654752	0.0050699	0.00521142	0.00436497	0.00558672	0.00444875	0.0038572	0.00397807	0.00414726	0.00405351	0.00358777	0.00324148	0.00403456	0.00413827	0.00403424	0.00414898	0.00356609	0.00418649	0.00397057	0.00321516	0.0025923	0.00265563	0.00338504	0.00295832	0.00241681	0.00247822	0.00256899	0.00297639	0.00274043	0.00243645	0.00219825	0.00300223	0.00311827	0.00214494	0.00221622	0.00221637	0.00218416	0.00199857	0.00179006	0.00212931	0.0024176	0.00176992	0.00217664	0.00169217	0.00203776	0.00235205	0.00198432	0.00161056	0.00165527	0.00206509	0.00170372	0.00207166	0.00159349	0.00170225	0.00179385	0.00183395	0.00177958	0.00263925	0.00159472	0.00130007	0.00157584	0.00194883	0.00169086	0.00205485	0.00158595	0.00153824	0.00116136	0.00211898	0.00146865	0.000821332	0.00129968	0.00228772	0.00124825	0.00191258	0.00141605	0.0030133	0.00105383	0.00138265	0.00119639	0.00171589	0.0654032
d3_1	0.0432711	2.22714e-06	4.64693e-06	1.95526e-06	1.33281e-06	3.92054e-06	2.98382e-06	2.82824e-06	3.717e-06	5.98275e-06	2.4082e-06	5.66527e-06	1.64859e-06	3.45679e-06	2.27428e-06	5.16678e-06	2.04022e-06	1.94674e-06	2.22415e-06	4.24886e-06	3.75382e-06	7.50907e-07	3.40423e-06	2.57722e-06	3.97608e-06	7.54091e-06	1.7237e-06	3.39465e-06	1.07883e-06	5.60274e-06	1.26576e-06	1.46573e-06	4.38811e-06	3.34665e-06	1.34785e-06	1.9774e-06	1.67125e-07	5.28636e-07	4.41395e-06	3.09887e-06	1.92446e-06	0.000169757	3.85035e-06	5.12307e-06	1.05671e-06	1.65759e-06	2.23674e-06	3.85876e-06	3.67733e-06	2.66842e-06	1.7984e-06	5.21232e-06	4.07732e-06	1.1283e-07	4.00016e-06	3.17296e-06	1.27589e-06	1.57378e-06	4.93587e-06	2.4145e-06	2.22565e-06	1.60302e-06	4.62418e-07	1.9968e-06	3.23111e-06	2.25649e-06	1.24203e-06	4.90902e-07	4.27136e-06	2.57168e-06	1.51975e-07	1.30744e-06	1.18805e-06	5.76751e-07	1.57304e-06	1.67039e-07	2.59542e-06	1.62483e-06	1.98526e-06	3.15916e-06	2.70203e-06	3.7664e-06	1.22874e-06	1.03289e-06	2.51325e-06	1.47025e-06	4.00756e-07	7.83184e-07	5.7731e-07	1.35307e-06	8.19861e-09	2.09868e-06	1.91925e-06	1.39369e-06	0.000451192
d3_2	0.021873	1.72455e-06	2.06781e-06	1.83738e-06	3.15208e-06	2.07176e-06	1.34154e-06	0.00016729	1.8314e-06	2.85686e-06	1.91657e-06	1.60451e-06	3.37881e-06	2.31897e-06	5.87893e-06	4.47129e-06	2.45277e-06	4.53871e-06	4.42583e-06	2.23636e-06	0.000164952	3.62615e-06	1.95915e-06	2.17666e-06	4.88745e-07	5.55541e-07	5.39543e-06	1.87345e-06	2.11276e-06	3.84379e-06	3.97037e-06	5.4705e-07	2.30556e-06	3.85879e-06	0	1.29895e-06	6.85421e-06	4.22373e-07	2.30126e-06	3.74478e-06	9.95036e-07	1.2782e-06	1.95662e-06	3.36242e-06	4.52385e-07	2.64024e-06	1.91504e-06	4.06491e-06	5.21662e-06	2.28148e-06	2.73255e-06	1.97581e-06	1.36964e-06	2.31121e-06	6.97334e-07	1.52645e-06	2.66248e-07	3.56701e-06	1.88377e-06	4.22571e-06	1.31225e-06	8.88844e-07	3.1329e-06	2.13783e-06	1.11558e-06	6.32473e-07	4.16527e-07	6.78797e-07	5.28693e-06	1.38772e-06	6.59111e-07	1.39048e-06	1.94176e-06	5.8028e-07	5.90053e-07	3.5154e-06	0.000165601	1.39613e-06	1.42731e-06	4.77926e-06	6.1094e-06	3.1073e-07	4.34873e-07	3.50427e-06	1.53241e-06	1.18054e-06	3.73386e-06	1.70186e-06	2.74553e-06	2.78536e-06	6.17378e-07	1.10819e-06	8.24024e-06	2.66583e-06	0.000269361
d3_3	0.0145379	2.35681e-06	1.46253e-07	1.63517e-06	4.93713e-06	1.70575e-06	7.52031e-07	1.8562e-06	2.42771e-06	2.72957e-06	2.8988e-06	2.58398e-06	3.15122e-06	1.48289e-06	1.23042e-06	1.26534e-06	1.79789e-06	2.75006e-06	6.49798e-06	2.31021e-06	1.41903e-06	6.67336e-06	1.33022e-06	2.45149e-06	1.71967e-06	2.71854e-06	4.96961e-06	3.37303e-06	2.53441e-06	2.15846e-06	8.15837e-07	1.7559e-06	3.66931e-06	5.12527e-06	7.59824e-07	2.42747e-06	5.19131e-06	3.09591e-06	4.52535e-06	2.14416e-06	2.24107e-06	5.34324e-06	1.7062e-06	3.24357e-06	1.77865e-06	1.26597e-06	2.25497e-06	2.81874e-06	5.01302e-06	2.68593e-06	2.3246e-06	9.3523e-07	1.11355e-06	1.49884e-06	4.96145e-06	7.15613e-07	3.77848e-06	4.36304e-06	7.87059e-07	1.02819e-06	3.52189e-06	2.33952e-06	3.53287e-06	2.28793e-06	3.44525e-07	1.70263e-06	2.27003e-06	8.79248e-07	4.8274e-06	3.76796e-06	6.87901e-07	4.82878e-06	0.000166007	2.61488e-06	3.43242e-06	2.85952e-06	2.43573e-06	1.69084e-06	1.04957e-06	5.35417e-06	2.77402e-07	2.79971e-06	1.05711e-06	7.34257e-07	1.21953e-06	2.80926e-06	3.33655e-06	1.11105e-06	1.94658e-06	1.05277e-06	6.65654e-07	3.05425e-06	1.84217e-06	1.40676e-06	0.00043348
d3_4	0.0112014	7.74017e-07	3.13383e-06	7.46421e-07	1.78992e-06	2.63224e-06	1.53411e-06	6.54955e-06	2.06073e-06	1.24295e-06	3.19474e-07	0.00016874	3.24648e-07	3.65749e-06	2.19105e-06	1.89396e-06	3.14551e-06	3.05193e-06	1.21671e-06	3.32909e-06	3.22594e-06	4.03961e-06	3.64027e-06	5.48886e-06	2.507e-06	1.12765e-06	4.14788e-06	4.77477e-06	1.4576e-06	1.55993e-06	2.63109e-06	2.19751e-06	3.17567e-06	2.36425e-06	2.2804e-06	5.46692e-07	1.66646e-06	1.08053e-06	5.03271e-07	6.38101e-07	2.65798e-06	1.72114e-06	2.00597e-06	2.82983e-06	1.20606e-06	2.98047e-06	1.07403e-06	3.83864e-06	2.9443e-06	3.10775e-06	1.6591e-06	2.22765e-06	3.83731e-06	3.29429e-06	1.31729e-06	1.92542e-06	1.07009e-06	4.04018e-06	2.87825e-06	2.03466e-06	1.1343e-06	1.37141e-06	4.46304e-06	4.94301e-06	1.76338e-06	1.18176e-06	3.76849e-06	1.07019e-06	0	1.24745e-06	2.51717e-06	3.60518e-06	1.53123e-07	3.61566e-06	8.17393e-07	2.511e-06	1.1617e-06	4.28379e-06	5.39642e-07	2.24105e-06	2.05992e-06	1.30346e-06	1.93533e-06	7.33995e-07	1.28728e-06	2.41283e-06	8.10642e-07	5.33477e-06	8.54751e-07	3.42156e-06	3.98859e-07	1.1551e-06	6.04664e-07	1.67442e-06	0.000439198
d3_5	0.00886544	2.03117e-06	3.45295e-06	1.46575e-06	3.86248e-06	2.90145e-06	2.50855e-06	1.90129e-06	1.35545e-06	2.46466e-06	3.46713e-06	2.99054e-06	3.45566e-06	3.37638e-06	8.0454e-07	4.1514e-06	3.06662e-06	8.08475e-07	1.99252e-06	2.84115e-06	3.31522e-06	9.83917e-07	1.10438e-06	1.12827e-07	1.37528e-06	7.65829e-07	3.08322e-06	1.01728e-06	2.49111e-06	2.53819e-06	1.15298e-06	2.18819e-06	2.2115e-06	5.80235e-06	4.2773e-06	1.5737e-06	1.49023e-06	5.18492e-07	2.57569e-06	3.25071e-06	5.87697e-06	8.50114e-07	2.2374e-06	4.54013e-06	9.4348e-07	8.19214e-07	1.61653e-06	5.10262e-07	4.3926e-06	2.88136e-07	2.72328e-07	1.32746e-06	1.95326e-06	1.37628e-06	1.28656e-06	3.84244e-06	2.0085e-06	4.0925e-06	2.15001e-06	1.1347e-06	4.87705e-06	3.44163e-06	8.74692e-07	1.66575e-06	1.98967e-06	2.49802e-06	3.99716e-06	1.75536e-06	1.14116e-07	3.98697e-06	1.22589e-06	1.78239e-06	3.21367e-06	3.17203e-06	2.86256e-06	3.81869e-06	3.49152e-06	1.62062e-06	1.12143e-06	4.51924e-06	0	8.37103e-07	7.51071e-06	5.2087e-07	2.20975e-06	1.92822e-06	7.30385e-07	4.13729e-06	2.54645e-06	3.32413e-07	1.84022e-06	2.96697e-06	8.79021e-07	1.33903e-06	0.000611442
d3_6	0.00713969	2.04351e-06	4.81133e-06	1.44169e-06	2.60094e-06	4.57385e-07	3.912e-06	5.84722e-07	1.78757e-06	2.86945e-07	3.12917e-06	3.97371e-06	8.97416e-07	1.58494e-07	4.174e-06	1.98114e-06	4.5489e-06	2.37292e-06	1.53307e-06	1.37003e-06	6.92141e-06	7.21231e-07	2.77072e-06	1.85469e-06	3.70183e-06	2.28168e-06	4.36652e-07	3.06174e-06	7.28706e-06	2.01527e-06	6.37195e-07	5.98174e-07	5.54733e-06	3.75455e-06	1.6853e-06	4.62064e-06	3.71614e-06	3.17763e-06	2.24675e-06	4.15205e-06	5.27029e-06	1.57182e-06	2.75217e-06	4.47372e-06	6.37139e-06	2.87777e-06	7.79605e-07	4.25328e-06	3.02389e-06	2.76996e-06	4.52285e-06	3.64973e-06	1.17782e-06	2.78974e-06	1.93081e-06	1.73837e-06	4.95639e-06	1.31179e-06	1.91811e-06	7.00286e-07	5.649e-07	1.36415e-06	2.27997e-06	1.12538e-07	1.43811e-06	1.66481e-06	5.40829e-07	6.22146e-07	5.02491e-06	2.8186e-06	3.7609e-06	1.82719e-06	1.35937e-06	2.92277e-07	4.47347e-06	1.07298e-06	2.00456e-06	2.61933e-06	1.54154e-06	0.000166625	3.50511e-06	5.4987e-07	2.79665e-07	9.07594e-07	4.33297e-06	1.07376e-06	5.41822e-07	0.000165212	3.02664e-06	1.3322e-06	1.13386e-06	2.44287e-07	2.40603e-06	1.79943e-06	0.00127922
d3_7	0.00607748	4.69988e-06	0.000166558	2.57677e-06	3.7825e-06	1.6853e-06	3.68277e-06	1.46903e-06	2.96793e-06	6.43495e-06	3.54322e-06	3.70333e-06	3.65224e-06	1.995e-06	4.01181e-06	2.58983e-07	1.85503e-06	1.51067e-06	2.44175e-06	3.83436e-07	1.7933e-06	2.46116e-06	1.79482e-06	3.42274e-06	1.30961e-06	5.84967e-07	1.06774e-06	1.95053e-06	2.1811e-06	2.33155e-06	4.93518e-06	2.48164e-06	4.78373e-07	1.56541e-06	2.05576e-06	2.89273e-06	1.714e-06	5.38684e-06	2.56379e-06	6.25066e-07	1.34021e-06	1.87118e-06	4.39958e-06	2.88162e-06	1.03075e-05	5.12356e-06	4.84221e-06	2.61564e-06	2.34212e-06	0.000165955	7.98866e-07	1.32158e-06	4.05282e-07	1.70299e-06	3.62715e-06	2.72795e-06	4.05043e-06	1.38841e-06	3.35409e-06	3.76248e-06	1.59331e-06	8.09049e-07	1.29657e-06	2.39174e-06	9.86609e-07	4.01766e-06	4.87215e-06	3.55666e-07	1.76042e-06	5.74935e-06	1.77094e-06	2.89163e-06	2.87014e-07	2.23163e-06	1.29791e-06	1.89755e-06	4.32924e-06	7.98494e-07	6.49194e-07	2.17925e-06	2.4524e-06	2.77375e-06	1.76064e-06	1.84756e-06	2.72781e-07	1.68462e-06	6.92428e-07	1.55195e-06	1.26298e-06	1.41964e-06	2.62463e-06	1.60191e-06	7.05362e-08	2.0263e-06	0.00109241
d3_8	0.00527036	1.4703e-06	2.46736e-06	2.50988e-06	0.000166624	3.26524e-07	5.06241e-06	1.45206e-06	3.03431e-06	2.87087e-07	4.4928e-06	3.69914e-06	1.4489e-06	3.04168e-06	3.1377e-06	1.14514e-06	1.59126e-06	2.71226e-06	2.99088e-06	1.94456e-06	3.68112e-06	2.56365e-06	3.3655e-06	2.51013e-06	3.99657e-06	8.23821e-06	2.99093e-07	2.09205e-06	1.81129e-06	6.63214e-06	1.03403e-06	0.000165392	7.80946e-06	2.81327e-06	2.779e-06	9.57275e-07	2.99808e-06	7.58319e-07	2.47071e-06	3.29099e-06	1.4485e-06	2.1234e-06	2.57824e-06	2.70989e-06	2.10601e-06	1.08592e-06	2.89366e-07	2.91626e-06	1.43153e-07	2.49883e-06	1.81684e-06	5.88984e-06	1.47253e-06	2.00055e-06	9.63001e-07	2.06628e-06	2.42563e-06	2.09033e-06	4.70896e-06	4.53056e-07	6.66042e-07	4.58249e-06	0.0001654	4.8511e-06	1.93704e-06	4.98083e-06	1.49812e-06	1.07909e-06	7.72083e-06	2.24785e-06	1.56601e-06	3.97175e-06	1.14313e-06	3.42988e-06	7.39157e-07	2.40933e-06	3.88894e-06	2.7629e-06	2.22265e-06	2.05756e-06	1.94097e-06	8.83147e-07	7.20293e-07	3.25882e-06	1.25285e-07	2.11227e-06	5.51129e-07	2.62628e-06	1.26051e-06	4.5911e-07	5.20797e-07	6.88986e-07	8.13726e-07	0	0.000104834
d3_9	0.0049639	9.43848e-07	2.61092e-07	1.52648e-06	3.45765e-06	1.24996e-06	2.01572e-06	1.08557e-06	5.19728e-06	0.000166153	9.28719e-07	1.15262e-06	1.05756e-06	9.981e-07	1.91766e-06	4.12016e-06	3.7843e-06	1.32284e-06	8.97372e-07	1.48685e-06	0.000166172	3.59017e-06	4.28244e-06	1.54522e-06	1.61452e-06	3.45903e-06	2.96194e-06	1.13545e-06	5.08406e-06	1.31197e-06	1.53352e-06	2.66626e-06	3.33801e-06	2.05386e-06	3.82641e-07	1.33357e-06	1.29656e-06	1.16483e-06	2.23319e-06	1.03488e-06	2.07622e-06	3.21993e-07	4.39625e-06	3.03583e-06	2.4773e-06	1.15963e-06	1.46697e-06	4.74412e-07	2.15748e-06	1.79863e-06	2.33169e-06	6.94758e-06	6.62604e-07	2.81235e-07	9.94562e-07	2.15801e-06	4.60735e-07	2.32743e-07	5.33672e-06	2.44556e-06	8.05703e-06	3.97237e-06	3.34981e-06	1.60456e-06	1.61341e-06	7.5697e-07	2.06714e-06	2.28378e-07	9.15778e-07	5.09612e-07	5.10175e-07	2.69023e-06	5.96849e-07	1.74856e-06	5.88658e-06	3.05045e-06	1.05553e-06	4.00025e-06	2.53333e-06	1.78867e-06	1.5468e-06	2.5109e-06	1.99172e-06	2.34339e-06	3.09667e-06	1.34181e-06	5.74299e-06	4.04334e-06	2.48173e-06	7.08434e-07	2.24014e-06	1.10095e-06	1.71807e-06	0.000165414	0.00045116
