	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d2_0	0	0.00918693	0.00507602	0.0038384	0.00303322	0.00271413	0.00248868	0.00219862	0.00197955	0.00196844	0.00182308	0.00182576	0.00179066	0.0018606	0.00148675	0.00168255	0.00153841	0.001601	0.00145516	0.00141788	0.00143824	0.00135096	0.00130105	0.00119206	0.00134477	0.00121135	0.00139041	0.00132087	0.00129556	0.00135406	0.00139373	0.00129242	0.00120616	0.00117347	0.001149	0.00118797	0.00122313	0.00111814	0.00119047	0.00122359	0.00115926	0.00124273	0.00122903	0.00121599	0.000974915	0.001053	0.00107143	0.00109545	0.00100665	0.00115643	0.00112353	0.00117549	0.00108599	0.0011963	0.00115879	0.0012047	0.00103022	0.00120488	0.00104759	0.0010535	0.00122095	0.00106684	0.000992706	0.00108684	0.00114192	0.00106691	0.00119863	0.00101292	0.00109447	0.0010643	0.00109561	0.00115645	0.00106376	0.00103632	0.00102551	0.00112047	0.00111596	0.00112294	0.00102675	0.00110985	0.000963345	0.000999418	0.00105284	0.00111379	0.00101257	0.00090197	0.000930699	0.00111135	0.00114714	0.00104254	0.00120385	0.00102421	0.00104076	0.000948553	0.100436
d2_1	0.112176	1.14041e-05	5.71079e-06	1.14009e-05	2.65991e-05	1.41192e-08	2.34955e-09	1.52011e-05	1.1398e-05	1.92959e-06	2.46739e-05	2.84782e-05	5.14091e-09	8.55481e-06	7.60593e-06	5.70769e-06	1.90532e-06	1.13958e-05	1.52003e-05	1.90092e-05	2.27928e-05	5.71316e-06	5.70443e-06	5.70007e-06	2.33073e-09	5.71024e-06	1.14002e-05	7.60795e-06	1.14013e-05	4.56721e-09	1.9005e-05	2.08955e-05	1.13904e-05	1.91605e-06	1.91379e-06	5.70237e-06	1.5206e-05	3.41828e-05	1.90024e-05	1.14034e-05	7.60683e-06	3.81958e-06	1.90454e-06	5.69901e-06	5.70194e-06	1.52101e-05	5.69535e-06	1.91768e-06	5.70738e-06	1.33226e-05	2.08818e-05	5.71195e-06	1.13912e-05	1.13904e-05	1.52076e-05	5.69631e-06	5.6972e-06	1.20126e-08	7.60208e-06	8.6205e-09	7.611e-06	1.32905e-05	5.69909e-06	7.60899e-06	5.72007e-06	1.70967e-05	1.14048e-05	1.70941e-05	1.13989e-05	1.33075e-05	2.41849e-08	1.33039e-05	1.0639e-08	5.70337e-06	1.14128e-05	1.06219e-08	3.26319e-09	1.14061e-05	8.51049e-09	1.14185e-05	5.69288e-06	5.33344e-09	7.6281e-06	4.74434e-05	1.3301e-05	1.50053e-10	5.69665e-06	1.90902e-06	1.62696e-08	1.89746e-05	1.89854e-05	1.51988e-05	2.84851e-05	7.624e-06	0.00132644
d2_2	0.0457103	2.65863e-05	1.91153e-06	2.09046e-05	1.61414e-05	1.71006e-05	1.3323e-05	1.7133e-05	1.90631e-06	1.33107e-05	5.70207e-06	1.13943e-05	7.61913e-06	5.71239e-06	1.13968e-05	7.62055e-06	1.52137e-05	5.71816e-06	0	1.13947e-05	5.70668e-06	5.69757e-06	1.71023e-05	1.32965e-05	7.60589e-06	2.52517e-08	5.70846e-06	1.52143e-05	1.70921e-05	1.13882e-05	5.69971e-06	1.33014e-05	1.91924e-06	5.72087e-06	1.28786e-08	1.51907e-05	7.60295e-06	1.58799e-08	1.91123e-08	5.71018e-06	1.14068e-05	1.13914e-05	1.5196e-05	1.91023e-06	2.46883e-05	1.50707e-08	1.70928e-05	7.62438e-06	5.70889e-06	1.33065e-05	5.71735e-06	1.91377e-06	5.7077e-06	1.92562e-06	1.60846e-08	5.70718e-06	1.39259e-08	7.6125e-06	7.624e-06	5.71401e-06	1.13992e-05	1.80768e-05	1.9127e-06	2.27902e-08	5.70214e-06	1.03279e-08	2.46964e-05	1.52306e-05	7.61532e-06	2.08851e-05	1.38365e-08	1.33044e-05	2.46912e-05	7.61996e-06	1.7087e-05	5.71308e-06	2.80569e-08	1.33028e-05	3.03806e-05	9.50042e-06	1.13857e-05	7.6192e-06	1.14469e-08	2.46936e-05	1.36867e-08	1.32963e-05	1.52026e-05	5.69653e-06	5.54692e-10	5.7018e-06	7.60877e-06	7.5548e-09	1.89849e-05	1.42919e-08	0.00136525
d2_3	0.0251311	9.48847e-06	5.70126e-06	1.14251e-05	1.13965e-05	1.32933e-05	7.60057e-06	1.90486e-06	2.51116e-09	1.14058e-05	5.70829e-06	1.32997e-05	2.65883e-05	1.32962e-05	1.14268e-05	1.70974e-05	7.59744e-06	2.46902e-05	1.14188e-05	1.84434e-08	7.61642e-06	2.97181e-08	9.49945e-06	7.61574e-06	2.46991e-05	2.658e-05	1.14089e-05	2.08941e-05	5.72475e-06	2.27878e-05	1.13993e-05	5.71534e-06	1.13943e-05	9.50557e-06	1.90907e-06	7.61403e-06	9.51677e-06	1.7092e-05	7.59251e-06	2.08979e-05	1.70861e-05	9.50599e-06	8.55795e-06	1.33004e-05	1.04161e-08	1.0452e-05	1.7095e-05	5.71061e-06	1.13899e-05	1.32975e-05	5.7098e-06	1.13972e-05	1.13895e-05	5.71447e-06	1.90918e-06	7.61414e-06	1.32982e-05	7.60562e-06	7.63449e-06	2.8147e-09	1.13974e-05	1.91708e-06	3.54038e-08	1.04549e-05	1.00111e-09	1.1394e-05	5.70492e-06	9.51797e-06	1.70938e-05	5.70816e-06	2.75196e-05	7.62546e-06	5.73368e-06	1.13929e-05	1.70988e-05	1.89935e-05	1.32728e-08	7.79538e-09	1.32926e-05	1.13981e-05	1.33069e-05	7.62157e-06	3.42073e-05	1.89943e-05	1.33121e-05	1.32877e-05	9.50656e-06	2.4693e-05	6.32365e-09	5.71401e-06	1.32868e-05	7.60447e-06	1.23511e-05	1.1398e-05	0.00131605
d2_4	0.0155617	7.62001e-06	7.60929e-06	1.32959e-05	5.70353e-06	5.72451e-06	5.63148e-10	1.70904e-05	5.69647e-06	1.61423e-05	1.25963e-08	5.70587e-06	1.13975e-05	1.91239e-06	1.70896e-05	5.71802e-06	1.13995e-05	5.69642e-06	1.9003e-05	2.65963e-05	1.14146e-05	1.90867e-06	7.61388e-06	1.91367e-06	2.19908e-08	1.90985e-06	1.14054e-05	5.71807e-06	1.89854e-05	1.14163e-05	1.04641e-05	1.899e-05	1.38172e-08	1.14284e-05	1.32912e-05	5.70651e-06	5.7099e-06	5.70607e-06	7.60852e-06	1.70915e-05	5.70284e-06	7.71826e-09	1.14122e-05	1.13978e-05	1.332e-05	5.71429e-06	5.70901e-06	1.61331e-05	1.32952e-05	7.59301e-06	7.61565e-06	2.27761e-05	5.70452e-06	7.60757e-06	1.14072e-05	1.14059e-05	2.84885e-05	1.93878e-06	2.27931e-05	5.71916e-06	1.13911e-05	1.13959e-05	5.71615e-06	1.91411e-06	3.38505e-08	1.89923e-05	5.69724e-06	7.60392e-06	1.65508e-08	1.9089e-06	5.70037e-06	1.06091e-08	7.60774e-06	5.70737e-06	1.93928e-06	1.7087e-05	1.14109e-05	5.73556e-06	7.59715e-06	5.69105e-06	1.32866e-05	5.6932e-06	1.13991e-05	1.52245e-05	5.71086e-06	5.70089e-06	7.6069e-06	1.13984e-05	2.29632e-09	1.3938e-08	5.71838e-06	1.46648e-08	1.32935e-05	5.69984e-06	0.00137375
d2_5	0.0107291	2.84932e-05	5.70194e-06	1.90821e-06	1.70998e-05	5.71537e-06	5.93585e-09	1.9352e-06	1.14005e-05	9.51356e-06	1.99505e-05	1.3325e-05	1.89837e-05	1.52131e-05	9.49982e-06	1.90735e-06	1.70873e-05	9.51325e-06	1.7089e-05	7.60817e-06	1.70922e-05	1.14107e-05	7.67276e-09	8.80297e-09	2.08864e-05	1.90014e-05	3.8184e-06	9.80985e-07	1.70888e-05	1.33159e-05	1.89941e-05	1.13944e-05	8.62714e-09	1.9164e-06	1.13976e-05	1.14002e-05	1.90877e-06	1.33005e-05	2.08949e-05	1.13908e-05	5.69813e-06	7.59988e-06	1.32969e-05	1.1401e-05	2.50727e-08	7.61802e-06	1.91751e-06	5.69944e-06	3.0389e-05	1.6632e-08	1.70967e-05	3.12067e-10	1.91182e-06	1.5199e-05	1.40471e-08	1.13925e-05	8.35495e-09	5.72132e-06	1.33026e-05	1.90041e-05	1.13934e-05	1.89969e-05	1.90071e-05	1.70885e-05	1.42586e-05	6.80251e-09	1.5204e-05	9.51492e-06	1.32992e-05	1.42444e-05	1.33077e-05	1.30158e-08	1.91893e-06	2.19742e-08	5.69755e-06	5.30939e-09	1.14085e-05	1.70831e-05	1.14006e-05	2.46788e-05	1.71052e-05	5.70996e-06	5.70542e-06	7.60516e-06	1.13982e-05	5.96332e-09	1.14011e-05	2.46824e-05	2.65985e-05	2.28005e-05	1.13969e-05	1.9033e-06	5.44242e-09	1.71104e-05	0.0016121
d2_6	0.00770887	2.46774e-05	1.91532e-06	1.33035e-05	5.29065e-09	8.55767e-06	1.70919e-05	1.33009e-05	5.70511e-06	2.8625e-06	1.51912e-05	2.55805e-09	2.09028e-05	1.9126e-06	9.80804e-09	2.08838e-05	1.14039e-05	5.69477e-06	1.10604e-08	5.71114e-06	1.80267e-05	1.1384e-05	1.13996e-05	7.60626e-06	1.14341e-05	2.84819e-05	2.86685e-06	7.47705e-09	9.52264e-06	2.8639e-06	3.81819e-06	1.70881e-05	9.50852e-06	1.14075e-05	5.70705e-06	4.26029e-09	5.71457e-06	5.2843e-09	1.45608e-08	9.50238e-06	5.70284e-06	1.13989e-05	1.70843e-05	5.70968e-06	1.33253e-05	1.9102e-06	3.14301e-08	1.8988e-05	1.52147e-05	1.32963e-05	0	5.70405e-06	1.69634e-08	1.32962e-05	3.60651e-05	1.13974e-05	7.61445e-06	7.59941e-06	5.69989e-06	1.91694e-06	5.71124e-06	9.49454e-06	1.70905e-05	5.69921e-06	1.14012e-05	5.71447e-06	1.90829e-06	5.69676e-06	5.70505e-06	7.59409e-06	3.8272e-06	2.27796e-05	7.60806e-06	1.45287e-08	3.45326e-09	2.65953e-05	7.59854e-06	1.13884e-05	1.32919e-05	7.6031e-06	2.27896e-05	1.13861e-05	1.32917e-05	1.09013e-08	1.70871e-05	1.14148e-05	5.70089e-06	2.2783e-05	2.46728e-05	5.70172e-06	2.43067e-05	5.71346e-06	7.6119e-06	1.14044e-05	0.00118972
d2_7	0.00573708	3.5003e-09	2.7001e-09	1.89846e-05	7.60613e-06	8.18279e-09	1.5202e-05	1.92327e-06	2.4712e-05	1.1398e-05	5.69431e-06	5.71081e-06	1.84941e-08	1.89909e-05	1.14002e-05	3.61448e-09	3.82487e-06	1.14072e-05	1.71051e-05	1.70961e-05	6.07462e-09	7.59416e-06	1.32985e-05	5.71482e-06	1.32883e-05	2.31544e-08	1.92455e-06	1.70893e-05	1.33048e-05	7.60978e-06	1.13941e-05	3.30708e-08	7.59897e-06	1.32997e-05	1.35662e-08	1.14025e-05	2.65795e-05	1.71192e-05	5.69621e-06	1.70837e-05	2.09013e-05	7.61686e-06	3.23013e-05	1.13948e-05	8.68389e-09	9.68057e-07	1.89782e-05	5.71237e-06	2.08793e-05	2.08916e-05	7.54242e-09	5.70208e-06	5.70523e-06	1.13915e-05	1.70821e-05	2.27951e-05	5.7194e-06	1.4412e-08	1.13945e-05	5.70046e-06	7.6019e-06	1.33125e-05	1.13974e-05	5.69587e-06	1.9129e-06	1.90024e-05	1.70905e-05	1.7279e-08	7.60515e-06	1.14039e-05	1.13839e-05	1.91356e-06	1.3302e-05	5.69647e-06	7.59622e-06	1.14043e-05	1.91718e-06	1.33057e-05	2.4744e-08	1.14161e-05	2.27814e-05	1.89953e-05	1.90902e-06	5.69373e-06	3.03618e-05	1.13913e-05	1.93055e-06	7.59561e-06	5.699e-06	5.70714e-06	7.6073e-06	1.13927e-05	2.46963e-05	2.28197e-05	0.00150103
d2_8	0.004585	5.71595e-06	5.69829e-06	1.47345e-08	3.41625e-05	2.0916e-05	1.13942e-05	1.14003e-05	5.70296e-06	5.70743e-06	7.60506e-06	1.13977e-05	3.81426e-06	5.7003e-06	1.71118e-05	1.14065e-05	1.23476e-05	7.60871e-06	1.33044e-05	1.89897e-05	1.14074e-05	2.67929e-08	5.7006e-06	1.14102e-05	1.72335e-08	5.70331e-06	1.89807e-05	5.69858e-06	1.90253e-06	1.92099e-06	7.60337e-06	1.91214e-06	1.65523e-09	7.70287e-09	5.71554e-06	1.37106e-08	1.23467e-08	1.55673e-08	8.01333e-09	7.62476e-06	7.15442e-09	1.89888e-05	6.65559e-06	3.80229e-06	1.547e-08	1.92916e-06	1.14078e-05	8.13269e-09	5.30485e-09	1.70953e-05	5.69903e-06	1.91109e-06	9.50979e-06	7.61483e-06	1.32963e-05	1.90615e-06	7.62112e-06	1.33105e-05	5.70734e-06	1.46296e-08	4.89132e-09	2.27919e-05	5.70288e-06	5.69061e-06	5.69347e-06	1.70929e-05	5.2274e-09	3.83596e-09	1.91971e-06	1.32988e-05	7.59254e-06	1.13811e-05	1.92469e-06	1.89864e-05	1.09912e-08	5.71833e-06	1.33154e-05	1.33047e-05	1.13853e-05	1.9233e-06	5.69761e-06	1.14129e-05	1.14013e-05	1.91205e-06	1.52004e-05	5.72217e-06	1.32928e-05	1.22159e-08	2.09038e-05	5.70217e-06	3.79693e-05	1.13957e-05	1.90035e-05	7.59767e-06	0.00130552
d2_9	0.00351359	1.90545e-06	0	9.80707e-09	1.9148e-06	1.3291e-05	5.70239e-06	1.32975e-05	5.69912e-06	2.73453e-09	5.70523e-06	5.70118e-06	1.13888e-05	1.32978e-05	1.89876e-05	1.71137e-05	5.71299e-06	5.70094e-06	5.70037e-06	5.71196e-06	1.91345e-06	5.69911e-06	7.59963e-06	2.28002e-05	5.69413e-06	1.13984e-05	5.71074e-09	1.91761e-06	1.33089e-05	5.70643e-06	5.70001e-06	2.27868e-05	2.66074e-05	5.70042e-06	5.69259e-06	1.51443e-08	2.27886e-05	1.70847e-05	7.61245e-06	8.90091e-09	1.20313e-08	2.08877e-05	1.13853e-05	1.32942e-05	2.56344e-05	7.6039e-06	1.33044e-05	1.32947e-05	1.90845e-06	1.33041e-05	5.70354e-06	1.51993e-05	1.13901e-05	9.50711e-06	7.61757e-06	2.47209e-05	7.60671e-06	7.9821e-09	7.60335e-06	1.90601e-06	1.1388e-05	5.70952e-06	9.06752e-09	1.52071e-05	5.69607e-06	1.32871e-05	5.7025e-06	5.69624e-06	5.69995e-06	5.7236e-06	7.60778e-06	1.89851e-05	1.3297e-05	2.65686e-05	1.96254e-08	5.71179e-06	2.85541e-06	7.60689e-06	1.13933e-05	1.92229e-06	7.59116e-06	1.79627e-10	7.62768e-06	7.59989e-06	3.20106e-09	1.71013e-05	7.61727e-06	9.98251e-09	1.13977e-05	9.50763e-06	1.33648e-08	3.08736e-08	5.70208e-06	5.69364e-06	0.00143563
