	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62	d1_63	d1_64	d1_65	d1_66	d1_67	d1_68	d1_69	d1_70	d1_71	d1_72	d1_73	d1_74	d1_75	d1_76	d1_77	d1_78	d1_79	d1_80	d1_81	d1_82	d1_83	d1_84	d1_85	d1_86	d1_87	d1_88	d1_89	d1_90	d1_91	d1_92	d1_93	d1_94	d1_95	d1_96	d1_97	d1_98
d3_0	0	0.120166	0.0600882	0.0390833	0.0280277	0.021556	0.0172116	0.0140308	0.0119963	0.0102436	0.00838183	0.00691257	0.00591265	0.00497949	0.00425282	0.0038368	0.00331091	0.00274606	0.00229117	0.00214332	0.00178051	0.00155099	0.00138982	0.00113231	0.000980542	0.000814573	0.000827232	0.000637419	0.000634537	0.000514255	0.000474282	0.000379636	0.000386894	0.000256855	0.000210125	0.000230048	0.00016634	0.000155318	0.000104228	0.000110549	0.000135729	0.000143412	9.16768e-05	4.63375e-05	7.28395e-05	0.000105245	5.20014e-05	4.37071e-05	1.07241e-05	3.10628e-05	1.8758e-05	2.07342e-05	1.25375e-05	8.49248e-08	1.31436e-07	1.23948e-05	7.2606e-06	1.6517e-05	1.44606e-05	1.23822e-05	5.23621e-08	6.19614e-06	1.23518e-05	1.43722e-05	2.09678e-06	6.1767e-06	1.23407e-05	2.14424e-08	6.16583e-06	6.17333e-06	4.47173e-09	6.1653e-06	6.15962e-06	5.00492e-10	3.15883e-09	3.56132e-10	9.65224e-11	4.95316e-09	4.35943e-09	2.06808e-10	9.15803e-10	1.85727e-10	8.82943e-11	0	1.90124e-10	0	0	1.95308e-11	1.24094e-11	1.05278e-08	0	0	1.7409e-12	0	0	0	0	0	0
d3_1	0.0688659	7.25038e-05	7.45032e-05	5.79598e-05	8.05909e-05	0.000101172	3.32694e-05	3.53248e-05	2.91969e-05	5.99587e-05	2.09732e-05	2.60367e-05	2.50311e-05	6.60295e-05	5.06743e-05	2.91156e-05	3.93558e-05	1.46195e-05	3.32401e-05	8.03786e-05	3.41298e-05	4.33363e-05	4.33859e-05	4.95599e-05	3.9273e-05	3.92213e-05	4.74649e-05	2.28682e-05	3.09196e-05	1.86686e-05	2.8915e-05	2.47464e-05	8.32868e-06	1.24164e-05	6.27856e-06	1.85841e-05	2.26579e-05	1.86069e-05	3.91659e-05	2.15435e-06	6.2255e-06	2.47346e-05	6.23322e-06	1.85305e-05	6.26033e-06	8.2821e-06	6.22164e-06	1.23748e-05	1.03272e-05	1.60051e-08	1.23726e-05	6.1979e-06	4.87353e-08	1.85127e-05	1.87277e-08	4.70889e-08	7.6508e-09	3.98549e-08	8.26167e-06	6.17582e-06	1.05264e-08	1.64935e-09	6.18272e-06	6.16892e-06	1.48639e-08	4.45712e-09	5.10865e-09	4.8864e-09	7.46125e-10	5.45798e-09	3.86804e-09	6.18288e-06	2.1107e-10	1.26126e-09	1.25232e-10	9.43135e-11	3.8145e-11	1.63925e-12	4.5561e-11	5.94313e-09	2.2033e-11	2.60269e-09	4.29713e-11	0	0	0	0	2.62285e-11	0	0	0	0	0	0	0	0	0	0	0
d3_2	0.0292102	3.74803e-05	3.03249e-05	2.51987e-05	3.43335e-05	3.73599e-05	7.54589e-05	6.61231e-05	4.75923e-05	4.14925e-05	2.90682e-05	5.99597e-05	2.70308e-05	2.0875e-05	3.7176e-05	4.14167e-05	6.71325e-05	2.70161e-05	3.72219e-05	5.56094e-05	2.48467e-05	3.11356e-05	5.25652e-05	2.89339e-05	4.1316e-05	6.58884e-05	3.91779e-05	1.25174e-05	2.47596e-05	8.38968e-06	6.27851e-06	2.68406e-05	1.58101e-07	2.06882e-05	6.24131e-06	2.26707e-05	1.85853e-05	6.25894e-06	1.61047e-05	1.24404e-05	1.23656e-05	6.26003e-06	6.24224e-06	1.23578e-05	6.21803e-06	6.63602e-08	6.18503e-06	6.20557e-06	8.24309e-06	3.66943e-08	1.44476e-05	1.9068e-08	3.77106e-08	8.25588e-06	1.23736e-05	1.46839e-08	6.20454e-06	1.23458e-05	6.19109e-06	2.77205e-08	1.1215e-08	6.17675e-06	2.36716e-08	1.59824e-09	2.07729e-06	1.39103e-08	1.06215e-08	1.70187e-08	6.67785e-10	6.17529e-06	2.77294e-09	4.32614e-09	2.59834e-08	4.02813e-09	6.52732e-11	5.96777e-11	1.04766e-10	9.35125e-09	1.05092e-10	7.75932e-10	1.44392e-10	1.10527e-11	1.62116e-09	8.18178e-09	2.00817e-09	6.66783e-09	1.21249e-10	0	0	0	5.56943e-10	0	4.81192e-12	0	0	0	0	0	3.24147e-09
d3_3	0.0165909	2.71637e-05	7.04141e-05	3.95236e-05	4.76511e-05	4.34685e-05	5.69605e-05	2.60693e-05	2.7144e-05	4.72237e-05	2.50348e-05	1.26533e-05	5.99515e-05	3.51797e-05	5.16539e-05	4.14448e-05	1.87033e-05	6.59619e-05	3.52708e-05	2.49465e-05	5.36372e-05	3.41787e-05	4.13323e-05	1.05209e-05	1.66195e-05	1.66222e-05	1.45855e-05	3.30456e-05	3.50949e-05	8.40618e-06	2.0642e-05	2.69398e-05	2.68616e-05	1.65267e-05	1.24573e-05	9.31904e-08	3.29799e-05	1.85541e-05	1.33427e-07	3.08654e-05	2.78208e-05	1.45009e-05	6.24132e-06	6.22796e-06	8.9602e-08	8.28061e-06	1.85361e-05	2.12344e-06	2.05946e-05	1.44391e-05	1.23667e-05	6.18401e-06	1.06649e-06	6.23271e-06	6.17565e-06	2.86783e-08	2.21382e-08	6.20639e-06	2.07139e-06	8.30103e-06	1.36987e-08	6.00391e-09	6.18463e-06	3.78587e-09	6.22612e-09	3.31833e-08	6.19804e-06	1.17492e-08	6.17998e-06	5.34618e-09	7.52148e-09	4.18604e-10	2.7305e-08	4.35316e-09	1.60936e-09	6.17043e-06	7.71855e-09	1.25441e-09	7.09264e-09	6.92528e-11	2.5522e-11	2.46537e-09	2.28107e-09	1.58065e-11	1.13004e-09	0	0	9.19984e-11	0	0	0	0	0	0	0	0	0	0	0
d3_4	0.0105856	2.71869e-05	4.14517e-05	2.30339e-05	3.74127e-05	4.16037e-05	2.09958e-05	3.94748e-05	3.11759e-05	2.09306e-05	4.97098e-05	2.90837e-05	4.13042e-05	4.76454e-05	5.37603e-05	3.72616e-05	2.4955e-05	1.25215e-05	5.58419e-05	1.25351e-05	3.93615e-05	2.89605e-05	1.26046e-05	1.87122e-05	1.46117e-05	2.37812e-05	8.39707e-06	4.94223e-05	4.95352e-05	1.8636e-05	2.68693e-05	1.86459e-05	6.31491e-06	1.8649e-05	1.27842e-07	1.44945e-05	1.24626e-05	8.30788e-06	1.09286e-07	1.86162e-05	1.85589e-05	6.23034e-06	3.91069e-05	8.29543e-06	1.23834e-05	2.47436e-05	2.88053e-05	1.44341e-05	1.85652e-05	8.3028e-06	2.47588e-05	1.23941e-05	1.85271e-05	6.21492e-06	2.9671e-08	6.26889e-06	6.21983e-06	3.5825e-08	1.85286e-05	2.89343e-08	1.65887e-08	6.16022e-06	3.04637e-08	6.18822e-06	8.22883e-06	8.23864e-09	6.16247e-06	6.15981e-06	1.92191e-09	1.43038e-09	1.33449e-09	8.2307e-06	6.16026e-06	2.40146e-09	3.41347e-10	1.695e-10	2.07009e-06	6.15237e-06	5.20786e-09	2.0912e-09	2.01505e-09	6.17071e-06	1.39772e-08	6.57707e-11	3.79413e-11	9.05673e-11	1.16407e-10	0	0	0	0	0	0	0	0	0	3.54155e-12	0	0
d3_5	0.00713555	1.27372e-05	4.76198e-05	3.73655e-05	1.25867e-05	5.17363e-05	5.7814e-05	4.75873e-05	2.9074e-05	7.01516e-05	1.05824e-05	2.69722e-05	1.46724e-05	4.34945e-05	2.59668e-05	2.70739e-05	4.74628e-05	3.10122e-05	2.90593e-05	5.76943e-05	4.64182e-05	4.33628e-05	1.45943e-05	4.74516e-05	6.32337e-06	2.70312e-05	4.53605e-05	2.07095e-05	2.89404e-05	1.86279e-05	5.16182e-05	2.06754e-05	4.33084e-05	1.0421e-05	3.09711e-05	2.68651e-05	6.25167e-06	2.47409e-05	4.32616e-05	2.07024e-05	8.31778e-06	2.06266e-05	2.88517e-05	1.85815e-05	2.67428e-05	2.0629e-05	1.23979e-05	3.08512e-05	6.20567e-06	6.55791e-08	2.16511e-05	1.23939e-05	8.25991e-06	6.22466e-06	1.64885e-05	1.54173e-08	6.19369e-06	6.20239e-06	2.19743e-08	1.62174e-08	2.13909e-08	1.23489e-05	2.08813e-06	3.91738e-08	1.23381e-05	4.69674e-08	2.84245e-08	1.00126e-08	2.49627e-08	9.23995e-06	4.35797e-09	7.21785e-09	1.2446e-08	6.16605e-06	6.95891e-09	8.72529e-09	1.32629e-08	1.38405e-08	4.52358e-11	1.23193e-08	1.0243e-10	1.51231e-08	8.21079e-06	6.20097e-11	8.218e-06	1.8888e-09	1.37064e-08	1.85377e-09	0	1.03478e-08	3.25783e-09	1.13685e-10	5.41128e-11	0	0	0	0	0	0
d3_6	0.00505718	3.31892e-05	2.70912e-05	5.38573e-05	4.55753e-05	3.94268e-05	5.36862e-05	4.86746e-05	5.3805e-05	4.75841e-05	5.77986e-05	4.34705e-05	1.87235e-05	3.72916e-05	2.70202e-05	6.59679e-05	4.95117e-05	2.2916e-05	6.08719e-05	3.31035e-05	1.86939e-05	1.86384e-05	4.74522e-05	1.87792e-05	5.15632e-05	5.55961e-05	3.51467e-05	3.10104e-05	6.18589e-05	1.45483e-05	3.40709e-05	3.30093e-05	1.45836e-05	2.27544e-05	1.24473e-05	6.28919e-06	2.6884e-05	2.06864e-05	2.18088e-06	2.89211e-05	4.5295e-05	1.24316e-05	2.47275e-05	6.27568e-06	6.28216e-06	1.24164e-05	6.22855e-06	2.4769e-05	1.85988e-05	1.86092e-05	2.46884e-05	1.85318e-05	1.23744e-05	1.23795e-05	1.44132e-05	2.11917e-08	1.44118e-05	1.44356e-05	1.85608e-05	8.24075e-06	6.16701e-06	1.62639e-08	2.5793e-08	4.24177e-08	3.94546e-08	1.23438e-05	1.31842e-08	5.11494e-08	1.19116e-08	8.75902e-09	2.08992e-06	6.03404e-09	4.02599e-09	2.20518e-08	1.95009e-10	6.17936e-06	6.86232e-09	8.22489e-06	8.22689e-06	1.15234e-08	4.31146e-09	7.47203e-10	6.16792e-06	9.21839e-09	7.16054e-11	3.51417e-11	1.15142e-09	0	0	6.1679e-06	0	7.31731e-11	2.60517e-09	0	0	0	0	0	0
d3_7	0.00372223	2.28952e-05	3.52432e-05	2.0884e-05	2.70666e-05	4.14159e-05	4.14575e-05	3.73733e-05	3.5246e-05	2.49203e-05	3.73168e-05	4.95641e-05	5.16385e-05	6.40247e-05	4.55244e-05	4.959e-05	3.93689e-05	2.74058e-07	3.92678e-05	3.31909e-05	2.6989e-05	5.16368e-05	3.51737e-05	2.68798e-05	2.70291e-05	3.51055e-05	2.6918e-05	8.23282e-05	4.32987e-05	4.94658e-05	1.86829e-05	1.45862e-05	1.45808e-05	1.86089e-05	3.30312e-05	1.86434e-05	3.91841e-05	1.65614e-05	1.24863e-05	2.68047e-05	2.06295e-05	1.10441e-07	1.2444e-05	1.24157e-05	4.52912e-05	1.23993e-05	2.06149e-05	3.08923e-05	8.24337e-06	1.6474e-05	2.05769e-05	1.23897e-05	8.25136e-06	2.67754e-05	9.24985e-08	1.23439e-05	6.19913e-06	6.21042e-06	4.90172e-08	2.05761e-05	6.18757e-06	1.23561e-05	1.60042e-08	6.18727e-06	1.11133e-08	6.17385e-06	4.25287e-09	1.44006e-05	2.08278e-06	6.18678e-06	6.17715e-06	5.55222e-09	2.48269e-08	3.57584e-08	6.17374e-06	2.06079e-06	6.16634e-06	7.78229e-09	7.08244e-09	2.46662e-10	6.52606e-12	6.16793e-06	7.67642e-11	1.66409e-10	5.66231e-11	3.94425e-09	8.20898e-06	7.7505e-10	4.03757e-13	1.36543e-11	0	6.18073e-11	6.1579e-11	6.16789e-06	0	0	0	0	0
d3_8	0.00270014	3.93704e-05	5.99316e-05	2.49548e-05	3.51877e-05	1.47773e-05	3.31229e-05	2.09318e-05	3.31012e-05	1.26468e-05	1.47011e-05	1.25245e-05	8.50269e-06	4.95756e-05	3.31437e-05	3.52348e-05	6.59942e-05	2.69499e-05	4.95501e-05	2.49045e-05	1.66234e-05	2.27116e-05	2.89694e-05	6.35399e-06	2.07335e-05	4.95812e-05	1.46473e-05	8.42563e-06	2.69191e-05	5.56492e-05	4.84351e-05	2.89317e-05	3.2493e-06	2.69155e-05	2.48385e-05	3.50949e-05	3.70554e-05	6.25457e-06	2.58128e-05	5.1459e-05	1.44841e-05	1.85733e-05	1.2448e-05	1.65472e-05	1.85548e-05	1.17875e-07	3.29436e-05	9.21007e-08	3.49841e-05	1.85448e-05	1.23852e-05	1.08023e-07	1.23619e-05	7.35895e-08	8.2614e-06	3.05496e-08	2.67261e-05	6.21318e-06	3.90607e-05	1.23731e-05	8.25909e-06	2.84798e-08	9.99035e-09	2.09584e-06	2.05996e-05	6.1815e-06	6.15835e-06	6.17156e-06	6.20978e-06	6.198e-06	9.15264e-09	1.18317e-08	1.9585e-08	8.24166e-06	8.2474e-06	1.43891e-08	1.92315e-08	9.39982e-09	1.8541e-09	1.55381e-08	2.11605e-08	1.38139e-08	3.99225e-11	2.57636e-10	3.89779e-09	3.7012e-09	1.23365e-05	3.41034e-09	0	0	8.14543e-11	1.9632e-11	0	1.00535e-09	0	0	0	0	2.41211e-09
d3_9	0.00204299	3.1021e-05	2.70178e-05	3.32906e-05	4.54588e-05	2.08491e-05	6.1913e-05	1.87645e-05	5.26618e-05	5.57937e-05	3.3176e-05	4.13839e-05	5.99448e-05	1.46472e-05	1.87698e-05	4.95937e-05	4.12892e-05	4.64073e-05	4.35259e-05	1.2593e-05	8.65561e-05	6.09024e-05	3.30983e-05	3.1039e-05	3.30431e-05	6.42804e-06	3.10133e-05	1.04534e-05	4.6416e-05	1.24944e-05	2.89138e-05	5.25985e-05	3.51036e-05	1.45163e-05	1.86292e-05	1.86864e-05	3.30861e-05	2.4788e-05	3.71508e-05	2.68751e-05	3.29748e-05	3.09248e-05	1.65755e-05	8.33847e-06	8.74069e-08	6.28308e-06	1.86261e-05	1.23819e-05	2.27139e-05	3.70675e-05	1.85614e-05	1.54835e-05	8.23742e-06	6.2057e-06	3.91314e-05	8.88512e-08	1.23925e-05	5.62062e-08	6.22122e-06	6.90055e-08	3.08337e-05	3.1296e-08	4.41304e-08	2.46849e-05	1.23437e-05	6.18793e-06	8.24086e-06	2.57271e-08	2.28239e-08	3.10995e-08	2.75402e-08	1.88511e-08	4.85263e-08	3.17779e-08	1.54642e-08	1.23358e-05	1.85029e-05	6.15252e-06	5.90525e-09	3.94212e-09	1.64473e-09	3.05937e-09	1.80035e-09	3.41853e-09	2.70245e-09	1.51032e-09	1.66114e-10	6.16797e-06	6.59525e-11	1.10339e-10	9.50595e-09	0	0	0	2.42803e-11	4.72063e-09	2.04515e-11	2.75225e-11	0
