	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d3_0	0	0.0107406	0.00597715	0.00453113	0.00370579	0.00356457	0.00296157	0.00276837	0.00255603	0.00263399	0.00239913	0.00235436	0.00229522	0.00215413	0.00226013	0.00229019	0.00224227	0.00174474	0.00216361	0.00201963	0.00189269	0.00196552	0.00187734	0.00175846	0.00189704	0.00186286	0.00169396	0.00168078	0.00174794	0.0017971	0.00167881	0.00197048	0.00179478	0.00169181	0.00189852	0.00164908	0.00172508	0.0017417	0.00173945	0.0017435	0.00153668	0.0016183	0.0017843	0.00189551	0.00175873	0.0017029	0.0014835	0.00164964	0.00159561	0.00166768	0.00161461	0.00168202	0.00167781	0.00149667	0.00182428	0.0014883	0.00156421	0.00150788	0.00165186	0.00145041	0.00162065	0.00162802	0.00147806	0.00152002	0.00157441	0.00176368	0.00154839	0.0015833	0.00161622	0.00170005	0.00147804	0.00139797	0.00156466	0.00141825	0.00149929	0.00136848	0.001507	0.00148526	0.00150879	0.00139498	0.00154193	0.00164784	0.00146577	0.00154906	0.00145254	0.00150091	0.00140473	0.00148452	0.00151403	0.00147395	0.00162186	0.00166299	0.00149486	0.00141563	0.160446
d3_1	0.0732298	8.40032e-09	6.51389e-06	9.66686e-09	6.51494e-06	1.55459e-08	6.51028e-06	1.49327e-08	6.51416e-06	6.51796e-06	2.17082e-05	8.68782e-06	1.30259e-05	1.95366e-05	1.04399e-09	0	1.00426e-08	8.69122e-06	5.00377e-09	6.50442e-06	3.69228e-09	1.30563e-05	6.51466e-06	6.93788e-09	1.30312e-05	1.84643e-09	3.71751e-09	6.51709e-06	3.05328e-09	0	4.52975e-10	6.51516e-06	0	6.5087e-06	6.51433e-06	6.53384e-06	8.19567e-09	1.01844e-09	6.50856e-06	6.5202e-06	9.76734e-06	1.51967e-05	4.34986e-09	1.52095e-05	2.17589e-06	6.51398e-06	2.17726e-06	8.68986e-06	2.17244e-06	1.88345e-09	4.61099e-10	6.51338e-06	6.51547e-06	2.17961e-06	1.30294e-05	2.1813e-06	0	6.51406e-06	6.5102e-06	1.52156e-05	3.52931e-09	4.18547e-09	3.26118e-06	6.50335e-06	8.09886e-09	4.48733e-09	0	6.51608e-06	6.52581e-06	1.51888e-05	6.51296e-06	9.81722e-09	1.53512e-09	6.50549e-06	4.82386e-09	6.50335e-06	6.511e-06	0	6.3662e-09	1.52028e-05	1.95465e-05	6.51604e-06	1.98413e-09	6.5066e-06	8.68129e-06	6.51186e-06	4.47538e-09	8.68123e-06	1.00321e-08	4.03453e-09	6.51063e-06	6.50355e-06	0	1.27628e-08	0.000622993
d3_2	0.0314356	8.92189e-09	8.6926e-06	7.60522e-06	1.70211e-09	6.50388e-06	1.56917e-09	8.68384e-06	2.18138e-06	6.50615e-06	6.50335e-06	3.4735e-05	9.43182e-09	1.53535e-12	5.90258e-09	6.51153e-06	6.51238e-06	1.30271e-05	9.46421e-10	8.68601e-06	7.68207e-09	6.51025e-06	6.89556e-09	6.51128e-06	2.1792e-06	3.08787e-09	1.08521e-05	0	6.53115e-06	6.50913e-06	1.49846e-08	9.50875e-09	5.30067e-09	4.62463e-09	1.30261e-05	6.69858e-09	6.50619e-06	6.5134e-06	2.42363e-09	6.51799e-06	4.37978e-09	8.68573e-06	2.23003e-09	8.68359e-06	1.51806e-05	2.94123e-09	1.65634e-09	1.30261e-05	0	6.51216e-06	2.17212e-06	1.08721e-05	1.25956e-09	8.67407e-06	1.11353e-06	0	7.15814e-09	6.50335e-06	2.17902e-06	9.38802e-09	7.29954e-09	8.68324e-06	1.3416e-08	4.03419e-09	8.69661e-06	0	0	6.51633e-06	2.17932e-06	1.51945e-05	1.7807e-08	1.51956e-05	6.51001e-06	6.5109e-06	0	1.51832e-05	1.81262e-09	6.5209e-06	6.51986e-06	6.51305e-06	2.17163e-05	6.50431e-06	6.52718e-06	6.51735e-06	2.17366e-06	6.50754e-06	7.14287e-09	1.30152e-05	0	1.51548e-08	0	6.52728e-06	1.00841e-08	6.52532e-06	0.000649007
d3_3	0.0180649	6.52645e-06	1.30261e-05	2.17546e-06	1.13188e-08	7.59104e-09	6.52141e-06	1.52014e-05	6.52836e-06	1.73721e-05	3.92045e-09	8.70024e-06	1.30277e-05	6.51525e-06	2.18812e-06	8.39697e-09	0	4.94754e-09	4.38538e-09	2.1691e-05	7.91448e-09	6.51324e-06	6.50335e-06	3.11396e-09	2.17115e-05	4.46806e-09	1.51965e-05	6.50978e-06	0	6.50643e-06	4.64922e-09	8.67782e-06	1.9074e-09	8.69306e-06	0	0	2.18055e-06	2.01448e-08	1.30256e-05	8.69376e-06	1.06539e-09	6.50849e-06	1.30249e-05	6.5155e-06	6.50834e-06	5.56198e-09	3.42832e-09	8.6822e-06	0	8.68038e-06	6.51281e-06	2.19063e-06	6.02271e-09	0	8.62408e-09	6.51918e-06	2.18095e-06	6.52205e-06	6.51935e-06	1.30258e-05	2.18508e-06	1.95263e-05	6.52016e-06	4.36306e-06	0	1.08567e-05	0	1.32738e-09	4.75318e-09	8.28918e-09	6.50442e-06	2.92552e-09	1.30286e-05	1.40471e-09	2.27808e-05	6.51166e-06	6.50432e-06	2.36986e-10	9.34369e-09	8.69155e-06	0	1.29713e-10	6.50853e-06	6.51221e-06	1.95565e-05	2.17787e-06	1.95157e-05	2.17776e-06	1.08614e-05	6.50335e-06	6.51278e-06	6.50978e-06	0	2.14797e-09	0.000659863
d3_4	0.0117217	2.17171e-05	1.51919e-05	6.5152e-06	4.52587e-09	1.61016e-08	1.30068e-05	9.93038e-09	8.69407e-06	6.74421e-10	1.56857e-09	7.70698e-09	5.54633e-10	6.86689e-09	6.52374e-06	2.18891e-06	6.5173e-06	1.30274e-05	8.69068e-06	0	1.88033e-09	6.52103e-06	5.09518e-09	3.46263e-09	1.30214e-05	6.52235e-06	1.51998e-05	1.30202e-05	1.87897e-09	0	1.74347e-08	1.30385e-05	6.68181e-09	6.52187e-06	6.50815e-06	1.30191e-05	7.24517e-09	2.18243e-06	7.60635e-09	9.26405e-09	6.24216e-11	1.30211e-05	8.37606e-09	6.76243e-09	6.51344e-06	9.62136e-09	1.2777e-09	1.51976e-05	8.67959e-06	1.84539e-05	1.30166e-05	7.74565e-10	1.37201e-09	3.176e-09	2.1821e-06	2.18402e-06	6.51469e-06	6.51364e-06	0	6.52823e-06	6.51346e-06	1.1562e-08	5.31665e-09	2.1848e-06	9.19283e-09	6.51998e-06	5.77982e-09	6.52003e-06	4.9173e-09	1.46994e-08	3.39698e-09	5.38534e-09	6.50757e-06	4.44998e-09	1.93056e-09	0	6.99937e-09	1.30197e-05	1.95228e-05	2.82521e-08	1.95277e-05	6.52041e-06	3.00471e-09	6.51993e-06	6.51274e-06	5.11563e-10	6.51693e-06	2.17728e-06	1.302e-05	8.6947e-06	6.50928e-06	6.28559e-10	9.61265e-09	1.30208e-05	0.000696809
d3_5	0.00813871	0	6.51534e-06	8.68663e-06	2.1761e-06	5.34562e-09	1.68519e-08	6.51756e-06	2.19074e-06	6.51612e-06	6.51107e-06	1.51719e-08	4.17074e-09	6.51329e-06	6.53094e-06	6.51344e-06	1.3015e-05	6.50795e-06	1.313e-10	1.51945e-05	1.30375e-05	2.17153e-06	6.50918e-06	6.51653e-06	8.68377e-06	6.49988e-09	6.50694e-06	1.30295e-05	1.65209e-09	4.3456e-06	5.88497e-09	1.4417e-08	2.17642e-06	4.844e-09	6.50527e-06	0	1.0557e-09	1.51946e-05	1.30177e-05	2.38781e-05	0	3.83613e-09	6.51582e-06	1.51863e-05	8.44221e-09	2.17004e-05	1.30248e-05	2.56634e-09	4.74455e-09	1.30258e-05	2.8931e-09	4.09621e-09	1.70281e-09	0	1.02001e-08	1.45893e-09	1.77094e-08	1.95409e-05	8.68436e-06	7.10891e-09	6.51081e-06	6.51347e-06	0	7.79494e-09	2.44755e-09	6.51367e-06	3.03289e-09	6.51592e-06	6.57822e-09	7.24442e-09	6.51302e-06	0	6.50704e-06	1.30231e-05	3.14283e-09	6.51604e-06	0	1.52218e-05	1.3033e-05	6.52173e-06	0	6.51001e-06	6.52518e-06	2.17867e-06	3.78696e-09	2.76254e-10	0	6.51405e-06	8.68795e-06	0	6.53112e-06	6.51246e-06	0	6.48235e-09	0.000757487
d3_6	0.00602919	2.17711e-06	3.07877e-09	5.226e-09	1.44894e-08	6.51072e-06	8.68077e-06	3.23722e-09	6.22173e-09	8.69578e-06	1.30273e-05	7.59193e-09	1.84617e-09	6.50718e-06	8.68809e-06	0	6.51765e-06	2.1789e-06	6.71687e-10	0	2.18802e-06	0	3.82394e-09	6.51378e-06	6.5159e-06	6.50488e-06	3.51833e-09	0	1.55637e-09	4.46296e-09	0	1.131e-08	4.62373e-09	6.50751e-06	1.30249e-05	1.30361e-05	1.95466e-05	1.30157e-05	1.26081e-08	1.08576e-05	2.18212e-06	1.30338e-05	3.06437e-10	0	6.5178e-06	0	2.51379e-09	6.51384e-06	3.83496e-09	6.51425e-06	0	5.26109e-09	6.50335e-06	2.17706e-06	7.57214e-09	6.52879e-06	0	0	6.5226e-06	6.50345e-06	0	2.55025e-09	7.07917e-09	6.51135e-06	6.50568e-06	0	6.50923e-06	6.51439e-06	2.17235e-05	3.34325e-09	6.51645e-06	6.51586e-06	3.07766e-09	3.42376e-09	1.45459e-08	1.55432e-08	8.68133e-06	6.51469e-06	6.51388e-06	6.51706e-06	8.67889e-06	2.17707e-06	1.30245e-05	8.68045e-06	0	1.30341e-05	1.30405e-05	1.26646e-08	0	0	2.08421e-09	7.58144e-09	6.50785e-06	1.62735e-05	0.00072824
d3_7	0.00445632	6.5143e-06	7.62293e-06	6.51128e-06	3.02965e-09	5.48044e-09	1.78849e-09	1.18909e-08	8.68066e-06	2.09087e-09	6.51533e-06	1.7309e-08	8.68283e-06	8.68083e-06	6.51213e-06	5.02913e-09	1.30315e-05	2.93532e-09	9.10786e-10	6.50583e-06	0	0	1.30319e-05	0	7.95896e-09	5.33558e-09	1.72838e-09	6.51365e-06	6.50915e-06	6.52162e-06	5.69173e-09	8.68017e-06	0	0	6.50845e-06	6.52148e-06	6.51832e-06	0	3.72769e-09	6.5273e-06	8.35902e-09	1.5201e-05	6.59424e-09	8.67604e-06	0	6.10433e-09	0	8.69076e-06	0	0	1.22242e-08	6.39539e-09	1.25455e-09	8.69358e-06	7.1965e-10	0	2.37065e-09	4.17674e-09	4.90899e-09	6.50694e-06	1.30186e-05	1.08954e-08	1.30329e-05	2.14864e-09	0	4.35435e-06	0	8.68179e-06	0	6.51146e-06	1.41804e-08	1.06345e-09	1.30247e-05	6.51818e-06	1.30271e-05	8.68446e-06	2.39105e-09	0	3.57839e-09	4.27589e-09	6.52204e-06	3.84809e-09	2.96135e-09	1.63942e-08	6.51936e-06	2.17433e-06	1.10731e-09	6.51141e-06	0	1.79378e-08	1.3029e-05	0	2.95915e-09	6.51178e-06	0.000766181
d3_8	0.00349549	4.84352e-09	1.30297e-05	8.69046e-06	2.18642e-06	8.96556e-09	8.68916e-06	1.08581e-05	1.3033e-05	1.44295e-08	1.06726e-08	2.18079e-06	2.17295e-06	1.30349e-05	8.69904e-06	1.45232e-09	3.28588e-11	8.67865e-06	6.5205e-06	6.5142e-06	1.06954e-09	5.79584e-09	2.18405e-06	6.50963e-06	6.51608e-06	8.68536e-06	1.51881e-05	5.31429e-09	6.50517e-06	0	6.50931e-06	6.51437e-06	2.8207e-05	4.97154e-09	1.30413e-05	1.52035e-05	4.50736e-09	1.30213e-05	6.51409e-06	6.50957e-06	2.821e-09	3.63542e-10	6.53007e-06	1.34646e-09	3.41652e-09	5.72392e-09	3.03753e-05	7.00892e-09	8.68206e-06	9.21492e-09	6.51381e-06	3.28655e-09	6.51694e-06	3.66538e-09	6.53631e-06	8.68313e-06	5.5818e-09	6.52359e-06	6.51401e-06	0	2.18297e-06	9.74848e-10	0	0	6.98946e-09	2.17632e-06	0	9.32102e-09	6.50946e-06	1.2794e-08	8.67586e-06	1.52007e-05	8.68375e-06	0	4.2961e-09	4.18241e-09	6.52258e-06	1.63315e-08	6.51333e-06	2.18267e-09	7.58343e-09	7.60688e-06	6.50535e-06	6.52313e-06	0	1.51911e-05	8.10105e-09	6.51506e-06	4.40714e-09	6.78163e-09	1.31635e-08	2.74551e-09	8.68492e-06	8.67651e-06	0.000738055
d3_9	0.00293319	2.1728e-06	8.68979e-06	0	6.51669e-06	1.39642e-09	6.23872e-09	0	9.15953e-09	4.3554e-06	6.5101e-06	0	1.30177e-05	1.51893e-05	7.1372e-09	1.30267e-05	6.51647e-06	0	1.08688e-05	8.68221e-06	1.95335e-05	6.52008e-06	5.60002e-09	6.50747e-06	0	6.51409e-06	6.53618e-06	1.05897e-08	2.99227e-10	6.50996e-06	1.02071e-08	1.30172e-05	6.51351e-06	1.30288e-05	1.30345e-05	1.66113e-08	1.95388e-05	6.5153e-06	6.1871e-09	2.17977e-06	1.08625e-05	6.52735e-06	1.3028e-05	7.04105e-09	1.30301e-05	0	6.50823e-06	0	6.51329e-06	2.52921e-09	6.51608e-06	1.82779e-08	1.5213e-05	5.68534e-09	2.60994e-09	0	2.18252e-06	8.68471e-06	6.50607e-06	6.51627e-06	1.3025e-05	5.60871e-10	2.17832e-06	6.51914e-06	4.7553e-09	6.50335e-06	8.68656e-06	6.50335e-06	5.32053e-09	2.19598e-11	4.46084e-09	3.25148e-09	1.85426e-09	6.4884e-09	8.318e-09	3.77378e-09	0	6.51074e-06	6.51638e-06	1.50543e-09	8.69494e-06	8.9153e-09	1.30144e-05	8.67883e-06	1.30202e-05	1.5203e-05	6.5127e-06	0	1.87628e-09	4.55678e-09	5.58254e-10	6.51349e-06	2.17706e-06	6.50703e-06	0.000555745
d3_10	0.00224806	2.17188e-05	2.1404e-09	1.33596e-08	6.51133e-06	1.09104e-09	8.67238e-06	6.51606e-06	2.17137e-05	2.42676e-09	1.30287e-05	0	8.68251e-06	5.26682e-09	4.73534e-10	0	1.30114e-05	8.69619e-06	9.11862e-09	8.69468e-06	6.51257e-06	9.81809e-09	1.34115e-08	1.15691e-09	7.66503e-09	2.03811e-08	1.30358e-05	7.1321e-09	6.51555e-06	6.52265e-06	7.41509e-09	3.59496e-09	1.19514e-09	6.5135e-06	6.51318e-06	8.68919e-06	0	2.05235e-09	8.69708e-06	5.70895e-09	1.80203e-09	5.99216e-09	6.51667e-06	6.17953e-10	6.52275e-06	5.43477e-10	0	8.68993e-06	3.33761e-09	0	0	0	2.69323e-09	1.08081e-08	2.17671e-06	2.1793e-06	2.17881e-06	6.51179e-06	2.34566e-09	1.3015e-05	6.51209e-06	0	6.51157e-06	4.27492e-10	4.08238e-09	1.75344e-08	6.50515e-06	6.52073e-06	1.87534e-09	1.30199e-05	6.51224e-06	8.67887e-06	2.1783e-06	6.51877e-06	7.85076e-09	1.62738e-05	6.16235e-10	6.22738e-09	6.51748e-06	1.08669e-05	0	0	1.95366e-05	6.50612e-06	8.69326e-06	0	8.13985e-09	1.30233e-05	8.0286e-09	6.50728e-06	6.51482e-06	1.30067e-05	6.50875e-06	6.51928e-06	0.000720566
d3_11	0.00206847	2.30973e-09	7.61852e-10	6.50971e-06	1.15859e-09	6.51663e-06	6.5113e-06	1.5191e-05	6.5052e-06	1.17743e-08	2.17931e-06	2.39706e-09	1.30324e-05	6.50933e-06	6.51016e-06	5.98551e-12	2.17941e-06	0	2.18391e-06	1.519e-05	1.30231e-05	6.52744e-06	0	8.68327e-06	0	2.17983e-06	6.51402e-06	0	2.17123e-06	6.64087e-09	6.50754e-06	3.79425e-09	3.22904e-09	6.51184e-06	6.51773e-06	1.30338e-05	1.87501e-10	3.62046e-09	1.02408e-08	6.50741e-06	6.51359e-06	2.17757e-06	8.69316e-06	6.51343e-06	1.30265e-05	0	6.51288e-06	2.18801e-06	8.68106e-06	0	4.56069e-09	6.50798e-06	7.02055e-09	4.8057e-10	1.37853e-09	1.3182e-08	1.01968e-08	6.51503e-06	6.51331e-06	6.51546e-06	1.51963e-05	6.50731e-06	2.19284e-06	5.50966e-09	1.70086e-09	2.16978e-05	8.68272e-06	8.69119e-06	2.03602e-08	8.67872e-06	4.91199e-10	8.79358e-09	1.56114e-08	1.30247e-05	2.18229e-06	1.49845e-08	6.51854e-06	0	8.70613e-06	0	1.64971e-09	2.79673e-09	8.69161e-06	6.51309e-06	8.68052e-06	4.38119e-10	2.23796e-09	2.17386e-06	9.77671e-06	6.59146e-09	6.3098e-09	1.19643e-08	8.69419e-06	1.35489e-09	0.000720713
d3_12	0.00170493	0	6.50618e-06	6.52003e-06	6.51537e-06	0	1.19063e-09	0	6.51121e-06	9.65304e-09	7.47635e-09	2.17436e-06	7.90074e-09	1.3016e-05	6.53079e-06	6.51836e-06	0	1.08644e-05	4.35406e-06	2.1694e-05	1.30327e-05	1.95387e-05	2.82419e-08	6.13037e-10	8.687e-06	1.21391e-08	6.52035e-06	0	6.51773e-06	1.5195e-05	5.87455e-09	2.18704e-06	6.51448e-06	6.51539e-06	1.30316e-05	1.08729e-05	6.50931e-06	6.51484e-06	2.99736e-09	8.70434e-06	1.30217e-05	1.52032e-05	9.77444e-06	2.21992e-09	7.77711e-09	8.68427e-06	2.17187e-06	6.51413e-06	8.57609e-09	1.73662e-05	7.57503e-09	2.17222e-06	6.51164e-06	3.71101e-09	6.50746e-06	0	2.39319e-08	8.57832e-11	1.30132e-05	1.30278e-05	6.51522e-06	1.30267e-05	8.68179e-06	3.03921e-09	1.45351e-09	1.68032e-08	6.51169e-06	0	0	2.17902e-06	6.50951e-06	7.86187e-09	1.30193e-05	6.51938e-06	8.69234e-06	6.25642e-09	0	8.69098e-06	3.23201e-09	1.00964e-08	2.17881e-06	6.52217e-06	6.50894e-06	1.952e-05	8.73738e-09	6.51749e-06	1.40735e-08	1.44042e-08	6.51814e-06	6.51516e-06	8.67601e-06	8.68622e-06	6.50732e-06	6.50434e-06	0.000599145
