	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62	d1_63	d1_64	d1_65	d1_66	d1_67	d1_68	d1_69	d1_70	d1_71	d1_72	d1_73	d1_74	d1_75	d1_76	d1_77	d1_78	d1_79	d1_80	d1_81	d1_82	d1_83	d1_84	d1_85	d1_86	d1_87	d1_88	d1_89	d1_90	d1_91	d1_92	d1_93	d1_94	d1_95	d1_96	d1_97	d1_98
d3_0	0	0.121203	0.0595052	0.0393658	0.0289191	0.0222553	0.0175125	0.0141288	0.0118715	0.00996701	0.00849308	0.0073708	0.00615482	0.00535333	0.00442129	0.00371388	0.00332657	0.00278742	0.00231269	0.00193198	0.00196405	0.00152071	0.00130142	0.00111789	0.00107267	0.000909149	0.000660136	0.000729159	0.000562457	0.000465157	0.000373551	0.000440849	0.000283993	0.000242034	0.000294664	0.000233066	0.000172315	0.000129803	0.00014863	0.000136645	8.64622e-05	6.97105e-05	9.82761e-05	6.09458e-05	4.21429e-05	1.9314e-05	5.2129e-05	4.36905e-05	6.20592e-05	3.3253e-05	1.46488e-05	5.15612e-05	1.87469e-05	3.09765e-05	1.24931e-05	1.24178e-05	2.06326e-05	3.81369e-05	2.67827e-05	6.23157e-06	1.85542e-05	2.84793e-08	1.23726e-05	6.18592e-06	6.17459e-06	1.44024e-05	2.08218e-06	5.76388e-09	2.07483e-06	6.19656e-06	6.61978e-10	1.02314e-08	5.26502e-10	2.93352e-10	6.18113e-06	5.29036e-09	5.7421e-10	3.70089e-09	1.83329e-10	1.30053e-10	1.09736e-10	5.10139e-11	0	2.97289e-11	3.45192e-11	4.28614e-11	0	9.67241e-11	0	0	0	1.7274e-11	0	0	0	0	0	0	0
d3_1	0.0689225	3.14609e-05	8.91124e-05	3.5487e-05	7.05166e-05	2.31223e-05	5.50229e-05	5.18653e-05	3.13066e-05	5.40193e-05	4.77217e-05	6.10678e-05	6.00684e-05	4.97035e-05	5.18039e-05	4.5608e-05	2.7e-05	5.78745e-05	3.11351e-05	4.75826e-05	6.61079e-05	1.25966e-05	1.8751e-05	1.46545e-05	1.66884e-05	1.45878e-05	1.25194e-05	5.78229e-05	2.28209e-05	4.336e-05	1.24474e-05	2.38438e-05	3.92237e-05	6.30909e-06	2.07186e-05	3.09604e-05	2.06946e-05	1.24108e-05	2.06493e-05	1.85981e-05	8.8803e-08	8.25158e-06	1.24078e-05	4.1223e-05	2.68111e-05	1.23751e-05	6.2194e-06	6.24006e-06	1.24055e-05	2.09121e-06	4.91169e-08	5.85921e-08	1.23821e-05	6.21625e-06	6.75175e-09	6.19384e-06	1.92995e-08	8.9809e-09	1.51601e-08	9.27208e-06	8.25378e-06	1.82307e-08	1.44083e-05	1.81754e-08	8.24628e-06	6.17299e-06	6.19059e-06	2.70225e-09	3.30613e-10	3.75308e-09	1.03819e-09	3.17e-10	1.6241e-10	6.18324e-06	4.06443e-09	3.29062e-10	3.21521e-11	3.37394e-09	2.01815e-09	9.38763e-11	7.77538e-10	0	0	4.32459e-10	5.11356e-11	3.38919e-11	0	0	0	4.65199e-11	3.24797e-11	0	0	0	0	2.03929e-11	0	0	0
d3_2	0.0292579	2.73151e-05	6.22527e-05	4.57322e-05	3.96392e-05	5.92004e-05	9.60916e-05	6.22246e-05	4.16015e-05	8.88652e-05	4.57039e-05	5.59689e-05	4.0553e-05	4.14748e-05	3.11304e-05	4.35308e-05	5.57573e-05	6.20441e-05	4.55952e-05	6.41289e-05	4.96758e-05	1.25924e-05	3.94198e-05	2.49207e-05	3.62469e-05	6.41841e-06	5.98131e-05	1.87186e-05	1.8713e-05	2.69499e-05	1.86421e-05	4.6417e-05	2.07325e-05	3.51405e-05	3.3053e-05	4.12874e-05	1.45061e-05	6.25786e-06	2.47888e-05	6.24131e-06	1.24271e-05	1.4518e-05	2.06201e-05	1.44803e-05	8.32065e-06	6.23773e-06	6.21966e-06	6.23059e-06	2.12397e-06	1.23865e-05	5.46038e-08	1.23792e-05	6.21665e-06	3.23879e-08	6.21083e-06	8.29958e-09	1.80219e-08	6.1883e-06	1.23671e-05	6.18563e-06	2.11071e-08	8.24873e-06	1.49263e-08	6.16442e-06	2.70065e-08	1.5338e-08	4.53047e-09	2.32235e-09	1.23462e-05	6.1935e-06	1.53761e-08	1.09093e-09	6.18069e-06	2.90424e-10	4.00814e-09	3.74618e-09	6.18041e-06	7.30902e-09	1.44786e-08	1.74959e-10	1.11701e-10	1.16133e-09	0	1.95269e-11	1.7236e-08	1.38269e-09	1.55566e-11	0	0	1.61141e-11	0	0	0	0	0	0	0	3.29702e-10	0
d3_3	0.0166386	5.81328e-05	3.33874e-05	4.57143e-05	3.74539e-05	3.95814e-05	4.77196e-05	2.09267e-05	3.74421e-05	5.39145e-05	7.6608e-05	4.15306e-05	1.48371e-05	2.39336e-05	4.76747e-05	3.32745e-05	1.06337e-05	2.08478e-05	2.50108e-05	4.55859e-05	1.67065e-05	3.73264e-05	3.31995e-05	3.10302e-05	4.54555e-05	4.13261e-05	1.97525e-05	4.34304e-05	4.13356e-05	2.28329e-05	2.4814e-05	1.24619e-05	2.48731e-05	8.39053e-06	2.28024e-05	3.30778e-05	2.19645e-06	1.24232e-05	1.24394e-05	1.44963e-05	2.47726e-05	2.06246e-05	1.45268e-05	6.22265e-06	1.2395e-05	1.24269e-05	6.18743e-06	6.192e-06	6.24394e-06	4.47044e-08	6.7255e-08	2.47217e-05	2.05905e-05	5.75215e-08	2.68066e-05	6.19594e-06	2.64547e-08	9.50166e-08	1.23807e-05	6.17947e-06	1.31509e-08	8.51445e-09	2.57231e-08	1.27097e-08	1.61604e-08	4.81828e-09	5.30323e-09	6.17667e-06	5.2255e-09	1.97659e-09	1.07193e-08	2.62603e-09	8.76866e-09	3.0677e-10	1.81682e-08	3.24793e-09	8.38251e-10	1.30001e-08	2.91996e-09	3.10897e-11	1.07136e-08	1.48524e-09	1.87986e-10	1.23393e-09	1.33402e-09	3.47411e-09	5.69697e-11	6.78587e-11	3.33589e-12	3.68368e-12	0	0	0	0	0	0	0	0	0
d3_4	0.0105386	4.78105e-05	2.72178e-05	4.16394e-05	2.51784e-05	4.26327e-05	4.77222e-05	7.76824e-05	4.97442e-05	2.0957e-05	4.97892e-05	3.12056e-05	3.73958e-05	3.53075e-05	4.65835e-05	6.2081e-05	4.3512e-05	3.11422e-05	5.1709e-05	8.4736e-05	3.52255e-05	1.87302e-05	3.72217e-05	1.2563e-05	3.93115e-05	5.39462e-06	3.72799e-05	4.75474e-05	3.09714e-05	2.68972e-05	1.86473e-05	3.20854e-05	1.45352e-05	1.25275e-05	8.10296e-08	2.68561e-05	6.28411e-06	1.65698e-05	3.92199e-05	2.48186e-05	1.45219e-05	8.31772e-06	3.30289e-05	6.23815e-06	2.06617e-05	8.3129e-06	2.47674e-05	6.77227e-08	2.12047e-06	2.06765e-05	2.47738e-05	1.44539e-05	1.44316e-05	6.20654e-06	6.20617e-06	5.37705e-08	2.45305e-08	6.20805e-06	2.06339e-05	8.26195e-06	8.29594e-06	1.44214e-05	8.97005e-09	6.17897e-06	1.23724e-05	1.45715e-08	7.14172e-09	2.30898e-08	2.06387e-06	5.1995e-09	6.19943e-06	8.12171e-10	2.09136e-06	8.4659e-10	2.18845e-09	5.61333e-09	2.52937e-10	8.75542e-11	3.15852e-09	2.8465e-09	6.9093e-11	1.16185e-08	6.16252e-06	1.20536e-08	1.03648e-09	8.1732e-10	8.23147e-06	6.81595e-11	0	0	1.28174e-10	2.51768e-11	0	0	0	0	1.16639e-09	0	0
d3_5	0.00717013	5.60318e-05	5.19445e-05	8.69208e-05	8.37274e-05	5.28554e-05	6.83241e-05	5.38753e-05	5.18403e-05	3.85181e-05	3.52757e-05	5.39027e-05	4.24968e-05	5.07517e-05	3.94666e-05	1.27112e-05	4.55511e-05	4.7654e-05	3.93779e-05	3.92889e-05	4.76133e-05	2.90257e-05	2.83385e-07	3.92819e-05	2.70302e-05	1.04933e-05	1.46535e-05	3.93094e-05	2.48735e-05	2.28501e-05	1.45463e-05	6.33989e-06	2.28066e-05	1.45595e-05	3.30596e-05	6.31107e-06	2.07054e-05	3.8228e-05	8.35896e-06	5.15442e-05	2.07164e-05	1.44786e-05	2.06861e-05	8.29501e-06	2.27143e-05	1.23973e-05	6.25735e-06	1.23994e-05	8.28862e-06	4.94195e-08	7.04831e-08	5.12902e-08	7.05518e-08	6.22463e-06	6.22557e-06	2.67768e-05	3.07287e-08	2.47137e-05	6.20241e-06	2.26606e-05	1.8553e-05	1.23751e-05	6.2264e-06	6.1874e-06	6.19069e-06	6.19417e-06	6.19264e-06	6.18539e-06	1.2655e-08	1.0139e-08	2.18458e-08	2.92959e-09	2.24833e-08	1.23704e-05	1.23851e-05	7.53534e-09	1.23759e-05	6.19244e-06	6.90196e-09	1.23611e-05	3.5857e-09	2.32866e-09	1.79965e-10	1.31364e-09	1.07331e-09	1.41795e-10	8.61552e-11	2.23917e-11	1.45098e-09	4.87676e-11	0	4.82437e-10	3.00799e-09	0	0	0	0	0	0
d3_6	0.00507444	4.36345e-05	2.70974e-05	3.94818e-05	4.3603e-05	9.3016e-05	6.2108e-05	6.62566e-05	3.32335e-05	4.5658e-05	6.5176e-05	4.55803e-05	7.23672e-05	3.11015e-05	2.70713e-05	3.53242e-05	4.35077e-05	2.29083e-05	1.4718e-05	2.49248e-05	3.9322e-05	4.14557e-05	1.88331e-05	2.08025e-05	2.27725e-05	2.28721e-05	4.96261e-05	3.10604e-05	2.07273e-05	3.30824e-05	2.89946e-05	3.10589e-05	2.49045e-05	6.34443e-06	1.45764e-05	2.48448e-05	2.69322e-05	1.86896e-05	3.30745e-05	2.48214e-05	1.24203e-05	8.32699e-06	6.28674e-06	1.86168e-05	2.06809e-05	1.45271e-05	2.47824e-05	1.24241e-05	1.85779e-05	2.06553e-05	6.25817e-06	2.11089e-06	8.30073e-06	2.06061e-05	2.56434e-08	1.23971e-05	2.67989e-05	2.1095e-06	6.2303e-06	1.23922e-05	6.20752e-06	1.26725e-08	4.17303e-08	6.1945e-06	2.55022e-08	2.77245e-08	1.85227e-05	1.05431e-09	1.23658e-05	2.63488e-08	1.92224e-08	1.48183e-08	5.12466e-10	4.97373e-10	4.76465e-09	5.31394e-09	6.17758e-06	1.00101e-10	2.26825e-09	2.13254e-09	9.70076e-09	1.52777e-08	2.55977e-09	9.18557e-11	8.11127e-09	1.78554e-09	2.39144e-10	0	1.88412e-10	4.15176e-10	1.07682e-09	0	0	0	1.00224e-09	0	0	0	0
d3_7	0.0036882	4.6634e-05	4.35785e-05	3.9434e-05	3.74023e-05	4.77214e-05	4.9716e-05	3.94109e-05	4.97316e-05	7.44586e-05	6.41632e-05	2.07925e-05	2.60741e-05	1.2571e-05	3.94324e-05	4.7658e-05	2.50151e-05	3.11808e-05	7.4311e-05	4.13769e-05	3.52655e-05	3.72452e-05	2.07945e-05	5.58722e-05	3.52184e-05	2.69367e-05	2.69761e-05	2.89648e-05	2.4908e-05	1.24486e-05	5.37745e-05	4.13036e-05	1.46212e-05	1.65964e-05	3.30748e-05	1.45612e-05	1.2481e-05	1.2508e-05	1.18365e-07	1.25327e-05	1.88507e-07	2.8934e-05	2.07736e-05	2.48113e-05	2.0688e-05	2.68348e-05	1.45001e-05	2.47539e-05	5.59819e-08	6.19749e-06	1.24688e-05	8.28219e-06	3.48309e-08	1.24091e-05	8.31556e-06	1.23931e-05	1.44738e-05	1.05315e-06	8.2562e-06	8.26671e-06	5.92565e-08	6.21403e-06	1.13441e-08	1.03074e-05	6.19091e-06	3.48312e-08	1.38321e-08	8.27657e-06	6.17743e-06	5.44314e-09	2.05949e-08	2.09282e-06	2.07376e-06	1.83254e-09	1.47892e-09	2.88134e-10	2.2668e-08	1.61137e-08	1.45788e-08	8.14484e-09	4.27117e-10	2.08759e-06	2.89693e-09	2.47275e-10	0	3.98539e-10	5.8202e-11	2.7637e-09	6.18043e-06	4.61847e-11	8.07225e-11	0	1.57678e-08	1.32146e-10	0	0	0	3.19203e-10	0
d3_8	0.0026727	5.18094e-05	2.10064e-05	2.08771e-05	9.09898e-05	2.91531e-05	8.5426e-06	6.20845e-05	4.7669e-05	1.27369e-05	5.79871e-05	2.70669e-05	2.49466e-05	1.46098e-05	3.32752e-05	3.32573e-05	5.17589e-05	3.32607e-05	1.87421e-05	1.67515e-05	3.31445e-05	4.14062e-05	5.99077e-05	5.36815e-05	3.31248e-06	2.07164e-05	3.32003e-05	2.69849e-05	2.08399e-05	6.81354e-05	2.48836e-05	1.86984e-05	6.39869e-05	4.33942e-05	8.36138e-06	1.45071e-05	3.92548e-05	8.34418e-06	2.06703e-05	3.72068e-05	6.30549e-06	2.68603e-05	6.26233e-06	1.2452e-05	1.85737e-05	6.26103e-06	1.44824e-05	1.85946e-05	6.27892e-06	1.24807e-05	7.73273e-08	3.30159e-05	3.91727e-05	1.86058e-05	6.21896e-06	1.23676e-05	2.06863e-05	1.24037e-05	8.31799e-06	2.47119e-05	2.89329e-05	1.85226e-05	1.44234e-05	4.5163e-08	3.30263e-08	6.18897e-06	6.22069e-06	2.6091e-08	2.46537e-08	2.18189e-08	1.64639e-05	1.09442e-08	1.69897e-08	2.66884e-08	1.03912e-08	2.08261e-06	3.63868e-09	8.59613e-09	1.87635e-09	2.51742e-11	3.24565e-09	1.70536e-09	6.19752e-06	1.81914e-09	1.45024e-10	6.18043e-06	2.18642e-09	1.88148e-09	1.37899e-08	1.30722e-10	2.50285e-09	7.90701e-11	3.69071e-11	1.11981e-10	1.83557e-09	6.18017e-06	1.95218e-10	0	0
d3_9	0.00206358	4.15011e-05	5.5898e-05	2.29287e-05	1.58432e-05	1.26159e-05	1.7736e-05	4.75783e-05	1.46973e-05	2.7031e-05	3.73512e-05	3.52261e-05	4.55508e-05	6.41177e-05	1.2672e-05	3.73418e-05	2.80734e-05	3.73642e-05	6.00169e-05	4.55051e-05	2.08223e-05	3.3236e-05	1.46624e-05	1.46426e-05	1.26027e-05	1.87341e-05	1.25471e-05	4.54744e-05	6.43071e-06	4.75923e-05	1.87502e-05	3.10166e-05	1.46195e-05	2.69228e-05	1.86789e-05	6.33014e-06	2.48075e-05	2.47808e-05	1.85863e-05	6.31414e-06	1.11041e-07	1.45404e-05	1.45273e-05	2.06851e-05	6.26768e-06	1.65048e-05	2.06895e-05	6.24328e-06	1.8593e-05	1.24073e-05	1.85961e-05	2.88757e-05	6.20924e-06	3.92244e-05	2.26902e-05	1.8567e-05	8.25666e-06	1.4474e-05	2.76308e-08	3.08878e-05	2.06556e-05	6.2165e-06	8.28458e-06	6.22763e-06	6.18967e-06	4.61438e-08	6.21688e-06	6.17154e-06	1.64758e-05	6.19585e-06	7.67754e-09	3.54062e-08	1.15943e-08	4.15774e-08	6.18862e-06	1.23557e-05	1.54237e-08	1.23604e-05	6.17674e-06	1.68843e-08	1.21726e-09	1.10417e-08	8.23007e-06	9.97155e-09	1.25575e-09	4.4056e-09	6.19634e-06	6.26482e-11	1.72487e-09	9.61082e-09	3.96873e-11	6.80784e-09	3.78798e-13	5.26334e-12	0	0	3.35335e-09	0	6.17953e-06
