	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62	d1_63	d1_64	d1_65	d1_66	d1_67	d1_68	d1_69	d1_70	d1_71	d1_72	d1_73	d1_74	d1_75	d1_76	d1_77	d1_78	d1_79	d1_80	d1_81	d1_82	d1_83	d1_84	d1_85	d1_86	d1_87	d1_88	d1_89	d1_90	d1_91	d1_92	d1_93	d1_94	d1_95	d1_96	d1_97	d1_98
d3_0	0	0.120187	0.0596251	0.0392485	0.0287461	0.0217341	0.0174513	0.0140537	0.0115919	0.010562	0.00867153	0.00708772	0.00612249	0.00509053	0.00449922	0.00371342	0.00309612	0.00282842	0.00239512	0.00215204	0.00191597	0.00164355	0.00136101	0.00127666	0.00113424	0.00095669	0.0007235	0.000701469	0.000593412	0.000468051	0.000437495	0.0004404	0.000383795	0.000275618	0.000215949	0.000207719	0.000155818	0.000141318	0.000173283	5.38642e-05	0.000125245	8.12716e-05	8.39135e-05	6.22326e-05	5.17628e-05	5.68507e-05	1.28454e-05	2.70211e-05	4.92386e-05	2.88286e-05	4.50206e-05	2.25824e-05	1.33622e-05	3.87988e-05	2.6582e-05	1.84015e-05	6.18503e-06	2.04783e-05	2.03993e-05	4.17802e-08	2.66616e-08	3.2569e-08	6.1368e-06	1.83715e-05	6.12219e-06	1.22465e-05	7.95853e-09	1.80487e-08	4.71394e-09	6.11693e-06	2.5987e-08	6.12192e-06	1.54188e-09	3.15718e-10	9.02804e-10	4.44812e-10	3.70033e-10	6.15643e-09	1.1349e-08	2.87113e-10	1.20132e-09	6.12159e-06	1.45005e-09	8.84788e-09	5.87026e-11	1.20761e-09	8.1427e-06	6.11767e-06	0	1.47655e-10	0	0	0	0	0	0	0	0	0
d3_1	0.0680961	6.56693e-05	4.33005e-05	3.39845e-05	3.50428e-05	6.46187e-05	3.70967e-05	8.19292e-05	6.35905e-05	2.48458e-05	5.74646e-05	2.27825e-05	2.6818e-05	3.80189e-05	5.94388e-05	1.65784e-05	2.47072e-05	5.11799e-05	4.61195e-05	7.36451e-05	3.07794e-05	1.34438e-05	2.67129e-05	3.88938e-05	4.50284e-05	3.27742e-05	2.0533e-05	2.25739e-05	5.51324e-05	4.70229e-05	1.23456e-05	1.23276e-05	6.20292e-06	3.48166e-05	6.17808e-06	1.8394e-05	6.16825e-06	1.84657e-05	6.87185e-08	1.84655e-05	3.06177e-05	6.19085e-06	1.02705e-05	1.84106e-05	1.43526e-05	2.08522e-06	1.8465e-05	1.42815e-05	2.4511e-08	8.19647e-06	5.22635e-08	1.4288e-05	1.83574e-05	6.12555e-06	1.4271e-05	8.15589e-06	6.12329e-06	3.06068e-08	8.22948e-09	8.16918e-06	6.12731e-06	6.11819e-06	6.12457e-06	1.76539e-08	6.62072e-09	6.13014e-06	9.71648e-09	2.07882e-08	9.36474e-09	2.18219e-09	8.0454e-09	1.87939e-08	4.05117e-10	1.86946e-10	7.78314e-11	1.19844e-08	5.95544e-10	3.40603e-09	1.93766e-09	8.14408e-06	3.56076e-09	1.08217e-08	5.42015e-11	0	6.2065e-11	0	0	2.33024e-11	0	2.65382e-09	0	3.17819e-12	0	0	0	0	0	0	0
d3_2	0.0290804	5.54929e-05	6.76724e-05	0.000102359	5.75144e-05	2.08649e-05	2.69353e-05	4.11146e-05	4.62518e-05	3.50027e-05	4.72533e-05	5.53486e-05	3.0848e-05	3.69808e-05	4.50436e-05	3.29351e-05	2.67836e-05	3.89749e-05	3.29133e-05	5.12036e-05	8.43351e-06	2.67496e-05	4.09462e-05	2.8734e-05	4.2993e-05	3.27208e-05	4.29006e-05	2.25564e-05	2.6675e-05	1.43711e-05	4.69972e-05	2.05129e-05	3.47866e-05	2.15429e-05	1.43279e-05	3.27064e-05	6.19155e-06	1.03244e-05	1.23311e-05	5.10462e-05	2.04703e-05	2.25024e-05	2.85951e-05	1.43206e-05	6.1591e-06	6.13825e-06	8.18e-06	5.90534e-08	3.52233e-08	1.83706e-05	2.10334e-06	6.15457e-06	1.22603e-05	2.65175e-05	1.02566e-05	6.13517e-06	4.30533e-08	1.22692e-05	1.13818e-08	1.63789e-08	6.13653e-06	6.10575e-06	1.69663e-08	3.43226e-08	6.0752e-09	6.05393e-09	4.64371e-09	3.03949e-09	6.11493e-06	5.24252e-09	3.4758e-09	1.88042e-10	1.13558e-09	1.46553e-09	1.70079e-09	8.31383e-11	1.40752e-09	1.78517e-09	3.59543e-10	2.14194e-09	6.38249e-09	4.75736e-11	2.73206e-09	0	4.92965e-09	0	0	0	0	0	1.72457e-11	0	3.90482e-09	0	0	0	0	0	0
d3_3	0.0164131	2.49475e-05	3.91348e-05	3.30316e-05	3.50502e-05	5.73905e-05	6.26349e-05	7.37769e-05	3.4952e-05	5.33987e-05	6.4613e-05	1.46311e-05	4.30813e-05	3.90662e-05	4.10872e-05	2.9802e-05	3.90666e-05	3.4894e-05	3.28861e-05	3.28664e-05	2.46207e-05	4.71306e-05	3.27955e-05	5.51657e-05	3.89088e-05	2.66589e-05	2.16201e-05	2.26009e-05	3.88955e-05	2.05819e-05	3.4777e-05	3.27449e-05	1.85163e-05	2.45774e-05	3.98232e-05	5.51416e-05	3.47315e-05	4.69643e-05	2.14624e-05	2.86189e-05	2.04015e-05	9.25409e-06	1.43571e-05	1.23223e-05	1.63807e-05	1.83942e-05	1.23384e-05	3.03627e-08	2.04487e-05	3.51364e-08	6.15513e-06	8.17195e-06	1.97742e-08	6.16575e-06	8.18487e-06	1.83393e-05	3.10158e-06	4.06077e-08	1.11368e-08	6.14487e-06	6.61381e-09	1.29974e-08	1.19929e-08	3.51581e-08	2.75628e-08	1.22468e-05	6.12674e-06	1.39904e-08	1.4808e-08	3.64894e-10	5.21371e-09	6.10661e-06	5.23142e-09	1.15001e-09	4.51588e-09	4.3166e-09	4.35237e-09	1.19879e-08	9.72713e-11	4.98314e-09	6.57717e-12	9.7702e-10	4.38415e-12	2.01039e-11	7.08541e-11	9.76083e-10	2.11202e-09	3.48437e-09	3.16639e-12	1.1774e-11	0	0	0	0	0	0	0	0	3.02438e-09
d3_4	0.0104488	4.92783e-05	4.52361e-05	4.11431e-05	2.68855e-05	3.50182e-05	5.12313e-05	3.29957e-05	4.4184e-05	4.01454e-05	6.95614e-05	4.7109e-05	2.5855e-05	4.81394e-05	1.24892e-05	4.51789e-05	6.85185e-05	4.71416e-05	5.93097e-05	4.29896e-05	3.28462e-05	2.67111e-05	2.87484e-05	6.44445e-05	4.29211e-05	3.89194e-05	6.31159e-06	3.27752e-05	2.46634e-05	1.43963e-05	6.24055e-06	3.07232e-05	1.84835e-05	2.04971e-05	3.28229e-05	6.20892e-06	3.27268e-05	1.84588e-05	1.22968e-05	8.27041e-06	9.02705e-08	2.16611e-06	1.84535e-05	7.87495e-08	6.16897e-06	6.19171e-06	9.25114e-08	2.24824e-05	6.1756e-06	3.4682e-05	2.85923e-05	2.04028e-05	8.16975e-06	6.14005e-06	1.40446e-08	6.15724e-06	6.14372e-06	6.17694e-06	2.13916e-08	1.22497e-05	6.22482e-08	1.63562e-05	1.22616e-05	4.91045e-09	8.0484e-09	8.15709e-06	2.01287e-08	1.44883e-08	3.17996e-09	1.4787e-08	8.52447e-09	9.67214e-09	1.27306e-08	3.27469e-09	2.28052e-09	1.86469e-09	8.15185e-06	9.87891e-10	5.38983e-09	1.32944e-09	1.80157e-10	8.21795e-11	0	1.47622e-09	0	4.45034e-11	0	2.4096e-11	0	0	1.48741e-09	0	0	3.16428e-09	0	0	0	0	0
d3_5	0.00715535	3.50585e-05	5.14471e-05	3.09331e-05	4.52173e-05	4.11565e-05	2.68273e-05	4.10402e-05	5.12775e-05	1.25454e-05	3.70059e-05	6.75413e-05	3.90159e-05	2.26676e-05	4.30058e-05	4.51113e-05	5.01786e-05	5.737e-05	2.87265e-05	4.30581e-05	3.89582e-05	5.72691e-05	4.30717e-05	4.29337e-05	2.67145e-05	2.87218e-05	4.09675e-05	3.07742e-05	2.05719e-05	3.88253e-05	4.2935e-05	3.27504e-05	1.84879e-05	2.05311e-05	1.64323e-05	2.14756e-06	2.04678e-05	1.95258e-05	2.25271e-05	3.78274e-05	1.23514e-05	6.20276e-06	1.43092e-05	1.84492e-05	1.43297e-05	1.84258e-05	1.63863e-05	1.42824e-05	6.20625e-06	2.12235e-06	6.17711e-06	3.1347e-08	1.22453e-05	1.83777e-05	2.04135e-05	3.21158e-08	1.22796e-05	1.4264e-05	1.22584e-05	1.22582e-05	3.08627e-06	8.17184e-06	3.1145e-08	6.11918e-06	1.02209e-05	1.79039e-08	2.33803e-08	6.11757e-06	1.42728e-05	7.14223e-09	6.12932e-06	6.13657e-06	1.75944e-09	6.11352e-06	4.74002e-09	6.89942e-09	1.67166e-08	3.54297e-09	6.11898e-06	1.73182e-09	2.84705e-09	1.42715e-05	4.18874e-09	3.49351e-11	0	6.12346e-06	1.19178e-08	0	6.83619e-11	0	0	0	0	0	0	0	0	0	0
d3_6	0.00498105	2.88829e-05	2.68377e-05	2.17218e-05	3.09445e-05	5.73972e-05	3.30211e-05	4.5132e-05	2.27541e-05	4.92069e-05	2.67848e-05	4.30999e-05	4.51577e-05	3.07944e-05	4.10362e-05	5.32915e-05	3.69736e-05	3.69502e-05	2.88213e-05	8.33529e-06	4.10555e-05	4.29939e-05	7.9658e-05	4.50316e-05	4.30483e-05	5.9272e-05	4.091e-05	2.4627e-05	5.31485e-05	2.2611e-05	2.46604e-05	3.6794e-05	2.25161e-05	1.64302e-05	4.39961e-05	1.4418e-05	1.23837e-05	2.86402e-05	1.43748e-05	2.45467e-05	2.05029e-05	1.43911e-05	2.45354e-05	1.23192e-05	1.22851e-05	1.43215e-05	8.22626e-06	6.21456e-06	3.06021e-05	1.43181e-05	6.14481e-06	2.0428e-05	1.12794e-05	8.21617e-06	1.22653e-05	1.83914e-05	1.43178e-05	6.12617e-06	1.22693e-05	2.95974e-08	4.79485e-08	1.22667e-05	6.14144e-06	1.42393e-08	8.17286e-06	6.13633e-06	6.14101e-06	2.07474e-08	6.122e-06	2.21107e-08	6.12913e-06	6.12167e-06	1.80511e-08	6.12489e-06	6.17635e-09	2.65245e-09	6.10381e-06	6.12294e-06	2.80451e-09	1.14904e-08	1.99684e-09	4.32923e-09	2.58806e-09	9.11993e-10	0	1.27909e-08	4.69503e-09	7.56365e-10	6.12903e-06	0	4.08238e-11	0	1.75855e-11	4.16503e-09	0	0	0	0	0
d3_7	0.00367067	5.34284e-05	2.17213e-05	5.12921e-05	6.96224e-05	3.29186e-05	3.49339e-05	4.10486e-05	2.47792e-05	8.45955e-06	5.74111e-05	3.48896e-05	2.47827e-05	5.11729e-05	3.29186e-05	6.14311e-05	1.85613e-05	4.51003e-05	4.70987e-05	1.45245e-05	5.72875e-05	3.99289e-05	2.46353e-05	2.67105e-05	2.46814e-05	1.8541e-05	3.27608e-05	4.50376e-05	3.88596e-05	3.27341e-05	3.28194e-05	3.07326e-05	3.68612e-05	4.50223e-05	2.86769e-05	2.66194e-05	2.66166e-05	3.88516e-05	2.66223e-05	2.04642e-05	2.04965e-05	2.0485e-05	1.23818e-05	1.84271e-05	2.2497e-05	1.22991e-05	2.04591e-05	6.19198e-06	1.8421e-05	3.87974e-05	2.45095e-05	2.65503e-05	2.04508e-05	1.22507e-05	6.76683e-08	2.44865e-05	8.19996e-06	2.09555e-06	2.03947e-05	3.97496e-08	8.19079e-06	4.7445e-08	6.12878e-06	6.16866e-06	1.02462e-05	4.03482e-08	6.12856e-06	7.14993e-09	6.1234e-06	1.2619e-08	1.08731e-08	1.83463e-05	6.12911e-06	5.09558e-09	9.70531e-09	2.22872e-08	7.31577e-09	8.90376e-09	6.11968e-06	1.08396e-08	1.01443e-09	1.32022e-08	2.55252e-09	1.7983e-09	1.03956e-06	6.11127e-06	1.84864e-09	0	0	1.21388e-08	7.4398e-09	0	6.29732e-09	2.04594e-06	0	0	2.42097e-09	0	0
d3_8	0.00268667	3.50403e-05	2.88469e-05	3.8984e-05	3.09057e-05	4.52233e-05	2.67878e-05	6.14931e-05	6.14192e-05	1.4551e-05	2.56864e-05	5.53677e-05	4.82016e-05	3.70037e-05	4.51093e-05	2.98353e-05	3.08245e-05	1.45238e-05	4.09891e-05	2.67128e-05	4.70591e-05	4.70939e-05	3.69337e-05	5.3141e-05	1.44459e-05	3.07374e-05	3.27803e-05	4.50172e-05	5.31577e-05	4.90797e-05	2.66542e-05	8.31585e-06	1.237e-05	1.24105e-05	2.05335e-05	2.86576e-05	2.25715e-05	1.852e-05	3.06967e-05	2.86509e-05	2.76917e-05	2.65565e-05	6.2266e-06	1.22874e-05	4.57059e-08	1.23077e-05	3.67923e-05	3.67507e-05	8.04937e-08	1.83986e-05	2.04421e-05	1.63556e-05	1.03289e-05	6.16647e-06	1.83631e-05	2.85901e-05	2.09407e-06	8.17652e-06	6.13288e-06	1.79665e-08	6.15508e-06	6.13835e-06	1.86567e-08	3.33073e-08	6.13804e-06	6.13615e-06	1.22375e-05	6.12759e-06	8.16473e-06	1.01955e-08	3.1481e-08	6.12832e-06	8.1755e-06	2.89256e-08	7.07592e-09	1.54508e-08	5.25699e-09	1.70715e-08	1.06403e-08	8.14504e-06	3.09207e-09	6.11096e-06	6.11816e-06	6.47753e-09	2.70661e-09	1.5866e-08	3.52789e-11	6.32688e-09	1.2508e-09	6.10379e-06	0	6.72525e-12	0	0	0	0	0	0	0
d3_9	0.00194971	3.09032e-05	5.94192e-05	4.30803e-05	6.14411e-05	4.51482e-05	3.28773e-05	1.56169e-05	2.46845e-05	3.29045e-05	2.87912e-05	8.18158e-05	3.59266e-05	4.09919e-05	1.45287e-05	3.69448e-05	3.09079e-05	5.31904e-05	4.91411e-05	2.89115e-05	3.48904e-05	4.29838e-05	1.85011e-05	5.72713e-05	3.89596e-05	3.48824e-05	1.24508e-05	6.94721e-05	7.9681e-05	3.88417e-05	6.3381e-05	4.8036e-05	1.85218e-05	1.4438e-05	2.67293e-05	2.46514e-05	3.06987e-05	1.24066e-05	2.35689e-05	2.04917e-05	3.88237e-05	3.88196e-05	1.84138e-05	1.23237e-05	1.84404e-05	8.22793e-06	1.43937e-05	2.05053e-05	1.84138e-05	2.85836e-05	1.63762e-05	4.28779e-05	5.41587e-08	2.6537e-05	2.04944e-05	1.23151e-05	5.38789e-08	1.22487e-05	5.91526e-08	3.67223e-08	2.03971e-05	1.22679e-05	4.08227e-08	2.04107e-05	6.1261e-06	7.36968e-09	2.03969e-05	1.22495e-05	3.26129e-08	7.51515e-09	2.19675e-08	2.05963e-06	6.18109e-09	6.12799e-06	4.19072e-09	2.29428e-08	8.57916e-09	1.92318e-08	6.39473e-09	2.05609e-06	2.66745e-08	6.11794e-06	6.09017e-09	3.56679e-09	5.64449e-10	1.82595e-10	0	3.39862e-10	8.09675e-09	4.03709e-11	0	2.08491e-11	4.43889e-09	1.63135e-10	0	1.50953e-09	0	0	8.5231e-11
