	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d1_0	0	0.00900277	0.00501231	0.00365361	0.00294946	0.00256578	0.00227277	0.00216153	0.00195237	0.00164523	0.00183482	0.00167274	0.00159343	0.00164088	0.00155629	0.00138921	0.00135338	0.0013306	0.00133967	0.00142609	0.00130011	0.00138237	0.00126775	0.00112955	0.00132089	0.00125404	0.00129408	0.0012063	0.0011306	0.00116087	0.00140474	0.0011017	0.0013238	0.00105967	0.00111368	0.00114945	0.00109995	0.00126713	0.00126479	0.00105355	0.00119254	0.00112009	0.001146	0.000976461	0.00107887	0.000975453	0.00108688	0.00104927	0.00108264	0.00109073	0.000957537	0.00100123	0.00109672	0.000930966	0.000947102	0.000895566	0.00101264	0.00107595	0.00101157	0.00105375	0.000977626	0.00103238	0.0010642	0.00102209	0.000975714	0.000990028	0.000991933	0.00107256	0.00101775	0.000911808	0.000889207	0.000995428	0.000984933	0.000975654	0.00080327	0.00105072	0.000989278	0.00095326	0.000847382	0.000945071	0.000977466	0.0010499	0.000894349	0.00094428	0.000952726	0.000876608	0.00096629	0.000873438	0.000830301	0.000898701	0.000905914	0.000903293	0.000869032	0.000973204	0.0863216
d1_1	0.102007	5.18165e-05	4.07542e-05	3.42403e-05	7.57561e-05	6.81449e-05	3.04484e-05	7.58161e-05	5.12237e-05	6.25362e-05	1.81658e-05	5.68616e-05	6.25061e-05	3.60114e-05	4.92227e-05	2.46675e-05	2.84942e-05	6.53684e-05	5.48596e-05	4.55171e-05	2.28719e-05	3.04373e-05	5.8781e-05	3.03926e-05	5.59255e-05	3.04211e-05	4.16755e-05	4.73937e-05	5.49022e-05	4.46217e-05	3.98323e-05	8.32595e-05	4.18395e-05	3.41753e-05	3.04396e-05	3.79794e-05	5.12022e-05	5.68841e-05	2.28116e-05	3.98505e-05	2.46709e-05	4.36118e-05	3.13858e-05	3.13162e-05	6.06408e-05	3.79216e-05	2.28099e-05	3.60588e-05	2.28249e-05	4.3595e-05	2.65874e-05	4.17442e-05	5.49357e-05	6.53534e-05	4.36304e-05	2.09613e-05	6.34082e-05	6.24501e-05	6.44143e-05	7.00534e-05	3.22775e-05	7.85856e-05	4.55694e-05	6.44127e-05	2.94332e-05	4.55048e-05	4.35984e-05	4.73307e-05	7.85668e-05	5.30304e-05	7.68866e-06	2.46464e-05	4.8316e-05	4.54505e-05	5.8688e-05	4.83992e-05	3.41851e-05	4.26138e-05	7.66561e-05	3.98112e-05	4.45864e-05	5.40345e-05	3.23497e-05	5.39593e-05	5.29961e-05	2.46933e-05	2.47385e-05	6.34383e-05	4.35146e-05	3.22602e-05	2.65458e-05	7.28854e-05	3.79724e-05	4.17149e-05	0.00585654
d1_2	0.0468012	2.65758e-05	3.51511e-05	6.06383e-05	2.46967e-05	2.2841e-05	1.90555e-05	4.92489e-05	4.83551e-05	3.79061e-05	3.22396e-05	2.8556e-05	3.9839e-05	2.85059e-05	4.734e-05	6.8185e-05	2.84097e-05	3.22866e-05	1.53284e-05	4.74612e-05	2.00311e-05	6.62094e-05	4.36275e-05	3.04187e-05	3.7942e-05	6.43977e-05	3.98377e-05	2.66095e-05	4.92751e-05	3.41157e-05	5.49589e-05	6.24688e-05	4.36717e-05	2.84979e-05	3.88978e-05	6.43776e-05	4.83439e-05	2.94594e-05	3.88578e-05	3.97823e-05	2.46935e-05	1.14241e-05	5.87287e-05	4.26931e-05	2.37167e-05	4.5512e-05	5.11745e-05	6.9083e-05	3.7925e-05	3.7921e-05	3.22245e-05	1.34338e-05	2.75277e-05	1.7112e-05	5.30453e-05	4.54274e-05	5.30991e-05	3.79782e-05	3.60276e-05	3.97658e-05	7.00153e-05	5.11462e-05	4.73777e-05	6.61938e-05	3.80029e-05	7.28348e-05	4.35621e-05	3.0295e-05	3.2194e-05	3.97645e-05	4.8342e-05	3.98368e-05	4.1704e-05	5.11594e-05	2.08978e-05	2.84467e-05	3.79924e-05	1.90417e-05	3.97923e-05	2.2759e-05	3.61017e-05	4.83218e-05	2.56607e-05	5.30532e-05	3.60409e-05	5.86751e-05	4.74173e-05	8.13025e-05	1.90557e-05	6.06105e-05	2.28015e-05	6.4293e-05	3.04097e-05	4.17389e-05	0.0053222
d1_3	0.0289705	2.4677e-05	1.53365e-05	3.88365e-05	1.52657e-05	4.73843e-05	3.23011e-05	5.48614e-05	4.72805e-05	9.57914e-06	3.98226e-05	3.21899e-05	5.11745e-05	3.98038e-05	4.7343e-05	2.47016e-05	3.03563e-05	5.29807e-05	5.49037e-05	1.71458e-05	5.96234e-05	1.52744e-05	2.84027e-05	1.89718e-05	4.74131e-05	4.73606e-05	2.84705e-05	3.22478e-05	4.73585e-05	2.27503e-05	1.71602e-05	2.27516e-05	3.03197e-05	3.03512e-05	4.54558e-05	4.16677e-05	3.03555e-05	2.47012e-05	4.73569e-05	2.84447e-05	3.97709e-05	3.59789e-05	7.19521e-05	3.98492e-05	2.65626e-05	2.84245e-05	2.09071e-05	3.22269e-05	3.59581e-05	2.661e-05	4.3546e-05	7.1918e-05	6.15139e-05	5.11301e-05	2.84526e-05	4.1688e-05	5.86935e-05	3.975e-05	3.87944e-05	4.54812e-05	3.78996e-05	3.22183e-05	1.52634e-05	7.65608e-06	3.22059e-05	7.65657e-06	9.57563e-06	4.92756e-05	1.97858e-06	3.13115e-05	3.79136e-05	2.84398e-05	1.89991e-05	3.60011e-05	2.84293e-05	4.35269e-05	4.35299e-05	3.98286e-05	4.35442e-05	3.97576e-05	1.33852e-05	3.881e-05	7.75768e-05	3.03874e-05	1.89978e-05	4.16192e-05	4.92451e-05	2.84712e-05	3.60126e-05	1.89717e-05	2.46246e-05	4.35926e-05	3.41016e-05	3.78738e-05	0.00503762
d1_4	0.0195005	2.65831e-05	4.0784e-05	4.54132e-05	3.23084e-05	4.73532e-05	1.52359e-05	3.13138e-05	2.27011e-05	1.33769e-05	3.22406e-05	4.53953e-05	2.27792e-05	1.90184e-05	6.81195e-05	3.80038e-05	4.16677e-05	3.78478e-05	3.22855e-05	2.5583e-05	2.46237e-05	1.33514e-05	1.144e-05	3.22411e-05	2.0908e-05	3.7908e-05	3.98157e-05	4.54118e-05	5.4961e-05	2.09176e-05	7.56785e-05	6.43242e-05	5.30416e-05	2.08828e-05	9.52951e-06	3.79278e-05	2.56027e-05	2.09201e-05	7.75489e-05	2.65362e-05	2.46716e-05	3.22619e-05	2.0907e-05	6.24435e-05	6.80924e-05	4.54699e-05	9.57149e-06	6.62915e-05	1.3331e-05	2.47367e-05	2.56075e-05	3.22594e-05	3.41358e-05	1.52493e-05	1.39656e-07	3.79025e-05	3.97584e-05	2.27353e-05	2.46731e-05	2.17991e-05	1.71028e-05	1.32992e-05	3.0304e-05	3.97639e-05	4.16871e-05	1.89552e-05	2.45985e-05	9.54545e-06	2.83741e-05	1.8983e-05	5.10639e-05	5.48945e-05	3.03532e-05	2.66005e-05	2.27726e-05	2.28354e-05	3.60165e-05	3.60139e-05	2.46051e-05	2.66496e-05	1.71305e-05	1.33404e-05	2.65212e-05	3.60657e-05	3.03451e-05	3.88357e-05	4.35012e-05	1.89768e-05	3.40977e-05	1.71402e-05	3.41706e-05	2.46562e-05	2.84097e-05	2.65219e-05	0.00476716
d1_5	0.0147805	1.52244e-05	3.41154e-05	1.70597e-05	1.7104e-05	1.52486e-05	2.46869e-05	1.62493e-05	5.10662e-05	3.40885e-05	4.36076e-05	2.27582e-05	2.46492e-05	1.14851e-05	3.59534e-05	5.48491e-05	1.90363e-05	2.65134e-05	2.09443e-05	4.73127e-05	2.27822e-05	3.40508e-05	1.89754e-05	3.78926e-05	4.54221e-05	2.46887e-05	4.35276e-05	2.27638e-05	1.90471e-05	1.7099e-05	1.89821e-05	2.84694e-05	2.27521e-05	3.03158e-05	2.2795e-05	6.81261e-05	2.65549e-05	2.08284e-05	1.71112e-05	4.35369e-05	3.50477e-05	1.43433e-05	3.88241e-05	3.02929e-05	2.83869e-05	3.97808e-05	1.70858e-05	2.46207e-05	5.67815e-05	3.78688e-05	1.90582e-05	7.64098e-06	2.47272e-05	2.83763e-05	1.42871e-05	2.08564e-05	3.78573e-05	3.50316e-05	4.16063e-05	1.90248e-05	2.46543e-05	3.21966e-05	3.41075e-05	2.65098e-05	1.14206e-05	5.70694e-06	4.35441e-05	2.84299e-05	3.78216e-05	3.03063e-05	3.78544e-05	3.21601e-05	3.40696e-05	4.73321e-05	3.02935e-05	2.36779e-05	3.69663e-05	2.83675e-05	3.03001e-05	9.53275e-06	4.35607e-05	1.71126e-05	3.22505e-05	3.59149e-05	1.5192e-05	2.64717e-05	1.13818e-05	6.42747e-05	2.37311e-05	1.13852e-05	3.03361e-05	2.08874e-05	1.89594e-05	3.40809e-05	0.00387412
d1_6	0.0112605	3.78747e-05	3.40906e-05	1.33265e-05	1.80311e-05	2.09099e-05	3.96903e-05	1.32604e-05	5.95988e-05	1.51903e-05	2.55672e-05	2.27368e-05	1.51934e-05	5.79421e-06	4.16102e-05	1.14568e-05	3.03203e-05	3.831e-06	1.51871e-05	1.61062e-05	1.33057e-05	2.09145e-05	5.11304e-05	2.08465e-05	1.32901e-05	1.32851e-05	1.14037e-05	3.0309e-05	3.8783e-05	1.70883e-05	1.71076e-05	2.08237e-05	8.98231e-05	2.46351e-05	1.71398e-05	2.27121e-05	2.3674e-05	1.32903e-05	3.40819e-05	1.98275e-06	2.65098e-05	2.27427e-05	3.0314e-05	1.33009e-05	3.78172e-05	3.21854e-05	6.17556e-08	4.16012e-05	3.40923e-05	3.22387e-05	1.70947e-05	3.40759e-05	1.3278e-05	4.35457e-05	1.32456e-05	5.70914e-06	3.97656e-05	3.97815e-05	2.08416e-05	4.16338e-05	2.46242e-05	2.08533e-05	3.02928e-05	2.65272e-05	2.65e-05	2.65412e-05	5.67696e-05	3.02361e-05	7.62327e-06	1.71068e-05	5.73731e-06	4.91989e-05	1.51484e-05	3.02788e-05	3.78657e-05	2.08259e-05	2.64941e-05	2.4678e-05	3.21938e-05	1.14347e-05	2.28085e-05	1.51591e-05	9.57812e-06	2.65131e-05	4.91906e-05	3.97237e-05	5.77665e-06	3.9709e-05	2.27336e-05	2.65572e-05	2.45827e-05	3.0279e-05	2.84549e-05	7.6294e-06	0.00391683
d1_7	0.00872446	2.46596e-05	2.93211e-05	1.23541e-05	2.45889e-05	1.98573e-06	1.13884e-05	4.72649e-05	1.70477e-05	2.08898e-05	1.52056e-05	1.32934e-05	1.70406e-05	1.71692e-05	2.46148e-05	2.08664e-05	7.56516e-08	1.13935e-05	5.10908e-05	1.90209e-05	2.27631e-05	1.70728e-05	1.33325e-05	2.27162e-05	2.27317e-05	2.08409e-05	2.65219e-05	1.1399e-05	1.33357e-05	2.84536e-05	1.13929e-05	2.3692e-08	1.89898e-05	1.32808e-05	1.89368e-05	1.33151e-05	2.6516e-05	2.4602e-05	1.14661e-05	2.27599e-05	7.65866e-06	2.45574e-05	1.33661e-05	1.51972e-05	4.16482e-05	1.89826e-05	1.52121e-05	1.61039e-05	1.8026e-05	3.03217e-05	9.51081e-06	3.78395e-05	1.3269e-05	1.13885e-05	7.60373e-06	3.21952e-05	3.59821e-05	4.54493e-05	2.46305e-05	2.46251e-05	1.70718e-05	2.27185e-05	1.14184e-05	1.51731e-05	1.14052e-05	9.52855e-06	2.84046e-05	1.517e-05	1.89228e-05	3.02923e-05	3.59408e-05	2.65445e-05	1.51959e-05	4.16427e-05	1.79855e-05	2.27731e-05	2.27163e-05	1.89425e-05	2.84367e-05	2.46347e-05	1.33174e-05	1.52046e-05	2.65005e-05	1.1357e-05	1.32752e-05	2.27158e-05	3.78331e-05	1.32733e-05	3.21438e-05	5.72499e-06	2.65461e-05	1.32559e-05	2.6526e-05	2.08442e-05	0.00321597
d1_8	0.00711842	4.82333e-05	3.40639e-05	1.70745e-05	3.97468e-05	1.70891e-05	2.65306e-05	8.5958e-06	1.51718e-05	1.14139e-05	4.54096e-05	1.13802e-05	5.73323e-06	3.96978e-05	2.93764e-05	1.5226e-05	1.32341e-05	2.65275e-05	2.08925e-05	5.48499e-05	2.65389e-05	3.9711e-05	1.13462e-05	1.3325e-05	1.70909e-05	9.56054e-06	1.14101e-05	1.89532e-05	3.59284e-05	1.14157e-05	1.89403e-05	4.5414e-05	1.14177e-05	3.5948e-05	5.2918e-05	1.32389e-05	2.08338e-05	2.27024e-05	3.97413e-05	7.60437e-06	1.80417e-05	1.13966e-05	9.53515e-06	2.27282e-05	1.13766e-05	3.0305e-05	5.71078e-06	1.70325e-05	1.70897e-05	3.65879e-08	3.78641e-05	2.83622e-05	4.82295e-05	2.08726e-05	3.03019e-05	1.89702e-05	1.90052e-05	2.46409e-05	5.74514e-06	1.89512e-05	1.04765e-05	2.27383e-05	1.89597e-05	1.32886e-05	1.13534e-05	3.78841e-05	3.79009e-05	1.89314e-05	2.65396e-05	3.21432e-05	1.99309e-06	2.46607e-05	1.89569e-05	1.702e-05	5.71788e-06	1.70318e-05	1.70364e-05	1.13964e-05	7.59114e-06	1.13519e-05	2.45986e-05	2.65148e-05	5.7184e-06	1.70315e-05	3.40659e-05	1.3264e-05	2.27041e-05	2.27243e-05	3.31068e-05	1.32436e-05	1.80097e-05	1.32779e-05	5.68881e-06	2.55669e-05	0.00293677
d1_9	0.0057579	1.71002e-05	1.8998e-05	2.83574e-05	5.69553e-06	9.54678e-06	1.51764e-05	1.32779e-05	2.27024e-05	1.14344e-05	4.1079e-08	1.14153e-05	1.33003e-05	1.89887e-05	5.73276e-06	2.08371e-05	2.26902e-05	2.27038e-05	2.65426e-05	2.46205e-05	1.13874e-05	2.08391e-05	3.40797e-05	1.7048e-05	2.46273e-05	3.02874e-05	1.89229e-05	1.13911e-05	2.27026e-05	2.46223e-05	1.71058e-05	7.6148e-06	2.83786e-05	1.32994e-05	3.2172e-05	7.60473e-06	9.52261e-06	1.70712e-05	5.71064e-06	1.89331e-05	3.11851e-05	3.31171e-05	1.13712e-05	2.64872e-05	1.89294e-05	2.45996e-05	1.70514e-05	9.5033e-06	2.26996e-05	1.13572e-05	3.81604e-06	5.69191e-06	1.51738e-05	7.63083e-06	2.46364e-05	3.12189e-05	2.64834e-05	1.13633e-05	1.13912e-05	3.21655e-05	1.89732e-05	1.13893e-05	3.9755e-05	1.141e-05	2.45906e-05	1.51457e-05	2.18292e-05	9.48429e-06	1.89709e-05	1.8934e-05	5.70533e-06	1.13886e-05	3.40446e-05	1.70797e-05	3.02502e-05	4.72348e-05	3.60004e-05	1.32534e-05	9.51207e-06	4.16053e-05	2.83948e-05	1.32684e-05	5.71555e-06	1.13859e-05	2.64925e-05	1.70192e-05	2.08687e-05	3.40615e-05	1.89432e-05	2.369e-08	1.13848e-05	3.02382e-05	7.61993e-06	1.57701e-05	0.00257792
