	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62	d1_63	d1_64	d1_65	d1_66	d1_67	d1_68	d1_69	d1_70	d1_71	d1_72	d1_73	d1_74	d1_75	d1_76	d1_77	d1_78	d1_79	d1_80	d1_81	d1_82	d1_83	d1_84	d1_85	d1_86	d1_87	d1_88	d1_89	d1_90	d1_91	d1_92	d1_93	d1_94	d1_95	d1_96	d1_97	d1_98
d3_0	0	0.119995	0.0599953	0.0391579	0.0286948	0.0222931	0.0176565	0.0146191	0.0118641	0.0100829	0.00867729	0.00696603	0.00625447	0.00526923	0.00478363	0.00356753	0.00329556	0.00287196	0.00243817	0.00219203	0.00170172	0.00161195	0.00167964	0.00115175	0.000946686	0.00089844	0.000907845	0.000844218	0.000696033	0.000599036	0.000398371	0.00039098	0.000340773	0.000239788	0.00019678	0.000238211	0.000148506	0.000149084	0.000133778	0.000150876	8.98295e-05	9.77366e-05	5.6462e-05	8.27202e-05	4.97895e-05	5.57167e-05	3.33552e-05	4.74413e-05	1.87562e-05	2.68042e-05	2.47058e-05	2.27474e-05	2.45859e-05	1.85387e-05	8.30692e-06	1.45161e-05	6.23035e-06	2.45139e-05	6.13532e-06	1.83726e-05	6.19185e-06	6.108e-06	1.08985e-08	2.68272e-09	7.64497e-08	8.16231e-06	6.12418e-06	6.15853e-06	2.70524e-08	2.09284e-06	1.95552e-08	2.4276e-08	3.5727e-09	2.16548e-09	1.74284e-10	2.58297e-09	6.0983e-06	8.15395e-11	0	2.0626e-06	2.53942e-09	0	4.60897e-11	1.65631e-11	8.06196e-11	3.01153e-09	0	0	0	0	8.05784e-13	0	0	0	0	0	0	0	0
d3_1	0.0681529	4.75067e-05	5.56907e-05	2.50722e-05	4.74734e-05	4.54046e-05	3.31715e-05	4.96911e-05	4.55816e-05	5.96989e-05	4.32686e-05	3.5092e-05	7.39041e-05	3.11342e-05	2.90472e-05	5.96362e-05	4.93066e-05	2.70266e-05	1.27529e-05	1.8684e-05	1.66623e-05	5.5416e-05	2.88408e-05	2.47704e-05	8.3052e-06	1.09477e-07	3.49306e-05	8.43429e-06	2.47116e-05	3.28215e-05	1.85447e-05	2.65863e-05	3.08e-05	2.46028e-05	3.07228e-05	3.68196e-05	2.19836e-06	1.81207e-07	2.65163e-05	3.47223e-05	6.17326e-06	8.33584e-06	1.238e-05	1.22503e-05	1.84158e-05	2.04474e-05	1.42822e-05	6.20481e-06	2.45033e-05	1.83663e-05	1.73233e-07	1.43001e-05	1.10876e-06	6.11347e-06	2.79363e-08	8.23433e-08	3.21213e-08	6.10479e-06	2.42055e-08	6.15603e-06	2.0896e-06	6.10413e-06	2.61947e-08	5.90837e-09	2.3955e-08	1.42921e-05	2.71895e-09	2.32361e-08	1.20656e-08	1.64061e-09	3.17849e-10	1.22594e-09	6.14926e-06	6.44183e-09	2.1806e-09	2.66946e-10	2.43115e-08	1.15467e-09	1.58551e-09	9.29141e-11	6.10017e-06	6.59685e-11	8.96248e-11	9.94469e-11	0	0	0	6.40296e-11	0	0	0	0	0	0	0	0	0	0	0
d3_2	0.028975	7.10411e-05	2.10408e-05	7.0949e-05	2.50801e-05	2.92022e-05	5.16319e-05	3.92439e-05	2.3105e-05	5.36665e-05	6.57123e-05	2.70929e-05	4.13679e-05	5.76795e-05	4.3217e-05	3.91598e-05	5.14092e-05	4.51461e-05	4.91e-05	4.91959e-05	5.1351e-05	2.46999e-05	5.54626e-05	4.51293e-05	3.49044e-05	2.66917e-05	1.04117e-05	8.36041e-06	1.25136e-05	1.85055e-05	8.37608e-06	2.67157e-05	3.47992e-05	2.65837e-05	6.18737e-06	1.93228e-07	8.29826e-06	2.86576e-05	1.2427e-05	6.22303e-06	1.07855e-07	1.94974e-05	8.24035e-06	1.43894e-05	8.27054e-06	6.14885e-06	1.83577e-05	9.84241e-08	6.15466e-06	1.22924e-05	1.42839e-05	1.42798e-05	7.23522e-06	5.68723e-08	6.11077e-06	8.21275e-06	3.40994e-09	2.63245e-09	6.17062e-06	6.156e-06	6.14263e-06	3.06828e-08	8.1916e-09	2.87893e-08	6.11849e-06	4.55556e-09	6.12772e-06	2.58651e-09	1.2252e-05	6.12744e-06	4.35006e-09	2.75828e-08	2.62455e-10	6.16402e-06	1.7283e-09	8.15788e-06	6.04107e-11	6.97828e-11	6.12672e-06	8.69734e-11	0	1.91655e-11	1.61645e-09	6.12327e-06	0	8.65114e-09	0	2.10865e-09	1.49047e-11	0	7.61627e-11	0	3.43978e-11	0	0	0	0	0	0
d3_3	0.0164079	4.33749e-05	3.11631e-05	3.31676e-05	3.50769e-05	1.26963e-05	4.32533e-05	1.29886e-05	2.09097e-05	5.96131e-05	2.92063e-05	3.09639e-05	3.72145e-05	2.70062e-05	4.31811e-05	4.23465e-05	6.1503e-05	4.92879e-05	5.53727e-05	2.68035e-05	3.51483e-05	2.09268e-05	5.33983e-05	1.45693e-05	2.68476e-05	3.49127e-05	2.06214e-05	2.07641e-05	8.47157e-06	1.66054e-05	1.45214e-05	3.28516e-05	3.37551e-05	2.46395e-05	2.05386e-05	1.23138e-05	2.19765e-06	6.18132e-06	1.94968e-05	1.23637e-05	2.67436e-05	1.83597e-05	1.43648e-05	1.43902e-05	6.16058e-06	8.23572e-06	2.13056e-06	6.31122e-06	1.43865e-05	6.15062e-06	6.19844e-06	1.83908e-05	9.19265e-08	4.28128e-08	6.15919e-06	1.83605e-05	1.26816e-08	6.11095e-06	1.28971e-08	6.14896e-06	6.13035e-06	7.29079e-08	1.83556e-05	7.79464e-09	3.31852e-08	6.18474e-09	1.11323e-08	6.38408e-09	5.429e-09	6.12703e-06	3.53604e-09	2.99962e-09	2.74253e-10	2.83641e-08	1.63892e-10	3.08036e-08	3.3725e-09	6.15455e-09	9.96941e-12	2.28722e-09	1.96949e-09	7.39832e-11	1.00924e-11	2.80791e-12	8.15567e-06	3.44065e-11	1.51188e-09	2.06175e-06	2.26072e-08	1.03495e-12	0	4.61365e-11	0	0	0	0	0	0	1.67369e-11
d3_4	0.0104281	4.1467e-05	2.49874e-05	3.33314e-05	2.70415e-05	7.1931e-05	4.83448e-05	3.1056e-05	3.31147e-05	3.40512e-05	1.47157e-05	5.56568e-05	4.72831e-05	2.70795e-05	3.93179e-05	2.65025e-05	3.50836e-05	3.90501e-05	3.29887e-05	6.35482e-05	3.09078e-05	4.71337e-05	2.98537e-05	1.65811e-05	4.1096e-05	5.12039e-05	4.31055e-05	2.18261e-05	4.81166e-05	1.45437e-05	2.60145e-07	5.3079e-05	3.29063e-05	1.23921e-05	2.67864e-05	3.28209e-05	1.84373e-05	2.66101e-05	1.85798e-05	1.23822e-05	1.85402e-05	4.25843e-06	2.05102e-05	2.45815e-05	6.17339e-06	2.46183e-05	1.22723e-05	1.23125e-07	2.04842e-05	6.19884e-06	2.04298e-05	1.03072e-05	1.23548e-05	7.18984e-06	4.48017e-08	1.43049e-05	8.49075e-08	6.12791e-06	1.22582e-05	8.18409e-06	3.09717e-08	3.92819e-08	1.01965e-05	6.16144e-06	1.22361e-05	1.88343e-09	7.74951e-09	1.22004e-05	5.65235e-09	2.10097e-06	3.11468e-08	3.28467e-08	6.15353e-06	2.7691e-08	2.72028e-09	1.20026e-10	6.10032e-06	3.58651e-10	5.32672e-11	8.1558e-06	5.83163e-11	5.2704e-11	1.99755e-09	0	9.4248e-10	2.06173e-06	4.95806e-11	0	7.98803e-12	0	1.17152e-09	8.71926e-11	0	1.67168e-11	0	0	0	0	0
d3_5	0.00704003	2.80087e-05	4.13179e-05	5.76104e-05	1.6927e-05	4.34409e-05	3.52681e-05	4.6442e-05	3.22361e-05	5.35783e-05	1.67711e-05	4.3368e-05	1.4712e-05	2.6916e-05	3.30592e-05	3.90371e-05	4.73641e-05	1.47474e-05	3.91218e-05	2.2791e-05	5.54114e-05	2.68042e-05	1.45548e-05	2.27712e-05	3.49535e-05	2.90621e-05	3.70044e-05	3.90601e-05	7.15164e-05	1.26695e-05	8.37073e-06	2.47707e-05	3.88633e-05	2.67096e-05	5.11988e-05	2.06402e-05	1.46084e-05	4.90506e-05	3.47771e-05	1.85029e-05	1.23823e-05	2.19858e-06	1.23716e-05	1.23798e-05	6.20407e-06	2.04644e-05	9.43981e-08	1.22644e-05	1.22833e-05	2.45602e-05	1.23384e-05	6.22257e-06	1.39667e-08	2.64979e-05	6.13428e-06	5.85559e-08	6.16302e-06	6.15593e-06	5.76828e-08	5.43027e-09	2.45171e-05	2.1299e-06	2.27997e-08	6.17622e-06	1.2235e-05	7.88673e-09	6.16486e-06	1.42812e-05	6.11282e-06	5.46978e-08	4.86826e-08	2.10735e-08	1.22515e-05	1.3505e-09	1.21252e-08	2.99851e-08	5.58106e-08	3.4492e-10	8.01371e-10	1.36872e-09	3.43828e-09	1.38501e-09	1.81694e-09	6.12335e-06	0	2.25482e-08	2.56473e-08	7.90394e-10	9.11123e-12	3.03797e-13	2.39971e-11	0	0	3.05681e-11	0	0	0	0	0
d3_6	0.00491848	9.7217e-06	5.73853e-05	9.82374e-06	6.50109e-06	4.93352e-05	4.32238e-05	3.92144e-05	2.69921e-05	3.50974e-05	5.35127e-05	3.29783e-05	3.7091e-05	2.47961e-05	4.93478e-05	1.26693e-05	2.48345e-05	4.5153e-05	3.92076e-05	3.90738e-05	5.53678e-05	3.30246e-05	3.09106e-05	6.51345e-06	2.89885e-05	3.69817e-05	2.68658e-05	4.09118e-05	4.71268e-05	2.06688e-05	3.38613e-05	1.65356e-05	1.85659e-05	1.44911e-05	1.85138e-05	1.64976e-05	3.07512e-05	3.4766e-05	2.86578e-05	2.05344e-05	2.05628e-05	3.07119e-05	6.29587e-06	9.48973e-08	8.29173e-06	1.64182e-05	1.8472e-05	2.05798e-05	6.19183e-06	1.23231e-05	2.1319e-06	1.43764e-05	1.84346e-05	6.24381e-06	8.18237e-06	2.06851e-06	6.15373e-06	3.16902e-08	8.59707e-08	2.05252e-05	6.15032e-06	1.43289e-05	1.62065e-08	6.45936e-08	1.07446e-06	6.11121e-06	1.43384e-05	6.14982e-06	1.15903e-07	1.23053e-05	2.01004e-08	3.20475e-09	6.09774e-06	2.06777e-06	6.10093e-06	3.31243e-10	1.75333e-09	2.05158e-08	3.16967e-09	3.94504e-09	6.12443e-06	2.45894e-09	7.27656e-11	1.57524e-11	2.6132e-09	8.82363e-12	2.06263e-06	0	0	0	1.03182e-11	0	0	0	5.13298e-13	5.24853e-10	0	0	0
d3_7	0.00362765	2.50767e-05	2.92028e-05	2.68752e-05	1.87954e-05	1.48265e-05	2.09061e-05	3.31859e-05	5.53204e-05	4.53193e-05	3.82535e-05	5.34195e-05	7.58149e-05	3.09587e-05	6.77372e-05	3.28741e-05	3.6124e-05	7.78869e-05	1.87494e-05	5.13189e-05	2.70326e-05	3.70148e-05	1.8806e-05	3.90852e-05	6.75452e-05	3.50105e-05	3.08582e-05	2.27268e-05	8.59588e-06	8.4604e-06	2.37819e-05	2.4622e-05	2.47395e-05	1.25368e-05	1.86122e-05	2.46241e-05	2.46375e-05	2.15256e-07	1.24268e-05	3.08671e-05	6.26641e-06	2.04624e-05	2.18032e-06	1.75642e-05	2.04899e-05	1.44047e-05	1.43992e-05	6.1782e-06	1.85213e-05	1.34772e-07	1.4368e-05	5.53496e-08	2.10838e-06	6.15326e-06	6.13926e-06	2.05265e-05	6.16473e-06	1.63715e-05	6.17403e-06	6.12537e-06	1.43203e-05	6.17171e-06	1.22956e-05	6.27735e-08	3.90859e-08	6.17117e-06	6.17173e-06	7.6945e-09	2.4893e-09	6.13217e-06	3.12406e-08	6.15547e-06	2.43516e-08	7.57617e-08	6.12753e-06	6.23035e-09	6.12859e-06	2.22422e-08	1.12372e-08	2.48225e-09	8.15591e-06	4.16985e-09	6.4043e-09	1.47306e-10	8.56203e-12	6.83579e-11	3.24382e-09	0	1.79571e-10	0	0	0	0	0	4.49648e-09	0	2.78464e-08	2.21747e-11	0
d3_8	0.00268498	3.3146e-05	3.50237e-05	8.69065e-06	4.41579e-05	6.15836e-05	3.50664e-05	5.53922e-05	3.29849e-05	5.74549e-05	3.81854e-05	2.48405e-05	2.49875e-05	5.94215e-05	4.31543e-05	4.72072e-05	1.86518e-05	3.30083e-05	4.10741e-05	3.72372e-05	3.20489e-05	3.9007e-05	3.29607e-05	2.28204e-05	5.31825e-05	2.08342e-05	3.69527e-05	2.67954e-05	2.06983e-05	2.05942e-05	8.41585e-06	4.90632e-05	3.0789e-05	1.45023e-05	1.8623e-05	2.66676e-05	1.25587e-05	2.66518e-05	1.43903e-05	1.44314e-05	1.86533e-05	6.30307e-06	1.64576e-05	6.40205e-06	1.44277e-05	3.78315e-05	1.2302e-05	1.23401e-05	2.45012e-05	3.27433e-05	6.19242e-06	8.28417e-06	1.64368e-05	2.05103e-05	1.08824e-07	7.27143e-08	1.22565e-05	6.13712e-06	6.30703e-08	6.16158e-06	1.83584e-05	1.83941e-05	7.50206e-08	6.17242e-06	8.28862e-08	1.22536e-05	1.84025e-05	1.81329e-09	1.54636e-08	2.85876e-08	8.16776e-06	6.11355e-06	6.12593e-06	8.4371e-09	2.36126e-09	2.06375e-06	3.31563e-08	1.22606e-05	6.11835e-06	8.18262e-06	2.43704e-08	8.7275e-09	2.13615e-09	6.1028e-06	2.81632e-09	6.77294e-11	0	6.7722e-11	1.35579e-09	3.86588e-10	1.20892e-10	6.09594e-06	1.23155e-09	0	0	4.30581e-12	0	0	0
d3_9	0.00196494	3.30666e-05	4.52492e-05	3.90534e-05	3.6318e-05	2.07681e-05	4.84439e-05	3.50025e-05	4.73702e-05	3.91546e-05	3.51466e-05	3.71851e-05	6.97178e-05	3.90622e-05	2.68735e-05	2.88772e-05	2.90393e-05	2.47917e-05	3.70065e-05	3.51169e-05	3.7056e-05	4.71132e-05	4.10531e-05	2.06944e-05	3.28508e-05	1.46422e-05	4.52172e-05	3.08558e-05	4.30486e-05	2.2717e-05	4.10169e-05	1.44724e-05	5.73108e-05	4.51773e-05	2.67833e-05	1.64879e-05	3.9978e-05	2.25544e-05	2.06506e-05	6.33277e-06	1.43956e-05	1.24407e-05	1.95657e-05	1.24594e-05	2.04495e-05	3.89024e-05	1.24844e-05	1.83993e-05	1.84625e-05	2.86492e-05	6.31641e-06	6.20358e-06	4.08728e-05	6.18341e-06	6.21634e-06	8.25449e-06	1.6393e-05	1.43851e-05	6.18791e-06	1.23567e-05	6.68769e-08	4.7124e-08	1.63004e-05	1.83489e-05	6.12971e-06	6.19561e-06	4.75022e-08	1.22588e-05	1.31883e-08	1.83611e-05	1.22694e-05	8.15799e-06	6.12834e-06	4.8206e-08	2.07748e-09	6.10521e-06	6.11328e-06	6.12611e-06	6.10431e-06	4.3001e-08	6.12041e-06	9.17845e-10	6.10493e-06	7.62712e-09	3.00299e-08	6.14601e-06	8.92594e-10	7.35948e-11	3.09953e-08	1.79361e-11	6.54007e-11	1.94974e-09	2.2538e-09	1.05218e-09	0	0	0	0	0
