	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41	d2_42	d2_43	d2_44	d2_45	d2_46	d2_47	d2_48	d2_49	d2_50	d2_51	d2_52	d2_53	d2_54	d2_55	d2_56	d2_57	d2_58	d2_59	d2_60	d2_61	d2_62	d2_63	d2_64	d2_65	d2_66	d2_67	d2_68	d2_69	d2_70	d2_71	d2_72	d2_73	d2_74	d2_75	d2_76	d2_77	d2_78	d2_79	d2_80	d2_81	d2_82
d3_0	0	0.127608	0.0527826	0.0296646	0.0189999	0.0133584	0.00988621	0.00782104	0.00668001	0.00512475	0.00445657	0.00391758	0.00347505	0.00345944	0.00339721	0.0031985	0.00275369	0.00282256	0.00270712	0.00248446	0.00249541	0.00259531	0.00255436	0.00252576	0.00230242	0.00214904	0.00220298	0.0020871	0.00201454	0.0021528	0.00196082	0.00197657	0.0018292	0.00168634	0.0015703	0.00182927	0.00182127	0.00160995	0.00145645	0.00133347	0.00156294	0.00152177	0.00133606	0.00148747	0.00137247	0.0012422	0.00126908	0.00122529	0.00113014	0.00110499	0.00105027	0.00113916	0.000848264	0.000947521	0.00100096	0.0011644	0.000809496	0.000695953	0.000823163	0.000744927	0.000754713	0.000612933	0.000613449	0.000625263	0.000642551	0.000621218	0.000594643	0.000466768	0.000514978	0.000428255	0.00039375	0.000451322	0.000496814	0.000338794	0.000355698	0.000237913	0.000265426	0.000245162	0.000293729	0.000207148	0.000141931	0.000151525	0.000387434
d3_1	0.0711791	2.05344e-05	2.25309e-07	2.05756e-05	3.0292e-05	2.16398e-05	1.0965e-05	1.51683e-05	3.4487e-05	3.0293e-05	8.81533e-06	6.61244e-06	6.61547e-06	1.94024e-05	2.5917e-05	6.77719e-06	1.30686e-05	4.51019e-05	1.95658e-05	1.63148e-05	4.29895e-05	2.80908e-05	3.87882e-05	2.36914e-05	6.64786e-06	3.43529e-05	4.29327e-05	2.58372e-05	1.94394e-05	2.37502e-05	2.57603e-05	6.68493e-06	2.91337e-05	1.31153e-05	2.16804e-05	5.17475e-05	2.59623e-05	3.23413e-05	5.38705e-05	6.21857e-05	1.93685e-05	1.30118e-05	3.21397e-05	2.57243e-05	2.15454e-05	1.29992e-05	2.58406e-05	2.57927e-05	2.7979e-05	1.31123e-05	3.44261e-05	1.50955e-05	1.37561e-07	1.71943e-05	3.00639e-05	2.36566e-05	3.87326e-05	2.58301e-05	2.1508e-05	6.50258e-06	2.15384e-05	1.29151e-05	2.78939e-05	4.07075e-05	6.523e-06	6.45295e-06	1.93155e-05	6.52964e-06	1.29118e-05	1.50611e-05	2.35536e-05	2.57288e-05	2.16216e-06	1.83198e-05	6.4515e-06	6.58417e-08	5.38912e-08	1.2863e-05	4.76185e-08	2.35689e-05	1.92847e-05	2.50863e-08	2.15066e-05
d3_2	0.0301393	1.30581e-05	2.34875e-06	6.62707e-06	1.948e-05	3.24802e-05	8.8814e-06	1.95674e-05	2.16153e-05	1.30535e-05	1.52438e-05	2.59402e-05	1.30524e-05	1.52412e-05	2.18187e-05	3.87918e-05	2.58594e-05	2.80822e-05	5.8033e-05	1.51876e-05	1.72874e-05	5.37151e-05	6.64704e-06	1.30971e-05	3.01839e-05	1.95563e-05	5.37166e-05	1.51767e-05	1.94806e-05	2.59367e-05	3.43391e-05	1.95893e-05	2.79879e-05	2.79374e-05	6.90999e-06	3.58261e-08	4.51827e-05	1.73942e-05	3.45175e-05	1.29826e-05	1.50927e-05	6.61e-06	2.15035e-05	6.66454e-06	2.80072e-05	2.14743e-05	8.70205e-06	1.30007e-05	3.00906e-05	6.53408e-06	5.34585e-05	4.09158e-05	6.59764e-06	1.21238e-07	1.93988e-05	1.5176e-05	1.50904e-05	1.08086e-05	6.10466e-08	1.83605e-05	3.00972e-05	6.47662e-06	3.32862e-05	2.78219e-05	1.72349e-05	3.21305e-05	1.94088e-05	2.15065e-05	2.14666e-05	2.14956e-05	8.63348e-06	2.78867e-05	1.93332e-05	7.85192e-08	6.45616e-06	8.58133e-06	1.93291e-05	2.57612e-05	8.59281e-06	2.66685e-08	6.42283e-06	2.74443e-08	2.7916e-05
d3_3	0.0170405	7.77751e-06	2.59109e-05	6.80517e-06	1.95744e-05	2.27059e-05	2.27348e-07	3.24219e-05	1.95796e-05	2.37907e-06	1.94649e-05	4.51726e-05	1.31576e-05	1.30891e-05	3.66288e-05	4.07707e-05	8.8211e-06	2.16532e-05	2.27696e-05	1.52253e-05	2.40197e-05	3.66013e-05	2.38162e-05	1.50921e-05	2.82029e-05	3.64741e-05	1.5266e-05	5.36596e-05	2.80992e-05	2.16165e-05	5.15496e-05	1.3034e-05	5.47411e-05	3.23486e-05	3.44292e-05	4.0805e-05	4.09493e-05	3.33969e-05	1.94792e-05	4.73203e-05	1.30206e-05	1.09597e-05	1.51637e-05	2.36867e-07	3.45044e-05	2.34343e-06	2.79685e-05	2.58541e-05	4.28826e-05	2.58643e-05	1.51154e-05	1.9364e-05	3.44818e-05	2.04863e-05	1.72487e-05	1.94505e-05	4.29371e-05	1.28738e-05	2.57506e-05	3.42642e-05	2.155e-05	8.59306e-06	4.92312e-05	2.36407e-05	3.43965e-05	1.94308e-05	2.15776e-05	1.50852e-05	1.28894e-05	2.57215e-05	1.28903e-05	6.49623e-06	1.28988e-05	1.7222e-05	3.63429e-05	8.60447e-06	1.93025e-05	1.92981e-05	8.62943e-06	6.45952e-06	8.62739e-06	1.9214e-05	6.55832e-06
d3_4	0.0107727	1.31595e-05	6.6023e-06	1.95096e-05	1.51886e-05	8.77413e-06	4.09177e-05	1.30723e-05	2.17382e-05	2.48132e-05	3.4428e-05	8.89539e-06	2.80979e-05	2.16539e-05	1.5137e-05	1.09966e-05	2.38627e-05	2.16965e-05	2.16841e-05	3.02063e-05	2.5968e-05	6.71405e-06	6.67847e-06	2.598e-05	3.23101e-05	5.57954e-05	6.65276e-05	2.38383e-05	2.155e-05	3.86892e-05	1.30587e-05	3.66398e-05	3.86609e-05	3.87326e-05	1.51967e-05	1.52773e-05	5.7946e-05	6.60234e-06	3.64711e-05	3.43923e-05	5.37528e-05	2.81575e-05	2.79496e-05	2.36876e-05	2.30111e-06	3.43226e-05	1.93757e-05	3.43345e-05	1.53873e-05	2.78951e-05	1.94003e-05	2.58143e-05	2.80001e-05	3.97319e-05	1.28964e-05	1.30449e-05	2.15357e-05	6.46851e-06	6.51465e-06	1.94212e-05	3.21555e-05	2.15007e-05	6.49421e-06	2.15703e-05	6.52111e-06	6.45847e-06	2.7877e-05	2.78615e-05	6.64947e-06	6.43853e-06	9.87153e-08	2.14511e-05	2.52284e-08	1.28869e-05	1.51459e-05	6.46806e-06	6.45978e-06	6.45092e-06	6.44314e-06	2.13944e-05	7.79567e-08	6.4298e-06	2.7895e-05
d3_5	0.00728528	1.52279e-05	2.37719e-06	6.63452e-06	6.6244e-06	1.99022e-07	4.31302e-05	2.16368e-05	1.51068e-05	3.023e-05	3.45088e-05	1.94847e-05	3.86968e-05	2.80776e-05	3.01592e-05	1.95831e-05	1.51665e-05	1.3056e-05	3.67018e-05	1.53063e-05	2.15972e-05	2.16922e-05	1.94812e-05	2.17046e-05	5.15477e-05	4.72536e-05	1.30208e-05	2.79788e-05	2.38331e-05	1.30616e-05	2.16283e-05	2.37717e-05	2.15919e-05	1.94326e-05	1.31258e-05	2.15779e-05	3.23103e-05	8.83004e-06	1.94701e-05	5.58672e-05	5.59099e-05	1.93611e-05	8.70717e-06	1.52139e-05	4.5061e-05	2.151e-05	5.9108e-05	2.15572e-05	1.94214e-05	3.22263e-05	1.08918e-05	1.50479e-05	2.36407e-05	2.80511e-05	2.89458e-05	6.471e-06	3.43717e-05	1.94322e-05	2.16422e-05	8.62598e-06	2.19285e-07	3.01433e-05	2.7871e-05	6.46323e-06	1.50649e-05	2.36615e-05	1.29369e-05	3.43948e-05	3.85831e-05	3.00031e-05	2.57071e-05	1.93269e-05	9.12746e-08	6.46058e-06	6.45312e-06	1.01994e-07	6.46935e-06	1.92667e-05	1.2872e-05	7.13638e-08	6.44736e-06	6.41583e-06	6.44342e-06
d3_6	0.00511145	1.30947e-05	6.67097e-06	2.37984e-05	1.09226e-05	5.17779e-05	1.30478e-05	1.51966e-05	2.28311e-05	2.16074e-05	2.37573e-05	2.1761e-05	1.30075e-05	3.22678e-05	2.79072e-07	3.44727e-05	2.16401e-05	2.28084e-05	2.59541e-05	3.67282e-05	2.59378e-05	3.43522e-05	2.16452e-05	3.46307e-05	1.67763e-07	2.81577e-05	1.95541e-05	1.95097e-05	3.43921e-06	3.22369e-05	4.2979e-05	4.0893e-05	3.44299e-05	2.57785e-05	8.70536e-06	6.64485e-06	3.43806e-05	6.5827e-06	4.72803e-05	2.36646e-05	2.79862e-05	4.30197e-05	2.42846e-06	4.29322e-05	2.16104e-05	3.02699e-05	2.79349e-05	3.75599e-05	2.79287e-05	1.07544e-05	3.43183e-05	3.43996e-05	4.07872e-05	1.9379e-05	1.94238e-05	1.35668e-07	2.58097e-05	4.07447e-05	5.13593e-05	1.31124e-05	1.50709e-05	4.0725e-05	2.79592e-05	4.29082e-05	6.13845e-08	1.2913e-05	1.08096e-05	3.43109e-05	6.47379e-06	6.47105e-06	6.46686e-06	9.4517e-08	6.42129e-06	6.50526e-06	1.28618e-05	1.29079e-05	8.5711e-08	2.13896e-05	1.50745e-05	3.20813e-05	6.44092e-06	2.88903e-05	1.07184e-05
d3_7	0.00366383	2.38096e-05	2.43213e-07	1.94676e-05	2.58469e-05	3.45417e-05	6.7885e-06	6.62357e-06	1.09903e-05	3.01645e-05	2.81911e-05	2.27228e-05	4.73352e-05	6.43909e-05	2.38582e-05	8.7498e-06	2.38672e-05	6.63875e-06	2.59325e-05	2.7992e-05	1.93716e-05	1.54069e-05	1.29425e-05	3.13245e-07	3.87526e-05	1.52856e-05	3.65754e-05	3.02128e-05	2.3767e-05	6.59158e-06	2.5828e-05	2.80606e-05	2.17171e-05	2.16045e-05	3.44677e-05	1.30103e-05	3.86607e-05	4.51215e-05	8.7996e-06	2.16414e-05	2.80026e-05	4.09106e-05	1.51378e-05	2.79658e-05	2.80224e-05	1.29307e-05	2.35804e-05	8.8393e-06	1.30528e-05	3.00483e-05	2.16788e-05	2.58295e-05	2.14129e-05	1.9394e-05	1.93013e-05	1.729e-05	1.51441e-05	2.1603e-05	2.15221e-05	2.15448e-05	1.28972e-05	2.57427e-05	1.28915e-05	1.93777e-05	2.14592e-05	8.6465e-06	7.72578e-08	8.64345e-06	1.02634e-07	2.14772e-05	6.49756e-06	4.48074e-08	6.49214e-06	2.14842e-05	1.2887e-05	3.85243e-05	8.58923e-06	6.44628e-06	1.08279e-05	1.28612e-05	8.64312e-06	1.29253e-05	1.29797e-05
d3_8	0.00270464	1.95518e-05	2.74949e-07	6.70152e-06	1.53724e-05	1.51989e-05	3.44614e-05	1.30624e-05	3.77876e-05	1.73127e-05	1.52666e-05	6.59966e-06	1.94049e-05	2.15805e-05	1.52767e-05	5.16298e-05	1.51837e-05	3.67391e-05	1.52494e-05	5.36646e-05	2.60185e-05	3.66948e-05	6.61617e-06	1.7365e-05	1.52159e-05	4.08033e-05	5.37275e-05	3.86602e-05	1.30672e-05	3.33084e-05	2.79239e-05	1.73201e-05	4.28866e-05	5.3608e-05	4.50388e-05	1.941e-05	1.94892e-05	3.43267e-05	1.94472e-05	2.16479e-05	2.36828e-05	4.50749e-05	1.93595e-05	5.79298e-05	1.5236e-05	2.79991e-05	3.43145e-05	4.51127e-05	2.579e-05	3.4387e-05	1.09957e-05	2.57792e-05	2.5821e-05	3.21752e-05	3.2257e-05	8.67492e-06	1.50744e-05	1.29895e-05	2.37469e-05	2.57345e-05	2.86604e-07	2.58638e-05	2.35831e-05	1.50589e-05	1.50158e-05	1.08484e-05	4.48857e-05	1.29168e-05	6.49504e-06	1.50588e-05	1.50799e-05	2.14489e-05	2.78439e-05	1.29379e-05	1.93313e-05	1.2816e-05	6.52994e-06	6.54704e-06	6.47021e-06	1.71598e-05	6.39551e-06	6.44492e-06	1.28434e-05
d3_9	0.00202665	3.88079e-05	6.69306e-06	6.69316e-06	1.30641e-05	1.30753e-05	2.17e-05	2.16091e-05	1.95428e-05	6.56342e-06	1.51572e-05	2.16181e-05	6.66479e-06	4.51467e-05	1.63626e-05	1.31492e-05	6.6144e-06	2.80716e-05	6.63452e-06	4.09099e-05	4.59777e-06	2.16405e-05	1.51987e-05	1.10465e-05	3.88929e-05	3.44692e-05	4.94169e-05	2.5957e-05	2.27852e-05	2.79983e-05	5.37349e-05	6.01402e-05	2.16557e-05	2.69903e-05	2.2771e-05	1.94689e-05	1.73831e-05	3.44128e-05	3.65949e-05	2.15296e-05	1.08636e-05	2.15715e-05	4.93536e-05	1.29903e-05	1.09273e-05	1.52101e-05	1.51387e-05	3.85185e-05	1.30328e-05	3.01586e-05	1.93524e-05	6.60049e-06	4.08302e-05	1.94295e-05	1.29646e-05	4.92344e-05	1.299e-05	3.2272e-05	1.51328e-05	4.07526e-05	1.29111e-05	2.15154e-05	5.02802e-05	1.50033e-05	6.56757e-06	1.29373e-05	1.50067e-05	2.57287e-05	1.28644e-05	6.51818e-06	1.29074e-05	1.49988e-05	1.29238e-05	2.1447e-05	1.50648e-05	4.04326e-08	2.13972e-05	2.78136e-05	8.56131e-06	6.94535e-08	6.43378e-06	6.42158e-06	8.63698e-06
