	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d3_0	0	0.0192012	0.00987896	0.00670988	0.00525166	0.00427024	0.00359951	0.00314673	0.00281017	0.00256017	0.00240839	0.00209677	0.00214031	0.00196635	0.00175536	0.00172371	0.00168418	0.00161476	0.0015955	0.00146817	0.00142795	0.00145227	0.00128739	0.00134197	0.00134121	0.00122895	0.00122171	0.00114198	0.00109568	0.00116943	0.00111877	0.00112908	0.0011746	0.00100961	0.00104249	0.00101285	0.00101464	0.000942383	0.0010348	0.000942553	0.000965916	0.000985545	0.000978909	0.000909458	0.000945649	0.000926037	0.00094337	0.000824432	0.000842266	0.00094551	0.000862748	0.000834535	0.00095724	0.00088324	0.00083459	0.000863477	0.000852216	0.0008711	0.000836389	0.000805965	0.000755182	0.000784162	0.000786013	0.00079248	0.00069707	0.000826052	0.000714712	0.000818749	0.000802746	0.000782316	0.000770582	0.000708851	0.000743971	0.000863975	0.000796628	0.000727693	0.000803062	0.000728288	0.000691494	0.000679281	0.000705221	0.00076757	0.000682393	0.000625443	0.000747399	0.000712262	0.000618972	0.000740385	0.000680436	0.000754904	0.00075034	0.000688878	0.000738404	0.000766756	0.226814
d3_1	0.0446475	3.35023e-06	1.54053e-06	4.84534e-06	0	0	3.09765e-06	0	0	4.01862e-06	0	0	0	4.02638e-06	2.02135e-07	1.74389e-06	8.97254e-06	0	4.25441e-07	0	0	1.21378e-05	0	6.86614e-08	0	3.06255e-06	0	0	3.66731e-07	0	0	0	2.73067e-06	0	0	2.00704e-07	9.63338e-07	8.1968e-07	0	0	2.90428e-06	1.63071e-06	3.42166e-06	2.50482e-06	3.43838e-10	0	0	1.54469e-06	1.1628e-06	0	3.16056e-07	0	0	1.53806e-06	0	2.70928e-07	2.9329e-06	0	1.6679e-06	1.48358e-06	2.11266e-06	5.08983e-06	0	0	2.12191e-07	6.78408e-09	4.89409e-06	1.45439e-06	1.48951e-06	1.09682e-06	0	0	0	3.71635e-06	0	3.0275e-06	4.65294e-07	3.29372e-06	0	0	1.75391e-07	0	0	0	8.00398e-08	1.21302e-06	2.91399e-08	5.1111e-07	5.67748e-06	0	0	1.05302e-06	0	3.6182e-06	0.000660834
d3_2	0.0217069	0	0	6.28104e-07	0	0	0	6.5534e-06	7.5623e-07	0	0	5.07708e-06	9.01829e-07	0	4.36806e-06	0	0	0	1.86685e-06	0	0	0	0	0	5.06294e-06	0	2.4566e-06	0	9.77619e-07	1.89295e-06	1.18353e-05	0	1.24618e-06	7.381e-06	4.53317e-06	0	0	2.4996e-06	2.21772e-07	3.91388e-07	0	0	0	1.46758e-08	0	3.18129e-06	0	9.69432e-07	0	6.00838e-06	0	0	0	1.42662e-06	4.62249e-06	2.05999e-06	3.74943e-06	1.88784e-06	0	0	0	3.39561e-06	0	1.88002e-06	0	2.61374e-06	8.0267e-06	0	1.19555e-05	0	0	0	0	8.1441e-07	9.12139e-07	0	6.43825e-06	1.19732e-06	6.84416e-07	0	0	0	2.91523e-08	0	0	9.06875e-07	0	0	0	8.24008e-06	0	0	0	0	0.000793297
d3_3	0.0145063	0	0	3.98945e-06	5.72591e-06	2.63741e-07	6.31161e-07	0	0	0	0	0	6.31666e-07	0	1.04406e-06	5.76725e-06	0	0	3.69501e-06	0	8.92984e-06	5.34188e-06	0	1.78173e-07	0	0	0	2.61346e-06	0	5.02844e-07	5.34101e-06	1.5454e-06	0	0	0	0	1.4095e-06	0	0	0	0	9.35218e-06	0	0	0	4.93169e-06	0	0	2.35864e-06	0	0	0	6.40378e-06	0	0	0	0	4.12705e-07	0	0	0	0	0	0	1.20627e-06	8.44698e-07	0	6.1913e-06	1.32197e-06	0	5.18608e-06	4.01086e-06	8.08071e-07	9.72012e-07	0	1.2599e-06	0	0	0	0	0	5.44973e-06	4.83633e-07	0	9.77377e-07	1.59136e-07	0	1.30638e-07	1.04449e-06	7.19742e-06	0	4.97989e-07	0	2.16686e-07	0.000911458
d3_4	0.0106282	3.61193e-06	2.56002e-07	7.3191e-09	0	3.2826e-07	0	2.43252e-06	0	0	0	0	1.83217e-06	0	1.80325e-08	6.33432e-06	0	1.8543e-06	1.13532e-06	2.04878e-06	3.63442e-06	0	0	8.7741e-07	0	0	8.82281e-06	5.8895e-06	1.6525e-06	5.11976e-06	3.98591e-07	0	8.00135e-07	3.26411e-06	0	0	3.10735e-06	1.70468e-06	1.31665e-06	0	0	1.87377e-06	5.09772e-06	4.618e-06	0	4.69742e-06	1.60062e-06	0	0	0	8.74415e-07	5.94154e-07	0	0	5.7757e-07	2.6318e-06	1.21928e-06	0	1.50911e-06	1.01797e-06	0	3.62128e-06	0	4.83632e-06	0	4.62432e-07	1.17642e-06	0	0	0	7.73626e-07	4.53082e-06	1.96796e-06	0	1.23285e-05	2.70027e-07	0	0	0	4.87739e-06	2.75792e-06	0	4.18023e-06	8.46496e-07	0	0	0	3.89759e-06	1.53658e-06	0	0	0	1.46355e-06	9.20411e-06	0.00076748
d3_5	0.00833039	0	0	0	9.62805e-06	9.294e-07	1.44215e-06	0	0	3.58912e-06	4.35714e-06	0	0	0	1.55025e-06	5.01711e-07	7.52317e-07	2.50105e-06	0	1.12011e-07	0	0	0	2.36547e-06	3.81472e-07	1.63431e-05	3.93381e-06	0	3.04051e-07	0	4.83198e-06	0	2.78643e-07	3.33753e-07	0	1.21511e-06	6.10922e-06	0	2.45139e-07	0	0	0	0	5.37674e-06	7.16692e-07	6.70127e-10	0	3.35454e-06	1.623e-06	0	0	4.67768e-07	0	0	0	1.56056e-06	0	0	0	5.69715e-06	0	1.10019e-06	0	2.33088e-06	1.82281e-06	4.45462e-07	0	0	0	7.89684e-08	2.4693e-06	0	2.35997e-05	0	0	0	0	0	0	1.14964e-06	0	4.92682e-06	3.87934e-06	0	0	0	2.2626e-07	2.07381e-07	6.04695e-07	2.76985e-06	7.89699e-07	0	3.16585e-07	0	0.000904539
d3_6	0.00703699	0	4.04135e-07	0	1.92161e-06	3.61527e-06	6.36882e-08	0	0	3.37726e-07	5.77815e-06	2.94037e-06	0	0	4.23447e-06	3.46344e-07	0	1.39718e-06	0	0	2.3926e-06	0	0	0	3.47566e-07	0	2.41677e-06	0	0	0	0	5.5859e-06	4.28948e-06	5.94822e-08	6.90106e-07	0	6.04408e-06	6.41463e-06	6.18906e-07	3.70077e-06	9.90664e-07	1.15446e-06	0	0	0	3.03054e-06	9.61792e-07	1.20672e-07	0	0	6.64215e-09	0	1.94887e-06	0	0	8.44255e-08	4.33706e-06	2.07207e-06	0	7.49825e-07	3.37061e-07	5.07997e-07	0	3.13663e-06	0	0	0	6.4173e-08	1.13314e-06	4.04603e-06	0	2.66895e-06	4.43282e-07	0	0	1.09833e-06	0	2.68581e-06	1.04917e-05	7.9631e-06	1.18361e-06	0	0	0	0	1.13404e-06	0	4.27057e-07	0	1.78571e-07	0	0	9.49849e-06	0	0.000764726
d3_7	0.00590031	1.42634e-06	3.41974e-06	0	0	0	0	0	1.64135e-07	4.00159e-06	0	0	0	0	0	0	0	1.21004e-06	0	0	0	0	0	1.04146e-06	3.85403e-07	0	1.71682e-05	5.05009e-06	0	0	0	0	5.59358e-06	8.62208e-06	3.43401e-07	0	0	2.88862e-07	0	3.54439e-07	2.31542e-06	0	6.5085e-06	3.96834e-07	1.70341e-06	0	6.57107e-07	0	9.14208e-06	0	7.02612e-06	0	5.22458e-07	9.19673e-07	1.65155e-06	0	1.05132e-06	0	0	6.84672e-07	0	2.19933e-06	2.40888e-06	4.38721e-07	4.26199e-06	0	1.80878e-08	1.75685e-07	0	0	2.06766e-07	1.8001e-06	4.97347e-06	6.92449e-06	4.18041e-06	0	0	4.61521e-08	0	5.86169e-07	0	0	2.1334e-06	0	0	2.34073e-07	6.9422e-07	0	8.97344e-06	1.50431e-05	0	0	2.15204e-06	0	0.000806287
d3_8	0.00536302	6.77843e-06	0	0	8.96759e-07	5.16093e-06	7.97982e-06	1.24957e-06	0	1.77719e-06	0	3.23119e-07	7.8593e-06	0	0	1.96765e-06	7.26235e-08	0	1.28381e-06	9.57019e-07	2.07413e-06	1.53201e-06	0	1.10318e-06	0	0	1.87929e-06	9.70633e-07	0	2.91547e-06	8.46978e-07	9.52346e-07	9.44284e-08	0	3.46835e-07	4.21378e-08	0	0	8.4855e-07	0	0	0	0	0	7.53458e-06	0	8.77593e-06	0	2.18659e-06	0	3.43e-06	0	0	0	7.03158e-07	7.97893e-08	2.56553e-07	0	0	0	0	1.0391e-06	2.81415e-07	3.7398e-06	0	0	3.35082e-07	1.17627e-06	2.93956e-06	0	0	2.05881e-06	8.89129e-07	4.61783e-07	9.21031e-06	0	0	0	0	0	0	0	7.29582e-07	2.39225e-07	8.13388e-07	0	1.44492e-06	1.69267e-07	9.13943e-07	1.92312e-06	4.3518e-06	0	0	1.05185e-07	0.000798486
d3_9	0.00475154	0	0	4.54759e-06	0	0	0	0	0	0	0	0	0	0	0	1.683e-06	0	0	2.27753e-07	0	0	2.21897e-07	4.49661e-07	0	4.54295e-07	0	1.49678e-06	1.51222e-06	1.09078e-06	2.15278e-06	0	0	4.00773e-06	4.80587e-06	8.22045e-07	3.42326e-06	0	1.22523e-05	0	9.42566e-07	1.47186e-07	0	5.17357e-06	0	0	0	0	0	1.44255e-06	1.3306e-06	4.451e-07	7.65327e-06	0	3.21556e-07	3.64073e-06	3.76595e-06	3.3826e-06	0	0	0	0	0	0	0	0	3.13399e-07	3.1207e-07	0	0	0	3.94966e-06	0	0	0	6.80744e-06	4.43277e-07	4.87863e-07	3.51035e-07	2.74828e-06	1.68263e-06	4.85823e-06	0	4.70552e-07	0	0	0	0	2.6477e-07	0	0	0	5.88331e-06	4.76483e-07	0	0.000734244
