	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d2_0	0	0.292047	0.0448345	0.0125352	0.00576206	0.00383371	0.00300565	0.0022946	0.00211516	0.00173189	0.00159829	0.0010199	0.000991214	0.000861515	0.000632218	0.000614202	0.000581905	0.0005052	0.000496937	0.00022062	0.000224772	0.000213646	0.000226614	0.000134398	0.000132053	6.34397e-05	0.00011761	8.63338e-05	3.82656e-05	7.0177e-05	4.71682e-05	1.4182e-05	2.43315e-05	3.85759e-05	3.42075e-05	5.67343e-05	2.65706e-05	2.2793e-05	6.5524e-07	1.14831e-05	1.13252e-05	1.74373e-07	4.56059e-07	1.10991e-07	1.11718e-05	1.10679e-05	7.84568e-08	4.45507e-08	9.42627e-08	1.33974e-08	1.70884e-09	3.6209e-08	2.73206e-08	3.95463e-08	5.5085e-09	8.00096e-08	0	0	8.4748e-10	0	0	2.63289e-08	0	0	0	0	0	0	1.12147e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_1	0.0530368	0.000468928	0.000586178	0.000466582	0.000532799	0.00046778	0.000394694	0.000398419	0.000356318	0.000409487	0.000279001	0.000278689	0.000294835	0.000279894	0.000164906	0.000189735	0.000213621	0.000142983	0.000152093	0.000104456	0.000110756	0.000156022	0.00010742	0.000106576	8.71369e-05	3.78181e-05	3.72224e-05	4.04313e-06	2.51075e-05	3.57098e-05	2.60696e-06	4.90471e-05	1.50645e-06	1.40228e-06	4.50886e-05	2.28319e-05	1.17481e-05	1.16306e-05	7.05783e-07	4.46426e-05	2.56681e-07	1.1288e-05	2.27019e-05	2.81367e-07	1.06534e-07	1.24354e-07	1.11173e-05	1.6479e-07	5.15168e-08	2.93234e-08	5.51891e-08	0	9.12446e-08	3.95873e-08	0	6.75113e-08	4.16142e-09	1.54076e-08	0	3.2548e-09	4.90419e-08	0	0	0	0	0	1.30261e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_2	0.0228113	0.00037712	0.000374782	0.000376161	0.000463315	0.000431456	0.000360899	0.000340637	0.000389735	0.000270629	0.000354705	0.000244461	0.000266922	0.000243019	0.000213408	0.00014068	0.00017291	0.000139889	0.000175032	0.000134765	0.00016597	0.000110096	0.000108326	0.000117654	8.37338e-05	7.55327e-05	9.92146e-05	7.3579e-05	3.38585e-06	6.9072e-05	1.3447e-05	2.40833e-05	5.74544e-05	3.46743e-05	6.02726e-05	1.33891e-06	3.42031e-05	5.60863e-05	7.71638e-07	1.17635e-05	1.15606e-05	4.92718e-07	1.12966e-05	1.12743e-05	1.98196e-07	2.13946e-07	1.11812e-07	1.65402e-07	2.39081e-07	1.10268e-05	1.69945e-09	7.11291e-08	1.18814e-07	6.7348e-09	8.87821e-08	6.70641e-08	0	5.18891e-09	0	1.65722e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_3	0.0129805	0.000397428	0.000354764	0.000349925	0.000468496	0.000344601	0.000434505	0.000272957	0.000376259	0.000265209	0.000275806	0.000319938	0.000269558	0.000213714	0.000197344	0.000213265	0.000142877	0.000184242	0.000238725	0.000238612	0.000122366	0.00012146	0.000109209	0.000119072	5.18892e-05	5.37008e-05	8.26445e-05	5.95375e-05	5.12261e-05	7.29511e-05	2.61105e-05	2.46472e-05	3.51931e-05	3.48689e-05	2.38748e-05	2.33754e-05	1.5586e-06	2.27535e-05	8.45778e-07	3.3601e-05	2.2486e-05	3.34444e-05	2.24869e-05	5.47173e-07	2.66209e-07	2.6245e-07	1.98713e-07	9.03534e-08	1.11623e-05	8.9466e-08	8.46224e-08	1.88732e-07	1.11221e-05	6.99868e-08	3.66807e-09	6.82144e-09	3.82067e-09	5.42928e-08	0	1.26318e-09	0	4.55772e-08	5.78134e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_4	0.0083466	0.000294698	0.000394446	0.000393332	0.000223877	0.00026757	0.000350049	0.000336058	0.000374973	0.00026451	0.000389212	0.000247712	0.000157993	0.000206969	0.000186207	0.000178166	0.000191596	0.000107824	0.000152295	0.00012996	0.00018679	0.000140269	0.000127343	0.000131502	5.24137e-05	6.57828e-05	8.40325e-05	4.91402e-05	7.36503e-05	4.78529e-05	4.08429e-05	4.71511e-05	3.48662e-05	5.69323e-05	1.27121e-05	2.33137e-05	3.82413e-05	3.44066e-05	2.34958e-05	3.40141e-05	3.74834e-05	2.27556e-05	4.55388e-07	5.49503e-07	1.12985e-05	4.25472e-07	3.32125e-05	1.48698e-05	2.31886e-07	2.71653e-07	1.00698e-07	3.32173e-05	3.85557e-06	9.29662e-08	5.48136e-08	0	6.57381e-08	4.90081e-09	4.39292e-08	1.10371e-05	1.29704e-08	0	2.99111e-08	0	0	1.49662e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_5	0.00568338	0.000303686	0.000303559	0.000410818	0.000329257	0.000195569	0.000256232	0.000312	0.000255645	0.000290517	0.00030641	0.000251265	0.0002892	0.000175605	0.000159954	0.000235723	0.000268862	0.000248794	0.000196456	0.000217729	0.000180187	0.000192852	0.000143086	0.000109362	0.000107805	0.000128519	0.000142213	7.11956e-05	7.11395e-05	6.03135e-05	6.9901e-05	3.63687e-05	3.54534e-05	3.5427e-05	3.52927e-05	2.4123e-05	4.56178e-05	7.8304e-05	3.41395e-05	1.245e-05	2.29632e-05	5.93107e-07	3.38543e-05	6.62115e-07	1.12634e-05	2.25747e-05	2.2481e-05	1.34259e-07	2.0781e-07	1.60919e-07	1.11355e-05	2.33068e-07	8.53811e-08	3.86099e-08	1.49557e-08	9.96321e-08	2.20699e-05	7.66567e-08	4.40023e-08	1.10253e-05	2.70475e-09	0	6.81841e-08	8.12534e-09	0	2.00151e-08	0	0	1.10267e-05	0	0	0	0	0	0	5.82498e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_6	0.00403591	0.000196915	0.000286401	0.000274767	0.000213356	0.000319424	0.000255715	0.000361682	0.000288639	0.000257105	0.000220257	0.000185292	0.000277211	0.000288143	0.00026309	0.00020071	0.000186476	0.000152823	0.000195315	0.00021456	0.000146439	0.000184897	0.000110397	0.000119618	8.7659e-05	0.000195634	0.00011702	9.38787e-05	0.000142055	8.23339e-05	7.04621e-05	8.05167e-05	6.96371e-05	4.67462e-05	8.32195e-05	2.44405e-05	4.64306e-05	1.99147e-05	3.435e-05	5.60423e-05	3.40545e-05	2.28932e-05	1.16998e-05	3.40137e-05	1.18839e-05	3.57211e-07	3.5274e-07	3.20489e-07	3.76108e-07	1.1103e-05	1.12575e-05	1.00924e-07	1.11449e-05	1.47564e-05	3.57892e-08	1.56321e-07	1.20794e-07	3.6202e-08	0	1.2892e-07	2.43739e-09	9.07769e-08	1.05595e-08	9.54623e-08	0	2.55764e-08	6.84106e-09	0	0	2.31998e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_7	0.00294066	0.00025129	0.000201843	0.000239606	0.000197075	0.000292451	0.000255734	0.000239767	0.00029159	0.000158601	0.000264693	0.000223748	0.000245545	0.000183341	0.000353738	0.000134947	0.000198792	0.000292608	0.000204728	0.000198854	0.000124869	0.000236885	0.000148577	0.000153359	9.6697e-05	0.00011823	0.000106001	7.2253e-05	0.000104963	0.000118956	5.95357e-05	0.000114696	8.11474e-05	6.90485e-05	1.74374e-05	6.82957e-05	1.84855e-06	3.49264e-05	3.85282e-05	4.5636e-05	3.43944e-05	3.40253e-05	2.29021e-05	1.17651e-05	3.39324e-05	2.26246e-05	1.15986e-05	1.16394e-05	2.24332e-05	2.51567e-07	2.94252e-07	1.12361e-05	1.11236e-05	2.22144e-05	2.59361e-05	1.286e-07	1.09659e-05	0	6.09342e-09	7.55301e-09	1.11573e-08	8.55915e-08	8.99003e-09	7.4862e-09	0	0	1.10455e-05	6.42734e-09	8.68634e-09	0	2.94892e-09	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_8	0.00223674	0.000201362	0.000223445	0.000236727	0.00016752	0.000252143	0.000175009	0.000214604	0.000225015	0.000155613	0.000192649	0.000317669	0.000211952	0.000233598	0.000354508	0.000209538	0.000219214	0.000229003	0.000300877	0.000148718	0.000146602	0.000234319	0.000165988	0.000198847	0.000124686	6.74336e-05	0.000152355	0.000202076	7.27767e-05	9.3947e-05	7.10872e-05	9.23479e-05	7.01313e-05	4.76949e-05	2.50217e-05	7.95041e-05	5.74529e-05	2.36117e-05	5.73029e-05	3.4557e-05	3.43642e-05	2.29198e-05	3.4536e-05	2.30627e-05	2.30332e-05	4.47573e-05	3.35346e-05	1.13303e-05	3.34627e-05	2.25522e-05	1.14802e-05	1.13542e-05	6.56775e-08	2.41921e-07	1.10555e-05	1.29697e-07	2.20886e-05	7.01366e-08	1.05871e-07	2.39224e-07	4.62778e-08	1.10412e-05	0	3.50218e-08	0	0	6.25774e-08	4.7383e-08	0	2.76073e-08	0	0	0	0	7.45158e-09	1.10335e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d2_9	0.00167253	0.000149347	0.00015923	0.000185081	0.000169226	0.000186105	0.000250512	0.000150005	0.000188806	0.000196529	0.000167902	0.000286187	0.000183016	0.00030643	0.000263451	0.000201331	0.000152748	0.000222863	0.000242011	0.000229344	0.000162346	0.000171594	0.000211646	0.000177139	0.000186875	8.58407e-05	7.40702e-05	7.73366e-05	0.000106428	8.30282e-05	7.11287e-05	4.14139e-05	0.000117633	2.61152e-05	4.73458e-05	0.000102354	3.55309e-05	4.65843e-05	4.56692e-05	7.89532e-05	7.91085e-05	2.34952e-05	1.2483e-05	2.27813e-05	2.65591e-05	1.20359e-05	7.47299e-07	2.63975e-05	5.61902e-07	4.59864e-07	1.1368e-05	1.13336e-05	2.83065e-07	3.22326e-07	1.11483e-05	1.1215e-05	1.18106e-07	2.21997e-05	9.70508e-08	1.10131e-05	3.01208e-08	4.01592e-08	5.2339e-08	0	2.4864e-08	8.20261e-09	4.78651e-08	7.68591e-08	9.02944e-08	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
