	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d2_0	0	0.00922652	0.00514815	0.00379034	0.00312641	0.00259976	0.00259706	0.00210772	0.00204342	0.00195789	0.0018126	0.00167881	0.00174529	0.00183092	0.0017638	0.00146951	0.00165901	0.00162725	0.00165699	0.00151379	0.00129558	0.0014103	0.00149285	0.00156678	0.00145818	0.00146047	0.0013963	0.00137673	0.0013491	0.00141807	0.00129647	0.00120757	0.00134646	0.0012826	0.00119042	0.00113172	0.00123277	0.00112013	0.00123074	0.00127479	0.00117378	0.00118245	0.00106967	0.00115412	0.00117662	0.00112638	0.00130758	0.00122951	0.00110382	0.00126938	0.0011173	0.00110896	0.0012182	0.00115034	0.00117451	0.00121927	0.00122567	0.00120355	0.0010595	0.00109249	0.00109177	0.00104417	0.00106971	0.00132564	0.00106996	0.00105988	0.00105705	0.000977439	0.00114235	0.00115247	0.00110387	0.001113	0.00110649	0.00108173	0.00111948	0.00108767	0.000939673	0.00126308	0.0010957	0.000978241	0.000921057	0.00100955	0.000927417	0.00110713	0.000938197	0.00107082	0.00101554	0.00102312	0.000934928	0.00093717	0.000985946	0.00102085	0.00100874	0.000947468	0.0993508
d2_1	0.112402	7.62242e-06	7.62221e-06	1.71631e-05	1.73181e-08	3.04773e-05	1.9184e-06	1.9141e-06	2.09393e-05	1.90334e-05	5.71502e-06	1.14304e-05	3.21854e-08	7.62689e-06	5.71893e-06	1.14152e-05	1.52459e-05	7.62291e-06	7.35409e-09	1.33403e-05	1.1439e-05	1.90984e-06	9.9032e-09	1.14366e-05	4.22112e-09	1.14113e-05	4.76587e-09	1.92603e-08	2.09655e-05	1.33369e-05	1.3339e-05	4.32463e-08	3.14185e-05	5.72022e-06	5.71831e-06	1.90773e-05	3.23806e-05	9.52835e-06	1.91452e-06	5.71676e-06	1.93147e-06	2.11889e-08	5.72114e-06	1.14258e-05	1.91421e-06	5.70961e-06	9.53357e-06	5.71255e-06	1.14244e-05	5.71283e-06	5.71998e-06	9.54124e-06	1.1442e-05	1.9062e-05	5.72413e-06	1.90214e-05	2.09518e-05	3.97282e-09	5.7112e-06	5.75478e-06	1.71647e-05	7.64746e-06	5.71707e-06	1.71275e-05	2.28633e-05	7.63286e-06	1.90401e-05	1.8095e-05	1.13325e-08	2.47696e-05	7.6219e-06	2.09241e-05	7.62504e-06	5.73731e-06	1.14414e-05	1.93427e-06	7.62293e-06	1.3328e-05	5.71236e-06	1.14347e-05	1.14209e-05	5.75122e-06	1.04655e-08	5.72903e-06	5.73231e-06	5.74405e-06	6.06224e-09	1.33384e-05	5.7079e-06	1.14273e-05	5.71944e-06	1.52453e-05	1.93099e-06	8.72815e-09	0.0013269
d2_2	0.0458696	1.9067e-05	1.14277e-05	7.62237e-06	1.71425e-05	1.71394e-05	3.42787e-05	5.72788e-06	7.22004e-09	7.63026e-06	7.64662e-06	5.71853e-06	5.72072e-06	1.33316e-05	2.28724e-05	1.52349e-05	2.09644e-05	1.68496e-08	1.33378e-05	8.77105e-09	1.33512e-05	1.71169e-05	5.37689e-09	5.74554e-06	9.54659e-06	2.47379e-05	1.52397e-05	1.90567e-05	1.14177e-05	1.90531e-05	1.33319e-05	1.22735e-08	1.33457e-05	2.00357e-08	1.52409e-05	1.92584e-06	2.19004e-05	1.01419e-08	3.61618e-05	1.52466e-05	1.33234e-05	5.74178e-06	7.65479e-06	9.55821e-06	1.33263e-05	5.73669e-06	1.14236e-05	1.33546e-05	2.28555e-05	9.80668e-09	1.71412e-05	1.92496e-06	1.14235e-05	2.28502e-05	1.34045e-08	5.71149e-06	5.71933e-06	3.96884e-09	9.53661e-06	5.71873e-06	7.64909e-06	1.52531e-05	1.14326e-05	1.1434e-05	9.53087e-06	1.14374e-05	3.81127e-06	5.71077e-06	8.57197e-09	5.71313e-06	1.52348e-05	3.04458e-05	7.6315e-06	5.72293e-06	1.14556e-05	9.48547e-09	1.14279e-05	3.04761e-05	1.30743e-08	1.14302e-05	1.33318e-05	5.75599e-09	2.476e-05	1.14238e-05	1.92001e-06	7.62305e-06	5.73294e-06	1.90326e-05	5.71776e-06	5.71444e-06	1.14395e-05	1.71314e-05	3.82007e-06	8.91436e-09	0.0013109
d2_3	0.0251351	8.9238e-09	1.14264e-05	7.3875e-09	7.6405e-06	1.14221e-05	1.25954e-08	1.14286e-05	5.72522e-06	1.14411e-05	9.83245e-09	1.14352e-05	5.70562e-06	1.33214e-05	7.65139e-06	1.71443e-05	5.73928e-06	5.72235e-06	7.64865e-06	1.33272e-05	1.91665e-06	5.74702e-06	2.25297e-08	1.33413e-05	1.33454e-05	1.33396e-05	2.31293e-09	5.71447e-06	5.72273e-06	5.71523e-06	5.70819e-06	5.72684e-06	1.52693e-05	7.17678e-09	5.71721e-06	7.62585e-06	1.33475e-05	1.14263e-05	1.04757e-05	1.14128e-05	2.26164e-08	9.52761e-06	1.34631e-08	4.13241e-08	1.90499e-05	1.33473e-05	5.73994e-06	1.7146e-05	1.14264e-05	1.90902e-06	1.92802e-06	1.0277e-08	5.76792e-06	6.24375e-09	1.90484e-05	1.33406e-05	5.70783e-06	1.71718e-05	2.86791e-08	1.33364e-05	7.61976e-06	5.71904e-06	2.09639e-05	7.6281e-06	7.61918e-06	2.47481e-05	1.14115e-05	1.14249e-05	2.2854e-05	1.3348e-05	1.33412e-05	1.33472e-05	1.14208e-05	5.7312e-06	1.90382e-05	5.71727e-06	4.93646e-09	1.33591e-05	1.14308e-05	1.90562e-05	1.14329e-05	2.85505e-05	5.72323e-06	1.00668e-08	1.33149e-05	5.71357e-06	2.28405e-05	1.4095e-08	1.52303e-05	1.93173e-06	1.33327e-05	4.1418e-09	7.6345e-06	5.74666e-06	0.00133665
d2_4	0.0156613	1.92056e-06	9.52503e-06	3.16511e-08	1.51623e-08	5.73821e-06	1.92284e-06	1.90428e-05	1.52463e-05	1.90335e-05	1.6385e-08	2.47621e-05	5.75572e-06	1.14421e-05	1.52557e-05	2.64917e-08	1.17871e-08	1.33333e-05	1.3016e-08	7.6608e-06	1.02321e-08	1.91724e-06	2.28457e-05	1.51882e-08	1.14358e-05	1.3344e-05	1.92036e-06	1.71594e-05	5.71814e-06	4.17345e-08	1.33471e-05	1.00287e-08	2.09375e-05	1.71321e-05	2.18211e-08	1.1424e-05	5.76105e-06	5.74633e-06	9.52568e-06	7.62203e-06	1.71676e-05	7.61853e-06	2.28521e-05	6.65718e-09	1.14295e-05	7.62542e-06	2.28701e-05	5.70912e-06	7.63497e-06	1.3326e-05	1.71416e-05	2.28436e-05	1.71404e-05	1.93574e-06	1.14325e-05	2.07678e-08	7.61507e-06	1.92237e-06	1.0868e-08	5.7114e-06	5.71035e-06	4.18982e-09	1.33296e-05	1.52495e-05	5.72851e-06	2.47574e-05	5.7179e-06	9.52199e-06	1.33389e-05	1.52203e-05	1.14461e-05	7.63217e-06	4.54643e-10	5.71154e-06	1.83451e-08	7.61115e-06	3.80435e-05	1.14436e-05	1.33293e-05	1.34943e-08	2.28319e-05	5.97953e-09	1.14215e-05	1.14451e-05	7.62827e-06	3.23745e-05	1.71399e-05	5.74673e-06	5.73493e-06	1.42833e-05	1.90466e-05	5.72575e-06	1.14302e-05	7.62281e-06	0.00130146
d2_5	0.0103985	6.1371e-09	2.18991e-05	5.71763e-06	3.81988e-06	7.65475e-06	1.33651e-05	7.63141e-06	5.71168e-06	1.93297e-06	6.53602e-09	1.90265e-05	1.33255e-05	5.7186e-06	1.90451e-05	1.33261e-05	5.729e-06	5.72749e-06	1.71362e-05	5.72925e-06	5.72213e-06	5.73676e-06	1.71372e-05	1.14228e-05	1.5262e-05	5.71407e-06	1.3366e-05	1.23998e-05	1.91319e-06	1.46983e-08	1.33378e-05	1.14362e-05	1.71426e-05	5.71917e-06	1.71383e-05	7.62906e-06	5.72647e-06	2.28456e-05	1.14302e-05	5.7279e-06	1.71416e-05	5.7265e-06	1.99163e-08	5.70618e-06	1.12878e-08	1.7169e-05	5.71314e-06	1.71373e-05	1.33414e-05	5.72025e-06	1.33202e-05	1.14461e-05	2.5317e-08	7.64286e-06	6.5647e-09	1.91921e-06	1.14312e-05	5.71455e-06	1.7135e-05	2.47654e-05	5.71474e-06	1.92855e-06	1.90334e-05	5.738e-06	5.72974e-06	7.62956e-06	1.14417e-05	7.62601e-06	5.7204e-06	5.7159e-06	2.66587e-05	1.14375e-05	5.70627e-06	1.14636e-05	1.90942e-06	1.61315e-08	2.28472e-05	7.62627e-06	2.09644e-05	1.99973e-05	1.71478e-05	7.61962e-06	1.1436e-05	1.33348e-05	9.53275e-06	9.5259e-06	1.14386e-05	7.62664e-06	1.71446e-05	1.33441e-05	1.71558e-05	5.71784e-06	1.71299e-05	1.25051e-08	0.00133852
d2_6	0.00768773	3.83513e-06	1.1436e-05	1.52282e-05	9.55145e-06	1.43101e-05	1.71427e-05	1.30088e-08	8.33016e-09	7.65587e-06	1.14405e-05	7.61606e-06	5.7261e-06	4.26132e-08	1.04736e-05	5.73848e-06	1.71419e-05	1.14383e-05	1.90418e-05	1.52659e-05	5.71768e-06	1.90397e-05	2.47659e-05	1.48534e-05	3.38129e-08	5.73373e-06	5.72675e-06	5.71506e-06	1.33394e-05	1.52486e-05	1.1419e-05	5.71793e-06	1.52531e-05	4.2495e-09	1.33347e-05	1.14224e-05	1.33369e-05	1.14218e-05	1.92955e-06	3.92171e-09	1.71709e-05	1.5247e-05	1.90436e-05	1.00157e-08	5.73596e-06	1.33205e-05	5.74647e-06	5.71251e-06	5.71386e-06	5.71102e-06	1.33323e-05	3.71699e-08	1.71403e-05	1.92504e-09	1.14102e-05	1.90668e-09	7.62829e-06	1.14386e-05	1.93038e-06	5.71619e-06	1.33366e-05	5.73925e-06	1.14402e-05	1.14236e-05	2.47461e-08	5.72174e-06	1.90415e-05	1.28412e-08	1.33452e-05	1.90312e-05	1.71418e-05	5.70552e-06	1.14432e-05	1.33463e-05	7.37353e-09	5.73108e-06	5.41016e-09	5.71067e-06	1.14247e-05	7.62065e-06	2.47574e-05	1.14342e-05	9.51981e-06	5.7195e-06	1.71329e-05	5.85928e-09	5.73453e-06	1.90478e-05	1.14338e-05	1.52361e-05	1.90471e-05	5.71242e-06	1.33287e-05	5.72044e-06	0.0013576
d2_7	0.0055991	7.62346e-06	5.71928e-06	9.55083e-06	2.09656e-05	1.33386e-05	2.66627e-05	2.4773e-05	1.6296e-08	5.7124e-06	2.66973e-05	4.44355e-09	4.36172e-09	5.71682e-06	5.71579e-06	1.14364e-05	1.93201e-06	1.33351e-05	6.33082e-09	1.71601e-05	3.42589e-05	1.71491e-05	7.63843e-06	1.14314e-05	1.14209e-05	3.83058e-06	2.03391e-09	5.71805e-06	1.7148e-05	1.90467e-05	1.52168e-05	5.72962e-06	2.47617e-05	5.71607e-06	5.71912e-06	5.72059e-06	3.56051e-09	1.33677e-05	1.90531e-05	1.52249e-05	5.73789e-06	5.73977e-06	1.3341e-05	1.92273e-06	1.67375e-08	5.76348e-06	5.71424e-06	7.62594e-06	7.62239e-06	5.70387e-06	7.62884e-06	5.73395e-06	3.04864e-05	1.14274e-05	1.29565e-08	2.85478e-05	1.25565e-08	1.14341e-05	7.53186e-10	0	1.14341e-05	5.72619e-06	5.71954e-06	5.72007e-06	5.70364e-06	1.14359e-05	1.48774e-08	5.7361e-06	1.33431e-05	1.92103e-06	2.47418e-05	2.18953e-05	1.92666e-06	1.47693e-08	5.71829e-06	5.71412e-06	1.14369e-05	5.71468e-06	1.14335e-05	1.52296e-05	5.71707e-06	1.93757e-06	2.47483e-05	1.33402e-05	1.51876e-08	1.33279e-05	1.9116e-06	1.1421e-05	1.4839e-08	5.7205e-06	1.52251e-05	5.71324e-06	1.15267e-08	5.72123e-06	0.00160694
d2_8	0.00449267	5.72464e-06	1.90429e-05	2.47688e-05	1.90612e-05	3.82877e-06	1.90547e-05	2.18945e-05	5.70752e-06	2.36851e-08	1.14318e-05	1.14206e-05	1.90583e-05	1.14239e-05	6.57298e-09	2.96722e-09	5.74222e-06	1.52542e-05	1.90314e-05	2.85501e-05	2.28401e-05	1.01129e-08	1.5243e-05	5.72086e-06	1.90633e-05	9.54355e-06	1.71319e-05	1.142e-05	5.71812e-06	1.33384e-05	1.14297e-05	5.72887e-06	5.72108e-06	5.723e-06	5.71485e-06	5.71298e-06	1.91475e-06	1.33311e-05	1.14274e-05	5.72994e-06	1.71742e-05	1.1453e-05	1.33563e-05	1.1416e-05	1.61944e-05	6.35933e-09	1.14374e-05	5.7444e-06	2.47726e-05	2.63956e-08	0	5.7357e-06	1.14638e-05	1.5228e-05	2.28587e-05	5.71323e-06	2.47356e-05	1.14317e-05	2.47489e-05	7.63513e-06	1.92239e-06	7.62916e-06	2.28548e-05	5.72727e-06	1.1445e-05	7.62359e-06	1.56545e-08	3.04487e-05	1.71409e-05	1.90423e-05	1.90386e-05	1.14275e-05	1.14207e-05	1.92297e-06	2.88635e-06	1.90562e-05	1.90458e-05	3.80345e-09	2.12483e-08	5.704e-06	1.14766e-05	1.71699e-05	7.624e-06	1.71462e-05	1.90401e-05	1.90752e-05	5.73004e-06	1.7122e-05	1.14311e-05	0	1.90433e-05	6.68472e-06	5.70985e-06	0	0.00155359
d2_9	0.00369018	1.14188e-05	1.75644e-08	7.63369e-06	3.82112e-06	5.72379e-06	3.032e-09	1.91256e-06	1.33198e-05	3.04856e-05	1.14371e-05	1.90654e-05	1.33228e-05	1.92018e-06	1.1415e-05	3.49913e-08	5.72223e-06	1.14284e-05	1.33495e-05	5.72225e-06	5.73655e-06	7.61865e-06	5.70943e-06	1.33186e-05	1.33407e-05	1.71183e-05	5.72201e-06	7.62671e-06	1.14375e-05	1.14465e-05	1.1432e-05	7.51483e-09	7.62663e-06	1.86648e-08	2.09597e-05	1.14286e-05	1.7139e-05	2.28315e-05	1.14209e-05	1.14454e-05	7.61811e-06	1.52327e-05	5.72487e-06	1.95032e-06	1.93007e-06	2.28396e-05	1.33259e-05	7.62944e-06	1.14399e-05	1.68216e-08	2.28575e-05	1.33365e-05	1.89634e-09	7.62624e-06	9.52948e-06	7.62117e-06	2.0199e-08	2.47618e-05	1.33336e-05	7.60945e-06	5.72247e-06	3.87709e-09	1.92317e-06	1.71417e-05	1.95812e-08	5.71842e-06	5.70909e-06	1.71332e-05	1.14373e-05	1.71495e-05	1.30535e-08	1.16728e-08	7.62127e-06	5.71053e-06	1.71365e-05	2.96931e-08	5.71723e-06	2.28584e-05	5.75106e-06	1.72562e-08	1.14259e-05	7.62961e-06	7.63958e-06	1.14298e-05	5.71151e-06	2.66808e-05	1.14198e-05	2.28771e-05	1.715e-05	1.71487e-05	1.71392e-05	1.14177e-05	5.72296e-06	1.93414e-06	0.00124524
