	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d3_0	0	0.0107567	0.00621526	0.00466047	0.0037344	0.0034211	0.00300233	0.00264767	0.00248978	0.00254039	0.00237189	0.00220989	0.00225206	0.00220301	0.00226175	0.00187044	0.00193839	0.00205773	0.00200452	0.00191602	0.00190998	0.00201935	0.00191704	0.00197851	0.00194072	0.0017448	0.00180295	0.00187133	0.00178102	0.0018915	0.00177869	0.00187151	0.00172182	0.00175706	0.00172757	0.00184591	0.00167686	0.00178411	0.00168978	0.001648	0.00178454	0.00168067	0.00171202	0.00164428	0.00155697	0.00175117	0.00162233	0.00165492	0.00151263	0.00166144	0.00152374	0.00173407	0.00167971	0.0016991	0.00156348	0.00146121	0.0016895	0.00160843	0.00150899	0.00158789	0.00149788	0.00150752	0.0016484	0.00152431	0.00143969	0.00160244	0.00173975	0.00165059	0.00152072	0.00155776	0.00163358	0.00131623	0.00148347	0.00158048	0.00150349	0.00154481	0.00143846	0.00152241	0.00151684	0.00149627	0.00156542	0.00161319	0.00145701	0.00144093	0.00125407	0.00149602	0.00136621	0.0016549	0.0015009	0.00142733	0.00140469	0.00143648	0.0015761	0.00142131	0.160516
d3_1	0.0737338	0	1.30948e-05	9.90208e-09	1.52706e-05	2.22597e-09	3.42805e-09	3.57508e-09	1.5278e-05	6.54614e-06	4.1511e-09	1.30872e-05	1.27363e-08	8.73768e-06	8.72519e-06	6.54073e-06	1.52806e-05	8.73003e-06	1.34367e-10	1.1409e-08	6.55654e-06	1.76157e-09	6.6134e-09	1.52604e-05	9.6755e-09	4.65851e-10	6.5544e-06	4.37827e-06	4.04264e-09	8.73476e-06	1.52659e-05	5.82527e-09	0	1.14356e-08	6.54041e-06	2.18236e-05	6.55308e-06	7.01461e-09	3.76993e-09	6.5369e-06	6.73103e-09	3.60669e-09	0	4.59045e-09	2.18983e-06	0	6.54355e-06	6.53879e-06	6.55719e-06	0	3.42128e-09	2.19013e-06	0	6.54585e-06	1.77004e-09	6.82637e-09	8.73712e-06	6.55373e-11	1.30876e-05	4.66575e-09	0	1.31005e-09	6.55503e-06	6.53807e-06	1.3092e-05	0	1.5266e-05	6.55067e-06	6.53761e-06	2.18112e-05	1.57608e-09	1.96327e-05	6.54866e-06	6.55218e-06	2.18541e-06	1.30861e-05	6.54042e-06	0	1.5266e-05	1.08713e-08	8.75254e-06	1.30756e-05	9.73279e-09	0	6.54663e-06	0	1.5268e-05	6.53897e-06	6.54931e-06	6.81957e-09	0	6.55695e-06	1.30956e-05	6.54339e-06	0.000630665
d3_2	0.0316244	1.20998e-08	5.66175e-09	1.30877e-05	5.85636e-09	3.16489e-09	6.54952e-06	2.05518e-09	1.29786e-08	6.56941e-06	6.55195e-06	6.54685e-06	6.54843e-06	2.59799e-09	1.09095e-05	1.52658e-05	5.68573e-09	3.51065e-09	3.86542e-09	6.54603e-06	1.23996e-08	6.53869e-06	0	1.09088e-05	0	3.88068e-09	3.1925e-09	1.52685e-05	2.16866e-08	1.53221e-08	8.73129e-06	3.38152e-09	1.9629e-05	0	1.30902e-05	1.61852e-10	1.57023e-09	6.54099e-06	8.73574e-06	1.30892e-05	0	6.54802e-06	6.55733e-06	0	8.04121e-09	5.84517e-09	6.53756e-06	1.96418e-05	0	0	2.19328e-06	2.18525e-06	7.05287e-09	1.52751e-05	6.36688e-09	3.39646e-09	6.54752e-06	5.55781e-09	3.96344e-09	2.18816e-06	0	8.16403e-10	0	7.7228e-09	6.54687e-06	1.98277e-08	0	6.54807e-06	8.53108e-10	0	6.54626e-06	8.72305e-06	5.06312e-09	2.192e-06	6.54175e-06	6.53983e-06	2.19349e-06	1.09249e-05	8.73298e-06	8.93187e-09	2.48551e-09	1.52693e-05	2.83679e-05	2.39993e-05	0	6.55128e-06	0	6.54882e-06	6.5524e-06	6.55648e-06	4.8033e-09	6.54494e-06	1.30839e-05	1.3097e-05	0.000700328
d3_3	0.0182845	6.55501e-06	2.43316e-09	1.30864e-05	1.31094e-05	6.29214e-09	2.50503e-09	0	1.5273e-05	1.08505e-09	2.18881e-06	1.41191e-08	0	6.5369e-06	5.27352e-10	6.54386e-06	6.55413e-06	4.53928e-09	8.72329e-06	8.72299e-06	6.54185e-06	0	1.52879e-05	1.09433e-08	0	6.55199e-06	0	6.54819e-06	6.55411e-06	8.7429e-06	1.50841e-08	2.15584e-09	5.46398e-06	1.63125e-09	0	2.47719e-09	1.30833e-05	1.40665e-08	8.72686e-06	5.40383e-09	8.73407e-06	6.54532e-06	3.52932e-09	7.90464e-09	5.2778e-09	1.34404e-08	1.96533e-05	4.37277e-09	0	3.30567e-09	0	6.54703e-06	0	1.52796e-05	6.54822e-06	6.55036e-06	6.76367e-09	6.54128e-06	2.19499e-06	6.54644e-06	0	6.54506e-06	1.52789e-05	8.72859e-06	6.54658e-06	8.71845e-06	6.53699e-06	2.02986e-09	6.54645e-06	1.30901e-05	1.52751e-05	1.09104e-05	7.19569e-10	0	2.19088e-06	2.10092e-09	6.54513e-06	6.55325e-06	9.81303e-06	0	8.7289e-06	4.05408e-09	6.54801e-06	7.19383e-10	1.09172e-05	1.28065e-08	6.53819e-06	6.54224e-06	4.19061e-09	1.04154e-08	1.07829e-08	6.36818e-09	0	0	0.000592444
d3_4	0.0117743	6.5369e-06	2.19263e-06	2.19895e-06	8.72295e-06	6.5451e-06	0	2.7775e-09	7.7101e-10	1.52726e-05	6.53989e-06	0	1.30785e-05	0	5.28911e-09	6.55098e-06	5.49747e-09	1.3085e-05	6.54841e-06	2.57247e-09	4.00965e-10	6.55164e-06	4.96318e-09	6.54658e-06	0	3.92998e-09	7.43376e-09	6.77239e-09	6.55955e-06	6.86453e-09	1.09033e-05	6.29756e-10	1.09359e-05	1.58961e-09	2.89206e-09	2.19577e-06	4.78816e-09	6.54086e-06	1.07305e-08	6.55137e-06	1.30905e-05	6.55273e-06	0	2.39117e-09	2.51997e-09	8.7335e-06	9.57001e-09	6.54782e-06	0	5.08028e-09	5.30977e-09	6.55436e-06	6.54767e-06	6.54419e-06	1.31028e-05	0	4.70122e-09	0	1.09252e-05	1.011e-08	7.25222e-10	8.7282e-06	1.63296e-09	3.88157e-09	9.99499e-09	6.54727e-06	6.5473e-06	5.10692e-09	2.1908e-06	4.38164e-06	7.01917e-09	2.74833e-09	2.18564e-06	6.54667e-06	1.14448e-08	8.72911e-06	0	6.55489e-06	2.20473e-09	2.18878e-06	8.74567e-06	1.30882e-05	1.75095e-09	6.54836e-06	0	1.45407e-09	0	6.53977e-06	0	7.64027e-06	8.2523e-09	0	1.90578e-09	1.30852e-05	0.000765715
d3_5	0.00819505	4.2804e-09	6.0836e-09	6.54611e-06	1.30875e-05	7.29877e-09	6.54398e-06	6.55908e-06	6.69888e-09	0	1.36273e-08	0	8.7216e-06	8.03999e-09	0	0	6.54741e-06	1.99501e-09	3.05897e-09	1.70138e-10	6.5574e-06	8.73746e-06	1.45737e-08	6.54566e-06	2.18882e-06	2.40105e-05	1.30939e-05	6.55408e-06	1.83231e-08	6.54458e-06	1.49438e-09	6.65454e-09	1.81656e-09	6.54579e-06	1.30854e-05	8.73429e-06	0	6.56293e-06	7.51487e-10	0	0	1.94028e-09	3.35275e-09	0	2.18863e-06	1.02582e-08	0	8.72337e-06	6.55631e-06	6.5547e-06	2.18111e-05	8.72821e-06	6.55009e-06	6.55027e-06	5.25632e-09	6.54591e-06	5.88218e-09	8.74154e-06	6.5427e-06	0	2.18446e-06	0	6.54124e-06	8.49917e-09	0	1.30852e-05	3.31122e-10	1.18343e-08	8.74677e-06	4.91205e-09	1.51009e-09	6.65868e-09	6.54347e-06	6.5564e-06	8.55544e-09	1.9638e-05	6.55249e-06	1.09106e-05	4.90053e-09	8.43069e-09	6.53714e-06	8.73821e-06	7.60111e-09	1.52669e-05	6.55266e-06	1.84233e-08	4.48845e-09	6.54353e-06	0	2.20296e-06	2.18099e-05	0	6.55765e-06	8.47179e-09	0.000700345
d3_6	0.00610198	0	6.65115e-09	7.26991e-09	4.00521e-09	6.54593e-06	8.88077e-09	6.55087e-06	5.34375e-09	4.47461e-09	1.30947e-05	0	6.54438e-06	2.181e-05	8.78769e-11	0	6.54281e-06	1.06946e-08	1.30856e-05	0	8.73571e-06	0	9.08278e-09	8.74312e-06	3.06742e-09	6.53744e-06	6.09518e-10	6.54626e-06	8.30277e-10	1.74429e-05	6.55886e-06	1.36873e-09	5.0237e-09	2.18345e-06	2.19636e-06	6.54824e-06	2.56537e-09	8.72939e-06	6.54666e-06	1.31023e-05	1.49996e-09	0	1.96396e-05	7.69265e-09	0	8.41315e-09	6.54855e-06	6.54645e-06	4.99453e-09	8.73213e-06	0	6.55177e-06	6.54875e-06	1.96018e-09	9.34773e-09	1.00474e-08	2.18478e-06	0	6.54769e-06	6.54708e-06	1.30947e-05	0	6.54628e-06	6.54672e-06	5.6682e-09	6.5558e-09	2.19261e-06	1.30897e-05	6.54722e-06	0	6.55317e-06	6.59399e-09	3.82685e-09	4.49737e-09	8.71587e-06	8.73004e-06	8.72179e-06	2.19346e-06	4.36915e-06	6.54894e-06	9.63804e-10	6.64435e-09	1.88626e-09	2.78538e-09	1.30939e-05	0	1.30827e-05	2.78218e-10	6.55621e-06	7.72534e-10	6.55591e-06	0	1.94075e-08	0	0.000552026
d3_7	0.00441613	6.54917e-06	6.54927e-06	1.30887e-05	3.05378e-05	1.26716e-08	6.54332e-06	6.15029e-09	2.19731e-06	6.25972e-10	4.43813e-09	6.54647e-06	1.26345e-08	6.54179e-06	3.19521e-10	1.09682e-08	1.52617e-05	1.30939e-05	6.55987e-06	8.4068e-09	1.30996e-05	6.54565e-06	7.2828e-09	3.98216e-09	9.95332e-09	1.74435e-05	0	1.23196e-08	1.04957e-08	1.30929e-05	6.54659e-06	1.18089e-09	6.54992e-06	0	7.32123e-09	1.96769e-08	8.72964e-06	1.96356e-05	0	6.53889e-06	4.60591e-09	2.80951e-09	6.543e-06	8.12965e-09	3.36618e-09	6.55017e-06	6.54435e-06	8.05873e-09	1.28229e-08	9.35668e-10	0	2.4063e-09	6.54699e-06	6.54074e-06	8.74426e-06	1.52845e-05	0	2.54552e-09	8.72684e-06	6.54736e-06	6.5418e-06	1.52663e-05	8.73619e-06	8.73092e-06	6.54219e-06	9.56861e-09	9.58734e-09	1.10481e-10	1.91367e-08	2.18784e-06	4.69277e-09	1.52764e-05	1.53895e-08	1.05029e-09	1.30831e-05	6.54758e-06	4.37979e-06	6.548e-06	0	1.30961e-05	0	8.74801e-06	1.30913e-05	7.09142e-09	0	5.45897e-09	6.5466e-06	1.30818e-05	6.54646e-06	2.1841e-06	6.55051e-06	1.52669e-05	2.19059e-06	2.19421e-06	0.000682888
d3_8	0.00366987	1.5276e-05	1.74605e-05	6.55182e-06	1.76046e-08	0	6.54752e-06	2.19492e-06	1.48891e-08	4.06164e-09	8.73307e-06	7.02688e-09	0	2.18756e-06	6.55541e-06	2.51331e-09	6.54649e-06	2.19402e-06	2.19472e-06	1.03893e-08	8.73065e-06	6.55711e-06	1.95244e-09	2.19271e-06	1.1169e-08	1.31029e-05	2.52832e-09	5.80878e-10	3.17564e-09	5.73521e-09	5.46575e-10	2.1949e-06	8.72501e-06	1.30941e-05	4.04046e-09	7.45667e-09	1.30778e-05	5.44755e-09	2.18477e-06	8.08459e-09	6.9281e-09	6.54735e-06	6.54242e-06	6.55104e-06	2.83584e-05	6.54685e-06	6.54764e-06	1.15795e-08	1.52676e-05	6.54259e-06	1.03974e-08	6.5565e-06	6.55865e-06	5.31507e-09	6.54686e-06	4.17689e-09	3.31882e-09	0	0	9.21039e-09	6.53752e-06	5.11044e-09	6.54709e-06	0	6.55691e-06	0	6.54885e-06	8.73358e-06	6.54525e-06	6.55641e-06	2.70575e-09	6.54832e-06	3.7091e-09	6.55187e-06	8.734e-06	4.16332e-09	6.54785e-06	6.5369e-06	5.01017e-09	6.54884e-06	1.3091e-05	0	4.10288e-09	0	1.30935e-05	8.74006e-06	2.18808e-06	1.30836e-05	0	2.19034e-06	0	2.39522e-08	2.4932e-09	2.18739e-06	0.000818117
d3_9	0.00288511	6.3298e-09	1.30992e-05	1.44028e-09	5.03114e-10	2.19517e-06	1.52692e-05	6.54987e-06	1.06341e-09	6.55465e-06	2.22566e-09	1.18398e-09	6.5442e-06	2.19966e-06	6.34903e-10	7.67635e-09	6.54779e-06	1.38631e-08	4.38662e-06	1.96416e-05	1.52691e-05	6.54673e-06	7.06824e-09	1.46706e-08	6.64953e-10	6.5618e-06	8.72028e-06	6.54145e-06	6.5464e-06	8.67904e-09	1.17804e-08	1.30938e-05	8.72386e-06	1.52651e-05	0	1.30934e-05	0	1.58432e-08	6.55423e-06	3.96234e-09	6.89587e-11	6.54387e-06	6.6259e-09	1.30973e-05	1.309e-05	6.55202e-06	6.53762e-06	1.23039e-08	8.72191e-06	6.54861e-06	6.56225e-06	3.38602e-09	6.54356e-06	0	8.58805e-09	6.54472e-06	2.19522e-06	8.72212e-09	1.44537e-08	8.7233e-06	0	1.40159e-09	6.54904e-06	4.73102e-09	6.54148e-06	1.52789e-05	6.54806e-06	6.54956e-06	3.00254e-09	8.72791e-06	6.54488e-06	6.55179e-06	6.55919e-06	6.54198e-06	0	0	2.18189e-05	1.52671e-05	1.82512e-08	1.96445e-05	7.36683e-09	2.66783e-09	1.12439e-08	5.04408e-09	8.34304e-09	5.79147e-09	1.52651e-05	3.2471e-10	6.55297e-06	1.52696e-05	1.00778e-09	8.73488e-06	6.54116e-06	1.30903e-05	0.00072217
