	d2_0	d2_1	d2_2	d2_3	d2_4	d2_5	d2_6	d2_7	d2_8	d2_9	d2_10	d2_11	d2_12	d2_13	d2_14	d2_15	d2_16	d2_17	d2_18	d2_19	d2_20	d2_21	d2_22	d2_23	d2_24	d2_25	d2_26	d2_27	d2_28	d2_29	d2_30	d2_31	d2_32	d2_33	d2_34	d2_35	d2_36	d2_37	d2_38	d2_39	d2_40	d2_41	d2_42	d2_43	d2_44	d2_45	d2_46	d2_47	d2_48	d2_49	d2_50	d2_51	d2_52	d2_53	d2_54	d2_55	d2_56	d2_57	d2_58	d2_59	d2_60	d2_61	d2_62	d2_63	d2_64	d2_65	d2_66	d2_67	d2_68	d2_69	d2_70	d2_71	d2_72	d2_73	d2_74	d2_75	d2_76	d2_77	d2_78	d2_79	d2_80	d2_81	d2_82
d3_0	0	0.124024	0.0514127	0.0291089	0.0184088	0.0129034	0.00957732	0.00747403	0.00619701	0.00524799	0.00449003	0.00399795	0.00388698	0.00349829	0.00314287	0.00291372	0.00291587	0.00293488	0.00288365	0.0026445	0.00244133	0.00254035	0.00239926	0.00240062	0.00227086	0.00217344	0.00227501	0.00194596	0.00190221	0.00189474	0.00184075	0.00184325	0.00174186	0.00179382	0.00154723	0.00168113	0.00167027	0.00159852	0.00141968	0.00140719	0.00128892	0.00153003	0.00126072	0.00132466	0.0012068	0.00119133	0.00131691	0.00116254	0.0010697	0.00116935	0.00108614	0.00098661	0.000941101	0.000877144	0.00090495	0.000898787	0.00074328	0.000790294	0.000614804	0.000643288	0.000671249	0.000590969	0.000625541	0.000601688	0.000559147	0.000554158	0.000541921	0.0004207	0.000371071	0.00045356	0.000398355	0.000387828	0.000340471	0.000276755	0.000250173	0.000268772	0.000206665	0.000168897	0.000187221	0.000204902	0.000186015	0.000142845	0.000436307
d3_1	0.0691906	2.94048e-05	2.75065e-05	2.5323e-05	1.89696e-05	9.91182e-06	1.70045e-05	4.61081e-05	5.03525e-05	1.52315e-05	6.56151e-06	2.33296e-05	8.75969e-06	2.34231e-05	2.53433e-05	2.97982e-05	2.77449e-05	5.06324e-05	3.7008e-05	1.29658e-05	1.90848e-05	3.18051e-05	1.69063e-05	4.00468e-05	2.94037e-05	3.57465e-05	3.37246e-05	1.52237e-05	1.90955e-05	1.09103e-05	4.00631e-05	2.15124e-05	4.41964e-05	2.15164e-05	1.51543e-05	1.93223e-05	6.56249e-06	3.78206e-05	4.21183e-05	4.50378e-05	3.37425e-05	4.20748e-05	5.68281e-05	2.33564e-05	2.72841e-05	6.08514e-05	3.16499e-05	3.36503e-05	1.71868e-05	1.47271e-05	3.99315e-05	2.53416e-05	6.51536e-06	3.57109e-05	2.5406e-05	1.29927e-05	1.90899e-05	2.10115e-05	1.28665e-05	3.09104e-07	3.57372e-05	1.26396e-05	3.56695e-05	1.46865e-05	1.71031e-05	3.33986e-05	8.6866e-06	6.32358e-06	1.88558e-05	4.38452e-05	1.48328e-05	1.26938e-05	1.47089e-05	2.30382e-05	1.88524e-05	1.41065e-07	1.26437e-05	1.37691e-07	8.45428e-06	6.39322e-06	2.18344e-09	1.57908e-05	3.34777e-05
d3_2	0.0293364	6.61176e-06	5.01891e-07	2.13364e-05	1.28563e-05	2.13759e-05	1.28858e-05	3.37257e-05	2.54724e-05	2.34131e-05	8.802e-06	1.08502e-05	4.78349e-07	2.12847e-05	2.54051e-05	1.93864e-05	2.54425e-05	4.19562e-05	2.56748e-05	2.01857e-05	2.138e-05	1.50099e-05	2.55128e-05	2.32275e-05	2.5271e-05	2.12646e-05	4.43762e-05	3.60517e-05	8.57712e-06	6.69391e-06	1.91777e-05	4.50502e-05	3.38167e-05	3.98034e-05	3.57007e-05	3.9777e-05	2.11619e-05	5.04769e-05	6.33666e-06	2.11065e-05	2.50865e-05	3.99759e-05	1.71874e-05	2.75733e-05	1.70269e-05	2.11964e-05	3.55458e-05	6.05449e-05	4.43297e-05	3.16028e-05	1.8881e-05	1.51422e-05	2.93596e-05	1.68563e-05	6.49775e-06	4.20415e-05	3.38904e-05	3.55342e-05	2.94016e-05	2.73167e-05	1.46796e-07	1.49196e-05	2.93451e-05	3.34427e-05	1.25615e-05	6.35263e-06	1.8904e-05	2.70118e-05	1.27668e-05	2.31377e-05	6.5694e-06	2.51408e-05	1.25589e-05	2.72213e-05	2.0986e-05	6.2571e-06	8.50239e-06	1.04883e-05	9.57192e-08	6.26537e-06	6.34944e-06	1.25502e-05	1.47132e-05
d3_3	0.0165179	6.75229e-06	3.49922e-05	1.90287e-05	1.50514e-05	2.64439e-05	2.58631e-06	2.13648e-05	1.48681e-05	7.02997e-06	2.13852e-05	4.00743e-05	8.8824e-06	4.61426e-05	2.74609e-05	3.76837e-05	6.69531e-05	2.96334e-05	4.31299e-05	1.50433e-05	2.53773e-05	1.93033e-05	2.52251e-05	1.30885e-05	1.5361e-05	3.39219e-05	2.11657e-05	2.32774e-05	4.44692e-05	1.69851e-05	3.80876e-05	9.94008e-06	2.95794e-05	4.64329e-05	2.97328e-05	1.28608e-05	2.95729e-05	3.78539e-05	7.31643e-05	4.22268e-05	4.01822e-05	3.18292e-05	4.70935e-05	1.28426e-05	8.75393e-06	3.78171e-05	2.33384e-05	3.5921e-05	1.90761e-05	1.29001e-05	4.19171e-05	1.29633e-05	6.6974e-05	1.71501e-05	2.73432e-05	6.48202e-05	4.63211e-05	3.16137e-05	6.50136e-06	1.48244e-05	1.91621e-05	3.14977e-05	1.57086e-05	1.8772e-05	8.5143e-06	1.27702e-05	2.50643e-05	8.45974e-06	2.92851e-05	6.49125e-06	1.67387e-05	8.46447e-06	3.12416e-05	1.46187e-05	1.2641e-05	6.31253e-06	6.51332e-06	1.8646e-07	5.6689e-09	1.2518e-05	1.45862e-05	1.42263e-09	1.0621e-05
d3_4	0.0104875	2.80171e-06	2.21442e-05	3.61771e-07	2.75217e-05	3.77881e-05	2.55046e-06	1.91234e-05	2.55408e-05	2.34675e-05	6.15409e-07	2.73955e-05	1.31987e-05	1.20059e-05	1.29878e-05	1.30694e-05	1.72196e-05	6.97715e-06	2.9595e-05	2.95744e-05	4.04273e-05	2.7495e-05	2.3407e-05	4.21423e-05	6.51901e-05	1.92918e-05	4.31164e-05	4.75101e-05	2.54744e-05	3.2714e-07	2.66299e-05	5.86441e-05	4.84097e-05	4.63127e-05	2.53434e-05	8.80901e-06	2.74753e-05	2.75443e-05	1.29869e-05	3.16471e-05	3.7657e-05	1.70443e-05	3.17405e-05	6.63729e-06	1.49544e-05	4.60216e-05	3.61002e-05	4.59534e-05	3.37688e-05	2.96751e-05	8.64652e-06	3.79934e-05	2.12039e-05	1.28267e-05	1.27939e-05	4.80677e-05	6.40231e-06	2.63051e-05	1.27349e-05	6.54515e-06	2.72686e-05	3.35402e-05	3.15053e-05	8.54623e-06	3.34505e-05	2.91685e-05	2.51742e-05	2.51547e-05	6.48306e-06	1.46826e-05	2.41677e-07	1.47115e-05	2.93827e-05	2.50706e-05	6.51186e-06	2.11482e-05	6.27436e-06	6.33899e-06	6.30766e-06	6.46348e-06	1.25574e-05	4.19274e-08	3.76579e-05
d3_5	0.00708679	1.51268e-05	2.95138e-05	2.97619e-07	2.52739e-05	1.29304e-05	1.92206e-05	3.39584e-05	1.91718e-05	2.53831e-05	3.07151e-05	3.17338e-05	2.12758e-05	3.58572e-05	3.79635e-05	2.99726e-05	1.50877e-05	2.09678e-05	1.28858e-05	2.71846e-05	1.73707e-05	1.7353e-05	6.5625e-06	2.1377e-05	1.93958e-05	8.88797e-06	1.9265e-05	4.20456e-05	4.0142e-05	4.12221e-05	5.44708e-05	4.81859e-05	1.62042e-05	1.51609e-05	1.29335e-05	3.61028e-05	4.21147e-05	4.62893e-05	1.91084e-05	1.68565e-05	4.73325e-05	3.16574e-05	2.98645e-05	1.28025e-05	2.96624e-05	3.58146e-05	2.53527e-05	1.88882e-05	1.91754e-05	3.46364e-05	2.42722e-05	2.51979e-05	2.42216e-05	4.58734e-05	3.96738e-05	4.01168e-05	3.14527e-05	2.52591e-05	3.15207e-05	2.35905e-06	3.13219e-05	1.28231e-05	2.38294e-07	2.72798e-05	1.8907e-05	3.3456e-05	1.27799e-05	1.48122e-05	3.97034e-05	1.06627e-05	6.39195e-06	1.25656e-05	2.08529e-05	2.12333e-06	1.06998e-05	1.47074e-05	9.66553e-08	1.25101e-05	9.57928e-08	1.67443e-05	2.92893e-05	4.16509e-08	2.73557e-05
d3_6	0.00497715	1.93109e-05	6.89491e-06	8.62324e-06	1.3216e-05	3.17522e-05	5.88225e-05	2.35518e-05	2.32709e-05	8.83252e-06	2.35485e-05	5.06065e-05	3.38223e-05	1.69377e-05	4.55576e-06	3.97337e-05	2.12998e-05	1.51113e-05	1.28391e-05	1.70453e-05	3.99863e-05	1.72746e-05	2.50647e-06	3.57822e-05	1.49671e-05	2.53424e-05	3.16855e-05	2.64724e-05	2.1201e-05	4.85129e-05	2.12031e-05	3.79196e-05	2.54002e-05	2.34311e-05	8.62565e-06	1.46932e-05	1.91961e-05	2.95034e-05	2.13566e-05	3.55683e-07	2.95473e-05	5.02878e-05	4.84411e-05	2.95438e-05	2.83944e-05	1.7063e-05	2.75059e-05	3.16143e-05	1.48882e-05	2.5421e-05	3.38329e-05	8.66679e-06	3.9728e-05	3.16447e-05	2.72383e-05	1.48935e-05	6.49325e-06	2.5348e-05	6.5731e-06	6.7091e-06	1.25672e-05	1.46362e-05	2.72257e-05	2.92921e-05	1.27052e-05	2.11062e-05	6.35319e-06	8.4169e-06	2.714e-05	1.68813e-05	3.55136e-05	1.26832e-05	1.88451e-05	4.92548e-08	6.3412e-06	1.66658e-05	2.08734e-05	2.50303e-05	1.66988e-05	2.16005e-06	6.30068e-06	1.25994e-05	2.07972e-05
d3_7	0.00357632	3.65853e-07	2.43435e-07	1.5081e-05	2.11406e-05	4.23242e-05	1.49799e-05	8.89071e-06	1.49081e-05	1.31443e-05	2.3441e-05	2.53849e-05	3.37069e-05	6.83945e-06	3.16543e-05	1.9194e-05	3.58909e-05	1.92755e-05	2.96763e-05	2.77463e-05	1.28849e-05	1.51397e-05	1.70807e-05	3.99596e-05	2.55092e-05	3.39333e-05	4.2418e-05	4.23814e-05	2.75769e-05	1.49217e-05	2.35495e-05	3.15481e-05	4.52707e-05	4.61351e-05	8.38178e-05	2.32388e-05	3.1502e-05	3.36904e-05	3.17962e-05	4.22281e-05	4.00379e-05	2.51848e-05	3.14429e-05	4.61554e-05	5.03339e-05	2.52634e-05	2.97431e-05	2.11981e-05	2.75272e-05	3.77758e-05	3.15538e-05	4.4064e-05	1.89233e-05	3.15115e-05	2.93994e-05	2.42331e-07	2.75555e-05	1.91333e-05	6.45645e-06	2.521e-05	3.12755e-05	1.28538e-05	2.5169e-05	3.76369e-05	2.53438e-05	2.21393e-05	2.92598e-05	6.43351e-06	1.06792e-05	1.88559e-05	1.45944e-05	4.382e-05	3.35196e-05	2.51408e-05	1.26467e-05	6.31155e-06	2.0966e-05	1.45323e-05	6.37688e-06	2.50968e-05	4.49394e-08	1.24249e-05	2.81241e-05
d3_8	0.00261468	1.80025e-05	1.29375e-05	8.50615e-06	3.58589e-05	8.7813e-06	4.59474e-06	1.70415e-05	8.78746e-06	3.57962e-05	1.7005e-05	2.54754e-05	1.7277e-05	1.92931e-05	3.99702e-05	2.96171e-05	2.44519e-05	1.31363e-05	3.80044e-05	1.95733e-05	1.71054e-05	2.75228e-05	3.59364e-05	3.09275e-05	1.90652e-05	1.73047e-05	7.97171e-05	4.62729e-05	4.01136e-05	3.77237e-05	2.53332e-05	3.39285e-05	1.48523e-05	2.34484e-05	2.12404e-05	7.12334e-05	3.36657e-05	2.54075e-05	4.62151e-05	1.90666e-05	1.90111e-05	2.34522e-05	5.04218e-05	2.95575e-05	1.91218e-05	4.60237e-05	3.79905e-05	3.95328e-05	1.92406e-05	1.90508e-05	1.89889e-05	1.27537e-05	8.65833e-06	2.32651e-05	1.89953e-05	4.19801e-05	3.78614e-05	4.20957e-05	4.81133e-05	1.89538e-05	1.47242e-05	6.53839e-06	6.36047e-06	6.3958e-06	6.39017e-06	1.27716e-05	1.88321e-05	2.20077e-05	6.41125e-06	6.54381e-06	6.3152e-06	2.73408e-05	1.46769e-05	1.88543e-05	6.28216e-06	1.25513e-05	1.8896e-05	1.01117e-07	1.26433e-05	1.46292e-05	8.3292e-06	6.25449e-06	2.9297e-05
d3_9	0.00196134	6.64109e-06	2.76836e-05	8.85163e-06	2.54703e-05	2.11603e-05	2.33042e-05	1.70403e-05	6.79807e-06	2.75222e-05	2.97042e-05	2.75544e-05	1.30914e-05	5.04138e-05	3.78567e-05	2.75977e-05	2.9653e-05	2.54989e-05	4.21516e-05	1.91039e-05	2.767e-05	2.54576e-05	2.11739e-05	2.74575e-05	4.22547e-05	5.45618e-05	8.839e-06	6.62067e-06	2.96519e-05	1.10237e-05	1.28434e-05	3.39027e-05	9.76117e-06	3.38091e-05	8.63478e-06	2.15162e-05	6.27802e-05	2.94114e-05	3.36542e-05	4.63413e-05	1.90129e-05	4.09093e-05	2.85782e-05	2.318e-05	3.14321e-05	1.27151e-05	2.76349e-05	5.02842e-05	3.7786e-05	5.02355e-05	4.18278e-05	4.41541e-05	5.87698e-05	3.14645e-05	4.82445e-05	1.89586e-05	1.26686e-05	1.48157e-05	1.474e-05	1.27764e-05	2.09339e-05	1.27065e-05	2.7278e-05	1.48047e-05	3.34835e-05	2.92945e-05	1.48502e-05	1.28204e-05	1.25651e-05	2.51225e-05	2.7173e-05	1.26381e-05	1.25154e-05	2.51048e-05	2.10527e-05	2.10192e-05	2.24412e-07	1.26058e-05	6.25889e-06	2.09645e-05	8.46164e-06	6.25468e-06	3.74954e-05
