	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d2_0	0	0.00912225	0.00509877	0.00383144	0.00311383	0.00265297	0.00240438	0.00208357	0.00188491	0.00185734	0.00170662	0.00165879	0.00175159	0.00161848	0.00162233	0.00144508	0.00140864	0.00165947	0.001511	0.00123026	0.00151117	0.00139821	0.00141207	0.00132183	0.00133287	0.00136769	0.00128552	0.00118946	0.00124435	0.00123794	0.00134987	0.00131392	0.00121468	0.0012526	0.00118541	0.00135372	0.00111032	0.00124637	0.00105189	0.00124174	0.00113739	0.00114514	0.00139022	0.00111779	0.00109845	0.00120047	0.00110977	0.00108343	0.00124266	0.0010932	0.00116212	0.00107484	0.00115044	0.00114446	0.00115959	0.00100817	0.000925282	0.00116522	0.00120594	0.00110246	0.000996417	0.000982634	0.00102728	0.00112313	0.00107212	0.00108542	0.00110753	0.000991116	0.000863829	0.00105641	0.00102407	0.000987125	0.000981127	0.00114938	0.00106004	0.00112549	0.00102284	0.00105172	0.000976534	0.00120054	0.00111922	0.00107577	0.000964099	0.00111117	0.00097207	0.00100457	0.00111919	0.000856728	0.00102584	0.000908566	0.00118161	0.000997791	0.000936701	0.000983473	0.101552
d2_1	0.112219	1.3323e-05	2.87299e-09	7.56658e-09	1.91112e-06	1.33368e-05	2.09485e-05	1.33355e-05	1.52421e-05	1.14213e-05	9.35217e-09	1.71454e-05	1.14295e-05	7.6318e-06	9.64093e-07	1.14181e-05	6.32503e-09	2.28501e-05	1.33284e-05	5.72324e-06	1.14379e-05	2.0958e-05	1.71312e-05	5.72108e-06	1.14234e-05	3.57282e-09	1.9205e-06	1.14425e-05	5.72413e-06	1.91331e-06	1.14223e-05	2.4753e-05	1.14198e-05	7.2579e-09	7.62703e-06	1.33201e-05	2.66459e-05	1.92397e-06	7.6223e-06	2.82164e-09	1.33239e-05	5.71312e-06	7.62709e-06	1.3333e-05	1.91128e-06	1.00094e-08	5.73027e-06	1.90708e-06	2.19005e-05	7.01629e-09	1.52371e-05	1.91858e-06	5.72206e-06	5.70638e-06	1.33216e-05	5.70594e-06	5.72889e-06	1.14315e-05	1.14254e-05	1.5236e-05	1.52302e-05	1.37496e-08	1.3339e-05	1.14291e-05	1.71235e-05	7.63832e-06	5.73316e-06	5.70679e-06	9.51446e-06	1.14104e-05	1.71389e-05	7.63008e-06	7.62832e-06	7.62548e-06	1.93032e-06	1.33252e-05	5.71975e-06	1.95235e-08	1.5241e-05	1.23819e-05	1.14124e-05	1.33277e-05	1.14266e-05	5.70968e-06	1.33345e-05	5.71097e-06	5.70143e-06	0	5.70635e-06	1.14177e-05	1.33469e-05	5.72987e-06	3.34507e-09	2.49286e-08	0.00128943
d2_2	0.045846	2.84178e-09	1.14199e-05	1.52364e-05	1.71398e-05	5.73486e-06	1.52287e-05	1.52272e-05	1.90436e-05	1.14437e-05	5.72671e-06	1.91111e-06	9.60731e-09	1.71563e-05	2.47393e-05	2.85417e-05	2.0961e-05	3.23683e-05	1.71217e-05	7.60545e-06	1.14459e-05	9.5245e-06	2.66481e-05	1.1418e-05	1.3322e-05	7.61971e-06	1.14342e-05	1.90359e-05	3.82855e-06	1.1436e-05	1.14286e-05	3.04441e-05	1.66675e-08	3.50272e-09	1.14344e-05	1.22434e-08	7.60888e-06	7.93221e-09	5.7249e-06	6.05202e-09	1.52278e-05	1.33377e-05	1.71414e-05	1.45466e-08	9.52101e-06	1.71378e-05	1.60188e-08	2.47481e-05	1.71402e-05	1.71297e-05	5.71422e-06	2.85393e-05	1.14171e-05	5.72253e-06	1.71261e-05	5.7105e-06	3.81347e-06	1.33244e-05	1.61897e-05	3.42523e-05	1.92597e-06	2.285e-05	1.14116e-05	2.09326e-05	1.14332e-05	7.62756e-06	8.57366e-06	1.90415e-05	1.1422e-05	3.82197e-06	1.06852e-08	2.61472e-09	6.78134e-09	1.14198e-05	7.62547e-06	7.61898e-06	5.71387e-06	7.20506e-09	2.28462e-05	7.61724e-06	5.71634e-06	1.90361e-05	3.51552e-09	3.82696e-06	7.60954e-06	5.71687e-06	1.14331e-05	1.90219e-05	3.50046e-09	1.5233e-05	5.72653e-06	8.5216e-09	2.85305e-05	1.14142e-05	0.0014577
d2_3	0.0250705	7.63168e-06	1.90327e-05	5.78751e-09	5.72213e-06	5.73742e-09	5.73735e-06	1.33304e-05	1.71472e-05	2.22038e-08	6.60709e-09	1.33385e-05	1.33196e-05	3.86e-06	6.68536e-06	1.33365e-05	1.52218e-05	3.26331e-09	1.71178e-05	2.66429e-05	5.73008e-06	1.90308e-05	5.72059e-06	9.548e-06	1.92724e-06	5.71635e-06	1.2794e-08	1.48954e-08	2.47491e-05	1.91703e-06	1.52267e-05	1.90218e-05	1.43928e-08	2.7364e-09	1.5228e-05	1.71436e-05	1.52314e-05	1.3314e-05	1.91125e-06	7.62118e-06	2.47455e-05	7.61865e-06	5.72127e-06	1.68978e-08	5.7206e-06	1.141e-05	9.54459e-06	1.33285e-05	1.3322e-05	2.47328e-05	2.47503e-05	1.71439e-05	5.72667e-06	5.71568e-06	1.14225e-05	9.52716e-06	5.68427e-09	4.49325e-09	1.33492e-05	1.14261e-05	5.71594e-06	7.62195e-06	2.09464e-05	5.70366e-06	1.18547e-08	2.09271e-05	1.33243e-05	5.71211e-06	7.634e-06	1.33266e-05	7.61612e-06	1.14082e-05	1.90279e-05	5.71869e-06	7.61396e-06	5.70995e-06	1.71238e-05	8.3074e-09	1.41086e-08	3.39305e-08	1.14169e-05	1.26421e-08	1.40494e-08	1.15636e-08	1.33305e-05	1.33276e-05	1.14313e-05	7.62144e-06	1.9285e-06	5.71509e-06	2.66435e-05	1.14202e-05	7.63469e-06	5.72364e-06	0.00132047
d2_4	0.015548	5.7152e-06	1.56762e-08	1.71337e-05	1.52568e-05	5.71882e-06	2.14261e-08	7.63548e-06	5.72095e-06	1.33313e-05	1.33433e-05	2.09549e-05	5.72834e-06	1.58131e-08	5.72489e-06	5.72837e-06	1.90448e-05	1.33314e-05	5.72928e-06	7.62687e-06	5.73017e-06	1.52291e-05	1.67941e-08	8.21687e-09	3.83281e-06	1.35645e-08	1.93056e-06	1.71354e-05	1.14194e-05	1.71207e-05	1.73824e-08	5.72205e-06	1.46673e-08	1.3354e-05	1.71445e-05	1.9066e-06	2.28304e-05	1.33281e-05	1.14401e-05	5.72479e-06	1.01369e-08	2.28582e-05	5.71518e-06	1.14298e-05	7.6227e-06	7.60938e-06	1.71287e-05	2.28389e-05	5.71665e-06	2.47274e-05	1.71407e-05	7.62496e-06	5.70992e-06	2.09512e-05	5.72238e-06	1.45575e-08	7.62529e-06	1.7149e-05	3.82422e-06	5.71773e-06	2.47319e-05	5.72186e-06	1.33379e-05	5.71251e-06	5.72177e-06	1.14151e-05	5.71831e-06	2.09414e-05	1.9032e-05	5.722e-06	1.71396e-05	1.14302e-05	5.70688e-06	1.14403e-05	5.72262e-06	7.48372e-09	1.14252e-05	1.24325e-08	3.61456e-05	1.14141e-05	2.38566e-08	1.70893e-08	5.71887e-06	2.47454e-05	1.92687e-06	4.98441e-09	2.47377e-05	2.28309e-05	1.14089e-05	3.4243e-05	9.52888e-06	1.9096e-06	7.00074e-10	5.71927e-06	0.00152628
d2_5	0.0106884	1.71516e-05	1.90398e-05	5.72217e-06	1.33431e-05	7.61901e-06	2.474e-05	1.94631e-08	2.4738e-05	2.4755e-05	7.61506e-06	1.14308e-05	1.3331e-05	7.62678e-06	5.70712e-06	3.04427e-05	1.65225e-08	2.28562e-05	1.14271e-05	1.90329e-05	1.14236e-05	1.52282e-05	1.71218e-05	1.92667e-06	5.72202e-06	1.92999e-06	1.33386e-05	1.3283e-08	1.9222e-06	5.70581e-06	1.33148e-05	2.47389e-05	5.71582e-06	1.3319e-05	1.90445e-05	1.57058e-08	1.71284e-05	1.14221e-05	1.14353e-05	1.33306e-05	7.62021e-06	5.71065e-06	1.52414e-05	5.72152e-06	1.14153e-05	5.72429e-06	5.71781e-06	5.74171e-06	5.71293e-06	5.71295e-06	2.09165e-05	2.47352e-05	1.90841e-06	1.71299e-05	6.40715e-10	2.47499e-05	9.68193e-07	1.71243e-05	5.7351e-06	9.0538e-09	1.14236e-05	1.9033e-05	2.2386e-09	9.54519e-06	5.71626e-06	7.80247e-09	5.73294e-06	1.71462e-05	3.23532e-05	5.71905e-06	5.72571e-06	1.33389e-05	7.06237e-09	5.30681e-09	1.14204e-05	9.51135e-06	1.80824e-05	1.83408e-09	1.1411e-05	1.99856e-05	1.22879e-08	5.70545e-06	1.14329e-05	5.71006e-06	5.71901e-06	1.33333e-05	1.71279e-05	2.28327e-05	5.72075e-06	1.33323e-05	1.42918e-05	1.03828e-08	3.81982e-06	7.63373e-06	0.00145394
d2_6	0.00762046	5.72981e-06	1.33399e-05	1.71297e-05	2.66578e-05	1.52374e-05	1.14252e-05	1.14273e-05	2.09549e-05	5.72424e-06	7.62234e-06	1.71416e-05	1.9035e-05	7.61124e-06	2.4741e-05	1.90455e-05	7.62875e-06	1.52417e-05	2.09477e-05	5.71904e-06	1.33306e-05	1.90281e-05	3.33541e-10	5.73533e-06	1.90193e-05	7.61465e-06	9.52529e-06	1.71142e-05	9.52758e-06	1.3326e-05	7.62087e-06	1.90529e-06	6.41387e-09	1.33199e-05	5.7066e-06	7.62173e-06	1.14272e-05	2.47459e-05	2.66621e-05	5.70946e-06	5.72001e-06	1.90411e-05	4.90476e-09	5.73079e-06	7.61629e-06	7.62401e-06	1.904e-05	7.67216e-09	5.7093e-06	1.14273e-05	1.14325e-05	1.33336e-05	1.14223e-05	1.52282e-05	7.62808e-06	1.90304e-05	5.72365e-06	1.90254e-05	7.61868e-06	1.14334e-05	1.71519e-05	8.69469e-09	1.33323e-05	9.53208e-06	5.14406e-09	7.62914e-06	1.91422e-06	5.71885e-06	7.62023e-06	2.47369e-05	1.90513e-05	2.28382e-05	1.90167e-06	1.71173e-05	1.87325e-08	2.4755e-05	2.85638e-05	5.72809e-06	1.71416e-05	9.52928e-06	1.14273e-05	1.33364e-05	7.00322e-09	1.33309e-05	5.70508e-06	5.71166e-06	1.33112e-05	1.71448e-05	5.09107e-09	5.71842e-06	1.14314e-05	2.47351e-05	9.29524e-09	1.71373e-05	0.00139686
d2_7	0.00568074	1.33169e-05	1.33377e-05	7.62335e-06	1.32568e-08	1.65547e-08	7.61963e-06	1.71268e-05	7.63007e-06	9.53369e-06	7.61982e-06	7.61228e-06	2.37899e-05	7.61435e-06	3.04491e-05	9.52493e-06	1.3315e-05	2.47537e-05	5.72565e-06	1.14407e-05	5.71837e-06	1.71341e-05	1.14185e-05	5.71824e-06	9.99768e-09	9.52004e-06	1.1443e-05	5.71388e-06	1.92026e-06	7.61872e-06	1.33353e-05	1.33265e-05	1.1433e-05	1.91439e-06	7.6297e-06	2.09499e-05	7.62246e-06	9.25575e-10	5.7122e-06	2.09443e-05	5.73044e-06	7.63695e-06	1.9152e-06	2.47506e-05	1.71327e-05	4.06904e-09	9.53331e-06	1.33191e-05	1.14193e-05	1.14152e-05	7.77152e-09	1.11012e-08	7.61932e-06	2.28411e-05	1.33367e-05	2.28371e-05	1.14191e-05	1.90392e-05	1.90313e-05	2.26001e-08	3.04643e-05	1.92504e-06	5.72297e-06	1.14129e-05	1.71407e-05	1.14306e-05	1.14298e-05	1.72062e-08	1.33372e-05	1.52384e-05	1.04913e-08	5.71719e-06	2.28431e-05	1.33118e-05	7.62826e-06	1.90335e-05	6.84403e-09	7.62679e-06	1.90204e-05	5.70797e-06	9.53167e-06	5.72245e-06	2.47407e-05	2.71448e-08	5.71945e-06	1.90308e-05	1.33419e-05	1.5227e-05	2.28507e-05	5.71726e-06	1.5222e-05	5.70696e-06	5.71488e-06	1.92386e-06	0.00131311
d2_8	0.00450683	2.09359e-05	1.81587e-08	2.19009e-05	1.33253e-05	1.72662e-08	5.71427e-06	2.4753e-05	7.62268e-06	1.3327e-05	2.47498e-05	1.92533e-08	2.48658e-08	1.95826e-08	5.72279e-06	1.1138e-08	1.71316e-05	1.14123e-05	1.52391e-05	5.71025e-06	1.33407e-05	7.62612e-06	1.71304e-05	2.47422e-05	1.7125e-05	5.71257e-06	1.71434e-05	7.62852e-06	1.5243e-05	2.47364e-05	1.71373e-05	5.01005e-09	1.90392e-05	5.71038e-06	1.71395e-05	1.33285e-05	7.61981e-06	1.91426e-06	5.72258e-06	1.14138e-05	5.71138e-06	1.14294e-05	2.98663e-08	1.90236e-05	2.28314e-05	1.14188e-05	3.8279e-06	5.71899e-06	1.91878e-06	1.90283e-05	7.95311e-09	3.0448e-05	1.66438e-08	5.71642e-06	6.54925e-09	1.14275e-05	5.71551e-06	7.61709e-06	1.14313e-05	5.61317e-09	7.62009e-06	4.17955e-09	1.52323e-05	1.90271e-05	1.33271e-05	5.71172e-06	7.61808e-06	1.71242e-05	1.14203e-05	9.53383e-06	1.91697e-06	1.90433e-05	5.71621e-06	2.36524e-08	1.14201e-05	6.42628e-09	1.14265e-05	3.04597e-05	5.71177e-06	5.72673e-06	2.04296e-08	7.92571e-09	1.14196e-05	1.71253e-05	1.71435e-05	1.14354e-05	1.4277e-05	2.28403e-05	7.61666e-06	1.14279e-05	1.142e-05	1.90294e-05	7.62758e-06	7.62186e-06	0.00149474
d2_9	0.00364356	5.73664e-06	2.66604e-05	1.1539e-08	1.14319e-05	1.14338e-05	7.61755e-06	5.72143e-06	7.63952e-06	5.71987e-06	1.1434e-05	1.1427e-05	5.71691e-06	7.6229e-06	5.72994e-06	1.04847e-08	1.99884e-05	5.70752e-06	7.61317e-06	1.14229e-05	1.91799e-06	7.61215e-06	1.14239e-05	3.10265e-05	5.70464e-06	3.23554e-05	1.14265e-05	1.14469e-05	1.14087e-05	7.62017e-06	1.9044e-05	6.48849e-09	1.71283e-05	2.28296e-05	5.72092e-06	5.72089e-06	1.33302e-05	1.14266e-05	1.92316e-06	2.09429e-05	5.71732e-06	2.09432e-05	2.47423e-05	1.14207e-05	1.90325e-05	1.04608e-08	1.14223e-05	2.66566e-05	1.259e-08	7.61988e-06	1.71194e-05	1.90263e-05	1.14161e-05	2.76691e-09	9.53593e-06	1.33474e-05	3.80629e-05	7.63435e-06	1.9038e-05	1.14144e-05	5.71226e-06	1.7133e-05	7.63825e-06	1.14256e-05	1.60369e-09	1.71288e-05	1.52207e-05	9.54117e-06	1.14195e-05	5.71573e-06	1.14261e-05	3.5911e-09	5.70856e-06	7.63611e-06	1.33298e-05	8.09458e-09	1.52235e-05	5.70914e-06	7.63065e-06	1.33525e-05	1.1427e-05	1.99971e-05	1.3336e-05	5.70741e-06	1.3322e-05	1.66302e-08	1.14239e-05	2.28318e-05	2.47477e-05	9.53352e-06	1.90439e-05	1.90493e-05	1.91633e-06	1.7123e-05	0.00155394
