	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62	d1_63	d1_64	d1_65	d1_66	d1_67	d1_68	d1_69	d1_70	d1_71	d1_72	d1_73	d1_74	d1_75	d1_76	d1_77	d1_78	d1_79	d1_80	d1_81	d1_82	d1_83	d1_84	d1_85	d1_86	d1_87	d1_88	d1_89	d1_90	d1_91	d1_92	d1_93	d1_94	d1_95	d1_96	d1_97	d1_98
d3_0	0	0.120219	0.0592573	0.0388085	0.0289629	0.0217822	0.017316	0.0142902	0.0117038	0.0100634	0.00827734	0.00712208	0.00595218	0.00516566	0.00426683	0.0037787	0.003154	0.00249805	0.00261979	0.00210675	0.00193057	0.0014879	0.00137222	0.00123286	0.00108908	0.000904965	0.000776341	0.000637047	0.000671284	0.00058013	0.000420294	0.000392366	0.000473142	0.000292443	0.000279589	0.000230016	0.00016138	0.0001653	0.000140451	0.00010718	0.000102662	9.168e-05	8.52241e-05	4.7151e-05	3.55899e-05	5.17181e-05	2.09821e-05	3.3285e-05	3.50959e-05	2.89759e-05	1.8686e-05	3.49188e-05	1.85794e-05	8.27979e-06	1.24057e-05	1.43775e-05	1.11031e-07	1.2302e-05	1.43883e-05	1.84359e-05	6.20307e-08	2.96744e-08	8.31519e-09	8.22477e-06	6.18799e-06	1.44085e-08	2.11863e-08	2.26969e-08	6.14968e-06	5.90793e-09	6.16336e-06	2.35597e-09	2.08832e-08	6.13887e-06	8.17545e-06	3.38995e-10	5.43852e-10	3.42294e-09	4.69323e-09	6.32477e-11	1.86785e-08	2.38526e-10	2.33937e-10	0	5.17196e-10	6.1047e-12	2.43288e-11	1.08729e-10	4.06217e-11	0	6.52724e-10	0	0	2.38686e-11	0	0	0	0	0
d3_1	0.0685569	5.58587e-05	5.17222e-05	6.60558e-05	4.96185e-05	8.23208e-05	6.09019e-05	3.10471e-05	6.78944e-05	4.02743e-05	3.11449e-05	6.53592e-06	5.76786e-05	3.71837e-05	4.53588e-05	2.48221e-05	3.50332e-05	5.75535e-05	8.61995e-05	3.90734e-05	1.25565e-05	4.31866e-05	5.34229e-05	3.69881e-05	2.2758e-05	5.95055e-05	4.11361e-05	2.88305e-05	2.67401e-05	4.51643e-05	1.8538e-05	1.44269e-05	2.06328e-05	1.23791e-05	2.87976e-05	2.05727e-05	1.23838e-05	1.24063e-05	3.66705e-08	1.85498e-05	1.84469e-05	2.0521e-05	1.23207e-05	1.43717e-05	2.76639e-05	8.23532e-06	2.15111e-05	2.84909e-08	6.19369e-06	8.22515e-06	1.28545e-08	3.24651e-08	2.048e-05	6.19301e-06	2.46069e-05	2.07042e-06	6.17968e-06	6.15642e-06	3.83431e-08	4.80886e-09	1.10028e-08	2.82394e-08	8.40429e-09	6.13716e-06	1.43235e-05	1.43154e-05	1.08379e-08	6.97575e-09	6.15124e-06	6.12965e-06	5.49526e-10	9.1968e-09	6.12537e-06	2.17778e-11	1.98432e-11	6.15378e-06	1.58093e-09	6.14378e-06	0	9.13986e-10	1.15733e-09	0	3.53631e-09	0	1.48004e-08	0	6.12668e-06	0	0	0	0	8.76652e-11	0	0	0	0	0	0	0
d3_2	0.0290195	5.57083e-05	5.78697e-05	2.51723e-06	6.18424e-05	3.93765e-05	3.93767e-05	6.19162e-05	5.15565e-05	1.67171e-05	3.92524e-05	5.77019e-05	5.55786e-05	3.72362e-05	4.9452e-05	2.59457e-05	4.33339e-05	3.5094e-05	4.52647e-05	4.31696e-05	3.92106e-05	1.97769e-05	6.44574e-06	3.50531e-05	3.09429e-05	3.39245e-05	3.90854e-05	4.11051e-05	2.06555e-05	1.86088e-05	2.4689e-05	6.31427e-06	2.46978e-05	4.52088e-05	4.31031e-05	2.67482e-05	2.66989e-05	3.07608e-05	1.84685e-05	2.05616e-05	1.44031e-05	6.30477e-05	1.43961e-05	1.23368e-05	2.97436e-05	6.20935e-06	1.23526e-05	6.14728e-06	6.1369e-06	5.66608e-08	1.2315e-05	6.15423e-06	3.22853e-08	4.34943e-08	1.4372e-05	8.18764e-06	1.8531e-08	6.15808e-06	1.22889e-05	6.15554e-06	6.1412e-06	9.45342e-09	8.18485e-06	3.70912e-08	6.3566e-09	6.13565e-06	1.22864e-05	2.46898e-08	2.67131e-08	4.45957e-09	3.2788e-10	6.14198e-06	1.28632e-08	2.71632e-10	6.1485e-06	2.49902e-09	2.06903e-06	1.99638e-09	5.16463e-10	7.84719e-11	6.32181e-11	1.90212e-08	0	6.12367e-06	2.23933e-09	4.19967e-11	1.24847e-10	4.67615e-11	1.89319e-11	0	0	0	1.47078e-09	8.2958e-12	0	0	0	0	0
d3_3	0.0164486	5.57448e-05	3.51669e-05	4.12731e-05	7.10555e-05	3.923e-05	7.39392e-05	6.58853e-05	3.83212e-05	4.53576e-05	4.53743e-05	2.49171e-05	6.37432e-05	3.30452e-05	1.25076e-05	1.46141e-05	6.58212e-05	4.73373e-05	3.20046e-05	3.50606e-05	5.55246e-05	3.50063e-05	1.86819e-05	5.33919e-05	3.19096e-05	3.09613e-05	2.48617e-05	3.91079e-05	6.32655e-06	4.92117e-05	3.08229e-05	1.24476e-05	3.28387e-05	1.32004e-07	6.30444e-06	3.28664e-05	2.56986e-05	2.0671e-05	1.03186e-05	1.4449e-05	2.87496e-05	2.14856e-06	1.85193e-05	9.46491e-08	6.21061e-06	8.24823e-06	1.23611e-05	8.23299e-06	2.04769e-05	6.2043e-06	6.21876e-06	1.23198e-05	1.43701e-05	8.23458e-06	8.1865e-06	6.15552e-06	6.1727e-06	6.14183e-06	8.20345e-06	1.27431e-08	2.33584e-08	1.27903e-08	1.0095e-09	1.17899e-08	1.33844e-09	2.05367e-06	6.02718e-09	5.67134e-10	6.15076e-06	4.23168e-08	6.50679e-09	5.18768e-09	6.1555e-06	1.60945e-08	6.13278e-06	3.61238e-09	9.90929e-11	3.68242e-09	3.42504e-09	6.0595e-11	1.91462e-11	0	9.11133e-11	6.15361e-06	1.91877e-12	6.13039e-06	2.87694e-11	0	0	0	1.5006e-11	2.50997e-11	0	0	0	0	0	0	0
d3_4	0.0104597	6.39075e-05	5.16678e-05	5.67571e-05	6.1884e-05	7.61339e-05	3.31445e-05	5.14871e-05	3.31498e-05	6.17947e-05	1.47401e-05	5.96005e-05	8.01536e-05	4.8372e-05	3.51091e-05	5.75543e-05	3.30853e-05	3.50829e-05	2.48157e-05	3.08986e-05	4.72832e-05	1.66565e-05	2.68104e-05	4.11896e-05	3.91351e-05	2.47371e-05	4.52003e-05	1.75631e-05	6.26091e-06	2.4724e-05	6.32871e-06	4.10443e-05	1.85704e-05	4.11078e-05	3.28388e-05	1.44247e-05	2.67144e-05	4.09757e-05	2.1621e-05	2.463e-05	1.63348e-07	1.44166e-05	6.19371e-06	2.46421e-05	1.44368e-05	2.46027e-05	1.23933e-05	2.86964e-05	8.50019e-08	2.45935e-05	8.23812e-06	2.45772e-05	8.19826e-06	5.73722e-08	6.15184e-06	9.25173e-06	3.27292e-05	6.17244e-06	6.15085e-06	1.43472e-05	1.23175e-05	6.13883e-06	6.18699e-06	3.13833e-08	1.37318e-08	8.23015e-06	9.30437e-09	6.1356e-06	8.79681e-10	1.40209e-08	7.02549e-09	1.71091e-09	1.22754e-05	7.35869e-10	1.7906e-09	1.89093e-08	1.10181e-08	1.65206e-08	4.07346e-10	1.34711e-10	2.45554e-09	1.71743e-11	2.32199e-09	9.56803e-09	6.63604e-11	1.80555e-11	1.28892e-08	6.14145e-06	3.76095e-11	0	0	0	0	0	0	0	0	0	0
d3_5	0.0070649	4.75312e-05	5.76886e-05	5.15638e-05	3.1046e-05	3.10714e-05	5.86616e-05	4.53601e-05	4.12264e-05	1.87903e-05	5.35438e-05	2.29175e-05	4.94314e-05	4.53491e-05	3.72121e-05	3.30281e-05	1.46501e-05	1.86366e-05	2.68275e-05	6.16413e-05	6.165e-05	2.88967e-05	2.06948e-05	3.91416e-05	3.49906e-05	1.24517e-05	3.71401e-05	2.47321e-05	2.87412e-05	2.88007e-05	3.49651e-05	2.47147e-05	8.32099e-06	3.90494e-05	3.28975e-05	9.43492e-08	3.90205e-05	2.26046e-05	1.85154e-05	1.34427e-05	2.87281e-05	3.48771e-05	1.44391e-05	2.86879e-05	1.41991e-07	6.2094e-06	8.24807e-06	2.86368e-05	2.15682e-05	1.23243e-05	6.23532e-06	5.6061e-08	2.1295e-06	6.18449e-06	6.14738e-06	1.2353e-05	2.04656e-05	1.84426e-05	3.06375e-08	8.21872e-06	6.16053e-06	2.06485e-06	2.66998e-08	4.33765e-08	9.17292e-09	2.68982e-08	6.17406e-06	6.1513e-06	1.78085e-08	8.18735e-06	6.13668e-06	1.22656e-05	6.13344e-06	3.11358e-09	9.5917e-10	2.02821e-09	6.23767e-09	2.41587e-11	8.95236e-10	2.22924e-09	6.14152e-06	3.7496e-10	1.23351e-08	1.41489e-08	8.17163e-06	1.27958e-09	1.04682e-09	0	0	6.14152e-06	0	6.41006e-11	8.75868e-11	0	3.42593e-12	0	0	0	0
d3_6	0.00502628	6.58523e-05	1.47586e-05	3.93109e-05	3.7252e-05	7.91897e-05	5.76304e-05	7.10582e-05	3.6145e-05	2.89799e-05	3.52085e-05	1.97564e-05	2.07786e-05	2.28112e-05	2.4804e-05	5.96285e-05	4.94873e-05	3.50863e-05	3.50462e-05	3.71072e-05	3.50138e-05	1.5593e-05	2.06868e-05	8.42041e-06	3.50905e-05	6.46742e-05	2.68278e-05	1.86357e-05	3.49944e-05	2.98641e-05	2.3688e-05	8.41965e-06	4.10691e-05	2.05686e-05	2.06048e-05	1.85963e-05	8.32481e-06	3.17747e-05	3.27881e-05	8.34547e-06	1.64936e-05	8.25978e-06	1.23714e-05	6.20828e-06	6.23514e-06	3.48965e-05	1.4849e-07	3.28081e-05	6.2143e-06	2.46532e-05	2.05308e-05	6.16127e-06	3.49033e-05	8.23624e-06	1.23615e-05	7.41718e-08	5.63462e-08	2.05148e-05	6.15876e-06	2.45698e-05	3.74358e-08	1.23361e-05	6.15074e-06	1.1378e-08	8.20376e-06	2.30629e-08	2.59051e-08	8.04258e-09	6.15697e-06	8.20181e-06	2.38587e-08	8.29955e-09	6.91442e-09	1.15193e-09	5.23031e-09	6.13257e-06	5.3458e-09	6.07003e-12	1.20318e-08	2.67279e-08	3.32907e-10	8.18312e-06	2.5091e-08	8.56178e-11	6.14164e-06	7.41226e-11	3.05947e-11	1.50585e-12	1.86836e-09	9.44785e-09	0	2.92833e-09	2.73747e-09	0	3.62553e-10	8.01706e-10	0	0	0
d3_7	0.0036434	5.9717e-05	1.88137e-05	3.10819e-05	3.31455e-05	5.14251e-05	4.22474e-05	4.53941e-05	3.71509e-05	7.19929e-05	6.16557e-05	5.56209e-05	4.93966e-05	5.04441e-05	2.89341e-05	2.69135e-05	3.50592e-05	7.19294e-05	2.35302e-06	5.86461e-05	1.24896e-05	3.49358e-05	4.1202e-05	2.88843e-05	4.32109e-05	3.59513e-05	4.11577e-05	5.74426e-05	4.10645e-05	1.45733e-05	2.07015e-05	3.6949e-05	3.07943e-05	2.47759e-05	1.44306e-05	2.06266e-05	2.87351e-05	1.14418e-05	2.67277e-05	3.9992e-05	2.19815e-06	2.05827e-05	4.51016e-05	6.2172e-06	6.24901e-06	2.87831e-05	3.07459e-05	6.16728e-06	6.21524e-06	1.84685e-05	6.26489e-06	1.03186e-05	1.23626e-05	3.06823e-05	8.24867e-06	2.91063e-08	6.16455e-06	5.61134e-08	3.17629e-08	6.17861e-06	3.13434e-08	1.2312e-05	2.90715e-08	6.95476e-08	2.36807e-08	2.07972e-06	1.11324e-08	1.2278e-05	6.15074e-06	2.04728e-05	1.19857e-08	6.15879e-06	4.03023e-08	6.16458e-06	8.18682e-06	3.42858e-09	6.13561e-06	6.1374e-06	3.30591e-10	3.36071e-09	6.14174e-06	1.03306e-09	1.72783e-08	9.56164e-11	6.13061e-06	1.30991e-08	1.8418e-10	1.31295e-09	6.1415e-06	1.38409e-08	5.24498e-12	6.88584e-11	0	0	0	0	0	0	0
d3_8	0.00271534	6.58043e-05	2.28257e-05	2.90078e-05	2.68985e-05	2.28515e-05	2.89742e-05	4.72872e-05	4.1288e-05	2.08332e-05	6.78308e-05	4.12008e-05	4.74226e-05	2.89875e-05	3.71568e-05	3.90961e-05	3.90946e-05	3.91811e-05	5.76275e-05	3.91648e-05	2.68275e-05	1.2524e-05	2.685e-05	5.75218e-05	3.7044e-05	2.47301e-05	3.08729e-05	3.91499e-05	4.72235e-05	4.92348e-05	4.32074e-05	2.88373e-05	4.10891e-05	4.10909e-05	2.77922e-05	2.06225e-05	2.46417e-05	3.89903e-05	3.0825e-05	1.24164e-05	2.57687e-05	4.10711e-05	4.30437e-05	2.26318e-05	1.44098e-05	2.87583e-05	6.23738e-06	2.46619e-05	1.23589e-05	8.2521e-06	3.69352e-05	1.23557e-05	8.95662e-08	1.43572e-05	1.03053e-05	1.94767e-05	2.05265e-05	1.43507e-05	8.21641e-06	4.13846e-08	6.16782e-06	6.17845e-06	1.84215e-05	4.26312e-08	6.07065e-08	1.71996e-08	6.14848e-06	2.08402e-06	1.94797e-08	2.07358e-06	3.40864e-08	1.60097e-08	6.12825e-06	1.1848e-08	4.14455e-09	6.14799e-06	2.59274e-08	6.17855e-06	1.20197e-08	1.26534e-08	4.0809e-09	2.98887e-09	6.14322e-06	1.36733e-09	1.7043e-09	6.13274e-06	1.90235e-09	9.62082e-11	5.12512e-11	3.77224e-11	7.25582e-09	3.35745e-12	6.13169e-06	0	0	0	0	0	0
d3_9	0.00199318	2.90085e-05	1.86678e-05	4.33169e-05	3.11386e-05	3.91655e-05	4.94955e-05	5.34413e-05	2.49103e-05	3.09807e-05	3.7088e-05	2.28132e-05	3.50322e-05	1.05611e-05	3.92472e-05	3.7112e-05	1.45561e-05	3.50305e-05	2.06899e-05	4.31989e-05	2.68049e-05	3.2929e-05	3.70529e-05	3.49537e-05	4.12052e-05	2.89085e-05	3.91561e-05	1.85726e-05	1.4567e-05	3.29252e-05	4.31825e-05	3.90298e-05	2.47928e-05	1.25066e-05	2.0625e-05	3.50297e-05	3.59958e-05	2.06593e-05	3.49343e-05	1.44154e-05	3.08032e-05	5.53456e-05	6.22143e-06	3.6985e-05	6.23209e-06	8.30026e-06	8.30258e-06	2.67099e-05	8.2732e-06	3.07439e-05	1.23251e-05	1.23697e-05	2.46221e-05	2.18462e-06	1.23229e-05	6.24662e-06	1.64398e-05	1.23245e-05	2.66518e-05	2.2524e-05	6.16977e-06	1.83004e-08	8.2699e-06	6.1732e-06	8.22956e-06	2.1132e-08	1.2307e-05	6.13449e-06	6.1718e-06	6.15311e-06	6.14819e-06	6.16334e-06	3.59582e-08	2.60942e-08	3.91782e-08	2.13081e-08	1.59603e-08	2.4228e-08	6.13986e-06	8.17983e-10	1.11404e-10	1.37344e-08	9.05734e-10	6.14074e-06	6.12519e-06	1.53036e-08	3.12762e-09	6.12983e-06	3.50466e-10	0	1.74898e-09	0	0	3.32898e-09	1.76561e-08	0	5.48494e-12	0	0
