	d0_0	d0_1	d0_2	d0_3	d0_4	d0_5	d0_6	d0_7	d0_8	d0_9	d0_10	d0_11	d0_12	d0_13	d0_14	d0_15	d0_16	d0_17	d0_18	d0_19	d0_20	d0_21	d0_22	d0_23	d0_24	d0_25	d0_26	d0_27	d0_28	d0_29	d0_30	d0_31	d0_32	d0_33	d0_34	d0_35	d0_36	d0_37	d0_38	d0_39	d0_40	d0_41	d0_42	d0_43	d0_44	d0_45	d0_46	d0_47	d0_48	d0_49	d0_50	d0_51	d0_52	d0_53	d0_54	d0_55	d0_56	d0_57	d0_58	d0_59	d0_60	d0_61	d0_62	d0_63	d0_64	d0_65	d0_66	d0_67	d0_68	d0_69	d0_70	d0_71	d0_72	d0_73	d0_74	d0_75	d0_76	d0_77	d0_78	d0_79	d0_80	d0_81	d0_82	d0_83	d0_84	d0_85	d0_86	d0_87	d0_88	d0_89	d0_90	d0_91	d0_92	d0_93	d0_94
d3_0	0	0.0108507	0.00619522	0.00465336	0.00377607	0.00341901	0.00303658	0.00270847	0.00254845	0.0024231	0.00257044	0.00233708	0.00239774	0.00196019	0.00206141	0.00204134	0.00212183	0.00199629	0.00194996	0.00192103	0.00205718	0.00181462	0.00180629	0.00177846	0.00182562	0.00200714	0.00173861	0.00184509	0.00180501	0.00178215	0.0018417	0.00175425	0.00184294	0.00182369	0.00165522	0.00176966	0.00175979	0.00178126	0.00180788	0.0017786	0.00164485	0.00169061	0.00168507	0.00157071	0.0017921	0.00175277	0.00167272	0.00146469	0.00153945	0.00168516	0.00175137	0.00173082	0.001761	0.00167635	0.00139194	0.00169949	0.00166672	0.00136503	0.00161783	0.00156382	0.00164656	0.00170882	0.00161515	0.0013092	0.00160111	0.00144067	0.0014968	0.0016568	0.00154016	0.00163099	0.00150553	0.00155295	0.00168255	0.00151801	0.0015404	0.00155689	0.00149065	0.00146662	0.00150264	0.00139041	0.00153433	0.00147873	0.00161176	0.00133615	0.00157305	0.00141524	0.00144297	0.00145544	0.00150105	0.00144585	0.00128721	0.00139728	0.00145096	0.00148735	0.16028
d3_1	0.0740771	1.31753e-05	1.10875e-06	1.52212e-09	2.41934e-08	8.25421e-09	0	0	2.20346e-06	1.3176e-05	8.77702e-06	0	7.57652e-10	1.97444e-05	1.47131e-08	3.69911e-09	1.66916e-08	1.31647e-05	6.58247e-06	0	4.05396e-09	8.77694e-06	2.20034e-08	6.58286e-06	1.4199e-08	2.20664e-06	1.97412e-05	6.58593e-06	2.20523e-06	0	2.2056e-06	6.58752e-06	4.59986e-09	3.89749e-10	1.45892e-08	6.57798e-06	2.20698e-06	1.27384e-08	6.58628e-06	2.21166e-06	5.80415e-09	6.59292e-06	1.2423e-08	6.5919e-06	1.56998e-08	7.80062e-10	6.59908e-06	0	2.21867e-06	0	0	9.86373e-09	3.28081e-09	8.0968e-10	3.85838e-10	1.5771e-09	9.70117e-09	7.97031e-09	5.77589e-09	8.77599e-06	1.53558e-05	6.58766e-06	6.57821e-06	1.5359e-05	6.58638e-06	6.16125e-09	1.0848e-08	2.45357e-09	2.20685e-06	1.31671e-05	8.80842e-10	9.33601e-09	1.97384e-05	6.58394e-06	0	2.43949e-09	6.59078e-06	1.31564e-05	6.97281e-09	6.58395e-06	1.97404e-05	6.5939e-06	0	6.10495e-09	8.77286e-06	1.31541e-05	6.58545e-06	6.57994e-06	0	0	6.58629e-06	1.31698e-05	6.57815e-06	6.58122e-06	0.000680167
d3_2	0.0317484	4.15242e-09	1.31664e-05	6.57831e-06	8.09068e-09	5.83531e-09	6.6504e-09	4.48423e-09	3.99716e-09	5.19323e-09	0	5.26243e-10	3.40708e-09	1.29039e-08	0	6.57902e-06	1.78203e-08	8.2299e-09	1.97557e-05	0	6.58607e-06	6.2464e-11	2.41451e-05	8.78686e-06	1.31686e-05	3.61428e-09	1.49701e-08	6.59911e-06	1.31771e-05	3.56095e-09	4.28777e-09	6.58386e-06	6.58092e-06	2.41306e-05	6.58327e-06	1.19894e-09	1.31671e-05	6.58435e-06	1.08748e-08	6.58258e-06	2.16476e-09	1.31769e-05	0	7.42545e-09	7.21684e-09	9.64466e-09	8.77688e-06	5.63577e-09	6.58662e-06	2.20497e-06	2.20063e-06	6.59063e-06	8.77571e-06	2.20577e-06	0	1.42455e-08	6.58291e-06	6.58295e-06	2.19484e-05	1.75534e-05	0	6.57307e-06	1.54788e-08	0	1.31613e-05	6.573e-06	5.57623e-09	1.13994e-09	0	0	6.5799e-06	3.97353e-09	2.19892e-06	6.58547e-06	0	1.53601e-05	3.00246e-09	1.95542e-09	5.52534e-09	1.32424e-09	6.58559e-06	0	0	8.78674e-06	0	6.57835e-06	3.89338e-09	8.58079e-09	5.90177e-09	1.36568e-08	3.59676e-09	2.2005e-06	1.53436e-05	2.9292e-09	0.000566102
d3_3	0.0181488	1.39012e-08	8.7848e-06	8.78558e-06	2.19099e-06	4.05798e-09	6.5839e-06	4.6571e-09	1.28326e-08	1.53635e-05	8.77904e-06	6.58074e-06	8.42183e-09	1.77002e-08	1.11503e-08	1.87018e-09	5.36598e-09	1.09778e-05	6.59012e-06	1.31666e-05	6.5865e-06	2.71406e-09	6.59286e-06	6.58668e-06	3.63775e-09	5.96346e-09	1.31625e-05	5.79815e-09	6.58481e-06	6.57952e-06	1.97564e-05	0	8.12798e-10	8.44077e-09	5.53453e-09	6.58459e-06	1.97438e-05	1.17324e-08	7.19779e-09	8.78925e-06	0	1.10286e-09	1.15934e-08	2.20037e-06	6.58043e-06	2.20021e-06	2.52507e-09	8.77429e-06	6.33286e-09	2.20282e-06	6.58529e-06	5.58825e-09	6.34649e-09	1.14387e-08	2.20263e-06	6.58158e-06	8.77724e-06	8.87489e-10	1.31761e-05	2.20319e-06	2.21046e-06	1.97332e-05	6.58155e-06	4.40084e-06	6.59032e-06	6.57851e-06	1.53523e-05	0	6.51447e-09	5.24594e-09	1.31107e-08	1.9981e-09	6.58919e-06	8.95393e-09	1.97379e-05	1.01302e-08	1.09714e-05	1.16485e-08	1.53542e-05	0	1.317e-05	1.19622e-09	1.97389e-05	1.41571e-08	6.57826e-06	6.59032e-09	1.35014e-08	8.38062e-10	1.53521e-05	1.31628e-05	1.00117e-09	1.31572e-05	5.68196e-10	1.31645e-05	0.000724012
d3_4	0.0118924	1.31709e-05	3.07178e-05	1.5064e-08	0	2.33495e-09	1.31586e-05	2.19239e-06	8.78914e-06	6.59911e-06	0	1.0253e-09	2.20346e-06	1.31625e-05	7.31762e-09	2.20184e-06	8.25823e-09	3.3085e-06	6.57929e-06	1.31589e-05	7.5589e-09	2.20265e-06	6.58389e-06	2.20136e-06	8.78522e-06	3.85664e-09	4.96511e-10	1.68101e-08	6.58624e-06	1.03924e-08	1.29883e-09	1.09957e-05	6.5836e-06	8.77223e-06	8.78487e-06	6.58545e-06	1.31703e-05	1.31433e-08	6.59451e-06	6.57672e-06	7.88045e-09	6.58327e-06	8.77665e-06	1.31682e-05	6.58147e-06	0	9.87647e-06	2.63184e-05	1.18376e-08	6.58489e-06	6.58449e-06	6.5775e-06	6.5785e-06	6.58837e-06	1.31552e-05	1.27371e-08	6.58254e-06	6.59068e-06	2.48246e-09	6.57365e-06	1.17948e-08	6.59468e-06	6.58646e-06	6.58103e-06	1.53715e-05	2.9421e-09	0	2.85291e-05	6.43846e-09	1.3163e-05	6.57811e-06	6.58996e-06	1.53525e-05	6.59156e-06	8.78849e-06	0	2.20857e-06	1.31579e-05	0	2.41426e-05	6.5883e-06	4.40511e-06	8.31114e-09	6.58418e-06	6.58899e-06	1.53661e-05	8.77078e-06	2.48266e-09	3.21802e-09	1.53668e-05	6.58646e-06	8.76986e-06	1.31612e-05	3.32442e-09	0.000711814
d3_5	0.00824575	8.77761e-06	1.5339e-05	2.20608e-06	4.12151e-10	4.41027e-06	1.31778e-05	0	8.59558e-09	1.31424e-09	6.58639e-06	6.58206e-06	2.20445e-06	2.49746e-09	6.58109e-06	2.30319e-05	4.96936e-09	6.58751e-06	2.20456e-06	1.53531e-05	1.26201e-09	8.75185e-09	6.58334e-06	0	1.31715e-05	1.96691e-08	6.58032e-06	6.58346e-06	8.32697e-09	8.79575e-06	1.20839e-05	4.60902e-09	1.40307e-08	8.36845e-09	3.85473e-09	6.58267e-06	0	5.70775e-09	1.97418e-05	2.21041e-06	7.14311e-09	1.04419e-09	6.58111e-06	6.57887e-06	8.7646e-06	1.09619e-05	6.58152e-06	5.70351e-10	1.81484e-08	2.2551e-09	6.58509e-06	0	0	1.35629e-09	6.58341e-06	6.59076e-06	7.23694e-09	6.58823e-06	6.58592e-06	6.58517e-06	6.58284e-06	1.31631e-05	6.59316e-06	2.43361e-09	8.77769e-06	6.58081e-06	0	5.89593e-09	4.52194e-09	1.43199e-08	0	1.09413e-08	0	2.63379e-05	5.45689e-09	1.0611e-08	2.20409e-06	0	1.82396e-09	1.75389e-09	2.07872e-09	6.58107e-06	0	4.40561e-06	6.58896e-06	6.58909e-06	4.49914e-09	2.23819e-09	2.85216e-05	2.20097e-06	2.82881e-09	9.59375e-09	6.58637e-06	6.59174e-06	0.000680155
d3_6	0.0060447	8.77576e-06	1.31674e-05	8.33337e-09	6.45269e-09	1.59323e-10	1.31599e-05	1.31536e-05	6.58497e-06	6.58019e-06	4.46282e-10	2.05597e-09	2.97332e-09	6.20186e-09	6.57426e-06	0	2.21939e-06	1.53615e-05	2.20953e-06	6.58058e-06	6.58998e-06	1.53587e-05	0	6.59105e-06	6.58788e-06	8.78599e-06	6.58511e-06	2.206e-06	1.31559e-05	3.86527e-09	1.31617e-05	6.58522e-06	2.50895e-09	0	1.21367e-09	1.53537e-05	6.58175e-06	2.58471e-09	1.31642e-05	1.03584e-09	6.58953e-06	2.23785e-09	6.58406e-06	7.68988e-06	6.58446e-06	6.58459e-06	6.57863e-06	6.08712e-09	6.58841e-06	6.57881e-06	0	2.21202e-06	6.5933e-06	8.64134e-10	0	1.53623e-05	1.09351e-09	6.48775e-11	6.57843e-06	6.58643e-06	0	1.31588e-05	2.20277e-06	1.04025e-08	6.5864e-06	6.57839e-06	6.59258e-06	1.20465e-08	4.32779e-09	8.77961e-06	1.5355e-05	6.58371e-06	6.15928e-09	1.5331e-08	1.31723e-05	1.53428e-05	1.31616e-05	3.36819e-09	0	1.53709e-05	6.5876e-06	0	6.5855e-06	5.36237e-09	3.13025e-09	8.76507e-06	7.8186e-09	2.1975e-06	1.97458e-05	5.51441e-09	6.57996e-06	1.00574e-08	5.00205e-09	1.78519e-09	0.000710844
d3_7	0.0045905	1.34192e-08	1.31574e-05	6.42705e-09	0	1.97553e-05	1.31535e-05	0	2.20456e-06	6.60978e-06	6.57965e-06	5.7504e-09	1.66835e-09	1.52e-09	6.11028e-09	2.20038e-06	6.59327e-06	8.7753e-06	2.2119e-06	1.42391e-09	6.58913e-06	6.58915e-06	1.31549e-05	6.58932e-06	0	6.57445e-06	6.58897e-06	1.09891e-05	5.29418e-09	0	6.57843e-06	6.58694e-06	8.76743e-06	2.87031e-09	8.77168e-06	0	1.53545e-05	4.72984e-09	1.9753e-05	6.58349e-06	8.34981e-09	6.57725e-06	2.20597e-06	1.09669e-05	2.19288e-05	6.57832e-06	2.98624e-09	2.20461e-06	1.53574e-05	3.0716e-05	6.58535e-06	5.73758e-09	0	1.31727e-05	0	3.29577e-09	1.75609e-09	2.07345e-09	8.77625e-06	5.23029e-09	6.58564e-06	6.57453e-06	7.60082e-09	6.5761e-06	1.64134e-09	2.19881e-06	8.77642e-06	1.64671e-08	1.71767e-09	1.22244e-09	1.31609e-05	6.5894e-06	6.57978e-06	0	8.79422e-06	7.58796e-09	6.58582e-06	6.59763e-06	6.58652e-06	0	0	9.5918e-09	6.59512e-06	2.19827e-06	6.58269e-06	6.58197e-06	1.31712e-09	7.34698e-09	1.97471e-05	7.57189e-09	1.31533e-05	3.69593e-09	8.78253e-06	1.31586e-05	0.000643956
d3_8	0.00355078	0	7.03986e-09	6.57996e-06	6.58439e-06	8.77769e-06	0	2.20501e-06	0	1.53567e-05	1.31721e-05	6.58563e-06	8.77866e-06	6.58845e-06	4.7341e-09	6.58405e-06	8.775e-06	2.19873e-06	2.20312e-06	6.58458e-06	0	6.58357e-06	6.58229e-06	4.32152e-09	1.53694e-05	6.57461e-06	6.58469e-06	2.06564e-10	8.79098e-06	6.58783e-06	1.31643e-05	6.57959e-06	6.58838e-06	9.00981e-09	6.57913e-06	8.77217e-06	7.22393e-09	1.07777e-08	3.27331e-09	6.57874e-06	6.57972e-06	2.6525e-09	3.05661e-09	6.57297e-06	2.20047e-06	1.99431e-08	1.31658e-05	7.19139e-09	1.60291e-09	0	8.77793e-06	7.50883e-09	0	7.43e-09	6.59232e-06	6.18771e-09	2.23919e-10	2.41921e-09	2.20192e-06	8.78447e-06	1.04282e-09	1.4145e-09	6.58445e-06	1.97459e-05	8.78409e-06	1.85045e-10	1.55552e-08	1.19368e-08	5.19959e-09	1.31646e-05	1.77873e-08	6.57963e-06	6.58236e-06	8.52242e-09	1.31626e-05	2.7131e-09	0	6.58382e-06	0	3.91576e-09	5.42608e-09	0	1.31552e-05	6.65548e-09	6.58237e-06	6.57725e-06	1.09731e-05	3.30152e-06	7.64145e-10	6.57772e-06	2.20843e-06	6.57623e-06	5.74723e-09	6.58781e-06	0.000612151
d3_9	0.00290879	1.75615e-05	3.48753e-09	4.45324e-09	1.53613e-05	8.77374e-06	2.83401e-09	6.58719e-06	1.31649e-05	0	1.6853e-08	6.86291e-09	9.05003e-09	6.57901e-06	0	2.20026e-06	2.20495e-06	8.78536e-06	1.48961e-08	6.57356e-06	6.57789e-06	8.78627e-06	1.31552e-05	3.29824e-06	6.59629e-06	2.20537e-06	6.57297e-06	1.31703e-05	0	6.59252e-06	1.28389e-08	1.75607e-05	1.3166e-05	0	2.19894e-06	6.57386e-06	1.53783e-05	2.43588e-09	6.57483e-06	1.31652e-05	6.5838e-06	2.19436e-06	6.10048e-09	7.70103e-09	8.77255e-06	2.19558e-05	7.92153e-09	6.5787e-06	8.78642e-06	1.31465e-05	6.57479e-06	6.57749e-06	3.04684e-09	9.733e-09	1.15084e-09	1.75672e-09	1.75435e-05	1.83431e-09	8.78074e-06	9.34964e-10	1.31648e-05	6.58003e-06	0	6.58816e-06	0	8.77509e-06	1.97539e-10	1.53598e-05	6.58945e-06	9.02049e-09	1.31663e-05	6.60211e-06	1.73754e-09	8.78501e-06	6.58783e-06	6.58197e-06	1.31589e-05	2.20221e-06	1.70931e-08	1.31714e-05	6.57297e-06	1.07644e-09	1.31723e-05	1.04127e-08	9.45124e-09	0	6.58835e-06	4.53695e-09	1.37759e-09	1.4301e-09	2.20205e-06	8.79233e-06	0	7.23823e-09	0.000853437
