	d1_0	d1_1	d1_2	d1_3	d1_4	d1_5	d1_6	d1_7	d1_8	d1_9	d1_10	d1_11	d1_12	d1_13	d1_14	d1_15	d1_16	d1_17	d1_18	d1_19	d1_20	d1_21	d1_22	d1_23	d1_24	d1_25	d1_26	d1_27	d1_28	d1_29	d1_30	d1_31	d1_32	d1_33	d1_34	d1_35	d1_36	d1_37	d1_38	d1_39	d1_40	d1_41	d1_42	d1_43	d1_44	d1_45	d1_46	d1_47	d1_48	d1_49	d1_50	d1_51	d1_52	d1_53	d1_54	d1_55	d1_56	d1_57	d1_58	d1_59	d1_60	d1_61	d1_62	d1_63	d1_64	d1_65	d1_66	d1_67	d1_68	d1_69	d1_70	d1_71	d1_72	d1_73	d1_74	d1_75	d1_76	d1_77	d1_78	d1_79	d1_80	d1_81	d1_82	d1_83	d1_84	d1_85	d1_86	d1_87	d1_88	d1_89	d1_90	d1_91	d1_92	d1_93	d1_94	d1_95	d1_96	d1_97	d1_98
d3_0	0	0.120107	0.0597334	0.0395696	0.0280964	0.0223616	0.0176496	0.0143678	0.0117498	0.00995528	0.00850773	0.00727894	0.00577241	0.00512325	0.00448218	0.00408041	0.00331395	0.0027914	0.00228095	0.00222213	0.00159344	0.00157116	0.00138821	0.00116828	0.000937221	0.000915624	0.000753588	0.000616081	0.000604944	0.000460581	0.000450008	0.000262955	0.000292925	0.000268215	0.000249673	0.000191316	0.000139075	0.000170364	8.80623e-05	0.000124257	0.000113243	7.76213e-05	8.57149e-05	5.2512e-05	4.61795e-05	3.16053e-05	2.11537e-05	3.95036e-05	1.88172e-05	3.92781e-05	2.70031e-05	3.94405e-06	2.68367e-05	6.34439e-06	3.08545e-05	1.02358e-07	1.24345e-05	1.85281e-05	9.50807e-08	2.14894e-06	1.77168e-08	8.30485e-06	6.91415e-08	1.43546e-05	6.16639e-06	6.17068e-06	1.05852e-08	8.16411e-09	2.13568e-09	2.52807e-09	8.53104e-10	3.08903e-08	1.29763e-09	4.62753e-10	7.84259e-10	8.49806e-10	2.76904e-08	3.72853e-10	1.56762e-10	1.61381e-09	3.39567e-11	4.95446e-12	8.16791e-06	1.02561e-09	6.12161e-06	2.30074e-11	0	1.11953e-10	1.28571e-09	3.17674e-12	9.20753e-10	4.2296e-11	0	0	4.39731e-12	0	0	0	0
d3_1	0.0684721	5.30339e-05	6.22158e-05	5.18653e-05	6.01498e-05	5.4368e-05	3.55381e-05	4.76898e-05	6.00385e-05	5.57501e-05	6.23566e-05	4.33704e-05	4.58852e-05	8.23109e-05	3.15002e-05	3.116e-05	7.7221e-05	1.87041e-05	3.73159e-05	3.93145e-05	3.53811e-05	4.12212e-05	3.51416e-05	2.08631e-05	2.48459e-05	1.25021e-05	1.86603e-05	1.45256e-05	7.47726e-06	2.88167e-05	1.87884e-05	1.46371e-05	2.0672e-05	1.46098e-05	3.50395e-05	3.90329e-05	4.51403e-05	1.25104e-05	6.31007e-06	8.28596e-06	2.06594e-05	1.17582e-07	1.24553e-05	1.18094e-07	1.54619e-05	2.25885e-05	1.03577e-05	8.30614e-06	8.27285e-08	6.17085e-06	1.43668e-05	5.19597e-08	7.47036e-08	4.19791e-06	6.16795e-06	6.23381e-06	1.43632e-05	1.22682e-05	5.33692e-08	1.7916e-09	6.14494e-09	6.17409e-06	2.07439e-09	4.21939e-08	3.51645e-08	6.15975e-06	7.52252e-09	1.75424e-09	3.02877e-08	4.034e-09	3.21751e-08	6.12877e-06	1.46553e-09	4.17671e-09	6.12736e-06	2.59394e-09	1.34708e-10	1.19802e-11	7.89925e-11	2.75186e-09	6.02427e-11	0	7.27355e-11	0	3.94961e-11	0	1.96918e-13	3.4782e-09	0	0	0	3.23573e-11	0	3.52802e-11	0	0	0	0	0
d3_2	0.0290647	2.64169e-05	6.04137e-05	4.57581e-05	3.56047e-05	6.22348e-05	6.43075e-05	3.94968e-05	3.96922e-05	7.23245e-05	4.54481e-05	6.61755e-05	3.74369e-05	4.24809e-05	3.12064e-05	4.14177e-05	5.17569e-05	6.61095e-05	4.95261e-05	2.49908e-05	5.1695e-05	1.47967e-05	6.55091e-06	1.87474e-05	1.48057e-05	1.27601e-05	3.82527e-05	3.91587e-05	1.45958e-05	2.6909e-05	6.47497e-06	6.40927e-06	2.26522e-05	2.06793e-05	1.25089e-05	1.24416e-05	1.44508e-05	8.43459e-06	1.85062e-05	8.27794e-06	3.29656e-05	1.4812e-07	2.06588e-05	1.04683e-05	1.64488e-05	2.2595e-05	8.31309e-06	1.40714e-07	1.84506e-05	6.18922e-06	5.53865e-08	1.43916e-05	6.21356e-06	6.4731e-08	6.19613e-06	7.23623e-09	1.23244e-05	8.21623e-06	8.20941e-06	1.43361e-05	2.92711e-08	4.99008e-09	3.11234e-08	8.20375e-06	2.69789e-09	4.231e-09	6.52838e-09	3.39537e-08	1.67758e-09	2.43257e-10	2.34933e-09	3.83062e-09	6.32633e-08	2.69169e-09	8.93594e-11	7.30055e-09	4.26377e-11	3.82792e-11	6.4974e-10	2.79528e-10	1.29339e-10	3.01993e-08	2.0437e-12	2.79077e-09	1.27123e-09	2.90245e-08	0	2.78165e-09	4.04145e-11	0	0	2.774e-10	0	0	0	0	4.03924e-09	0	0
d3_3	0.0165011	5.17507e-05	2.65687e-05	5.60283e-05	7.02031e-05	4.99353e-05	2.52609e-05	5.60666e-05	3.96037e-05	3.26994e-05	2.0885e-05	5.16889e-05	6.00484e-05	7.6162e-05	4.57127e-05	5.19466e-05	1.90346e-05	3.92992e-05	4.54058e-05	2.09722e-05	3.54274e-05	4.13872e-05	5.58808e-05	2.18618e-05	1.48223e-05	2.08954e-05	6.40685e-06	2.17368e-05	2.09372e-05	1.45106e-05	1.26941e-05	2.08391e-05	2.89512e-05	4.39677e-06	4.12618e-05	1.66171e-05	2.46377e-05	3.70123e-05	1.23388e-05	6.25773e-06	2.37131e-05	1.85459e-05	1.86152e-05	2.05503e-05	1.59968e-07	1.44423e-05	6.24738e-06	1.24112e-05	1.96238e-07	8.28153e-06	2.1483e-06	4.24592e-06	1.44284e-05	1.03826e-05	1.44083e-05	1.4332e-05	1.04249e-07	1.23485e-05	8.27402e-06	8.245e-06	6.90797e-09	4.15412e-08	6.30519e-08	6.50112e-08	1.22997e-05	3.41336e-09	8.20548e-06	6.12229e-06	1.67345e-09	1.56038e-10	5.64811e-09	4.06746e-09	3.94262e-08	3.33771e-08	2.62362e-09	3.89413e-09	3.06967e-08	2.91525e-10	1.85965e-10	0	1.39051e-09	7.29862e-10	1.02128e-10	4.08961e-11	2.68007e-11	8.00444e-11	1.17737e-10	1.99396e-12	1.28895e-09	9.14577e-11	0	0	0	0	0	1.10122e-09	0	0	0
d3_4	0.010491	6.00966e-05	2.71961e-05	5.38029e-05	5.09195e-05	3.55865e-05	2.71672e-05	7.25532e-05	4.56167e-05	6.0148e-05	3.33079e-05	3.96693e-05	5.60958e-05	6.31293e-05	2.73026e-05	6.19434e-05	3.54023e-05	5.87724e-05	2.72444e-05	1.88567e-05	3.93263e-05	6.80667e-05	3.13775e-05	3.08841e-05	1.25555e-05	3.10123e-05	2.29954e-05	4.02798e-05	4.32391e-05	5.36341e-05	1.86738e-05	1.46683e-05	6.36447e-06	2.49101e-05	2.06493e-05	4.31305e-06	1.05227e-05	5.25301e-05	2.29866e-06	2.06617e-05	1.85634e-05	6.27344e-06	1.85053e-05	1.83658e-07	1.23735e-05	6.24466e-06	6.26598e-06	1.54128e-05	1.24519e-05	7.31803e-06	1.4341e-05	1.24047e-05	6.23037e-06	3.18927e-08	6.2257e-06	6.24692e-06	6.17255e-06	1.32878e-08	1.10124e-08	2.0487e-05	1.44365e-05	8.67389e-08	1.04866e-08	9.95237e-08	6.19818e-06	6.13328e-06	2.79119e-08	3.57186e-08	8.8965e-09	3.28391e-08	1.23456e-05	6.13421e-06	3.53754e-10	1.23554e-05	6.1198e-09	4.67353e-09	4.20858e-09	2.83527e-08	3.3215e-08	4.18904e-09	6.13331e-06	9.73379e-09	0	2.85762e-08	8.16897e-10	6.76194e-11	0	6.49677e-11	0	0	0	2.10985e-11	3.8737e-10	0	5.97699e-11	0	0	0	3.39238e-08
d3_5	0.00707552	2.52606e-05	1.2935e-05	3.77189e-05	1.89758e-05	6.21929e-05	3.33174e-05	3.62786e-05	4.77148e-05	3.52275e-05	2.92768e-05	2.92997e-05	6.19239e-05	2.29272e-05	2.69587e-05	7.64792e-05	2.6943e-05	3.12607e-05	3.72959e-05	5.59149e-05	3.10014e-05	3.71057e-05	3.74172e-05	3.73942e-05	2.50252e-05	1.45664e-05	5.15171e-05	3.7181e-05	8.68212e-06	6.50798e-06	3.72518e-05	2.06372e-05	8.4706e-06	2.34987e-06	1.87565e-05	1.25766e-05	4.91965e-05	1.26082e-05	1.44358e-05	2.05402e-05	1.8609e-05	1.85891e-05	1.85053e-05	6.3435e-06	1.53401e-07	2.05737e-05	1.15138e-05	6.21194e-06	1.43537e-07	2.36778e-05	6.25427e-06	1.10253e-07	1.23573e-05	1.17462e-07	5.5373e-08	8.2575e-06	1.85342e-05	4.16663e-06	1.29487e-08	1.85167e-05	7.86386e-08	6.21162e-06	1.09354e-08	1.43003e-07	1.23459e-05	8.24201e-06	7.59436e-08	3.39685e-09	8.99679e-09	3.47641e-08	3.18585e-08	2.09416e-06	1.27431e-09	6.93339e-08	6.16796e-06	6.0728e-09	6.19067e-06	4.53205e-09	5.7301e-10	8.07268e-11	6.1229e-06	7.34982e-11	5.77466e-10	1.08743e-10	2.75719e-08	8.36949e-10	1.27341e-10	0	3.45192e-08	1.22236e-11	0	0	2.83984e-11	0	0	0	0	0	0
d3_6	0.00501336	2.52462e-05	2.09149e-05	3.34479e-05	4.13688e-05	2.7179e-05	2.72092e-05	2.7251e-05	4.37062e-05	4.46967e-05	6.21226e-05	2.91355e-05	2.51654e-05	4.56998e-05	4.55946e-05	4.75317e-05	3.75345e-05	1.27978e-05	3.94155e-05	7.21428e-05	4.13283e-05	3.94475e-05	2.50133e-05	3.10747e-05	2.10485e-05	2.92097e-05	4.44742e-05	1.45862e-05	3.60606e-05	5.05227e-05	3.41148e-05	2.49609e-05	2.70814e-05	2.71114e-05	1.66817e-05	3.39442e-05	4.52824e-05	3.10319e-05	4.11338e-05	2.6779e-05	1.24263e-05	2.2836e-05	2.47488e-05	6.28524e-06	6.28126e-06	1.23934e-05	2.06629e-05	6.24983e-06	1.23469e-05	2.87577e-05	8.2482e-08	6.17704e-06	1.85282e-05	6.28015e-06	2.67553e-05	1.06572e-07	1.6457e-05	8.27075e-06	1.31287e-07	6.17354e-06	1.23922e-05	6.74761e-08	1.44209e-05	4.52211e-08	1.2323e-05	6.16036e-08	6.1381e-06	3.22616e-08	5.1019e-09	3.80261e-08	6.18907e-06	3.46487e-08	5.73861e-09	3.49155e-09	3.63587e-08	9.97064e-10	2.68283e-08	3.93397e-09	4.42629e-08	6.15816e-06	3.63441e-09	1.77722e-09	2.08045e-06	5.80038e-08	1.24632e-11	6.63511e-12	1.73822e-11	1.06289e-12	7.72301e-11	0	2.77329e-08	8.1243e-11	0	3.91312e-11	0	0	1.41344e-11	0	0
d3_7	0.00366442	2.72022e-05	3.13896e-05	2.31659e-05	2.51359e-05	7.42486e-05	2.72135e-05	4.57809e-05	5.16502e-05	2.12085e-05	1.29699e-05	3.13344e-05	4.14128e-05	3.11632e-05	4.37835e-05	8.49342e-06	2.10234e-05	6.78535e-05	3.11708e-05	1.48093e-05	3.11014e-05	4.55314e-05	3.31988e-05	2.30742e-05	2.58041e-05	4.55157e-05	3.60601e-05	4.33345e-05	3.10358e-05	1.65539e-05	1.4699e-05	1.67786e-05	4.02805e-05	4.54097e-05	5.15234e-05	1.25041e-05	4.53418e-05	1.86521e-05	6.41095e-06	6.25841e-06	2.07964e-05	2.77693e-05	1.86377e-05	3.91525e-05	1.45182e-05	1.47455e-05	1.66943e-05	2.25904e-06	8.33556e-06	1.85652e-05	2.25658e-05	1.44704e-05	8.24879e-06	1.44446e-07	8.25469e-06	1.85594e-05	8.30604e-06	6.20648e-06	7.41779e-08	2.05952e-05	1.07893e-08	1.14251e-05	8.27326e-06	2.05187e-05	2.11202e-06	8.23681e-06	3.529e-08	3.54568e-08	6.19926e-06	1.26753e-07	6.19429e-06	1.85434e-05	2.06064e-06	6.15594e-06	1.02187e-08	3.3123e-08	9.84963e-09	1.43604e-05	2.07901e-06	2.85218e-08	1.43576e-05	1.69149e-09	6.12651e-06	2.35531e-09	4.04854e-08	1.62201e-10	1.82804e-11	1.15885e-11	1.64487e-09	3.66898e-11	2.68803e-08	2.81909e-11	0	0	0	0	0	0	0
d3_8	0.00268945	4.75332e-05	2.09718e-05	5.18855e-05	4.36668e-05	2.09383e-05	4.75662e-05	4.7583e-05	4.76342e-05	8.62142e-06	5.15649e-05	4.95459e-05	5.58088e-05	2.70749e-05	1.89916e-05	6.2903e-05	2.50358e-05	2.70746e-05	2.82223e-05	5.98693e-05	3.72618e-05	3.9271e-05	3.31916e-05	4.97189e-05	2.53549e-05	2.67763e-05	2.29607e-05	3.12153e-05	4.11837e-05	1.47e-05	3.72317e-05	2.48517e-05	1.26625e-05	1.65723e-05	5.34058e-05	1.55773e-05	1.26158e-05	2.09409e-05	1.46577e-05	2.16871e-05	1.44637e-05	6.48787e-06	1.66925e-05	4.74712e-05	1.8653e-05	2.07114e-05	6.40382e-06	1.25405e-05	6.24726e-06	2.66971e-05	1.45028e-05	2.05891e-05	1.24852e-05	2.05925e-05	3.16011e-08	1.23836e-05	8.19812e-06	1.23862e-05	6.20897e-06	2.15056e-06	5.72878e-08	8.36272e-06	6.19933e-06	6.17771e-06	1.84527e-05	8.26639e-06	6.13493e-06	4.00744e-08	2.39234e-09	3.854e-08	6.19807e-06	1.12103e-08	6.16263e-06	7.03695e-08	6.15009e-08	1.66732e-09	1.84526e-05	3.30502e-08	5.00512e-09	3.40746e-09	5.36072e-09	4.98315e-09	2.56342e-10	3.92293e-09	5.37729e-08	0	3.56162e-10	6.20232e-09	3.29649e-08	3.06913e-09	0	6.66341e-12	4.70862e-11	3.45261e-09	8.20544e-06	0	0	0	0
d3_9	0.00201516	2.12735e-05	2.71996e-05	4.15645e-05	3.32622e-05	3.73055e-05	1.062e-05	4.55268e-05	7.4375e-05	4.32921e-05	5.386e-05	4.72119e-06	3.74708e-05	5.57747e-05	4.56296e-05	4.44639e-05	2.09505e-05	7.41289e-05	2.70906e-05	5.16044e-05	4.14893e-05	3.92914e-05	4.55227e-05	4.95056e-05	4.55051e-05	3.11549e-05	2.70014e-05	3.92984e-05	6.37601e-05	2.69117e-05	4.34966e-05	2.89352e-05	3.31839e-05	2.07308e-05	1.26115e-05	3.30594e-05	2.68719e-05	6.18135e-05	2.69234e-05	5.3555e-05	6.4321e-06	2.28183e-05	4.93352e-05	1.25218e-05	2.06588e-05	1.65216e-05	1.86617e-05	6.30002e-06	6.25591e-06	2.46492e-05	1.44269e-05	1.24965e-05	6.30109e-06	6.1964e-06	1.46373e-05	8.22798e-06	8.28417e-06	6.2838e-06	1.2412e-05	1.84283e-05	8.28036e-06	2.054e-05	1.23269e-05	1.85101e-05	2.46147e-05	2.11143e-06	4.00005e-08	8.27056e-06	4.47595e-08	6.23312e-06	6.19305e-06	9.63923e-09	6.19695e-06	1.00795e-08	1.10336e-08	1.84597e-09	9.26214e-08	4.34009e-09	1.22807e-05	3.47283e-08	1.51948e-09	5.9065e-10	6.13326e-06	1.08643e-10	6.55761e-11	1.4929e-09	3.23328e-08	2.7929e-09	6.12361e-06	2.71925e-09	1.97865e-09	7.82615e-10	0	2.14304e-11	1.47833e-10	0	1.17728e-10	0	0
